
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
32,,Surface,3,Image 1,1,0,
32,,Surface,3,Image 1,1,1,
32,,Surface,3,Image 1,1,2,
37,,Surface,3,Image 1,1,3,
53,,Surface,3,Image 1,1,4,
37,,Surface,3,Image 1,1,5,
32,,Surface,3,Image 1,1,6,
32,,Surface,3,Image 1,1,7,
32,,Surface,3,Image 1,1,8,
37,,Surface,3,Image 1,1,9,
32,,Surface,3,Image 1,1,10,
53,,Surface,3,Image 1,1,11,
32,,Surface,3,Image 1,1,12,
32,,Surface,3,Image 1,1,13,
37,,Surface,3,Image 1,1,14,
32,,Surface,3,Image 1,1,15,
27,,Surface,3,Image 1,1,16,
27,,Surface,3,Image 1,1,17,
27,,Surface,3,Image 1,1,18,
27,,Surface,3,Image 1,1,19,
32,,Surface,3,Image 1,1,20,
27,,Surface,3,Image 1,1,21,
32,,Surface,3,Image 1,1,22,
27,,Surface,3,Image 1,1,23,
37,,Surface,3,Image 1,1,24,
37,,Surface,3,Image 1,1,25,
32,,Surface,3,Image 1,1,26,
27,,Surface,3,Image 1,1,27,
21,,Surface,3,Image 1,1,28,
32,,Surface,3,Image 1,1,29,
43,,Surface,3,Image 1,1,30,
133,,Surface,3,Image 1,1,31,
144,,Surface,3,Image 1,1,32,
64,,Surface,3,Image 1,1,33,
53,,Surface,3,Image 1,1,34,
69,,Surface,3,Image 1,1,35,
53,,Surface,3,Image 1,1,36,
59,,Surface,3,Image 1,1,37,
69,,Surface,3,Image 1,1,38,
53,,Surface,3,Image 1,1,39,
149,,Surface,3,Image 1,1,40,
75,,Surface,3,Image 1,1,41,
85,,Surface,3,Image 1,1,42,
75,,Surface,3,Image 1,1,43,
58,,Surface,3,Image 1,1,44,
133,,Surface,3,Image 1,1,45,
48,,Surface,3,Image 1,1,46,
53,,Surface,3,Image 1,1,47,
48,,Surface,3,Image 1,1,48,
32,,Surface,3,Image 1,1,49,
53,,Surface,3,Image 1,1,50,
43,,Surface,3,Image 1,1,51,
255,,Surface,3,Image 1,1,52,
64,,Surface,3,Image 1,1,53,
122,,Surface,3,Image 1,1,54,
37,,Surface,3,Image 1,1,55,
16,,Surface,3,Image 1,1,56,
144,,Surface,3,Image 1,1,57,
80,,Surface,3,Image 1,1,58,
117,,Surface,3,Image 1,1,59,
101,,Surface,3,Image 1,1,60,
91,,Surface,3,Image 1,1,61,
96,,Surface,3,Image 1,1,62,
85,,Surface,3,Image 1,1,63,
75,,Surface,3,Image 1,1,64,
96,,Surface,3,Image 1,1,65,
101,,Surface,3,Image 1,1,66,
90,,Surface,3,Image 1,1,67,
64,,Surface,3,Image 1,1,68,
74,,Surface,3,Image 1,1,69,
101,,Surface,3,Image 1,1,70,
255,,Surface,3,Image 1,1,71,
133,,Surface,3,Image 1,1,72,
165,,Surface,3,Image 1,1,73,
160,,Surface,3,Image 1,1,74,
107,,Surface,3,Image 1,1,75,
139,,Surface,3,Image 1,1,76,
128,,Surface,3,Image 1,1,77,
170,,Surface,3,Image 1,1,78,
117,,Surface,3,Image 1,1,79,
112,,Surface,3,Image 1,1,80,
96,,Surface,3,Image 1,1,81,
155,,Surface,3,Image 1,1,82,
197,,Surface,3,Image 1,1,83,
75,,Surface,3,Image 1,1,84,
85,,Surface,3,Image 1,1,85,
240,,Surface,3,Image 1,1,86,
91,,Surface,3,Image 1,1,87,
80,,Surface,3,Image 1,1,88,
64,,Surface,3,Image 1,1,89,
101,,Surface,3,Image 1,1,90,
106,,Surface,3,Image 1,1,91,
80,,Surface,3,Image 1,1,92,
85,,Surface,3,Image 1,1,93,
75,,Surface,3,Image 1,1,94,
80,,Surface,3,Image 1,1,95,
85,,Surface,3,Image 1,1,96,
43,,Surface,3,Image 1,1,97,
48,,Surface,3,Image 1,1,98,
144,,Surface,3,Image 1,1,99,
160,,Surface,3,Image 1,1,100,
37,,Surface,3,Image 1,1,101,
48,,Surface,3,Image 1,1,102,
64,,Surface,3,Image 1,1,103,
64,,Surface,3,Image 1,1,104,
48,,Surface,3,Image 1,1,105,
27,,Surface,3,Image 1,1,106,
85,,Surface,3,Image 1,1,107,
48,,Surface,3,Image 1,1,108,
37,,Surface,3,Image 1,1,109,
75,,Surface,3,Image 1,1,110,
96,,Surface,3,Image 1,1,111,
80,,Surface,3,Image 1,1,112,
27,,Surface,3,Image 1,1,113,
53,,Surface,3,Image 1,1,114,
58,,Surface,3,Image 1,1,115,
37,,Surface,3,Image 1,1,116,
250,,Surface,3,Image 1,1,117,
85,,Surface,3,Image 1,1,118,
101,,Surface,3,Image 1,1,119,
176,,Surface,3,Image 1,1,120,
138,,Surface,3,Image 1,1,121,
48,,Surface,3,Image 1,1,122,
245,,Surface,3,Image 1,1,123,
37,,Surface,3,Image 1,1,124,
122,,Surface,3,Image 1,1,125,
48,,Surface,3,Image 1,1,126,
80,,Surface,3,Image 1,1,127,
112,,Surface,3,Image 1,1,128,
192,,Surface,3,Image 1,1,129,
171,,Surface,3,Image 1,1,130,
213,,Surface,3,Image 1,1,131,
48,,Surface,3,Image 1,1,132,
42,,Surface,3,Image 1,1,133,
255,,Surface,3,Image 1,1,134,
