
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
30.4775,,Surface,2,Image 1,1,2,
24.4263,,Surface,2,Image 1,1,3,
25.7913,,Surface,2,Image 1,1,4,
18.3002,,Surface,2,Image 1,1,5,
16.045,,Surface,2,Image 1,1,6,
18.804,,Surface,2,Image 1,1,7,
20.7043,,Surface,2,Image 1,1,8,
37.3251,,Surface,2,Image 1,1,14,
29.6907,,Surface,2,Image 1,1,16,
25.1953,,Surface,2,Image 1,1,17,
20.4833,,Surface,2,Image 1,1,18,
39.3092,,Surface,2,Image 1,1,19,
29.393,,Surface,2,Image 1,1,20,
22.0734,,Surface,2,Image 1,1,21,
29.425,,Surface,2,Image 1,1,22,
21.7665,,Surface,2,Image 1,1,23,
34.0118,,Surface,2,Image 1,1,24,
19.0643,,Surface,2,Image 1,1,25,
15.8156,,Surface,2,Image 1,1,26,
24.8381,,Surface,2,Image 1,1,27,
15.9149,,Surface,2,Image 1,1,28,
42.8018,,Surface,2,Image 1,1,29,
31.565,,Surface,2,Image 1,1,30,
26.5995,,Surface,2,Image 1,1,31,
23.119,,Surface,2,Image 1,1,32,
21.4487,,Surface,2,Image 1,1,33,
29.1131,,Surface,2,Image 1,1,34,
15.9906,,Surface,2,Image 1,1,35,
21.9014,,Surface,2,Image 1,1,44,
17.4068,,Surface,2,Image 1,1,45,
19.5912,,Surface,2,Image 1,1,46,
22.6164,,Surface,2,Image 1,1,47,
24.2182,,Surface,2,Image 1,1,48,
23.6936,,Surface,2,Image 1,1,49,
30.3634,,Surface,2,Image 1,1,50,
40.0508,,Surface,2,Image 1,1,51,
52.3849,,Surface,2,Image 1,1,52,
32.6755,,Surface,2,Image 1,1,53,
37.9808,,Surface,2,Image 1,1,54,
34.9101,,Surface,2,Image 1,1,55,
21.1282,,Surface,2,Image 1,1,56,
21.8929,,Surface,2,Image 1,1,57,
39.2953,,Surface,2,Image 1,1,58,
20.2881,,Surface,2,Image 1,1,59,
20.1412,,Surface,2,Image 1,1,60,
21.7983,,Surface,2,Image 1,1,61,
