
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3.87492,,Surface,2,Image 1,1,0,
1.77331,,Surface,2,Image 1,1,1,
5.76087,,Surface,2,Image 1,1,2,
2.19277,,Surface,2,Image 1,1,3,
2.30075,,Surface,2,Image 1,1,4,
2.33616,,Surface,2,Image 1,1,5,
2.45546,,Surface,2,Image 1,1,6,
15.6276,,Surface,2,Image 1,1,7,
6.46551,,Surface,2,Image 1,1,8,
3.95307,,Surface,2,Image 1,1,9,
6.62842,,Surface,2,Image 1,1,10,
10.9136,,Surface,2,Image 1,1,11,
5.25584,,Surface,2,Image 1,1,12,
7.17558,,Surface,2,Image 1,1,13,
9.17514,,Surface,2,Image 1,1,14,
6.44649,,Surface,2,Image 1,1,15,
4.85826,,Surface,2,Image 1,1,16,
3.95274,,Surface,2,Image 1,1,17,
3.44621,,Surface,2,Image 1,1,18,
8.58548,,Surface,2,Image 1,1,19,
4.39605,,Surface,2,Image 1,1,20,
7.10565,,Surface,2,Image 1,1,21,
6.85774,,Surface,2,Image 1,1,22,
5.52077,,Surface,2,Image 1,1,23,
10.7215,,Surface,2,Image 1,1,24,
7.1611,,Surface,2,Image 1,1,25,
8.6262,,Surface,2,Image 1,1,26,
12.049,,Surface,2,Image 1,1,27,
7.2481,,Surface,2,Image 1,1,28,
8.60551,,Surface,2,Image 1,1,29,
7.14585,,Surface,2,Image 1,1,30,
6.50037,,Surface,2,Image 1,1,31,
4.79016,,Surface,2,Image 1,1,32,
7.0397,,Surface,2,Image 1,1,33,
13.6312,,Surface,2,Image 1,1,34,
13.0506,,Surface,2,Image 1,1,35,
5.63479,,Surface,2,Image 1,1,36,
13.5039,,Surface,2,Image 1,1,37,
9.61868,,Surface,2,Image 1,1,38,
12.8941,,Surface,2,Image 1,1,39,
13.4673,,Surface,2,Image 1,1,40,
19.5074,,Surface,2,Image 1,1,41,
15.1718,,Surface,2,Image 1,1,42,
14.7203,,Surface,2,Image 1,1,43,
11.3584,,Surface,2,Image 1,1,44,
8.57989,,Surface,2,Image 1,1,45,
10.0449,,Surface,2,Image 1,1,46,
10.8903,,Surface,2,Image 1,1,47,
4.77456,,Surface,2,Image 1,1,48,
9.51749,,Surface,2,Image 1,1,49,
5.38443,,Surface,2,Image 1,1,50,
7.6232,,Surface,2,Image 1,1,51,
7.49239,,Surface,2,Image 1,1,52,
3.86568,,Surface,2,Image 1,1,53,
4.56775,,Surface,2,Image 1,1,54,
5.83121,,Surface,2,Image 1,1,55,
6.20533,,Surface,2,Image 1,1,56,
20.7558,,Surface,2,Image 1,1,57,
20.097,,Surface,2,Image 1,1,58,
10.8148,,Surface,2,Image 1,1,59,
13.354,,Surface,2,Image 1,1,60,
16.5321,,Surface,2,Image 1,1,61,
23.3015,,Surface,2,Image 1,1,62,
14.9353,,Surface,2,Image 1,1,63,
17.1638,,Surface,2,Image 1,1,64,
14.6691,,Surface,2,Image 1,1,65,
14.7159,,Surface,2,Image 1,1,66,
16.6337,,Surface,2,Image 1,1,67,
11.1561,,Surface,2,Image 1,1,68,
12.5798,,Surface,2,Image 1,1,69,
12.8259,,Surface,2,Image 1,1,70,
15.2099,,Surface,2,Image 1,1,71,
12.0419,,Surface,2,Image 1,1,72,
9.57744,,Surface,2,Image 1,1,73,
8.7169,,Surface,2,Image 1,1,74,
17.959,,Surface,2,Image 1,1,75,
17.6006,,Surface,2,Image 1,1,76,
11.1398,,Surface,2,Image 1,1,77,
12.5239,,Surface,2,Image 1,1,78,
11.8782,,Surface,2,Image 1,1,79,
12.763,,Surface,2,Image 1,1,80,
13.042,,Surface,2,Image 1,1,81,
11.7717,,Surface,2,Image 1,1,82,
13.2947,,Surface,2,Image 1,1,83,
8.03315,,Surface,2,Image 1,1,84,
7.59143,,Surface,2,Image 1,1,85,
14.6535,,Surface,2,Image 1,1,86,
16.3099,,Surface,2,Image 1,1,87,
1.7136,,Surface,2,Image 1,1,88,
4.41045,,Surface,2,Image 1,1,89,
1.47347,,Surface,2,Image 1,1,90,
2.08593,,Surface,2,Image 1,1,91,
1.28571,,Surface,2,Image 1,1,92,
1.52315,,Surface,2,Image 1,1,93,
5.32581,,Surface,2,Image 1,1,94,
1.46492,,Surface,2,Image 1,1,95,
4.27386,,Surface,2,Image 1,1,96,
2.28531,,Surface,2,Image 1,1,97,
2.28961,,Surface,2,Image 1,1,98,
13.6276,,Surface,2,Image 1,1,99,
8.76555,,Surface,2,Image 1,1,100,
9.77954,,Surface,2,Image 1,1,101,
14.4962,,Surface,2,Image 1,1,102,
6.34894,,Surface,2,Image 1,1,103,
5.59121,,Surface,2,Image 1,1,104,
5.3861,,Surface,2,Image 1,1,105,
4.70579,,Surface,2,Image 1,1,106,
4.17368,,Surface,2,Image 1,1,107,
4.43799,,Surface,2,Image 1,1,108,
4.29763,,Surface,2,Image 1,1,109,
3.42648,,Surface,2,Image 1,1,110,
6.42815,,Surface,2,Image 1,1,111,
3.41342,,Surface,2,Image 1,1,112,
3.46228,,Surface,2,Image 1,1,113,
4.71358,,Surface,2,Image 1,1,114,
22.8889,,Surface,2,Image 1,1,115,
21.376,,Surface,2,Image 1,1,116,
11.8304,,Surface,2,Image 1,1,117,
9.25924,,Surface,2,Image 1,1,118,
8.04941,,Surface,2,Image 1,1,119,
4.10811,,Surface,2,Image 1,1,120,
6.28955,,Surface,2,Image 1,1,121,
15.053,,Surface,2,Image 1,1,122,
8.02343,,Surface,2,Image 1,1,123,
