
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3.67126,,Surface,2,Image 1,1,0,
2.73642,,Surface,2,Image 1,1,1,
3.65781,,Surface,2,Image 1,1,2,
4.86298,,Surface,2,Image 1,1,3,
3.32455,,Surface,2,Image 1,1,4,
4.04227,,Surface,2,Image 1,1,5,
2.7437,,Surface,2,Image 1,1,6,
3.35227,,Surface,2,Image 1,1,7,
4.01171,,Surface,2,Image 1,1,8,
3.72002,,Surface,2,Image 1,1,9,
4.40538,,Surface,2,Image 1,1,10,
4.99024,,Surface,2,Image 1,1,11,
5.65768,,Surface,2,Image 1,1,12,
3.8702,,Surface,2,Image 1,1,13,
4.64577,,Surface,2,Image 1,1,14,
4.52243,,Surface,2,Image 1,1,15,
3.67102,,Surface,2,Image 1,1,16,
6.13025,,Surface,2,Image 1,1,17,
6.50261,,Surface,2,Image 1,1,18,
8.35626,,Surface,2,Image 1,1,19,
3.5861,,Surface,2,Image 1,1,20,
4.49605,,Surface,2,Image 1,1,21,
4.25614,,Surface,2,Image 1,1,22,
2.67546,,Surface,2,Image 1,1,23,
3.86069,,Surface,2,Image 1,1,24,
6.55652,,Surface,2,Image 1,1,25,
7.30052,,Surface,2,Image 1,1,26,
4.65156,,Surface,2,Image 1,1,27,
3.93527,,Surface,2,Image 1,1,28,
7.56286,,Surface,2,Image 1,1,29,
5.73414,,Surface,2,Image 1,1,30,
5.49196,,Surface,2,Image 1,1,31,
5.5302,,Surface,2,Image 1,1,32,
6.12193,,Surface,2,Image 1,1,33,
4.73512,,Surface,2,Image 1,1,34,
5.52085,,Surface,2,Image 1,1,35,
5.51284,,Surface,2,Image 1,1,36,
6.91672,,Surface,2,Image 1,1,37,
2.8789,,Surface,2,Image 1,1,38,
8.12256,,Surface,2,Image 1,1,39,
1.92493,,Surface,2,Image 1,1,40,
8.40303,,Surface,2,Image 1,1,41,
2.966,,Surface,2,Image 1,1,42,
2.89687,,Surface,2,Image 1,1,43,
1.93366,,Surface,2,Image 1,1,44,
2.22888,,Surface,2,Image 1,1,45,
2.17162,,Surface,2,Image 1,1,46,
1.79235,,Surface,2,Image 1,1,47,
3.64928,,Surface,2,Image 1,1,48,
6.39016,,Surface,2,Image 1,1,49,
2.46595,,Surface,2,Image 1,1,50,
2.49049,,Surface,2,Image 1,1,51,
2.90699,,Surface,2,Image 1,1,52,
2.05487,,Surface,2,Image 1,1,53,
2.10159,,Surface,2,Image 1,1,54,
1.90819,,Surface,2,Image 1,1,55,
2.36373,,Surface,2,Image 1,1,56,
4.92255,,Surface,2,Image 1,1,57,
3.61941,,Surface,2,Image 1,1,58,
2.19606,,Surface,2,Image 1,1,59,
2.03856,,Surface,2,Image 1,1,60,
2.38263,,Surface,2,Image 1,1,61,
2.28153,,Surface,2,Image 1,1,62,
1.90711,,Surface,2,Image 1,1,63,
2.41543,,Surface,2,Image 1,1,64,
1.75206,,Surface,2,Image 1,1,65,
1.99317,,Surface,2,Image 1,1,66,
1.79635,,Surface,2,Image 1,1,67,
1.55714,,Surface,2,Image 1,1,68,
2.7428,,Surface,2,Image 1,1,69,
1.74745,,Surface,2,Image 1,1,70,
1.99569,,Surface,2,Image 1,1,71,
1.78375,,Surface,2,Image 1,1,72,
0.619266,,Surface,2,Image 1,1,73,
0.369347,,Surface,2,Image 1,1,74,
0.397959,,Surface,2,Image 1,1,75,
0.576037,,Surface,2,Image 1,1,76,
0.673272,,Surface,2,Image 1,1,77,
0.722222,,Surface,2,Image 1,1,78,
0.657698,,Surface,2,Image 1,1,79,
0.858213,,Surface,2,Image 1,1,80,
0.975708,,Surface,2,Image 1,1,81,
0.810431,,Surface,2,Image 1,1,82,
0.773265,,Surface,2,Image 1,1,83,
0.613352,,Surface,2,Image 1,1,84,
1.09239,,Surface,2,Image 1,1,85,
1.52883,,Surface,2,Image 1,1,86,
0.984108,,Surface,2,Image 1,1,87,
1.81058,,Surface,2,Image 1,1,88,
1.61009,,Surface,2,Image 1,1,89,
1.8502,,Surface,2,Image 1,1,90,
1.6497,,Surface,2,Image 1,1,91,
1.21704,,Surface,2,Image 1,1,92,
2.06384,,Surface,2,Image 1,1,93,
5.48321,,Surface,2,Image 1,1,94,
5.26835,,Surface,2,Image 1,1,95,
2.0638,,Surface,2,Image 1,1,96,
3.17893,,Surface,2,Image 1,1,97,
1.9676,,Surface,2,Image 1,1,98,
5.34665,,Surface,2,Image 1,1,99,
5.27091,,Surface,2,Image 1,1,100,
6.63101,,Surface,2,Image 1,1,101,
1.91986,,Surface,2,Image 1,1,102,
2.75933,,Surface,2,Image 1,1,103,
3.44201,,Surface,2,Image 1,1,104,
1.77218,,Surface,2,Image 1,1,105,
2.36654,,Surface,2,Image 1,1,106,
