
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3.96708,,Surface,4,Image 1,1,0,
23.9489,,Surface,4,Image 1,1,1,
7.42649,,Surface,4,Image 1,1,2,
4.16675,,Surface,4,Image 1,1,3,
5.06647,,Surface,4,Image 1,1,4,
4.04921,,Surface,4,Image 1,1,5,
5.2079,,Surface,4,Image 1,1,6,
11.9929,,Surface,4,Image 1,1,7,
18.0687,,Surface,4,Image 1,1,8,
7.46308,,Surface,4,Image 1,1,9,
5.31711,,Surface,4,Image 1,1,10,
5.3139,,Surface,4,Image 1,1,11,
4.26067,,Surface,4,Image 1,1,12,
9.78475,,Surface,4,Image 1,1,13,
4.46058,,Surface,4,Image 1,1,14,
17.8095,,Surface,4,Image 1,1,15,
19.8811,,Surface,4,Image 1,1,16,
8.72299,,Surface,4,Image 1,1,17,
9.03445,,Surface,4,Image 1,1,18,
10.1249,,Surface,4,Image 1,1,19,
6.45926,,Surface,4,Image 1,1,20,
10.5949,,Surface,4,Image 1,1,21,
7.88457,,Surface,4,Image 1,1,22,
6.59983,,Surface,4,Image 1,1,23,
4.38152,,Surface,4,Image 1,1,24,
4.46354,,Surface,4,Image 1,1,25,
9.23132,,Surface,4,Image 1,1,26,
7.63189,,Surface,4,Image 1,1,27,
5.27692,,Surface,4,Image 1,1,28,
3.21797,,Surface,4,Image 1,1,29,
5.33814,,Surface,4,Image 1,1,30,
5.25505,,Surface,4,Image 1,1,31,
9.03155,,Surface,4,Image 1,1,32,
5.25242,,Surface,4,Image 1,1,33,
5.74806,,Surface,4,Image 1,1,34,
4.92317,,Surface,4,Image 1,1,35,
7.83328,,Surface,4,Image 1,1,36,
4.17025,,Surface,4,Image 1,1,37,
5.16056,,Surface,4,Image 1,1,38,
4.47678,,Surface,4,Image 1,1,39,
4.26062,,Surface,4,Image 1,1,40,
5.16672,,Surface,4,Image 1,1,41,
4.71613,,Surface,4,Image 1,1,42,
5.89014,,Surface,4,Image 1,1,43,
3.05513,,Surface,4,Image 1,1,44,
4.15046,,Surface,4,Image 1,1,45,
9.34421,,Surface,4,Image 1,1,46,
12.6893,,Surface,4,Image 1,1,47,
6.72396,,Surface,4,Image 1,1,48,
5.91614,,Surface,4,Image 1,1,49,
4.42646,,Surface,4,Image 1,1,50,
6.25122,,Surface,4,Image 1,1,51,
8.99824,,Surface,4,Image 1,1,52,
15.0627,,Surface,4,Image 1,1,53,
7.99086,,Surface,4,Image 1,1,54,
7.33671,,Surface,4,Image 1,1,55,
8.13767,,Surface,4,Image 1,1,56,
5.64545,,Surface,4,Image 1,1,57,
4.3959,,Surface,4,Image 1,1,58,
4.99697,,Surface,4,Image 1,1,59,
7.8135,,Surface,4,Image 1,1,60,
4.7064,,Surface,4,Image 1,1,61,
3.74719,,Surface,4,Image 1,1,62,
3.39547,,Surface,4,Image 1,1,63,
4.26122,,Surface,4,Image 1,1,64,
5.16444,,Surface,4,Image 1,1,65,
5.40448,,Surface,4,Image 1,1,66,
5.79457,,Surface,4,Image 1,1,67,
3.39593,,Surface,4,Image 1,1,68,
3.85817,,Surface,4,Image 1,1,69,
7.83686,,Surface,4,Image 1,1,70,
8.44368,,Surface,4,Image 1,1,71,
6.93657,,Surface,4,Image 1,1,72,
5.43109,,Surface,4,Image 1,1,73,
4.66509,,Surface,4,Image 1,1,74,
6.23692,,Surface,4,Image 1,1,75,
4.50638,,Surface,4,Image 1,1,76,
6.1966,,Surface,4,Image 1,1,77,
4.15103,,Surface,4,Image 1,1,78,
6.71831,,Surface,4,Image 1,1,79,
7.68506,,Surface,4,Image 1,1,80,
10.1964,,Surface,4,Image 1,1,81,
5.61699,,Surface,4,Image 1,1,82,
7.21264,,Surface,4,Image 1,1,83,
12.4911,,Surface,4,Image 1,1,84,
3.77299,,Surface,4,Image 1,1,85,
4.03276,,Surface,4,Image 1,1,86,
5.0469,,Surface,4,Image 1,1,87,
4.77497,,Surface,4,Image 1,1,88,
13.144,,Surface,4,Image 1,1,89,
5.13357,,Surface,4,Image 1,1,90,
5.86964,,Surface,4,Image 1,1,91,
4.7456,,Surface,4,Image 1,1,92,
4.76976,,Surface,4,Image 1,1,93,
5.49985,,Surface,4,Image 1,1,94,
5.97892,,Surface,4,Image 1,1,95,
4.85598,,Surface,4,Image 1,1,96,
10.2778,,Surface,4,Image 1,1,97,
4.27956,,Surface,4,Image 1,1,98,
3.78584,,Surface,4,Image 1,1,99,
