
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
2.55733,,Surface,4,Image 1,1,0,
2.87786,,Surface,4,Image 1,1,1,
2.41208,,Surface,4,Image 1,1,2,
2.77037,,Surface,4,Image 1,1,3,
2.99018,,Surface,4,Image 1,1,4,
3.23622,,Surface,4,Image 1,1,5,
2.92072,,Surface,4,Image 1,1,6,
2.62996,,Surface,4,Image 1,1,7,
2.93307,,Surface,4,Image 1,1,8,
2.75879,,Surface,4,Image 1,1,9,
2.66972,,Surface,4,Image 1,1,10,
3.32143,,Surface,4,Image 1,1,11,
3.18131,,Surface,4,Image 1,1,12,
4.21945,,Surface,4,Image 1,1,13,
3.21053,,Surface,4,Image 1,1,14,
2.86593,,Surface,4,Image 1,1,15,
4.5,,Surface,4,Image 1,1,16,
3.57143,,Surface,4,Image 1,1,17,
2.66099,,Surface,4,Image 1,1,18,
2.61954,,Surface,4,Image 1,1,19,
2.67062,,Surface,4,Image 1,1,20,
2.94397,,Surface,4,Image 1,1,21,
3.44757,,Surface,4,Image 1,1,22,
4.19192,,Surface,4,Image 1,1,23,
7.08096,,Surface,4,Image 1,1,24,
3.13485,,Surface,4,Image 1,1,25,
4.14565,,Surface,4,Image 1,1,26,
3.08897,,Surface,4,Image 1,1,27,
3.49251,,Surface,4,Image 1,1,28,
3.44845,,Surface,4,Image 1,1,29,
3.60471,,Surface,4,Image 1,1,30,
3.87179,,Surface,4,Image 1,1,31,
3.40541,,Surface,4,Image 1,1,32,
3.28571,,Surface,4,Image 1,1,33,
3.25102,,Surface,4,Image 1,1,34,
5.37624,,Surface,4,Image 1,1,35,
3.93937,,Surface,4,Image 1,1,36,
3.31163,,Surface,4,Image 1,1,37,
2.97174,,Surface,4,Image 1,1,38,
3.27218,,Surface,4,Image 1,1,39,
2.67906,,Surface,4,Image 1,1,40,
2.13793,,Surface,4,Image 1,1,41,
2.50847,,Surface,4,Image 1,1,42,
2.975,,Surface,4,Image 1,1,43,
3.58955,,Surface,4,Image 1,1,44,
2.81833,,Surface,4,Image 1,1,45,
2.53537,,Surface,4,Image 1,1,46,
2.34926,,Surface,4,Image 1,1,47,
2.73256,,Surface,4,Image 1,1,48,
2.48544,,Surface,4,Image 1,1,49,
2.40116,,Surface,4,Image 1,1,50,
2.49691,,Surface,4,Image 1,1,51,
2.3375,,Surface,4,Image 1,1,52,
2.22727,,Surface,4,Image 1,1,53,
2.08349,,Surface,4,Image 1,1,54,
2.90203,,Surface,4,Image 1,1,55,
2.82653,,Surface,4,Image 1,1,56,
2.80859,,Surface,4,Image 1,1,57,
3.28518,,Surface,4,Image 1,1,58,
2.94363,,Surface,4,Image 1,1,59,
2.87179,,Surface,4,Image 1,1,60,
2.80926,,Surface,4,Image 1,1,61,
2.87017,,Surface,4,Image 1,1,62,
3.58578,,Surface,4,Image 1,1,63,
3.01871,,Surface,4,Image 1,1,64,
3.15,,Surface,4,Image 1,1,65,
2.51248,,Surface,4,Image 1,1,66,
2.64239,,Surface,4,Image 1,1,67,
3.34606,,Surface,4,Image 1,1,68,
2.63154,,Surface,4,Image 1,1,69,
2.62831,,Surface,4,Image 1,1,70,
2.5287,,Surface,4,Image 1,1,71,
2.71429,,Surface,4,Image 1,1,72,
