
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
2.55733,,Surface,4,Image 1,1,0,
2.87786,,Surface,4,Image 1,1,1,
2.41208,,Surface,4,Image 1,1,2,
4.14565,,Surface,4,Image 1,1,3,
3.08897,,Surface,4,Image 1,1,4,
3.49251,,Surface,4,Image 1,1,5,
3.87179,,Surface,4,Image 1,1,6,
3.40541,,Surface,4,Image 1,1,7,
3.28571,,Surface,4,Image 1,1,8,
3.25102,,Surface,4,Image 1,1,9,
5.37624,,Surface,4,Image 1,1,10,
3.93937,,Surface,4,Image 1,1,11,
3.31163,,Surface,4,Image 1,1,12,
2.97174,,Surface,4,Image 1,1,13,
3.27218,,Surface,4,Image 1,1,14,
2.67906,,Surface,4,Image 1,1,15,
2.13793,,Surface,4,Image 1,1,16,
2.50847,,Surface,4,Image 1,1,17,
2.975,,Surface,4,Image 1,1,18,
3.58955,,Surface,4,Image 1,1,19,
2.81833,,Surface,4,Image 1,1,20,
2.53537,,Surface,4,Image 1,1,21,
2.34926,,Surface,4,Image 1,1,22,
2.73256,,Surface,4,Image 1,1,23,
2.48544,,Surface,4,Image 1,1,24,
2.40116,,Surface,4,Image 1,1,25,
2.49691,,Surface,4,Image 1,1,26,
2.3375,,Surface,4,Image 1,1,27,
2.22727,,Surface,4,Image 1,1,28,
2.08349,,Surface,4,Image 1,1,29,
2.52928,,Surface,4,Image 1,1,30,
2.36776,,Surface,4,Image 1,1,31,
2.79782,,Surface,4,Image 1,1,32,
2.7456,,Surface,4,Image 1,1,33,
2.40406,,Surface,4,Image 1,1,34,
2.38614,,Surface,4,Image 1,1,35,
2.70474,,Surface,4,Image 1,1,36,
2.52006,,Surface,4,Image 1,1,37,
2.59872,,Surface,4,Image 1,1,38,
2.49449,,Surface,4,Image 1,1,39,
3.95074,,Surface,4,Image 1,1,40,
2.4028,,Surface,4,Image 1,1,41,
2.37899,,Surface,4,Image 1,1,42,
2.3745,,Surface,4,Image 1,1,43,
2.59164,,Surface,4,Image 1,1,44,
2.41957,,Surface,4,Image 1,1,45,
3.15873,,Surface,4,Image 1,1,46,
2.37448,,Surface,4,Image 1,1,47,
2.37838,,Surface,4,Image 1,1,48,
2.20297,,Surface,4,Image 1,1,49,
2.40147,,Surface,4,Image 1,1,50,
2.36582,,Surface,4,Image 1,1,51,
5.27179,,Surface,4,Image 1,1,52,
3.17481,,Surface,4,Image 1,1,53,
3.78506,,Surface,4,Image 1,1,54,
4.52927,,Surface,4,Image 1,1,55,
2,,Surface,4,Image 1,1,56,
3.25091,,Surface,4,Image 1,1,57,
2.71633,,Surface,4,Image 1,1,58,
3.06892,,Surface,4,Image 1,1,59,
3.00454,,Surface,4,Image 1,1,60,
3.23328,,Surface,4,Image 1,1,61,
2.79885,,Surface,4,Image 1,1,62,
3.12483,,Surface,4,Image 1,1,63,
2.88395,,Surface,4,Image 1,1,64,
2.60817,,Surface,4,Image 1,1,65,
2.52222,,Surface,4,Image 1,1,66,
2.99571,,Surface,4,Image 1,1,67,
2.57053,,Surface,4,Image 1,1,68,
2.5357,,Surface,4,Image 1,1,69,
2.96165,,Surface,4,Image 1,1,70,
3.61845,,Surface,4,Image 1,1,71,
4.39977,,Surface,4,Image 1,1,72,
