
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
5.04396,,Surface,5,Image 1,1,0,
1.77456,,Surface,5,Image 1,1,1,
4.09226,,Surface,5,Image 1,1,2,
3.981,,Surface,5,Image 1,1,3,
8.22205,,Surface,5,Image 1,1,4,
4.72993,,Surface,5,Image 1,1,5,
1.78884,,Surface,5,Image 1,1,6,
2.54322,,Surface,5,Image 1,1,7,
1.63611,,Surface,5,Image 1,1,8,
4.52132,,Surface,5,Image 1,1,9,
2.35291,,Surface,5,Image 1,1,10,
6.49992,,Surface,5,Image 1,1,11,
5.27535,,Surface,5,Image 1,1,12,
10.6945,,Surface,5,Image 1,1,13,
12.1602,,Surface,5,Image 1,1,14,
13.9031,,Surface,5,Image 1,1,15,
4.31292,,Surface,5,Image 1,1,16,
1.50155,,Surface,5,Image 1,1,17,
3.13989,,Surface,5,Image 1,1,18,
3.87079,,Surface,5,Image 1,1,19,
5.17319,,Surface,5,Image 1,1,20,
3.33902,,Surface,5,Image 1,1,21,
2.67619,,Surface,5,Image 1,1,22,
3.68546,,Surface,5,Image 1,1,23,
2.34191,,Surface,5,Image 1,1,24,
2.57038,,Surface,5,Image 1,1,25,
3.43855,,Surface,5,Image 1,1,26,
2.47732,,Surface,5,Image 1,1,27,
4.04173,,Surface,5,Image 1,1,28,
8.79332,,Surface,5,Image 1,1,29,
7.95703,,Surface,5,Image 1,1,30,
10.9569,,Surface,5,Image 1,1,31,
2.29795,,Surface,5,Image 1,1,32,
2.92369,,Surface,5,Image 1,1,33,
3.62308,,Surface,5,Image 1,1,34,
3.39412,,Surface,5,Image 1,1,35,
9.53302,,Surface,5,Image 1,1,36,
9.71329,,Surface,5,Image 1,1,37,
6.58711,,Surface,5,Image 1,1,38,
2.54965,,Surface,5,Image 1,1,39,
4.89847,,Surface,5,Image 1,1,40,
3.38216,,Surface,5,Image 1,1,41,
8.18725,,Surface,5,Image 1,1,42,
6.26395,,Surface,5,Image 1,1,43,
9.76444,,Surface,5,Image 1,1,44,
10.8944,,Surface,5,Image 1,1,45,
3.9396,,Surface,5,Image 1,1,46,
2.44451,,Surface,5,Image 1,1,47,
2.57365,,Surface,5,Image 1,1,48,
4.93284,,Surface,5,Image 1,1,49,
2.20914,,Surface,5,Image 1,1,50,
1.99987,,Surface,5,Image 1,1,51,
4.78548,,Surface,5,Image 1,1,52,
4.84625,,Surface,5,Image 1,1,53,
5.27053,,Surface,5,Image 1,1,54,
7.27088,,Surface,5,Image 1,1,55,
8.28485,,Surface,5,Image 1,1,56,
5.12514,,Surface,5,Image 1,1,57,
6.6207,,Surface,5,Image 1,1,58,
2.91348,,Surface,5,Image 1,1,59,
4.13963,,Surface,5,Image 1,1,60,
4.26405,,Surface,5,Image 1,1,61,
2.49992,,Surface,5,Image 1,1,62,
3.03367,,Surface,5,Image 1,1,63,
5.14381,,Surface,5,Image 1,1,64,
3.48714,,Surface,5,Image 1,1,65,
6.00904,,Surface,5,Image 1,1,66,
