
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
128.902,154.921,-34.0207,um,Surface,Position,1,0,
124.498,156.84,-26.159,um,Surface,Position,1,1,
120.065,157.943,-25.5002,um,Surface,Position,1,2,
135.312,155.242,-35.1129,um,Surface,Position,1,3,
140.329,150.271,-34.6875,um,Surface,Position,1,4,
92.6698,163.399,-35.303,um,Surface,Position,1,5,
93.1294,164.284,-27.0501,um,Surface,Position,1,6,
113.669,163.99,-33.3304,um,Surface,Position,1,7,
125.268,159.511,-32.1673,um,Surface,Position,1,8,
162.308,131.615,-33.0552,um,Surface,Position,1,9,
166.729,120.815,-23.3094,um,Surface,Position,1,10,
144.123,136.778,-33.735,um,Surface,Position,1,11,
148.881,139.985,-30.6316,um,Surface,Position,1,12,
143.703,138.799,-28.316,um,Surface,Position,1,13,
161.05,136.763,-34.5313,um,Surface,Position,1,14,
132.388,106.275,-34.3968,um,Surface,Position,1,15,
177.982,123.918,-39.5698,um,Surface,Position,1,16,
170.394,128.839,-33.0772,um,Surface,Position,1,17,
142.759,138.574,-50.9519,um,Surface,Position,1,18,
140.425,134.88,-45.4998,um,Surface,Position,1,19,
142.098,141.403,-38.3914,um,Surface,Position,1,20,
148.811,138.43,-51.5029,um,Surface,Position,1,21,
155.009,140.232,-47.9866,um,Surface,Position,1,22,
147.371,132.131,-46.4644,um,Surface,Position,1,23,
144.969,145.596,-46.445,um,Surface,Position,1,24,
154.357,133.846,-47.18,um,Surface,Position,1,25,
152.364,144.391,-44.8138,um,Surface,Position,1,26,
147.576,142.678,-40.3772,um,Surface,Position,1,27,
151.143,138.585,-37.9609,um,Surface,Position,1,28,
155.883,142.407,-36.8241,um,Surface,Position,1,29,
161.809,136.241,-49.0622,um,Surface,Position,1,30,
165.324,133.054,-44.9609,um,Surface,Position,1,31,
160.762,139.839,-42.2227,um,Surface,Position,1,32,
164.752,132.702,-39.0734,um,Surface,Position,1,33,
122.171,153.148,-43.9447,um,Surface,Position,1,34,
125.116,157.321,-39.3536,um,Surface,Position,1,35,
131.558,153.434,-42.6348,um,Surface,Position,1,36,
137.384,151.342,-41.921,um,Surface,Position,1,37,
139.603,147.15,-41.3483,um,Surface,Position,1,38,
145.332,148.636,-36.2182,um,Surface,Position,1,39,
101.092,159.432,-45.9305,um,Surface,Position,1,40,
177.133,87.3701,-51.4364,um,Surface,Position,1,41,
186.143,88.3211,-47.5511,um,Surface,Position,1,42,
188.728,83.2546,-43.4666,um,Surface,Position,1,43,
122.309,118.218,-50.6019,um,Surface,Position,1,44,
128.758,115.991,-43.0279,um,Surface,Position,1,45,
180.958,118.506,-46.6292,um,Surface,Position,1,46,
109.829,121.617,-48.757,um,Surface,Position,1,47,
107.785,120.298,-46.1399,um,Surface,Position,1,48,
143.126,126.618,-44.5556,um,Surface,Position,1,49,
149.211,131.545,-40.449,um,Surface,Position,1,50,
152.309,120.955,-42.3068,um,Surface,Position,1,51,
145.371,122.228,-40.3808,um,Surface,Position,1,52,
160.914,120.65,-45.2402,um,Surface,Position,1,53,
161.658,127.567,-38.9883,um,Surface,Position,1,54,
177.426,124.871,-49.8206,um,Surface,Position,1,55,
171.288,131.54,-48.2232,um,Surface,Position,1,56,
174.65,127.064,-45.4747,um,Surface,Position,1,57,
126.7,58.8272,-49.4598,um,Surface,Position,1,60,
166.641,62.6605,-41.5718,um,Surface,Position,1,61,
179.832,66.0359,-35.4443,um,Surface,Position,1,62,
186.164,76.6888,-44.1653,um,Surface,Position,1,66,
134.36,87.5063,-46.5906,um,Surface,Position,1,67,
135.781,93.1024,-45.0895,um,Surface,Position,1,68,
171.826,123.948,-58.7092,um,Surface,Position,1,69,
140.691,134.11,-54.8466,um,Surface,Position,1,70,
147.538,134.117,-57.6906,um,Surface,Position,1,71,
158.73,133.325,-53.7001,um,Surface,Position,1,72,
139.536,47.7132,-52.059,um,Surface,Position,1,73,
