
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
85.9798,118.591,0.209169,um,Surface,Position,1,0,
96.9531,116.303,1.52349,um,Surface,Position,1,1,
98.7761,137.442,-0.208168,um,Surface,Position,1,2,
84.9453,154.228,0.480711,um,Surface,Position,1,3,
87.7724,162.135,1.24441,um,Surface,Position,1,4,
88.0473,107.284,3.18586,um,Surface,Position,1,5,
91.3014,98.1737,1.91004,um,Surface,Position,1,6,
100.689,126.077,-18.8394,um,Surface,Position,1,7,
92.5249,131.739,-14.1925,um,Surface,Position,1,8,
88.6689,129.297,-14.3326,um,Surface,Position,1,9,
93.5641,132.846,-10.9511,um,Surface,Position,1,10,
99.383,130.685,-6.78801,um,Surface,Position,1,11,
91.1392,121.631,-4.77961,um,Surface,Position,1,12,
108.259,133.328,-17.1,um,Surface,Position,1,13,
112.231,132.119,-16.2511,um,Surface,Position,1,14,
102.096,131.16,-17.6188,um,Surface,Position,1,15,
110.766,130.78,-9.85286,um,Surface,Position,1,16,
115.398,127.326,-19.6013,um,Surface,Position,1,17,
126.968,122.149,-13.3477,um,Surface,Position,1,18,
124.16,126.345,-12.0964,um,Surface,Position,1,19,
127.564,120.594,-8.29661,um,Surface,Position,1,20,
133.856,120.055,-17.4538,um,Surface,Position,1,21,
154.053,121.703,-14.0853,um,Surface,Position,1,22,
85.2047,134.078,-13.8185,um,Surface,Position,1,23,
83.5843,144.517,-12.6388,um,Surface,Position,1,24,
88.5473,144.124,-12.0998,um,Surface,Position,1,25,
87.0808,137.614,-11.8317,um,Surface,Position,1,26,
82.711,133.69,-7.58735,um,Surface,Position,1,27,
100.529,134.062,-11.2283,um,Surface,Position,1,28,
101.866,143.747,-12.4313,um,Surface,Position,1,29,
91.4456,140.048,-12.51,um,Surface,Position,1,30,
98.1024,141.282,-12.3225,um,Surface,Position,1,31,
95.3274,137.304,-4.12937,um,Surface,Position,1,32,
103.289,138.412,-18.1085,um,Surface,Position,1,33,
107.055,141.348,-16.4353,um,Surface,Position,1,34,
104.367,134.968,-14.9387,um,Surface,Position,1,35,
113.633,139.266,-14.4969,um,Surface,Position,1,36,
107.029,136.704,-13.4696,um,Surface,Position,1,37,
105.323,145.68,-11.8171,um,Surface,Position,1,38,
106.473,136.621,-5.69965,um,Surface,Position,1,39,
125.135,139.519,-17.4873,um,Surface,Position,1,40,
118.095,142.568,-17.1729,um,Surface,Position,1,41,
120.297,145.623,-7.31931,um,Surface,Position,1,42,
133.86,145.891,-17.5601,um,Surface,Position,1,43,
