
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
72.6568,172.865,-19.9149,um,Surface,Position,1,0,
89.6296,193.712,-20.6423,um,Surface,Position,1,1,
84.8719,179.953,-20.6212,um,Surface,Position,1,2,
74.7427,187.66,-19.6266,um,Surface,Position,1,3,
63.7835,144.595,-27.8373,um,Surface,Position,1,4,
82.2718,150.561,-24.8482,um,Surface,Position,1,5,
71.616,146.734,-26.632,um,Surface,Position,1,6,
122.633,150.076,-26.2926,um,Surface,Position,1,7,
115.847,149.364,-24.7276,um,Surface,Position,1,8,
102.867,151.352,-22.2634,um,Surface,Position,1,9,
96.7914,145.417,-22.8656,um,Surface,Position,1,10,
32.6555,176.69,-28.0102,um,Surface,Position,1,11,
54.3052,160.864,-26.2577,um,Surface,Position,1,12,
45.8499,164.275,-27.311,um,Surface,Position,1,13,
42.0725,166.968,-26.5181,um,Surface,Position,1,14,
61.0517,172.743,-26.17,um,Surface,Position,1,15,
63.9872,153.859,-25.485,um,Surface,Position,1,16,
66.9162,168.651,-25.453,um,Surface,Position,1,17,
52.6614,176.984,-24.7986,um,Surface,Position,1,18,
71.8984,161.923,-26.9045,um,Surface,Position,1,19,
77.8568,168.811,-26.5343,um,Surface,Position,1,20,
81.1397,162.503,-26.8595,um,Surface,Position,1,21,
74.9648,154.19,-27.2738,um,Surface,Position,1,22,
86.8959,165.789,-24.2341,um,Surface,Position,1,23,
83.8212,173.979,-25.2966,um,Surface,Position,1,24,
70.2659,166.2,-24.8872,um,Surface,Position,1,25,
73.3481,171.368,-24.3712,um,Surface,Position,1,26,
70.8908,163.955,-23.3478,um,Surface,Position,1,27,
88.6056,172.863,-24.0917,um,Surface,Position,1,28,
79.2178,175.754,-23.9317,um,Surface,Position,1,29,
93.9364,170.361,-23.7476,um,Surface,Position,1,30,
68.7485,173.377,-22.7956,um,Surface,Position,1,31,
95.7022,153.545,-23.7334,um,Surface,Position,1,32,
82.4091,158.548,-25.0053,um,Surface,Position,1,33,
91.5488,156.068,-22.9477,um,Surface,Position,1,34,
95.1622,162.046,-24.6433,um,Surface,Position,1,35,
110.229,154.103,-28.5255,um,Surface,Position,1,36,
108.506,172.459,-25.8645,um,Surface,Position,1,37,
119.694,177.442,-25.7117,um,Surface,Position,1,38,
118.2,161.02,-25.2235,um,Surface,Position,1,39,
112.049,164.92,-25.9322,um,Surface,Position,1,40,
115.688,175.035,-25.6863,um,Surface,Position,1,41,
103.332,175.215,-25.0896,um,Surface,Position,1,42,
106.033,158.45,-26.7697,um,Surface,Position,1,43,
98.9115,176.687,-24.4749,um,Surface,Position,1,44,
110.011,178.187,-24.5382,um,Surface,Position,1,45,
106.444,155.144,-24.164,um,Surface,Position,1,46,
105.499,168.339,-22.7702,um,Surface,Position,1,47,
104.29,161.15,-22.9881,um,Surface,Position,1,48,
99.4271,168.136,-23.0087,um,Surface,Position,1,49,
129.727,153.938,-26.5553,um,Surface,Position,1,50,
125.576,167.265,-26.7555,um,Surface,Position,1,51,
127.305,159.471,-26.3311,um,Surface,Position,1,52,
63.9052,180.764,-24.7069,um,Surface,Position,1,53,
65.9627,190.306,-23.5168,um,Surface,Position,1,54,
82.102,197.585,-27.4688,um,Surface,Position,1,55,
93.7162,181.486,-25.564,um,Surface,Position,1,56,
87.0494,194.28,-26.2142,um,Surface,Position,1,57,
91.0959,189.511,-24.622,um,Surface,Position,1,58,
83.4543,185.666,-24.8595,um,Surface,Position,1,59,
73.8622,188.46,-24.1139,um,Surface,Position,1,60,
79.3435,180.099,-23.328,um,Surface,Position,1,61,
112.292,181.91,-27.3749,um,Surface,Position,1,62,
120.807,187.909,-27.1028,um,Surface,Position,1,63,
123.323,184.177,-26.4201,um,Surface,Position,1,64,
110.066,195.324,-26.3859,um,Surface,Position,1,65,
102.285,185.196,-25.8283,um,Surface,Position,1,66,
106.739,181.076,-25.7992,um,Surface,Position,1,67,
106.901,188.767,-25.7017,um,Surface,Position,1,68,
99.4753,191.35,-24.6751,um,Surface,Position,1,69,
115.208,181.703,-24.6888,um,Surface,Position,1,70,
113.07,192.089,-24.4961,um,Surface,Position,1,71,
104.147,198.429,-23.5083,um,Surface,Position,1,72,
98.6174,182.687,-23.6253,um,Surface,Position,1,73,
129.649,184.324,-26.8293,um,Surface,Position,1,74,
115.84,71.5477,-29.4057,um,Surface,Position,1,75,
128.862,73.9845,-32.2241,um,Surface,Position,1,76,
4.49378,152.113,-30.179,um,Surface,Position,1,77,
37.6671,148.752,-32.3409,um,Surface,Position,1,78,
10.0991,148.167,-32.2382,um,Surface,Position,1,79,
19.7347,132.609,-32.8718,um,Surface,Position,1,80,
11.2248,139.756,-32.4896,um,Surface,Position,1,81,
15.9112,151.491,-30.7774,um,Surface,Position,1,82,
38.2909,141.425,-29.6197,um,Surface,Position,1,83,
38.7656,134.37,-32.4301,um,Surface,Position,1,84,
51.4247,142.762,-31.7442,um,Surface,Position,1,85,
47.5357,146.876,-28.6232,um,Surface,Position,1,86,
42.7136,142.322,-28.8306,um,Surface,Position,1,87,
56.8097,141.135,-29.0001,um,Surface,Position,1,88,
85.1656,147.798,-32.865,um,Surface,Position,1,89,
75.3116,151.263,-28.7516,um,Surface,Position,1,90,
81.7978,145.501,-28.7899,um,Surface,Position,1,91,
86.5488,151.532,-28.7848,um,Surface,Position,1,92,
104.164,151.707,-29.1202,um,Surface,Position,1,93,
109.896,140.484,-30.0812,um,Surface,Position,1,94,
98.1615,151.289,-29.3137,um,Surface,Position,1,95,
113.718,150.523,-27.7643,um,Surface,Position,1,96,
142.298,139.589,-33.2278,um,Surface,Position,1,97,
149.725,147.319,-31.2155,um,Surface,Position,1,98,
143.595,144.698,-30.7708,um,Surface,Position,1,99,
137.038,150.353,-29.268,um,Surface,Position,1,100,
129.416,146.65,-30.1981,um,Surface,Position,1,101,
168.043,133.997,-33.132,um,Surface,Position,1,102,
161.369,146.715,-32.9764,um,Surface,Position,1,103,
163.069,136.745,-32.5242,um,Surface,Position,1,104,
159.687,140.711,-32.5724,um,Surface,Position,1,105,
161.377,133.677,-32.8465,um,Surface,Position,1,106,
153.543,135.327,-31.3503,um,Surface,Position,1,107,
159.138,151.716,-31.8063,um,Surface,Position,1,108,
25.823,164.943,-32.2618,um,Surface,Position,1,109,
20.264,158.558,-31.5963,um,Surface,Position,1,110,
12.5562,163.379,-32.0599,um,Surface,Position,1,111,
28.3327,171.737,-30.7402,um,Surface,Position,1,112,
27.7111,157.028,-30.533,um,Surface,Position,1,113,
37.5686,168.803,-29.0644,um,Surface,Position,1,114,
32.1835,162.566,-29.5676,um,Surface,Position,1,115,
58.5371,172.394,-32.8169,um,Surface,Position,1,116,
60.0844,152.737,-31.5664,um,Surface,Position,1,117,
58.862,161.354,-33.1523,um,Surface,Position,1,118,
49.5432,154.107,-32.3488,um,Surface,Position,1,119,
40.7461,160.527,-31.509,um,Surface,Position,1,120,
54.7416,177.998,-32.1949,um,Surface,Position,1,121,
41.1676,163.985,-30.4107,um,Surface,Position,1,122,
66.0816,164.734,-28.9173,um,Surface,Position,1,123,
42.2194,178.652,-31.4442,um,Surface,Position,1,124,
58.2707,162.139,-29.5623,um,Surface,Position,1,125,
52.9044,167.436,-29.7034,um,Surface,Position,1,126,
48.7205,172.56,-27.8194,um,Surface,Position,1,127,
48.2319,155.252,-27.188,um,Surface,Position,1,128,
77.5386,166.061,-32.651,um,Surface,Position,1,129,
70.166,156.746,-31.5373,um,Surface,Position,1,130,
95.8075,166.656,-31.0764,um,Surface,Position,1,131,
69.9921,169.212,-30.494,um,Surface,Position,1,132,
82.7737,177.922,-29.5284,um,Surface,Position,1,133,
91.1348,160.159,-30.3744,um,Surface,Position,1,134,
87.1115,169.231,-27.5956,um,Surface,Position,1,135,
78.8637,171.775,-29.1059,um,Surface,Position,1,136,
71.1873,177.621,-27.485,um,Surface,Position,1,137,
109.504,170.816,-32.987,um,Surface,Position,1,138,
105.215,174.367,-33.2018,um,Surface,Position,1,139,
97.8798,175.651,-32.3486,um,Surface,Position,1,140,
116.306,159.686,-30.1747,um,Surface,Position,1,141,
100.718,160.347,-30.3542,um,Surface,Position,1,142,
122.212,163.058,-30.7503,um,Surface,Position,1,143,
111.298,157.93,-29.9069,um,Surface,Position,1,144,
116.565,177.642,-29.9143,um,Surface,Position,1,145,
122.818,180.265,-30.8856,um,Surface,Position,1,146,
117.792,169.455,-28.5376,um,Surface,Position,1,147,
120.247,153.261,-28.6301,um,Surface,Position,1,148,
139.651,171.317,-32.6258,um,Surface,Position,1,149,
127.476,169.029,-32.1299,um,Surface,Position,1,150,
139.119,161.59,-32.232,um,Surface,Position,1,151,
152.136,171.742,-32.6654,um,Surface,Position,1,152,
137.748,165.695,-32.2776,um,Surface,Position,1,153,
132.639,174.397,-31.6719,um,Surface,Position,1,154,
133.071,168.992,-30.444,um,Surface,Position,1,155,
147.242,155.082,-31.2965,um,Surface,Position,1,156,
149.667,163.475,-30.6543,um,Surface,Position,1,157,
140.933,177.67,-30.6015,um,Surface,Position,1,158,
143.002,164.471,-29.6268,um,Surface,Position,1,159,
143.395,173.919,-29.5319,um,Surface,Position,1,160,
142.494,157.391,-29.0907,um,Surface,Position,1,161,
135.967,166.451,-28.9566,um,Surface,Position,1,162,
134.442,177.616,-27.9521,um,Surface,Position,1,163,
168.291,175.143,-33.2252,um,Surface,Position,1,164,
154.189,162.967,-32.1793,um,Surface,Position,1,165,
156.947,166.6,-32.1049,um,Surface,Position,1,166,
157.974,171.078,-32.0336,um,Surface,Position,1,167,
157.017,178.559,-31.7153,um,Surface,Position,1,168,
57.8201,187.245,-31.8176,um,Surface,Position,1,169,
63.4828,180.87,-30.7128,um,Surface,Position,1,170,
94.9512,191.232,-32.7484,um,Surface,Position,1,171,
83.7585,194.551,-31.5593,um,Surface,Position,1,172,
72.6453,184.269,-29.9106,um,Surface,Position,1,173,
82.6588,189.244,-29.8815,um,Surface,Position,1,174,
76.523,180.609,-28.1645,um,Surface,Position,1,175,
87.8932,182.367,-28.7233,um,Surface,Position,1,176,
95.4187,185.959,-27.4436,um,Surface,Position,1,177,
78.5285,197.115,-28.1409,um,Surface,Position,1,178,
112.276,195.962,-32.5333,um,Surface,Position,1,179,
115.782,181.776,-31.9676,um,Surface,Position,1,180,
116.158,188.76,-30.4307,um,Surface,Position,1,181,
100.937,196.829,-30.8589,um,Surface,Position,1,182,
127.614,191.274,-32.8572,um,Surface,Position,1,183,
142.425,186.457,-32.2193,um,Surface,Position,1,184,
132.629,183.094,-31.1487,um,Surface,Position,1,185,
141.337,183.824,-29.8037,um,Surface,Position,1,186,
145.207,190.984,-29.7297,um,Surface,Position,1,187,
133.247,187.386,-28.357,um,Surface,Position,1,188,
163.563,186.935,-32.6926,um,Surface,Position,1,189,
153.624,188.672,-30.8396,um,Surface,Position,1,190,
151.18,256.32,-33.1213,um,Surface,Position,1,191,
148.291,252.848,-31.715,um,Surface,Position,1,192,
147.217,256.951,-31.5576,um,Surface,Position,1,193,
159.98,243.692,-33.0015,um,Surface,Position,1,194,
26.3384,138.319,-35.1758,um,Surface,Position,1,195,
31.5756,141.941,-34.3384,um,Surface,Position,1,196,
18.9864,134.466,-33.8367,um,Surface,Position,1,197,
14.8534,143.778,-33.8608,um,Surface,Position,1,198,
24.3222,147.83,-32.7608,um,Surface,Position,1,199,
23.2743,140.02,-32.6018,um,Surface,Position,1,200,
51.6266,140.227,-36.3994,um,Surface,Position,1,201,
66.8664,143.968,-34.2622,um,Surface,Position,1,202,
58.1017,147.946,-34.2156,um,Surface,Position,1,203,
45.0873,135.759,-34.0209,um,Surface,Position,1,204,
56.1628,141.917,-33.288,um,Surface,Position,1,205,
90.5127,141.917,-37.3014,um,Surface,Position,1,206,
81.2424,149.118,-38.3537,um,Surface,Position,1,207,
87.0893,146.703,-38.4443,um,Surface,Position,1,208,
91.4974,145.203,-35.8797,um,Surface,Position,1,209,
78.1405,151.297,-34.4459,um,Surface,Position,1,210,
75.5702,146.365,-32.3861,um,Surface,Position,1,211,
93.7226,151.299,-31.2868,um,Surface,Position,1,212,
117.185,149.477,-34.5527,um,Surface,Position,1,213,
98.616,146.243,-37.1774,um,Surface,Position,1,214,
124.627,148.987,-33.4164,um,Surface,Position,1,215,
110.509,145.615,-36.7705,um,Surface,Position,1,216,
102.624,138.156,-33.3609,um,Surface,Position,1,217,
110.206,151.082,-33.1582,um,Surface,Position,1,218,
136.789,143.281,-37.5315,um,Surface,Position,1,219,
128.203,142.773,-36.2757,um,Surface,Position,1,220,
142.835,144.338,-35.347,um,Surface,Position,1,221,
143.347,150.959,-34.8307,um,Surface,Position,1,222,
135.686,147.05,-33.4371,um,Surface,Position,1,223,
148.829,142.397,-34.3321,um,Surface,Position,1,224,
178.418,137.524,-38.7231,um,Surface,Position,1,225,
177.981,126.519,-38.8117,um,Surface,Position,1,226,
165.124,139.108,-38.6816,um,Surface,Position,1,227,
