
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
27,,Surface,3,Image 1,1,0,
21,,Surface,3,Image 1,1,1,
22,,Surface,3,Image 1,1,2,
15,,Surface,3,Image 1,1,3,
15,,Surface,3,Image 1,1,4,
10,,Surface,3,Image 1,1,5,
22,,Surface,3,Image 1,1,6,
11,,Surface,3,Image 1,1,7,
11,,Surface,3,Image 1,1,8,
6,,Surface,3,Image 1,1,9,
10,,Surface,3,Image 1,1,10,
17,,Surface,3,Image 1,1,11,
49,,Surface,3,Image 1,1,12,
42,,Surface,3,Image 1,1,13,
46,,Surface,3,Image 1,1,14,
48,,Surface,3,Image 1,1,15,
45,,Surface,3,Image 1,1,16,
39,,Surface,3,Image 1,1,17,
14,,Surface,3,Image 1,1,18,
43,,Surface,3,Image 1,1,19,
24,,Surface,3,Image 1,1,20,
55,,Surface,3,Image 1,1,21,
36,,Surface,3,Image 1,1,22,
30,,Surface,3,Image 1,1,23,
83,,Surface,3,Image 1,1,24,
24,,Surface,3,Image 1,1,25,
24,,Surface,3,Image 1,1,26,
29,,Surface,3,Image 1,1,27,
20,,Surface,3,Image 1,1,28,
21,,Surface,3,Image 1,1,29,
25,,Surface,3,Image 1,1,30,
46,,Surface,3,Image 1,1,31,
77,,Surface,3,Image 1,1,32,
18,,Surface,3,Image 1,1,33,
8,,Surface,3,Image 1,1,34,
21,,Surface,3,Image 1,1,35,
26,,Surface,3,Image 1,1,36,
36,,Surface,3,Image 1,1,37,
26,,Surface,3,Image 1,1,38,
20,,Surface,3,Image 1,1,39,
17,,Surface,3,Image 1,1,40,
32,,Surface,3,Image 1,1,41,
15,,Surface,3,Image 1,1,42,
17,,Surface,3,Image 1,1,43,
24,,Surface,3,Image 1,1,44,
15,,Surface,3,Image 1,1,45,
21,,Surface,3,Image 1,1,46,
22,,Surface,3,Image 1,1,47,
28,,Surface,3,Image 1,1,48,
23,,Surface,3,Image 1,1,49,
24,,Surface,3,Image 1,1,50,
2,,Surface,3,Image 1,1,51,
18,,Surface,3,Image 1,1,52,
28,,Surface,3,Image 1,1,53,
26,,Surface,3,Image 1,1,54,
22,,Surface,3,Image 1,1,55,
34,,Surface,3,Image 1,1,56,
35,,Surface,3,Image 1,1,57,
16,,Surface,3,Image 1,1,58,
22,,Surface,3,Image 1,1,59,
13,,Surface,3,Image 1,1,60,
16,,Surface,3,Image 1,1,61,
19,,Surface,3,Image 1,1,62,
21,,Surface,3,Image 1,1,63,
17,,Surface,3,Image 1,1,64,
17,,Surface,3,Image 1,1,65,
18,,Surface,3,Image 1,1,66,
18,,Surface,3,Image 1,1,67,
19,,Surface,3,Image 1,1,68,
20,,Surface,3,Image 1,1,69,
17,,Surface,3,Image 1,1,70,
17,,Surface,3,Image 1,1,71,
19,,Surface,3,Image 1,1,72,
26,,Surface,3,Image 1,1,73,
43,,Surface,3,Image 1,1,74,
