
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
175,,Surface,3,Image 1,1,0,
199,,Surface,3,Image 1,1,1,
134,,Surface,3,Image 1,1,2,
201,,Surface,3,Image 1,1,3,
217,,Surface,3,Image 1,1,4,
253,,Surface,3,Image 1,1,5,
202,,Surface,3,Image 1,1,6,
255,,Surface,3,Image 1,1,7,
162,,Surface,3,Image 1,1,8,
184,,Surface,3,Image 1,1,9,
175,,Surface,3,Image 1,1,10,
139,,Surface,3,Image 1,1,11,
241,,Surface,3,Image 1,1,12,
253,,Surface,3,Image 1,1,13,
190,,Surface,3,Image 1,1,14,
201,,Surface,3,Image 1,1,15,
173,,Surface,3,Image 1,1,16,
148,,Surface,3,Image 1,1,17,
156,,Surface,3,Image 1,1,18,
237,,Surface,3,Image 1,1,19,
186,,Surface,3,Image 1,1,20,
159,,Surface,3,Image 1,1,21,
146,,Surface,3,Image 1,1,22,
167,,Surface,3,Image 1,1,23,
206,,Surface,3,Image 1,1,24,
254,,Surface,3,Image 1,1,25,
248,,Surface,3,Image 1,1,26,
222,,Surface,3,Image 1,1,27,
196,,Surface,3,Image 1,1,28,
159,,Surface,3,Image 1,1,29,
173,,Surface,3,Image 1,1,30,
221,,Surface,3,Image 1,1,31,
251,,Surface,3,Image 1,1,32,
217,,Surface,3,Image 1,1,33,
255,,Surface,3,Image 1,1,34,
217,,Surface,3,Image 1,1,35,
252,,Surface,3,Image 1,1,36,
159,,Surface,3,Image 1,1,37,
140,,Surface,3,Image 1,1,38,
156,,Surface,3,Image 1,1,39,
206,,Surface,3,Image 1,1,40,
140,,Surface,3,Image 1,1,41,
166,,Surface,3,Image 1,1,42,
161,,Surface,3,Image 1,1,43,
143,,Surface,3,Image 1,1,44,
150,,Surface,3,Image 1,1,45,
158,,Surface,3,Image 1,1,46,
154,,Surface,3,Image 1,1,47,
187,,Surface,3,Image 1,1,48,
248,,Surface,3,Image 1,1,49,
223,,Surface,3,Image 1,1,50,
239,,Surface,3,Image 1,1,51,
242,,Surface,3,Image 1,1,52,
154,,Surface,3,Image 1,1,53,
151,,Surface,3,Image 1,1,54,
208,,Surface,3,Image 1,1,55,
240,,Surface,3,Image 1,1,56,
218,,Surface,3,Image 1,1,57,
188,,Surface,3,Image 1,1,58,
190,,Surface,3,Image 1,1,59,
196,,Surface,3,Image 1,1,60,
128,,Surface,3,Image 1,1,61,
128,,Surface,3,Image 1,1,62,
190,,Surface,3,Image 1,1,63,
146,,Surface,3,Image 1,1,64,
166,,Surface,3,Image 1,1,65,
224,,Surface,3,Image 1,1,66,
160,,Surface,3,Image 1,1,67,
205,,Surface,3,Image 1,1,68,
245,,Surface,3,Image 1,1,69,
173,,Surface,3,Image 1,1,70,
152,,Surface,3,Image 1,1,71,
157,,Surface,3,Image 1,1,72,
140,,Surface,3,Image 1,1,73,
214,,Surface,3,Image 1,1,74,
246,,Surface,3,Image 1,1,75,
221,,Surface,3,Image 1,1,76,
212,,Surface,3,Image 1,1,77,
228,,Surface,3,Image 1,1,78,
136,,Surface,3,Image 1,1,79,
185,,Surface,3,Image 1,1,80,
142,,Surface,3,Image 1,1,81,
183,,Surface,3,Image 1,1,82,
134,,Surface,3,Image 1,1,83,
154,,Surface,3,Image 1,1,84,
140,,Surface,3,Image 1,1,85,
166,,Surface,3,Image 1,1,86,
191,,Surface,3,Image 1,1,87,
137,,Surface,3,Image 1,1,88,
174,,Surface,3,Image 1,1,89,
143,,Surface,3,Image 1,1,90,
211,,Surface,3,Image 1,1,91,
145,,Surface,3,Image 1,1,92,
233,,Surface,3,Image 1,1,93,
146,,Surface,3,Image 1,1,94,
184,,Surface,3,Image 1,1,95,
205,,Surface,3,Image 1,1,96,
159,,Surface,3,Image 1,1,97,
133,,Surface,3,Image 1,1,98,
154,,Surface,3,Image 1,1,99,
173,,Surface,3,Image 1,1,100,
139,,Surface,3,Image 1,1,101,
147,,Surface,3,Image 1,1,102,
141,,Surface,3,Image 1,1,103,
191,,Surface,3,Image 1,1,104,
214,,Surface,3,Image 1,1,105,
189,,Surface,3,Image 1,1,106,
209,,Surface,3,Image 1,1,107,
228,,Surface,3,Image 1,1,108,
170,,Surface,3,Image 1,1,109,
195,,Surface,3,Image 1,1,110,
161,,Surface,3,Image 1,1,111,
191,,Surface,3,Image 1,1,112,
194,,Surface,3,Image 1,1,113,
166,,Surface,3,Image 1,1,114,
135,,Surface,3,Image 1,1,115,
