
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
0.580055,,Surface,2,Image 1,1,0,
0.615022,,Surface,2,Image 1,1,1,
0.485592,,Surface,2,Image 1,1,2,
0.674342,,Surface,2,Image 1,1,3,
0.660832,,Surface,2,Image 1,1,4,
0.578947,,Surface,2,Image 1,1,5,
0.809735,,Surface,2,Image 1,1,6,
0.628713,,Surface,2,Image 1,1,7,
0.909091,,Surface,2,Image 1,1,8,
0.777778,,Surface,2,Image 1,1,9,
0.911392,,Surface,2,Image 1,1,10,
0.793943,,Surface,2,Image 1,1,11,
0.810791,,Surface,2,Image 1,1,12,
0.891211,,Surface,2,Image 1,1,13,
0.903327,,Surface,2,Image 1,1,14,
0.817465,,Surface,2,Image 1,1,15,
0.821441,,Surface,2,Image 1,1,16,
0.736469,,Surface,2,Image 1,1,17,
0.43865,,Surface,2,Image 1,1,18,
0.7996,,Surface,2,Image 1,1,19,
0.592829,,Surface,2,Image 1,1,20,
0.860618,,Surface,2,Image 1,1,21,
0.95618,,Surface,2,Image 1,1,22,
0.81358,,Surface,2,Image 1,1,23,
1.18581,,Surface,2,Image 1,1,24,
0.653076,,Surface,2,Image 1,1,25,
0.897969,,Surface,2,Image 1,1,26,
0.852963,,Surface,2,Image 1,1,27,
0.824781,,Surface,2,Image 1,1,28,
0.674274,,Surface,2,Image 1,1,29,
0.651359,,Surface,2,Image 1,1,30,
0.934107,,Surface,2,Image 1,1,31,
1.09055,,Surface,2,Image 1,1,32,
0.612281,,Surface,2,Image 1,1,33,
1.4375,,Surface,2,Image 1,1,34,
0.757027,,Surface,2,Image 1,1,35,
0.795581,,Surface,2,Image 1,1,36,
0.742798,,Surface,2,Image 1,1,37,
0.719739,,Surface,2,Image 1,1,38,
0.902494,,Surface,2,Image 1,1,39,
2.00789,,Surface,2,Image 1,1,40,
0.777553,,Surface,2,Image 1,1,41,
1.21053,,Surface,2,Image 1,1,42,
0.998084,,Surface,2,Image 1,1,43,
0.859448,,Surface,2,Image 1,1,44,
0.783069,,Surface,2,Image 1,1,45,
0.721837,,Surface,2,Image 1,1,46,
0.826334,,Surface,2,Image 1,1,47,
1.01545,,Surface,2,Image 1,1,48,
0.933551,,Surface,2,Image 1,1,49,
0.951497,,Surface,2,Image 1,1,50,
0.2,,Surface,2,Image 1,1,51,
0.393643,,Surface,2,Image 1,1,52,
0.702656,,Surface,2,Image 1,1,53,
0.706358,,Surface,2,Image 1,1,54,
0.507296,,Surface,2,Image 1,1,55,
0.751594,,Surface,2,Image 1,1,56,
0.569885,,Surface,2,Image 1,1,57,
0.857787,,Surface,2,Image 1,1,58,
0.636712,,Surface,2,Image 1,1,59,
0.433333,,Surface,2,Image 1,1,60,
0.581699,,Surface,2,Image 1,1,61,
0.562586,,Surface,2,Image 1,1,62,
0.515658,,Surface,2,Image 1,1,63,
0.484573,,Surface,2,Image 1,1,64,
0.710912,,Surface,2,Image 1,1,65,
0.597758,,Surface,2,Image 1,1,66,
0.645268,,Surface,2,Image 1,1,67,
0.547578,,Surface,2,Image 1,1,68,
0.562223,,Surface,2,Image 1,1,69,
0.91794,,Surface,2,Image 1,1,70,
0.542358,,Surface,2,Image 1,1,71,
0.526431,,Surface,2,Image 1,1,72,
0.652833,,Surface,2,Image 1,1,73,
0.791997,,Surface,2,Image 1,1,74,
0.907407,,Surface,2,Image 1,1,75,
0.744059,,Surface,2,Image 1,1,76,
0.681198,,Surface,2,Image 1,1,77,
0.609473,,Surface,2,Image 1,1,78,
0.671194,,Surface,2,Image 1,1,79,
0.639748,,Surface,2,Image 1,1,80,
0.600853,,Surface,2,Image 1,1,81,
0.603032,,Surface,2,Image 1,1,82,
0.50386,,Surface,2,Image 1,1,83,
0.610417,,Surface,2,Image 1,1,84,
0.73607,,Surface,2,Image 1,1,85,
0.613429,,Surface,2,Image 1,1,86,
0.784525,,Surface,2,Image 1,1,87,
0.582411,,Surface,2,Image 1,1,88,
0.582603,,Surface,2,Image 1,1,89,
0.584462,,Surface,2,Image 1,1,90,
0.572816,,Surface,2,Image 1,1,91,
0.51004,,Surface,2,Image 1,1,92,
0.661413,,Surface,2,Image 1,1,93,
0.840081,,Surface,2,Image 1,1,94,
0.642817,,Surface,2,Image 1,1,95,
0.603448,,Surface,2,Image 1,1,96,
0.670032,,Surface,2,Image 1,1,97,
0.521429,,Surface,2,Image 1,1,98,
0.697487,,Surface,2,Image 1,1,99,
0.861635,,Surface,2,Image 1,1,100,
0.633333,,Surface,2,Image 1,1,101,
1.1853,,Surface,2,Image 1,1,102,
1.05908,,Surface,2,Image 1,1,103,
0.915594,,Surface,2,Image 1,1,104,
1.03383,,Surface,2,Image 1,1,105,
0.816671,,Surface,2,Image 1,1,106,
0.828445,,Surface,2,Image 1,1,107,
1.06203,,Surface,2,Image 1,1,108,
0.660972,,Surface,2,Image 1,1,109,
0.718186,,Surface,2,Image 1,1,110,
0.650421,,Surface,2,Image 1,1,111,
0.530997,,Surface,2,Image 1,1,112,
0.731343,,Surface,2,Image 1,1,113,
0.561308,,Surface,2,Image 1,1,114,
0.554897,,Surface,2,Image 1,1,115,
0.626186,,Surface,2,Image 1,1,116,
0.508343,,Surface,2,Image 1,1,117,
0.751048,,Surface,2,Image 1,1,118,
0.512914,,Surface,2,Image 1,1,119,
0.471314,,Surface,2,Image 1,1,120,
