
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
0.911392,,Surface,2,Image 1,1,0,
0.793943,,Surface,2,Image 1,1,1,
0.757027,,Surface,2,Image 1,1,2,
0.859448,,Surface,2,Image 1,1,3,
0.951497,,Surface,2,Image 1,1,4,
2.2,,Surface,2,Image 1,1,5,
0.5,,Surface,2,Image 1,1,6,
1.00385,,Surface,2,Image 1,1,7,
0.777908,,Surface,2,Image 1,1,8,
0.722924,,Surface,2,Image 1,1,9,
0.919508,,Surface,2,Image 1,1,10,
1.01737,,Surface,2,Image 1,1,11,
0.748691,,Surface,2,Image 1,1,12,
0.888649,,Surface,2,Image 1,1,13,
0.898933,,Surface,2,Image 1,1,14,
0.934632,,Surface,2,Image 1,1,15,
1.03922,,Surface,2,Image 1,1,16,
1.46353,,Surface,2,Image 1,1,17,
1.88798,,Surface,2,Image 1,1,18,
1.07589,,Surface,2,Image 1,1,19,
2.18598,,Surface,2,Image 1,1,20,
2.73673,,Surface,2,Image 1,1,21,
2.38435,,Surface,2,Image 1,1,22,
0.744596,,Surface,2,Image 1,1,23,
1.06653,,Surface,2,Image 1,1,24,
0.836595,,Surface,2,Image 1,1,25,
0.752866,,Surface,2,Image 1,1,26,
0.460251,,Surface,2,Image 1,1,27,
0.871947,,Surface,2,Image 1,1,28,
1.07481,,Surface,2,Image 1,1,29,
0.846418,,Surface,2,Image 1,1,30,
1.27149,,Surface,2,Image 1,1,31,
0.522948,,Surface,2,Image 1,1,32,
0.964901,,Surface,2,Image 1,1,33,
0.888805,,Surface,2,Image 1,1,34,
0.941897,,Surface,2,Image 1,1,35,
1.13545,,Surface,2,Image 1,1,36,
0.809818,,Surface,2,Image 1,1,37,
1.41359,,Surface,2,Image 1,1,38,
0.233333,,Surface,2,Image 1,1,39,
1.17659,,Surface,2,Image 1,1,40,
1.64455,,Surface,2,Image 1,1,41,
0,,Surface,2,Image 1,1,42,
1.07363,,Surface,2,Image 1,1,43,
1.68675,,Surface,2,Image 1,1,44,
3.44567,,Surface,2,Image 1,1,45,
1.02144,,Surface,2,Image 1,1,46,
1.1797,,Surface,2,Image 1,1,47,
2.7044,,Surface,2,Image 1,1,48,
1.45436,,Surface,2,Image 1,1,49,
2.64833,,Surface,2,Image 1,1,50,
1.98016,,Surface,2,Image 1,1,51,
1.32201,,Surface,2,Image 1,1,52,
2.88559,,Surface,2,Image 1,1,53,
1.38345,,Surface,2,Image 1,1,54,
0.909884,,Surface,2,Image 1,1,55,
1.12532,,Surface,2,Image 1,1,56,
2,,Surface,2,Image 1,1,57,
4.54086,,Surface,2,Image 1,1,58,
2.00535,,Surface,2,Image 1,1,59,
2.29768,,Surface,2,Image 1,1,60,
1.48925,,Surface,2,Image 1,1,61,
1.37452,,Surface,2,Image 1,1,62,
1.58726,,Surface,2,Image 1,1,63,
1.20988,,Surface,2,Image 1,1,64,
4.48097,,Surface,2,Image 1,1,65,
2.35518,,Surface,2,Image 1,1,66,
2.5,,Surface,2,Image 1,1,67,
2.11459,,Surface,2,Image 1,1,68,
0.923294,,Surface,2,Image 1,1,69,
4.17581,,Surface,2,Image 1,1,70,
3.49827,,Surface,2,Image 1,1,71,
1.00075,,Surface,2,Image 1,1,72,
0.577034,,Surface,2,Image 1,1,73,
4.06972,,Surface,2,Image 1,1,74,
1.62623,,Surface,2,Image 1,1,75,
1.16607,,Surface,2,Image 1,1,76,
0.735914,,Surface,2,Image 1,1,77,
3.1614,,Surface,2,Image 1,1,78,
2.54709,,Surface,2,Image 1,1,79,
1.50704,,Surface,2,Image 1,1,80,
2.10703,,Surface,2,Image 1,1,81,
1.97778,,Surface,2,Image 1,1,82,
8.75,,Surface,2,Image 1,1,83,
4.93955,,Surface,2,Image 1,1,84,
2.41509,,Surface,2,Image 1,1,85,
2,,Surface,2,Image 1,1,86,
6,,Surface,2,Image 1,1,87,
3.22034,,Surface,2,Image 1,1,88,
2.99561,,Surface,2,Image 1,1,89,
7.95041,,Surface,2,Image 1,1,90,
2.32857,,Surface,2,Image 1,1,91,
2.89286,,Surface,2,Image 1,1,92,
5.9163,,Surface,2,Image 1,1,93,
4.43466,,Surface,2,Image 1,1,94,
6.35877,,Surface,2,Image 1,1,95,
3.62961,,Surface,2,Image 1,1,96,
4.91605,,Surface,2,Image 1,1,97,
4.97959,,Surface,2,Image 1,1,98,
4.03896,,Surface,2,Image 1,1,99,
3.52119,,Surface,2,Image 1,1,100,
1.22945,,Surface,2,Image 1,1,101,
2.6157,,Surface,2,Image 1,1,102,
1.46196,,Surface,2,Image 1,1,103,
2.35294,,Surface,2,Image 1,1,104,
1.44842,,Surface,2,Image 1,1,105,
2.78788,,Surface,2,Image 1,1,106,
1.31364,,Surface,2,Image 1,1,107,
1.63077,,Surface,2,Image 1,1,108,
1.17268,,Surface,2,Image 1,1,109,
5.87725,,Surface,2,Image 1,1,110,
8.633,,Surface,2,Image 1,1,111,
2.6718,,Surface,2,Image 1,1,112,
1.84211,,Surface,2,Image 1,1,113,
2.00342,,Surface,2,Image 1,1,114,
2.53696,,Surface,2,Image 1,1,115,
1.2776,,Surface,2,Image 1,1,116,
1.28144,,Surface,2,Image 1,1,117,
1.11507,,Surface,2,Image 1,1,118,
4.36977,,Surface,2,Image 1,1,119,
3.18782,,Surface,2,Image 1,1,120,
3.825,,Surface,2,Image 1,1,121,
2.76787,,Surface,2,Image 1,1,122,
2.20123,,Surface,2,Image 1,1,123,
1.99466,,Surface,2,Image 1,1,124,
3.48308,,Surface,2,Image 1,1,125,
3.57331,,Surface,2,Image 1,1,126,
3.77042,,Surface,2,Image 1,1,127,
3.59535,,Surface,2,Image 1,1,128,
1.89046,,Surface,2,Image 1,1,129,
5.49897,,Surface,2,Image 1,1,130,
2.6658,,Surface,2,Image 1,1,131,
3.66314,,Surface,2,Image 1,1,132,
5.97418,,Surface,2,Image 1,1,133,
