
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
14.508,,Surface,2,Image 1,1,0,
12.7556,,Surface,2,Image 1,1,1,
14.9679,,Surface,2,Image 1,1,2,
14.8162,,Surface,2,Image 1,1,3,
14.9519,,Surface,2,Image 1,1,4,
16.6627,,Surface,2,Image 1,1,5,
16.7974,,Surface,2,Image 1,1,6,
15.6574,,Surface,2,Image 1,1,7,
12.4352,,Surface,2,Image 1,1,8,
22.1084,,Surface,2,Image 1,1,9,
22.5242,,Surface,2,Image 1,1,10,
14.1488,,Surface,2,Image 1,1,11,
17.9489,,Surface,2,Image 1,1,12,
13.8169,,Surface,2,Image 1,1,13,
12.6191,,Surface,2,Image 1,1,14,
16.5827,,Surface,2,Image 1,1,15,
17.0023,,Surface,2,Image 1,1,16,
12.8512,,Surface,2,Image 1,1,17,
18.9543,,Surface,2,Image 1,1,18,
15.0264,,Surface,2,Image 1,1,19,
10.6716,,Surface,2,Image 1,1,20,
11.7608,,Surface,2,Image 1,1,21,
20.3496,,Surface,2,Image 1,1,22,
10.8272,,Surface,2,Image 1,1,23,
15.0462,,Surface,2,Image 1,1,24,
14.7096,,Surface,2,Image 1,1,25,
19.7734,,Surface,2,Image 1,1,26,
13.8334,,Surface,2,Image 1,1,27,
13.5067,,Surface,2,Image 1,1,28,
25.4652,,Surface,2,Image 1,1,29,
16.8417,,Surface,2,Image 1,1,30,
12.7542,,Surface,2,Image 1,1,31,
13.9831,,Surface,2,Image 1,1,32,
16.3981,,Surface,2,Image 1,1,33,
18.954,,Surface,2,Image 1,1,34,
17.619,,Surface,2,Image 1,1,35,
12.7296,,Surface,2,Image 1,1,36,
24.1455,,Surface,2,Image 1,1,37,
22.8148,,Surface,2,Image 1,1,38,
17.4192,,Surface,2,Image 1,1,39,
19.1162,,Surface,2,Image 1,1,40,
22.4914,,Surface,2,Image 1,1,41,
15.6119,,Surface,2,Image 1,1,42,
22.5848,,Surface,2,Image 1,1,43,
19.892,,Surface,2,Image 1,1,44,
20.335,,Surface,2,Image 1,1,45,
12.9414,,Surface,2,Image 1,1,46,
23.9342,,Surface,2,Image 1,1,47,
13.0578,,Surface,2,Image 1,1,48,
23.122,,Surface,2,Image 1,1,49,
17.7291,,Surface,2,Image 1,1,50,
14.2775,,Surface,2,Image 1,1,51,
18.9732,,Surface,2,Image 1,1,52,
20.39,,Surface,2,Image 1,1,53,
14.4576,,Surface,2,Image 1,1,54,
20.6029,,Surface,2,Image 1,1,55,
