
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
8.8224,,Surface,4,Image 1,1,0,
4.95611,,Surface,4,Image 1,1,1,
7.41259,,Surface,4,Image 1,1,2,
7.38195,,Surface,4,Image 1,1,3,
11.5121,,Surface,4,Image 1,1,4,
5.89356,,Surface,4,Image 1,1,5,
6.29696,,Surface,4,Image 1,1,6,
8.84405,,Surface,4,Image 1,1,7,
5.91486,,Surface,4,Image 1,1,8,
7.24846,,Surface,4,Image 1,1,9,
10.0213,,Surface,4,Image 1,1,10,
12.6754,,Surface,4,Image 1,1,11,
8.11613,,Surface,4,Image 1,1,12,
8.27643,,Surface,4,Image 1,1,13,
9.19473,,Surface,4,Image 1,1,14,
6.0523,,Surface,4,Image 1,1,15,
8.12028,,Surface,4,Image 1,1,16,
7.59328,,Surface,4,Image 1,1,17,
15.78,,Surface,4,Image 1,1,18,
11.2021,,Surface,4,Image 1,1,19,
12.3717,,Surface,4,Image 1,1,20,
12.2169,,Surface,4,Image 1,1,21,
11.9534,,Surface,4,Image 1,1,22,
11.1305,,Surface,4,Image 1,1,23,
10.5182,,Surface,4,Image 1,1,24,
11.8923,,Surface,4,Image 1,1,25,
11.3688,,Surface,4,Image 1,1,26,
16.1737,,Surface,4,Image 1,1,27,
8.36956,,Surface,4,Image 1,1,28,
8.69652,,Surface,4,Image 1,1,29,
9.20262,,Surface,4,Image 1,1,30,
9.38227,,Surface,4,Image 1,1,31,
11.3273,,Surface,4,Image 1,1,32,
9.26249,,Surface,4,Image 1,1,33,
6.94616,,Surface,4,Image 1,1,34,
7.37394,,Surface,4,Image 1,1,35,
8.37809,,Surface,4,Image 1,1,36,
10.5558,,Surface,4,Image 1,1,37,
9.04129,,Surface,4,Image 1,1,38,
11.1044,,Surface,4,Image 1,1,39,
6.17223,,Surface,4,Image 1,1,40,
11.6847,,Surface,4,Image 1,1,41,
8.86016,,Surface,4,Image 1,1,42,
6.60482,,Surface,4,Image 1,1,43,
11.812,,Surface,4,Image 1,1,44,
6.77604,,Surface,4,Image 1,1,45,
7.34846,,Surface,4,Image 1,1,46,
6.34486,,Surface,4,Image 1,1,47,
4.46295,,Surface,4,Image 1,1,48,
10.4551,,Surface,4,Image 1,1,49,
9.77327,,Surface,4,Image 1,1,50,
8.31725,,Surface,4,Image 1,1,51,
11.9178,,Surface,4,Image 1,1,52,
8.15311,,Surface,4,Image 1,1,53,
12.0735,,Surface,4,Image 1,1,54,
7.39886,,Surface,4,Image 1,1,55,
8.64461,,Surface,4,Image 1,1,56,
9.9397,,Surface,4,Image 1,1,57,
7.81579,,Surface,4,Image 1,1,60,
5.88784,,Surface,4,Image 1,1,61,
4.44527,,Surface,4,Image 1,1,62,
5.33684,,Surface,4,Image 1,1,66,
6.27547,,Surface,4,Image 1,1,67,
8.06539,,Surface,4,Image 1,1,68,
6.02944,,Surface,4,Image 1,1,69,
11.1954,,Surface,4,Image 1,1,70,
10.1382,,Surface,4,Image 1,1,71,
8.51522,,Surface,4,Image 1,1,72,
13.6413,,Surface,4,Image 1,1,73,
6.34109,,Surface,4,Image 1,1,74,
5.75798,,Surface,4,Image 1,1,75,
9.17661,,Surface,4,Image 1,1,76,
9.38698,,Surface,4,Image 1,1,77,
7.59765,,Surface,4,Image 1,1,78,
8.53692,,Surface,4,Image 1,1,79,
7.79351,,Surface,4,Image 1,1,80,
6.47081,,Surface,4,Image 1,1,81,
8.65912,,Surface,4,Image 1,1,82,
7.52131,,Surface,4,Image 1,1,83,
8.09452,,Surface,4,Image 1,1,84,
5.47021,,Surface,4,Image 1,1,85,
6.55186,,Surface,4,Image 1,1,86,
5.99321,,Surface,4,Image 1,1,87,
8.37136,,Surface,4,Image 1,1,88,
10.9382,,Surface,4,Image 1,1,89,
9.31172,,Surface,4,Image 1,1,90,
9.51047,,Surface,4,Image 1,1,91,
7.86108,,Surface,4,Image 1,1,92,
6.28706,,Surface,4,Image 1,1,93,
10.4499,,Surface,4,Image 1,1,94,
8.97882,,Surface,4,Image 1,1,95,
7.44912,,Surface,4,Image 1,1,96,
6.21797,,Surface,4,Image 1,1,97,
8.10004,,Surface,4,Image 1,1,98,
7.06083,,Surface,4,Image 1,1,99,
6.62085,,Surface,4,Image 1,1,100,
11.0366,,Surface,4,Image 1,1,101,
11.0945,,Surface,4,Image 1,1,102,
8.18586,,Surface,4,Image 1,1,103,
9.81387,,Surface,4,Image 1,1,104,
9.32006,,Surface,4,Image 1,1,105,
8.64648,,Surface,4,Image 1,1,106,
8.12168,,Surface,4,Image 1,1,107,
9.60014,,Surface,4,Image 1,1,108,
7.43678,,Surface,4,Image 1,1,109,
7.54437,,Surface,4,Image 1,1,110,
9.4081,,Surface,4,Image 1,1,111,
7.82205,,Surface,4,Image 1,1,112,
6.98193,,Surface,4,Image 1,1,113,
8.81291,,Surface,4,Image 1,1,114,
8.12689,,Surface,4,Image 1,1,115,
9.71916,,Surface,4,Image 1,1,116,
10.3591,,Surface,4,Image 1,1,117,
7.98685,,Surface,4,Image 1,1,118,
12.7777,,Surface,4,Image 1,1,119,
8.17365,,Surface,4,Image 1,1,120,
10.5503,,Surface,4,Image 1,1,121,
