
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1.83007,,Surface,4,Image 1,1,0,
1.21429,,Surface,4,Image 1,1,1,
1.47734,,Surface,4,Image 1,1,2,
2.77273,,Surface,4,Image 1,1,3,
2.2439,,Surface,4,Image 1,1,4,
3.03974,,Surface,4,Image 1,1,5,
2.05914,,Surface,4,Image 1,1,6,
2.68376,,Surface,4,Image 1,1,7,
1.91653,,Surface,4,Image 1,1,8,
2.59048,,Surface,4,Image 1,1,9,
2.1629,,Surface,4,Image 1,1,10,
4.80239,,Surface,4,Image 1,1,11,
3.79632,,Surface,4,Image 1,1,12,
2.66894,,Surface,4,Image 1,1,13,
2.17699,,Surface,4,Image 1,1,14,
2.78124,,Surface,4,Image 1,1,15,
8.28965,,Surface,4,Image 1,1,16,
6.98508,,Surface,4,Image 1,1,17,
9.90199,,Surface,4,Image 1,1,18,
6.92444,,Surface,4,Image 1,1,19,
8.06757,,Surface,4,Image 1,1,20,
5.1875,,Surface,4,Image 1,1,21,
4.5498,,Surface,4,Image 1,1,22,
6.33673,,Surface,4,Image 1,1,23,
2.61111,,Surface,4,Image 1,1,24,
3.74841,,Surface,4,Image 1,1,25,
3.62834,,Surface,4,Image 1,1,26,
9.66845,,Surface,4,Image 1,1,27,
9.28918,,Surface,4,Image 1,1,28,
9.42405,,Surface,4,Image 1,1,29,
9.71326,,Surface,4,Image 1,1,30,
8.27501,,Surface,4,Image 1,1,31,
12.3288,,Surface,4,Image 1,1,32,
3.26577,,Surface,4,Image 1,1,33,
3.72662,,Surface,4,Image 1,1,34,
2.09973,,Surface,4,Image 1,1,35,
3.11757,,Surface,4,Image 1,1,36,
5.42301,,Surface,4,Image 1,1,37,
4.02592,,Surface,4,Image 1,1,38,
3.14016,,Surface,4,Image 1,1,39,
4.07746,,Surface,4,Image 1,1,40,
3.36204,,Surface,4,Image 1,1,41,
2.67208,,Surface,4,Image 1,1,42,
2.60843,,Surface,4,Image 1,1,43,
3.132,,Surface,4,Image 1,1,44,
3.7618,,Surface,4,Image 1,1,45,
3.35762,,Surface,4,Image 1,1,46,
4.07461,,Surface,4,Image 1,1,47,
2.02328,,Surface,4,Image 1,1,48,
3.26638,,Surface,4,Image 1,1,49,
2.54,,Surface,4,Image 1,1,50,
3.82572,,Surface,4,Image 1,1,51,
6.58767,,Surface,4,Image 1,1,52,
4.48201,,Surface,4,Image 1,1,53,
3.87703,,Surface,4,Image 1,1,54,
3.74659,,Surface,4,Image 1,1,55,
2.7939,,Surface,4,Image 1,1,56,
3.63158,,Surface,4,Image 1,1,57,
2.11616,,Surface,4,Image 1,1,58,
3.59166,,Surface,4,Image 1,1,59,
3.97913,,Surface,4,Image 1,1,60,
5.17961,,Surface,4,Image 1,1,61,
7.8952,,Surface,4,Image 1,1,62,
2.93913,,Surface,4,Image 1,1,63,
4.43508,,Surface,4,Image 1,1,64,
6.15633,,Surface,4,Image 1,1,65,
6.3082,,Surface,4,Image 1,1,66,
4.30027,,Surface,4,Image 1,1,67,
4.47936,,Surface,4,Image 1,1,68,
6.25239,,Surface,4,Image 1,1,69,
5.65007,,Surface,4,Image 1,1,70,
5.72562,,Surface,4,Image 1,1,71,
11.7931,,Surface,4,Image 1,1,72,
5.95482,,Surface,4,Image 1,1,73,
7.8723,,Surface,4,Image 1,1,74,
5.41715,,Surface,4,Image 1,1,75,
8.5366,,Surface,4,Image 1,1,76,
8.45266,,Surface,4,Image 1,1,77,
3.22762,,Surface,4,Image 1,1,78,
6.01967,,Surface,4,Image 1,1,79,
6.54607,,Surface,4,Image 1,1,80,
5.60308,,Surface,4,Image 1,1,81,
3.14221,,Surface,4,Image 1,1,82,
3.45747,,Surface,4,Image 1,1,83,
3.24987,,Surface,4,Image 1,1,84,
3.28055,,Surface,4,Image 1,1,85,
4.8552,,Surface,4,Image 1,1,86,
5.24766,,Surface,4,Image 1,1,87,
4.6803,,Surface,4,Image 1,1,88,
4.43325,,Surface,4,Image 1,1,89,
3.35379,,Surface,4,Image 1,1,90,
4.65266,,Surface,4,Image 1,1,91,
4.25641,,Surface,4,Image 1,1,92,
6.22666,,Surface,4,Image 1,1,93,
4.68896,,Surface,4,Image 1,1,94,
4.56452,,Surface,4,Image 1,1,95,
5.46146,,Surface,4,Image 1,1,96,
4.5713,,Surface,4,Image 1,1,97,
4.87554,,Surface,4,Image 1,1,98,
3.93094,,Surface,4,Image 1,1,99,
4.80131,,Surface,4,Image 1,1,100,
3.60788,,Surface,4,Image 1,1,101,
5.57874,,Surface,4,Image 1,1,102,
3.79356,,Surface,4,Image 1,1,103,
4.03946,,Surface,4,Image 1,1,104,
4.23893,,Surface,4,Image 1,1,105,
3.12159,,Surface,4,Image 1,1,106,
3.23384,,Surface,4,Image 1,1,107,
7.16816,,Surface,4,Image 1,1,108,
4.59413,,Surface,4,Image 1,1,109,
6.11727,,Surface,4,Image 1,1,110,
6.04228,,Surface,4,Image 1,1,111,
6.38294,,Surface,4,Image 1,1,112,
5.91275,,Surface,4,Image 1,1,113,
4.42253,,Surface,4,Image 1,1,114,
3.47411,,Surface,4,Image 1,1,115,
4.1645,,Surface,4,Image 1,1,116,
3.20638,,Surface,4,Image 1,1,117,
10.7056,,Surface,4,Image 1,1,118,
7.32397,,Surface,4,Image 1,1,119,
8.25539,,Surface,4,Image 1,1,120,
6.37403,,Surface,4,Image 1,1,121,
7.76566,,Surface,4,Image 1,1,122,
6.94444,,Surface,4,Image 1,1,123,
5.8807,,Surface,4,Image 1,1,124,
5.15312,,Surface,4,Image 1,1,125,
5.78364,,Surface,4,Image 1,1,126,
5.21744,,Surface,4,Image 1,1,127,
7.54701,,Surface,4,Image 1,1,128,
5.96939,,Surface,4,Image 1,1,129,
7.23699,,Surface,4,Image 1,1,130,
5.61801,,Surface,4,Image 1,1,131,
6.43668,,Surface,4,Image 1,1,132,
4.10736,,Surface,4,Image 1,1,133,
5.69642,,Surface,4,Image 1,1,134,
5.1234,,Surface,4,Image 1,1,135,
13.554,,Surface,4,Image 1,1,136,
8.41707,,Surface,4,Image 1,1,137,
7.94909,,Surface,4,Image 1,1,138,
6.98286,,Surface,4,Image 1,1,139,
5.67151,,Surface,4,Image 1,1,140,
10.3349,,Surface,4,Image 1,1,141,
2.72599,,Surface,4,Image 1,1,142,
3.56402,,Surface,4,Image 1,1,143,
3.64568,,Surface,4,Image 1,1,144,
2.77311,,Surface,4,Image 1,1,145,
2.89462,,Surface,4,Image 1,1,146,
3.1739,,Surface,4,Image 1,1,147,
6.81012,,Surface,4,Image 1,1,148,
7.02239,,Surface,4,Image 1,1,149,
3.71409,,Surface,4,Image 1,1,150,
3.73725,,Surface,4,Image 1,1,151,
7.1754,,Surface,4,Image 1,1,152,
5.5086,,Surface,4,Image 1,1,153,
9.10259,,Surface,4,Image 1,1,154,
2.89615,,Surface,4,Image 1,1,155,
4.82981,,Surface,4,Image 1,1,156,
10.6397,,Surface,4,Image 1,1,157,
3.64518,,Surface,4,Image 1,1,158,
7.02014,,Surface,4,Image 1,1,159,
7.26324,,Surface,4,Image 1,1,160,
3.97254,,Surface,4,Image 1,1,161,
3.37115,,Surface,4,Image 1,1,162,
3.59485,,Surface,4,Image 1,1,163,
1.21429,,Surface,4,Image 1,1,164,
0.857143,,Surface,4,Image 1,1,165,
1.41589,,Surface,4,Image 1,1,166,
1.38532,,Surface,4,Image 1,1,167,
1.07423,,Surface,4,Image 1,1,168,
1.24852,,Surface,4,Image 1,1,169,
0.951923,,Surface,4,Image 1,1,170,
0.690476,,Surface,4,Image 1,1,171,
1.46992,,Surface,4,Image 1,1,172,
1.10135,,Surface,4,Image 1,1,173,
1.9,,Surface,4,Image 1,1,174,
0.777778,,Surface,4,Image 1,1,175,
1.4902,,Surface,4,Image 1,1,176,
1.99016,,Surface,4,Image 1,1,177,
1.88235,,Surface,4,Image 1,1,178,
1.17647,,Surface,4,Image 1,1,179,
2.96335,,Surface,4,Image 1,1,180,
2.8041,,Surface,4,Image 1,1,181,
10.2412,,Surface,4,Image 1,1,182,
6.83969,,Surface,4,Image 1,1,183,
1.875,,Surface,4,Image 1,1,184,
11.739,,Surface,4,Image 1,1,185,
6.4,,Surface,4,Image 1,1,186,
2.45,,Surface,4,Image 1,1,187,
1.39594,,Surface,4,Image 1,1,188,
2.41042,,Surface,4,Image 1,1,189,
1.32389,,Surface,4,Image 1,1,190,
2.54414,,Surface,4,Image 1,1,191,
1.60988,,Surface,4,Image 1,1,192,
1.83168,,Surface,4,Image 1,1,193,
1.62982,,Surface,4,Image 1,1,194,
1.35288,,Surface,4,Image 1,1,195,
1.41351,,Surface,4,Image 1,1,196,
1.33293,,Surface,4,Image 1,1,197,
1.43009,,Surface,4,Image 1,1,198,
0.956656,,Surface,4,Image 1,1,199,
1.12559,,Surface,4,Image 1,1,200,
2.75615,,Surface,4,Image 1,1,201,
1.0386,,Surface,4,Image 1,1,202,
1.44208,,Surface,4,Image 1,1,203,
1.2329,,Surface,4,Image 1,1,204,
1.46038,,Surface,4,Image 1,1,205,
1.05363,,Surface,4,Image 1,1,206,
1.2633,,Surface,4,Image 1,1,207,
1.01378,,Surface,4,Image 1,1,208,
1.03194,,Surface,4,Image 1,1,209,
1.08394,,Surface,4,Image 1,1,210,
1.44734,,Surface,4,Image 1,1,211,
1.48254,,Surface,4,Image 1,1,212,
1.5358,,Surface,4,Image 1,1,213,
1.39843,,Surface,4,Image 1,1,214,
1.06946,,Surface,4,Image 1,1,215,
1.89412,,Surface,4,Image 1,1,216,
1.01983,,Surface,4,Image 1,1,217,
0.666667,,Surface,4,Image 1,1,218,
0.865546,,Surface,4,Image 1,1,219,
3.09436,,Surface,4,Image 1,1,220,
2.04189,,Surface,4,Image 1,1,221,
1.88079,,Surface,4,Image 1,1,222,
1.79545,,Surface,4,Image 1,1,223,
3.8777,,Surface,4,Image 1,1,224,
3.46539,,Surface,4,Image 1,1,225,
2.49907,,Surface,4,Image 1,1,226,
9,,Surface,4,Image 1,1,227,
2.88422,,Surface,4,Image 1,1,228,
1.23423,,Surface,4,Image 1,1,229,
5.85562,,Surface,4,Image 1,1,230,
5.51855,,Surface,4,Image 1,1,231,
7.26977,,Surface,4,Image 1,1,232,
3.13545,,Surface,4,Image 1,1,233,
5.20988,,Surface,4,Image 1,1,234,
4.5758,,Surface,4,Image 1,1,235,
4.61674,,Surface,4,Image 1,1,236,
3.05556,,Surface,4,Image 1,1,237,
3.75105,,Surface,4,Image 1,1,238,
4.54622,,Surface,4,Image 1,1,239,
9.96278,,Surface,4,Image 1,1,240,
8.5542,,Surface,4,Image 1,1,241,
10.667,,Surface,4,Image 1,1,242,
5.98992,,Surface,4,Image 1,1,243,
5.47771,,Surface,4,Image 1,1,244,
6.88111,,Surface,4,Image 1,1,245,
6.08348,,Surface,4,Image 1,1,246,
8.38502,,Surface,4,Image 1,1,247,
6.84358,,Surface,4,Image 1,1,248,
9.14328,,Surface,4,Image 1,1,249,
2.1162,,Surface,4,Image 1,1,250,
2.51202,,Surface,4,Image 1,1,251,
1.89496,,Surface,4,Image 1,1,252,
2.09639,,Surface,4,Image 1,1,253,
1.54991,,Surface,4,Image 1,1,254,
2.15057,,Surface,4,Image 1,1,255,
2.32825,,Surface,4,Image 1,1,256,
1.47387,,Surface,4,Image 1,1,257,
2.65113,,Surface,4,Image 1,1,258,
2.95394,,Surface,4,Image 1,1,259,
1.43659,,Surface,4,Image 1,1,260,
1.66179,,Surface,4,Image 1,1,261,
1.53714,,Surface,4,Image 1,1,262,
1.734,,Surface,4,Image 1,1,263,
1.55341,,Surface,4,Image 1,1,264,
1.3829,,Surface,4,Image 1,1,265,
2.76271,,Surface,4,Image 1,1,266,
10.0667,,Surface,4,Image 1,1,267,
1.47897,,Surface,4,Image 1,1,268,
2.19974,,Surface,4,Image 1,1,269,
1.84067,,Surface,4,Image 1,1,270,
2.34321,,Surface,4,Image 1,1,271,
1.82358,,Surface,4,Image 1,1,272,
1.67386,,Surface,4,Image 1,1,273,
3.21146,,Surface,4,Image 1,1,274,
7.27083,,Surface,4,Image 1,1,275,
2.41205,,Surface,4,Image 1,1,276,
1.29683,,Surface,4,Image 1,1,277,
2.63269,,Surface,4,Image 1,1,278,
2.99492,,Surface,4,Image 1,1,279,
2.22921,,Surface,4,Image 1,1,280,
1.93578,,Surface,4,Image 1,1,281,
2.35727,,Surface,4,Image 1,1,282,
3.4718,,Surface,4,Image 1,1,283,
2.21079,,Surface,4,Image 1,1,284,
1.77174,,Surface,4,Image 1,1,285,
3.74617,,Surface,4,Image 1,1,286,
4.40132,,Surface,4,Image 1,1,287,
3.14602,,Surface,4,Image 1,1,288,
4.74978,,Surface,4,Image 1,1,289,
2.82884,,Surface,4,Image 1,1,290,
3.9955,,Surface,4,Image 1,1,291,
3.48846,,Surface,4,Image 1,1,292,
3.70543,,Surface,4,Image 1,1,293,
3.63363,,Surface,4,Image 1,1,294,
5.13829,,Surface,4,Image 1,1,295,
4.69344,,Surface,4,Image 1,1,296,
3.089,,Surface,4,Image 1,1,297,
4.14011,,Surface,4,Image 1,1,298,
5.22574,,Surface,4,Image 1,1,299,
4.19548,,Surface,4,Image 1,1,300,
3.0596,,Surface,4,Image 1,1,301,
3.18988,,Surface,4,Image 1,1,302,
3.11504,,Surface,4,Image 1,1,303,
3.64573,,Surface,4,Image 1,1,304,
3.17029,,Surface,4,Image 1,1,305,
4.23827,,Surface,4,Image 1,1,306,
6.80145,,Surface,4,Image 1,1,307,
3.163,,Surface,4,Image 1,1,308,
6.85605,,Surface,4,Image 1,1,309,
4.2814,,Surface,4,Image 1,1,310,
6.102,,Surface,4,Image 1,1,311,
4.05664,,Surface,4,Image 1,1,312,
5.96848,,Surface,4,Image 1,1,313,
4.06241,,Surface,4,Image 1,1,314,
3.99303,,Surface,4,Image 1,1,315,
3.31611,,Surface,4,Image 1,1,316,
5.43844,,Surface,4,Image 1,1,317,
5.82972,,Surface,4,Image 1,1,318,
7.89442,,Surface,4,Image 1,1,319,
7.13942,,Surface,4,Image 1,1,320,
4.02775,,Surface,4,Image 1,1,321,
5.01752,,Surface,4,Image 1,1,322,
7.8182,,Surface,4,Image 1,1,323,
5.97336,,Surface,4,Image 1,1,324,
8.03044,,Surface,4,Image 1,1,325,
4.81793,,Surface,4,Image 1,1,326,
8.54953,,Surface,4,Image 1,1,327,
8.9658,,Surface,4,Image 1,1,328,
6.5672,,Surface,4,Image 1,1,329,
6.33615,,Surface,4,Image 1,1,330,
