
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
188.625,78.7613,162.507,um,Surface,Position,1,0,
181.354,77.6365,165.828,um,Surface,Position,1,1,
183.098,66.5606,166.644,um,Surface,Position,1,2,
101.48,93.9079,163.144,um,Surface,Position,1,3,
105.87,104.205,163.216,um,Surface,Position,1,4,
102.353,106.44,164.445,um,Surface,Position,1,5,
102.053,84.2441,165.838,um,Surface,Position,1,6,
105.411,90.937,164.403,um,Surface,Position,1,7,
121.852,103.362,162.583,um,Surface,Position,1,8,
128.403,93.7866,163.113,um,Surface,Position,1,9,
109.756,96.161,162.535,um,Surface,Position,1,10,
114.923,83.6526,165.363,um,Surface,Position,1,11,
123.096,92.4811,165.566,um,Surface,Position,1,12,
126.558,87.7534,165.107,um,Surface,Position,1,13,
112.082,98.1202,165.455,um,Surface,Position,1,14,
107.318,99.8961,165.528,um,Surface,Position,1,15,
115.858,102.759,165.205,um,Surface,Position,1,16,
127.03,104.92,165.628,um,Surface,Position,1,17,
130.741,103.82,164.862,um,Surface,Position,1,18,
117.176,88.4533,165.138,um,Surface,Position,1,19,
110.956,89.5277,165.931,um,Surface,Position,1,20,
121.583,98.371,167.035,um,Surface,Position,1,21,
116.833,94.1567,167.303,um,Surface,Position,1,22,
129.424,84.4222,167.781,um,Surface,Position,1,23,
125.009,86.31,168.257,um,Surface,Position,1,24,
147.054,83.6238,162.448,um,Surface,Position,1,25,
153.845,94.1874,162.374,um,Surface,Position,1,26,
152.704,98.5154,162.788,um,Surface,Position,1,27,
142.28,82.1775,164.471,um,Surface,Position,1,28,
145.057,105.243,162.963,um,Surface,Position,1,29,
133.512,92.8966,166.132,um,Surface,Position,1,30,
139.688,94.6667,166.208,um,Surface,Position,1,31,
133.264,98.7549,166.635,um,Surface,Position,1,32,
138.981,103.557,166.517,um,Surface,Position,1,33,
134.943,87.3171,166.497,um,Surface,Position,1,34,
149.453,91.2432,166.722,um,Surface,Position,1,35,
141.333,88.2316,167.043,um,Surface,Position,1,36,
147.387,97.5539,165.939,um,Surface,Position,1,37,
154.047,101.722,167.8,um,Surface,Position,1,38,
154.686,94.9301,168.617,um,Surface,Position,1,39,
167.049,87.4974,162.904,um,Surface,Position,1,40,
173.756,87.2754,163.343,um,Surface,Position,1,41,
160.178,89.3003,162.785,um,Surface,Position,1,42,
170.655,96.567,163.927,um,Surface,Position,1,43,
174.115,103.913,164.349,um,Surface,Position,1,44,
163.72,93.6859,166.044,um,Surface,Position,1,45,
176.262,96.9328,165.327,um,Surface,Position,1,46,
159.85,96.7175,165.463,um,Surface,Position,1,47,
179.428,105.701,166.016,um,Surface,Position,1,48,
178.387,86.0977,166.285,um,Surface,Position,1,49,
159.679,103.609,165.206,um,Surface,Position,1,50,
168.451,101.24,167.345,um,Surface,Position,1,51,
160.935,100.404,167.747,um,Surface,Position,1,52,
171.328,91.78,168.124,um,Surface,Position,1,53,
183.888,89.1253,161.299,um,Surface,Position,1,54,
187.07,100.051,164.349,um,Surface,Position,1,55,
181.304,102.076,166.184,um,Surface,Position,1,56,
186.629,105.524,166.244,um,Surface,Position,1,57,
105.079,111.046,162.356,um,Surface,Position,1,58,
103.549,123.103,160.74,um,Surface,Position,1,59,
105.796,115.813,163.965,um,Surface,Position,1,60,
107.729,124.773,161.401,um,Surface,Position,1,61,
114.199,124.404,162.452,um,Surface,Position,1,62,
107.969,130.26,162.907,um,Surface,Position,1,63,
111.627,115.36,162.884,um,Surface,Position,1,64,
120.024,123.049,163.893,um,Surface,Position,1,65,
117.537,113.981,163.986,um,Surface,Position,1,66,
125.273,115.955,164.375,um,Surface,Position,1,67,
128.452,120.512,164.279,um,Surface,Position,1,68,
122.253,109.736,164.25,um,Surface,Position,1,69,
111.763,109.298,165.106,um,Surface,Position,1,70,
107.795,109.661,164.877,um,Surface,Position,1,71,
153.584,123.911,163.739,um,Surface,Position,1,72,
135.68,128.513,162.2,um,Surface,Position,1,73,
152.853,127.218,163.203,um,Surface,Position,1,74,
148.346,114.949,161.884,um,Surface,Position,1,75,
138.703,127.599,163.764,um,Surface,Position,1,76,
134.589,109.075,163.221,um,Surface,Position,1,77,
131.076,115.777,164.198,um,Surface,Position,1,78,
135.575,119.225,165.219,um,Surface,Position,1,79,
153.008,108.195,162.939,um,Surface,Position,1,80,
147.739,108.693,165.253,um,Surface,Position,1,81,
143.341,116.561,165.178,um,Surface,Position,1,82,
139.613,109.298,165.547,um,Surface,Position,1,83,
148.532,112.637,166.561,um,Surface,Position,1,84,
161.348,111.585,163.021,um,Surface,Position,1,85,
171.586,119.167,162.559,um,Surface,Position,1,86,
166.07,108.814,163.244,um,Surface,Position,1,87,
174.719,113.518,163.694,um,Surface,Position,1,88,
170.101,107.804,166.814,um,Surface,Position,1,89,
158.872,117.409,166.119,um,Surface,Position,1,90,
161.493,109.377,167.008,um,Surface,Position,1,91,
166.395,113.036,167.299,um,Surface,Position,1,92,
176.588,109.34,168.304,um,Surface,Position,1,93,
209.015,119.711,169.014,um,Surface,Position,1,94,
126.201,135.497,163.016,um,Surface,Position,1,95,
123.476,57.431,170.425,um,Surface,Position,1,96,
137.168,54.6132,169.044,um,Surface,Position,1,97,
133.534,54.3126,172.017,um,Surface,Position,1,98,
148.375,55.7289,171.692,um,Surface,Position,1,99,
158.173,55.7032,169.684,um,Surface,Position,1,100,
127.794,63.9934,168.864,um,Surface,Position,1,101,
122.868,67.6013,168.151,um,Surface,Position,1,102,
106.98,70.3994,169.136,um,Surface,Position,1,103,
112.172,71.1438,169.143,um,Surface,Position,1,104,
107.16,64.1525,169.528,um,Surface,Position,1,105,
130.33,78.9992,169.608,um,Surface,Position,1,106,
141.345,61.6791,167.904,um,Surface,Position,1,107,
152.708,81.4614,168.267,um,Surface,Position,1,108,
150.279,63.8357,169.398,um,Surface,Position,1,109,
135.874,77.9224,168.929,um,Surface,Position,1,110,
134.821,69.4532,170.153,um,Surface,Position,1,111,
143.757,69.158,170.048,um,Surface,Position,1,112,
152.34,59.0821,170.522,um,Surface,Position,1,113,
134.013,61.6103,171.419,um,Surface,Position,1,114,
138.527,65.6075,170.545,um,Surface,Position,1,115,
154.627,66.5033,171.229,um,Surface,Position,1,116,
144.723,64.0296,171.749,um,Surface,Position,1,117,
172.815,59.1493,169.85,um,Surface,Position,1,118,
157.212,72.0017,170.074,um,Surface,Position,1,119,
160.185,76.6391,170.316,um,Surface,Position,1,120,
169.375,72.3293,169.87,um,Surface,Position,1,121,
161.362,66.3891,170.711,um,Surface,Position,1,122,
162.052,62.8503,172.145,um,Surface,Position,1,123,
210.985,78.9109,171.666,um,Surface,Position,1,124,
218.916,79.7438,172.502,um,Surface,Position,1,125,
142.516,83.4018,169.442,um,Surface,Position,1,126,
154.451,86.346,167.395,um,Surface,Position,1,127,
148.229,82.0293,169.554,um,Surface,Position,1,128,
167.418,82.6933,168.729,um,Surface,Position,1,129,
161.166,87.3069,168.204,um,Surface,Position,1,130,
161.355,82.8109,169,um,Surface,Position,1,131,
158.825,92.2326,169.217,um,Surface,Position,1,132,
172.007,83.4998,168.37,um,Surface,Position,1,133,
178.068,90.3766,169.866,um,Surface,Position,1,134,
185.56,89.352,167.841,um,Surface,Position,1,135,
220.505,106.311,170.835,um,Surface,Position,1,136,
219.635,98.7726,170.83,um,Surface,Position,1,137,
210.735,101.934,170.661,um,Surface,Position,1,138,
222.445,85.7066,172.607,um,Surface,Position,1,139,
