
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
33,,Surface,3,Image 1,1,0,
23,,Surface,3,Image 1,1,1,
31,,Surface,3,Image 1,1,2,
38,,Surface,3,Image 1,1,3,
39,,Surface,3,Image 1,1,4,
39,,Surface,3,Image 1,1,5,
27,,Surface,3,Image 1,1,6,
41,,Surface,3,Image 1,1,7,
19,,Surface,3,Image 1,1,8,
10,,Surface,3,Image 1,1,9,
21,,Surface,3,Image 1,1,10,
39,,Surface,3,Image 1,1,11,
22,,Surface,3,Image 1,1,12,
26,,Surface,3,Image 1,1,13,
25,,Surface,3,Image 1,1,14,
28,,Surface,3,Image 1,1,15,
39,,Surface,3,Image 1,1,16,
26,,Surface,3,Image 1,1,17,
37,,Surface,3,Image 1,1,18,
23,,Surface,3,Image 1,1,19,
39,,Surface,3,Image 1,1,20,
38,,Surface,3,Image 1,1,21,
43,,Surface,3,Image 1,1,22,
35,,Surface,3,Image 1,1,23,
31,,Surface,3,Image 1,1,24,
30,,Surface,3,Image 1,1,25,
44,,Surface,3,Image 1,1,26,
45,,Surface,3,Image 1,1,27,
40,,Surface,3,Image 1,1,28,
36,,Surface,3,Image 1,1,29,
53,,Surface,3,Image 1,1,30,
41,,Surface,3,Image 1,1,31,
30,,Surface,3,Image 1,1,32,
64,,Surface,3,Image 1,1,33,
49,,Surface,3,Image 1,1,34,
28,,Surface,3,Image 1,1,35,
1,,Surface,3,Image 1,1,36,
16,,Surface,3,Image 1,1,37,
29,,Surface,3,Image 1,1,38,
25,,Surface,3,Image 1,1,39,
24,,Surface,3,Image 1,1,40,
22,,Surface,3,Image 1,1,41,
38,,Surface,3,Image 1,1,42,
46,,Surface,3,Image 1,1,43,
35,,Surface,3,Image 1,1,44,
35,,Surface,3,Image 1,1,45,
34,,Surface,3,Image 1,1,46,
34,,Surface,3,Image 1,1,47,
36,,Surface,3,Image 1,1,48,
32,,Surface,3,Image 1,1,49,
32,,Surface,3,Image 1,1,50,
37,,Surface,3,Image 1,1,51,
30,,Surface,3,Image 1,1,52,
40,,Surface,3,Image 1,1,53,
45,,Surface,3,Image 1,1,54,
26,,Surface,3,Image 1,1,55,
29,,Surface,3,Image 1,1,56,
38,,Surface,3,Image 1,1,57,
25,,Surface,3,Image 1,1,58,
18,,Surface,3,Image 1,1,59,
36,,Surface,3,Image 1,1,60,
34,,Surface,3,Image 1,1,61,
33,,Surface,3,Image 1,1,62,
28,,Surface,3,Image 1,1,63,
37,,Surface,3,Image 1,1,64,
46,,Surface,3,Image 1,1,65,
39,,Surface,3,Image 1,1,66,
48,,Surface,3,Image 1,1,67,
35,,Surface,3,Image 1,1,68,
37,,Surface,3,Image 1,1,69,
41,,Surface,3,Image 1,1,70,
37,,Surface,3,Image 1,1,71,
