
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
11.1811,,Surface,2,Image 1,1,0,
13.1426,,Surface,2,Image 1,1,1,
7.93233,,Surface,2,Image 1,1,2,
8.11297,,Surface,2,Image 1,1,3,
10.4348,,Surface,2,Image 1,1,4,
10.068,,Surface,2,Image 1,1,5,
8.65977,,Surface,2,Image 1,1,6,
8.9063,,Surface,2,Image 1,1,7,
11.4426,,Surface,2,Image 1,1,8,
14.7855,,Surface,2,Image 1,1,9,
9.5614,,Surface,2,Image 1,1,10,
11.3476,,Surface,2,Image 1,1,11,
12.4031,,Surface,2,Image 1,1,12,
12.47,,Surface,2,Image 1,1,13,
10.389,,Surface,2,Image 1,1,14,
11.6184,,Surface,2,Image 1,1,15,
10.4478,,Surface,2,Image 1,1,16,
10.8738,,Surface,2,Image 1,1,17,
10.7926,,Surface,2,Image 1,1,18,
12.6336,,Surface,2,Image 1,1,19,
9.67134,,Surface,2,Image 1,1,20,
14.797,,Surface,2,Image 1,1,21,
11.5981,,Surface,2,Image 1,1,22,
13.3629,,Surface,2,Image 1,1,23,
11.2191,,Surface,2,Image 1,1,24,
14.9111,,Surface,2,Image 1,1,25,
15.7126,,Surface,2,Image 1,1,26,
12.8914,,Surface,2,Image 1,1,27,
14.4973,,Surface,2,Image 1,1,28,
15.9618,,Surface,2,Image 1,1,29,
23.3832,,Surface,2,Image 1,1,30,
14.9171,,Surface,2,Image 1,1,31,
14.214,,Surface,2,Image 1,1,32,
16.5511,,Surface,2,Image 1,1,33,
12.402,,Surface,2,Image 1,1,34,
13.4104,,Surface,2,Image 1,1,35,
14.3651,,Surface,2,Image 1,1,36,
13.4374,,Surface,2,Image 1,1,37,
16.8858,,Surface,2,Image 1,1,38,
13.5355,,Surface,2,Image 1,1,39,
18.5991,,Surface,2,Image 1,1,40,
21.3545,,Surface,2,Image 1,1,41,
15.5628,,Surface,2,Image 1,1,42,
17.8003,,Surface,2,Image 1,1,43,
13.4157,,Surface,2,Image 1,1,44,
19.318,,Surface,2,Image 1,1,45,
14.1508,,Surface,2,Image 1,1,46,
16.1477,,Surface,2,Image 1,1,47,
8.21576,,Surface,2,Image 1,1,48,
22.4374,,Surface,2,Image 1,1,49,
15.0879,,Surface,2,Image 1,1,50,
25.4476,,Surface,2,Image 1,1,51,
12.548,,Surface,2,Image 1,1,52,
14.9153,,Surface,2,Image 1,1,53,
21.3501,,Surface,2,Image 1,1,54,
9.80802,,Surface,2,Image 1,1,55,
8.53337,,Surface,2,Image 1,1,56,
8.39072,,Surface,2,Image 1,1,57,
12.9807,,Surface,2,Image 1,1,58,
8.24295,,Surface,2,Image 1,1,59,
8.94106,,Surface,2,Image 1,1,60,
8.1335,,Surface,2,Image 1,1,61,
8.81851,,Surface,2,Image 1,1,62,
7.11105,,Surface,2,Image 1,1,63,
13.214,,Surface,2,Image 1,1,64,
9.91324,,Surface,2,Image 1,1,65,
10.799,,Surface,2,Image 1,1,66,
10.8508,,Surface,2,Image 1,1,67,
10.4866,,Surface,2,Image 1,1,68,
10.8303,,Surface,2,Image 1,1,69,
11.3604,,Surface,2,Image 1,1,70,
11.5412,,Surface,2,Image 1,1,71,
6.69721,,Surface,2,Image 1,1,72,
6.34255,,Surface,2,Image 1,1,73,
7.0185,,Surface,2,Image 1,1,74,
12.9858,,Surface,2,Image 1,1,75,
