
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
31,,Surface,3,Image 1,1,0,
30,,Surface,3,Image 1,1,1,
23,,Surface,3,Image 1,1,2,
29,,Surface,3,Image 1,1,3,
34,,Surface,3,Image 1,1,4,
27,,Surface,3,Image 1,1,5,
30,,Surface,3,Image 1,1,6,
38,,Surface,3,Image 1,1,7,
29,,Surface,3,Image 1,1,8,
30,,Surface,3,Image 1,1,9,
36,,Surface,3,Image 1,1,10,
36,,Surface,3,Image 1,1,11,
37,,Surface,3,Image 1,1,12,
32,,Surface,3,Image 1,1,13,
35,,Surface,3,Image 1,1,14,
34,,Surface,3,Image 1,1,15,
39,,Surface,3,Image 1,1,16,
35,,Surface,3,Image 1,1,17,
33,,Surface,3,Image 1,1,18,
34,,Surface,3,Image 1,1,19,
37,,Surface,3,Image 1,1,20,
41,,Surface,3,Image 1,1,21,
28,,Surface,3,Image 1,1,22,
29,,Surface,3,Image 1,1,23,
31,,Surface,3,Image 1,1,24,
32,,Surface,3,Image 1,1,25,
42,,Surface,3,Image 1,1,26,
30,,Surface,3,Image 1,1,27,
26,,Surface,3,Image 1,1,28,
27,,Surface,3,Image 1,1,29,
31,,Surface,3,Image 1,1,30,
28,,Surface,3,Image 1,1,31,
28,,Surface,3,Image 1,1,32,
25,,Surface,3,Image 1,1,33,
7,,Surface,3,Image 1,1,34,
24,,Surface,3,Image 1,1,35,
25,,Surface,3,Image 1,1,36,
37,,Surface,3,Image 1,1,37,
31,,Surface,3,Image 1,1,38,
31,,Surface,3,Image 1,1,39,
31,,Surface,3,Image 1,1,40,
32,,Surface,3,Image 1,1,41,
26,,Surface,3,Image 1,1,42,
35,,Surface,3,Image 1,1,43,
34,,Surface,3,Image 1,1,44,
35,,Surface,3,Image 1,1,45,
31,,Surface,3,Image 1,1,46,
29,,Surface,3,Image 1,1,47,
31,,Surface,3,Image 1,1,48,
26,,Surface,3,Image 1,1,49,
27,,Surface,3,Image 1,1,50,
36,,Surface,3,Image 1,1,51,
35,,Surface,3,Image 1,1,52,
33,,Surface,3,Image 1,1,53,
30,,Surface,3,Image 1,1,54,
41,,Surface,3,Image 1,1,55,
39,,Surface,3,Image 1,1,56,
27,,Surface,3,Image 1,1,57,
72,,Surface,3,Image 1,1,58,
76,,Surface,3,Image 1,1,59,
70,,Surface,3,Image 1,1,60,
71,,Surface,3,Image 1,1,61,
20,,Surface,3,Image 1,1,62,
87,,Surface,3,Image 1,1,63,
30,,Surface,3,Image 1,1,64,
16,,Surface,3,Image 1,1,65,
18,,Surface,3,Image 1,1,66,
32,,Surface,3,Image 1,1,67,
32,,Surface,3,Image 1,1,68,
37,,Surface,3,Image 1,1,69,
47,,Surface,3,Image 1,1,70,
29,,Surface,3,Image 1,1,71,
26,,Surface,3,Image 1,1,72,
41,,Surface,3,Image 1,1,73,
35,,Surface,3,Image 1,1,74,
22,,Surface,3,Image 1,1,75,
22,,Surface,3,Image 1,1,76,
30,,Surface,3,Image 1,1,77,
31,,Surface,3,Image 1,1,78,
32,,Surface,3,Image 1,1,79,
24,,Surface,3,Image 1,1,80,
21,,Surface,3,Image 1,1,81,
45,,Surface,3,Image 1,1,82,
31,,Surface,3,Image 1,1,83,
21,,Surface,3,Image 1,1,84,
48,,Surface,3,Image 1,1,85,
30,,Surface,3,Image 1,1,86,
28,,Surface,3,Image 1,1,87,
27,,Surface,3,Image 1,1,88,
28,,Surface,3,Image 1,1,89,
25,,Surface,3,Image 1,1,90,
32,,Surface,3,Image 1,1,91,
28,,Surface,3,Image 1,1,92,
27,,Surface,3,Image 1,1,93,
30,,Surface,3,Image 1,1,94,
31,,Surface,3,Image 1,1,95,
29,,Surface,3,Image 1,1,96,
29,,Surface,3,Image 1,1,97,
28,,Surface,3,Image 1,1,98,
32,,Surface,3,Image 1,1,99,
31,,Surface,3,Image 1,1,100,
31,,Surface,3,Image 1,1,101,
29,,Surface,3,Image 1,1,102,
32,,Surface,3,Image 1,1,103,
32,,Surface,3,Image 1,1,104,
36,,Surface,3,Image 1,1,105,
45,,Surface,3,Image 1,1,106,
32,,Surface,3,Image 1,1,107,
29,,Surface,3,Image 1,1,108,
38,,Surface,3,Image 1,1,109,
40,,Surface,3,Image 1,1,110,
33,,Surface,3,Image 1,1,111,
34,,Surface,3,Image 1,1,112,
31,,Surface,3,Image 1,1,113,
13,,Surface,3,Image 1,1,114,
25,,Surface,3,Image 1,1,115,
27,,Surface,3,Image 1,1,116,
16,,Surface,3,Image 1,1,117,
24,,Surface,3,Image 1,1,118,
33,,Surface,3,Image 1,1,119,
30,,Surface,3,Image 1,1,120,
33,,Surface,3,Image 1,1,121,
25,,Surface,3,Image 1,1,122,
34,,Surface,3,Image 1,1,123,
31,,Surface,3,Image 1,1,124,
30,,Surface,3,Image 1,1,125,
30,,Surface,3,Image 1,1,126,
34,,Surface,3,Image 1,1,127,
30,,Surface,3,Image 1,1,128,
30,,Surface,3,Image 1,1,129,
25,,Surface,3,Image 1,1,130,
42,,Surface,3,Image 1,1,131,
74,,Surface,3,Image 1,1,132,
63,,Surface,3,Image 1,1,133,
35,,Surface,3,Image 1,1,134,
33,,Surface,3,Image 1,1,135,
32,,Surface,3,Image 1,1,136,
32,,Surface,3,Image 1,1,137,
58,,Surface,3,Image 1,1,138,
31,,Surface,3,Image 1,1,139,
25,,Surface,3,Image 1,1,140,
34,,Surface,3,Image 1,1,141,
30,,Surface,3,Image 1,1,142,
27,,Surface,3,Image 1,1,143,
74,,Surface,3,Image 1,1,144,
22,,Surface,3,Image 1,1,145,
33,,Surface,3,Image 1,1,146,
27,,Surface,3,Image 1,1,147,
28,,Surface,3,Image 1,1,148,
37,,Surface,3,Image 1,1,149,
38,,Surface,3,Image 1,1,150,
38,,Surface,3,Image 1,1,151,
28,,Surface,3,Image 1,1,152,
34,,Surface,3,Image 1,1,153,
56,,Surface,3,Image 1,1,154,
39,,Surface,3,Image 1,1,155,
33,,Surface,3,Image 1,1,156,
42,,Surface,3,Image 1,1,157,
34,,Surface,3,Image 1,1,158,
26,,Surface,3,Image 1,1,159,
28,,Surface,3,Image 1,1,160,
25,,Surface,3,Image 1,1,161,
35,,Surface,3,Image 1,1,162,
33,,Surface,3,Image 1,1,163,
34,,Surface,3,Image 1,1,164,
22,,Surface,3,Image 1,1,165,
23,,Surface,3,Image 1,1,166,
