
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
114.604,126.968,44.7153,um,Surface,Position,1,0,
113.696,126.171,45.8285,um,Surface,Position,1,1,
108.435,134.041,46.0847,um,Surface,Position,1,2,
115.064,139.657,45.7011,um,Surface,Position,1,3,
99.3318,123.483,46.483,um,Surface,Position,1,4,
125.156,133.509,41.6584,um,Surface,Position,1,5,
131.68,124.46,44.9816,um,Surface,Position,1,6,
92.2833,147.338,45.687,um,Surface,Position,1,7,
93.5663,92.6856,46.6782,um,Surface,Position,1,8,
99.759,82.1712,41.3529,um,Surface,Position,1,9,
119.459,83.2392,43.2556,um,Surface,Position,1,10,
111.647,74.7027,43.4031,um,Surface,Position,1,11,
115.898,75.0983,43.5937,um,Surface,Position,1,12,
110.676,85.9923,43.1131,um,Surface,Position,1,13,
106.701,78.5329,44.9962,um,Surface,Position,1,14,
117.786,79.1814,45.3404,um,Surface,Position,1,15,
111.723,82.5684,45.4793,um,Surface,Position,1,16,
105.417,84.1541,44.7852,um,Surface,Position,1,17,
100.606,86.4889,44.6189,um,Surface,Position,1,18,
115.687,95.7929,45.3348,um,Surface,Position,1,19,
120.329,90.5314,45.962,um,Surface,Position,1,20,
102.248,93.0786,45.019,um,Surface,Position,1,21,
111.832,93.3022,45.7869,um,Surface,Position,1,22,
120.676,96.1574,45.7657,um,Surface,Position,1,23,
107.674,96.1309,45.8387,um,Surface,Position,1,24,
107.102,89.4906,46.1243,um,Surface,Position,1,25,
97.5522,90.1187,46.2437,um,Surface,Position,1,26,
125.778,83.7452,42.4318,um,Surface,Position,1,27,
139.869,73.9453,42.5767,um,Surface,Position,1,28,
132.301,82.2933,43.0303,um,Surface,Position,1,29,
142.799,85.8048,42.6367,um,Surface,Position,1,30,
125.099,76.0958,43.5447,um,Surface,Position,1,31,
136.239,92.1378,42.9966,um,Surface,Position,1,32,
130.596,95.3154,43.0866,um,Surface,Position,1,33,
124.988,96.9782,43.6402,um,Surface,Position,1,34,
135.302,76.8865,43.6083,um,Surface,Position,1,35,
138.649,83.3727,44.1151,um,Surface,Position,1,36,
130.921,89.1535,43.5914,um,Surface,Position,1,37,
140.371,90.1696,44.0941,um,Surface,Position,1,38,
125.171,91.6921,45.0423,um,Surface,Position,1,39,
156.079,95.7543,41.2804,um,Surface,Position,1,40,
165.878,74.4414,42.8711,um,Surface,Position,1,41,
147.104,76.4042,42.6252,um,Surface,Position,1,42,
145.646,92.2446,42.696,um,Surface,Position,1,43,
150.242,94.2672,42.7311,um,Surface,Position,1,44,
152.66,76.9306,42.6139,um,Surface,Position,1,45,
161.342,79.73,42.0593,um,Surface,Position,1,46,
162.262,91.3719,43.1227,um,Surface,Position,1,47,
146.472,81.8309,43.9555,um,Surface,Position,1,48,
90.8363,105.676,44.9355,um,Surface,Position,1,49,
95.9901,112.443,45.4537,um,Surface,Position,1,50,
91.5013,111.283,46.0659,um,Surface,Position,1,51,
94.4064,99.594,47.1961,um,Surface,Position,1,52,
96.7792,106.573,46.5161,um,Surface,Position,1,53,
115.614,108.641,41.8818,um,Surface,Position,1,54,
111.57,111.748,42.0802,um,Surface,Position,1,55,
102.311,112.943,41.2185,um,Surface,Position,1,56,
122.067,111.548,43.9087,um,Surface,Position,1,57,
111.759,101.031,45.2896,um,Surface,Position,1,58,
117.389,103.678,45.0257,um,Surface,Position,1,59,
110.073,107.158,44.794,um,Surface,Position,1,60,
120.861,116.705,45.8814,um,Surface,Position,1,61,
113.748,114.533,45.4705,um,Surface,Position,1,62,
103.993,100.618,45.6085,um,Surface,Position,1,63,
105.977,110.959,45.6483,um,Surface,Position,1,64,
106.759,118.967,46.0271,um,Surface,Position,1,65,
101.965,106.196,46.2302,um,Surface,Position,1,66,
100.049,110.988,46.0892,um,Surface,Position,1,67,
143.19,122.251,41.2939,um,Surface,Position,1,68,
127.866,119.862,42.9476,um,Surface,Position,1,69,
144.469,109.849,43.0716,um,Surface,Position,1,70,
131.876,101.427,44.8974,um,Surface,Position,1,71,
141.497,102.662,44.8357,um,Surface,Position,1,72,
139.06,112.404,44.3233,um,Surface,Position,1,73,
155.156,116.01,41.8242,um,Surface,Position,1,74,
151.873,107.228,43.7286,um,Surface,Position,1,75,
159.174,102.839,44.0745,um,Surface,Position,1,76,
90.9294,123.242,43.2619,um,Surface,Position,1,77,
93.3404,131.533,40.9258,um,Surface,Position,1,78,
96.1592,139.041,45.9106,um,Surface,Position,1,79,
99.8549,125.936,40.7157,um,Surface,Position,1,80,
114.842,136.752,42.7793,um,Surface,Position,1,81,
105.944,140.734,42.5414,um,Surface,Position,1,82,
105.815,128.402,42.4495,um,Surface,Position,1,83,
106.849,145.964,43.0288,um,Surface,Position,1,84,
96.3958,126.831,35.5687,um,Surface,Position,1,85,
94.7043,132.605,33.6617,um,Surface,Position,1,86,
91.683,140.687,35.4325,um,Surface,Position,1,87,
95.9408,137.945,35.9942,um,Surface,Position,1,88,
91.5425,124.211,41.3877,um,Surface,Position,1,89,
103.358,140.672,33.3785,um,Surface,Position,1,90,
101.755,126.338,34.8879,um,Surface,Position,1,91,
104.036,130.84,34.1575,um,Surface,Position,1,92,
107.026,138.322,34.891,um,Surface,Position,1,93,
114.81,123.203,37.4748,um,Surface,Position,1,94,
103.802,135.315,36.2368,um,Surface,Position,1,95,
111.899,136.187,34.0738,um,Surface,Position,1,96,
110.528,123.823,37.1515,um,Surface,Position,1,97,
119.655,140.474,37.6963,um,Surface,Position,1,98,
106.045,124.178,36.7088,um,Surface,Position,1,99,
117.546,127.321,34.745,um,Surface,Position,1,100,
109.819,129.558,36.3953,um,Surface,Position,1,101,
113.672,129.766,38.021,um,Surface,Position,1,102,
102.044,129.117,40.1399,um,Surface,Position,1,103,
99.297,133.266,37.5611,um,Surface,Position,1,104,
100.509,137.655,39.6379,um,Surface,Position,1,105,
108.62,133.26,39.9301,um,Surface,Position,1,106,
129.558,131.351,34.7352,um,Surface,Position,1,107,
135.555,135.619,35.1743,um,Surface,Position,1,108,
126.017,126.472,35.2159,um,Surface,Position,1,109,
137.564,146.182,36.246,um,Surface,Position,1,110,
127.871,138.716,36.5885,um,Surface,Position,1,111,
122.027,128.106,35.3445,um,Surface,Position,1,112,
122.351,132.936,35.0748,um,Surface,Position,1,113,
134.424,128.654,38.3834,um,Surface,Position,1,114,
136.319,135.235,41.2972,um,Surface,Position,1,115,
146.343,126.529,34.4554,um,Surface,Position,1,116,
163.832,133.791,30.6045,um,Surface,Position,1,117,
157.291,126.219,35.1553,um,Surface,Position,1,118,
149.534,138.692,35.1912,um,Surface,Position,1,119,
91.6497,147.285,40.058,um,Surface,Position,1,120,
104.281,155.162,34.2725,um,Surface,Position,1,121,
