
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
0.180425,,Surface,5,Image 1,1,0,
0.105263,,Surface,5,Image 1,1,1,
0.247104,,Surface,5,Image 1,1,2,
0.183673,,Surface,5,Image 1,1,3,
0.177233,,Surface,5,Image 1,1,4,
0.314655,,Surface,5,Image 1,1,5,
0.202454,,Surface,5,Image 1,1,6,
0.233151,,Surface,5,Image 1,1,7,
0.428571,,Surface,5,Image 1,1,8,
0.280193,,Surface,5,Image 1,1,9,
0.204947,,Surface,5,Image 1,1,10,
0,,Surface,5,Image 1,1,11,
0.259615,,Surface,5,Image 1,1,12,
0.216216,,Surface,5,Image 1,1,13,
0.282282,,Surface,5,Image 1,1,14,
0.23185,,Surface,5,Image 1,1,15,
0.12987,,Surface,5,Image 1,1,16,
0.352941,,Surface,5,Image 1,1,17,
0.426877,,Surface,5,Image 1,1,18,
0.400358,,Surface,5,Image 1,1,19,
0.41516,,Surface,5,Image 1,1,20,
0.464464,,Surface,5,Image 1,1,21,
0.214286,,Surface,5,Image 1,1,22,
0.389571,,Surface,5,Image 1,1,23,
0.255432,,Surface,5,Image 1,1,24,
0.195122,,Surface,5,Image 1,1,25,
0.241883,,Surface,5,Image 1,1,26,
0.181495,,Surface,5,Image 1,1,27,
0.415723,,Surface,5,Image 1,1,28,
0.379859,,Surface,5,Image 1,1,29,
0.380435,,Surface,5,Image 1,1,30,
0.470408,,Surface,5,Image 1,1,31,
0.278898,,Surface,5,Image 1,1,32,
0.250558,,Surface,5,Image 1,1,33,
0.32498,,Surface,5,Image 1,1,34,
0.281586,,Surface,5,Image 1,1,35,
0.248401,,Surface,5,Image 1,1,36,
0.260955,,Surface,5,Image 1,1,37,
0.2417,,Surface,5,Image 1,1,38,
0.235615,,Surface,5,Image 1,1,39,
0.3,,Surface,5,Image 1,1,40,
0.262928,,Surface,5,Image 1,1,41,
0.381927,,Surface,5,Image 1,1,42,
0.46706,,Surface,5,Image 1,1,43,
0.263305,,Surface,5,Image 1,1,44,
0.286573,,Surface,5,Image 1,1,45,
0.450159,,Surface,5,Image 1,1,46,
0.293385,,Surface,5,Image 1,1,47,
0.464102,,Surface,5,Image 1,1,48,
0.438503,,Surface,5,Image 1,1,49,
0.40914,,Surface,5,Image 1,1,50,
0.426726,,Surface,5,Image 1,1,51,
0.424689,,Surface,5,Image 1,1,52,
0.313218,,Surface,5,Image 1,1,53,
0.248906,,Surface,5,Image 1,1,54,
0.186441,,Surface,5,Image 1,1,55,
0.339988,,Surface,5,Image 1,1,56,
0.335433,,Surface,5,Image 1,1,57,
0.232289,,Surface,5,Image 1,1,58,
0.206838,,Surface,5,Image 1,1,59,
0.134615,,Surface,5,Image 1,1,60,
0.340638,,Surface,5,Image 1,1,61,
0.335266,,Surface,5,Image 1,1,62,
0.301957,,Surface,5,Image 1,1,63,
0.330793,,Surface,5,Image 1,1,64,
0.322334,,Surface,5,Image 1,1,65,
0.349983,,Surface,5,Image 1,1,66,
0.27701,,Surface,5,Image 1,1,67,
0.243364,,Surface,5,Image 1,1,68,
0.337237,,Surface,5,Image 1,1,69,
0.260678,,Surface,5,Image 1,1,70,
0.40113,,Surface,5,Image 1,1,71,
0.187274,,Surface,5,Image 1,1,72,
0.229792,,Surface,5,Image 1,1,73,
0.235955,,Surface,5,Image 1,1,74,
0.395243,,Surface,5,Image 1,1,75,
0.304161,,Surface,5,Image 1,1,76,
0.282249,,Surface,5,Image 1,1,77,
0.24456,,Surface,5,Image 1,1,78,
0.313893,,Surface,5,Image 1,1,79,
0.142857,,Surface,5,Image 1,1,80,
0.173913,,Surface,5,Image 1,1,81,
0.1,,Surface,5,Image 1,1,82,
0.236246,,Surface,5,Image 1,1,83,
0.200787,,Surface,5,Image 1,1,84,
0.214876,,Surface,5,Image 1,1,85,
0.26618,,Surface,5,Image 1,1,86,
0.265457,,Surface,5,Image 1,1,87,
0.340097,,Surface,5,Image 1,1,88,
0.379858,,Surface,5,Image 1,1,89,
0.309046,,Surface,5,Image 1,1,90,
0.305705,,Surface,5,Image 1,1,91,
0.195276,,Surface,5,Image 1,1,92,
0.390264,,Surface,5,Image 1,1,93,
0.561793,,Surface,5,Image 1,1,94,
0.209054,,Surface,5,Image 1,1,95,
0.232897,,Surface,5,Image 1,1,96,
0.36112,,Surface,5,Image 1,1,97,
0.227848,,Surface,5,Image 1,1,98,
0.147425,,Surface,5,Image 1,1,99,
1.6309,,Surface,5,Image 1,1,100,
0.434652,,Surface,5,Image 1,1,101,
0.817992,,Surface,5,Image 1,1,102,
0.391683,,Surface,5,Image 1,1,103,
0.499755,,Surface,5,Image 1,1,104,
0.450192,,Surface,5,Image 1,1,105,
0.642712,,Surface,5,Image 1,1,106,
0.391036,,Surface,5,Image 1,1,107,
0.526563,,Surface,5,Image 1,1,108,
0.406593,,Surface,5,Image 1,1,109,
0.271499,,Surface,5,Image 1,1,110,
0.504132,,Surface,5,Image 1,1,111,
0,,Surface,5,Image 1,1,112,
0.296593,,Surface,5,Image 1,1,113,
0.393864,,Surface,5,Image 1,1,114,
0.382353,,Surface,5,Image 1,1,115,
0.330672,,Surface,5,Image 1,1,116,
0.519231,,Surface,5,Image 1,1,117,
0.369565,,Surface,5,Image 1,1,118,
0.597849,,Surface,5,Image 1,1,119,
0.336449,,Surface,5,Image 1,1,120,
0.366172,,Surface,5,Image 1,1,121,
0.276067,,Surface,5,Image 1,1,122,
0,,Surface,5,Image 1,1,123,
0.333333,,Surface,5,Image 1,1,124,
0.681971,,Surface,5,Image 1,1,125,
0.597783,,Surface,5,Image 1,1,126,
0.737843,,Surface,5,Image 1,1,127,
0.6037,,Surface,5,Image 1,1,128,
0.529452,,Surface,5,Image 1,1,129,
0.513102,,Surface,5,Image 1,1,130,
0.46155,,Surface,5,Image 1,1,131,
0.432601,,Surface,5,Image 1,1,132,
0.558783,,Surface,5,Image 1,1,133,
0.415907,,Surface,5,Image 1,1,134,
0.529245,,Surface,5,Image 1,1,135,
0.386357,,Surface,5,Image 1,1,136,
0.590719,,Surface,5,Image 1,1,137,
0.426075,,Surface,5,Image 1,1,138,
0.395217,,Surface,5,Image 1,1,139,
0.404455,,Surface,5,Image 1,1,140,
0.491363,,Surface,5,Image 1,1,141,
0.672892,,Surface,5,Image 1,1,142,
0.562947,,Surface,5,Image 1,1,143,
0.767884,,Surface,5,Image 1,1,144,
0.529032,,Surface,5,Image 1,1,145,
0.465141,,Surface,5,Image 1,1,146,
0.257468,,Surface,5,Image 1,1,147,
0.421766,,Surface,5,Image 1,1,148,
0.370912,,Surface,5,Image 1,1,149,
1.44432,,Surface,5,Image 1,1,150,
0.844683,,Surface,5,Image 1,1,151,
0.248768,,Surface,5,Image 1,1,152,
0.244547,,Surface,5,Image 1,1,153,
0.867437,,Surface,5,Image 1,1,154,
0.833333,,Surface,5,Image 1,1,155,
