
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
11,,Surface,3,Image 1,1,0,
8,,Surface,3,Image 1,1,1,
10,,Surface,3,Image 1,1,2,
21,,Surface,3,Image 1,1,3,
14,,Surface,3,Image 1,1,4,
16,,Surface,3,Image 1,1,5,
10,,Surface,3,Image 1,1,6,
13,,Surface,3,Image 1,1,7,
7,,Surface,3,Image 1,1,8,
10,,Surface,3,Image 1,1,9,
10,,Surface,3,Image 1,1,10,
5,,Surface,3,Image 1,1,11,
8,,Surface,3,Image 1,1,12,
12,,Surface,3,Image 1,1,13,
10,,Surface,3,Image 1,1,14,
15,,Surface,3,Image 1,1,15,
8,,Surface,3,Image 1,1,16,
5,,Surface,3,Image 1,1,17,
9,,Surface,3,Image 1,1,18,
13,,Surface,3,Image 1,1,19,
14,,Surface,3,Image 1,1,20,
18,,Surface,3,Image 1,1,21,
3,,Surface,3,Image 1,1,22,
13,,Surface,3,Image 1,1,23,
16,,Surface,3,Image 1,1,24,
12,,Surface,3,Image 1,1,25,
12,,Surface,3,Image 1,1,26,
19,,Surface,3,Image 1,1,27,
16,,Surface,3,Image 1,1,28,
18,,Surface,3,Image 1,1,29,
13,,Surface,3,Image 1,1,30,
16,,Surface,3,Image 1,1,31,
21,,Surface,3,Image 1,1,32,
14,,Surface,3,Image 1,1,33,
20,,Surface,3,Image 1,1,34,
17,,Surface,3,Image 1,1,35,
15,,Surface,3,Image 1,1,36,
15,,Surface,3,Image 1,1,37,
14,,Surface,3,Image 1,1,38,
13,,Surface,3,Image 1,1,39,
7,,Surface,3,Image 1,1,40,
13,,Surface,3,Image 1,1,41,
23,,Surface,3,Image 1,1,42,
17,,Surface,3,Image 1,1,43,
17,,Surface,3,Image 1,1,44,
22,,Surface,3,Image 1,1,45,
34,,Surface,3,Image 1,1,46,
18,,Surface,3,Image 1,1,47,
18,,Surface,3,Image 1,1,48,
12,,Surface,3,Image 1,1,49,
14,,Surface,3,Image 1,1,50,
14,,Surface,3,Image 1,1,51,
12,,Surface,3,Image 1,1,52,
10,,Surface,3,Image 1,1,53,
22,,Surface,3,Image 1,1,54,
10,,Surface,3,Image 1,1,55,
11,,Surface,3,Image 1,1,56,
11,,Surface,3,Image 1,1,57,
14,,Surface,3,Image 1,1,58,
11,,Surface,3,Image 1,1,59,
8,,Surface,3,Image 1,1,60,
17,,Surface,3,Image 1,1,61,
16,,Surface,3,Image 1,1,62,
16,,Surface,3,Image 1,1,63,
12,,Surface,3,Image 1,1,64,
19,,Surface,3,Image 1,1,65,
15,,Surface,3,Image 1,1,66,
16,,Surface,3,Image 1,1,67,
16,,Surface,3,Image 1,1,68,
11,,Surface,3,Image 1,1,69,
16,,Surface,3,Image 1,1,70,
11,,Surface,3,Image 1,1,71,
15,,Surface,3,Image 1,1,72,
13,,Surface,3,Image 1,1,73,
9,,Surface,3,Image 1,1,74,
17,,Surface,3,Image 1,1,75,
14,,Surface,3,Image 1,1,76,
18,,Surface,3,Image 1,1,77,
19,,Surface,3,Image 1,1,78,
33,,Surface,3,Image 1,1,79,
7,,Surface,3,Image 1,1,80,
7,,Surface,3,Image 1,1,81,
6,,Surface,3,Image 1,1,82,
10,,Surface,3,Image 1,1,83,
10,,Surface,3,Image 1,1,84,
10,,Surface,3,Image 1,1,85,
13,,Surface,3,Image 1,1,86,
21,,Surface,3,Image 1,1,87,
49,,Surface,3,Image 1,1,88,
19,,Surface,3,Image 1,1,89,
16,,Surface,3,Image 1,1,90,
57,,Surface,3,Image 1,1,91,
13,,Surface,3,Image 1,1,92,
16,,Surface,3,Image 1,1,93,
28,,Surface,3,Image 1,1,94,
14,,Surface,3,Image 1,1,95,
15,,Surface,3,Image 1,1,96,
18,,Surface,3,Image 1,1,97,
10,,Surface,3,Image 1,1,98,
16,,Surface,3,Image 1,1,99,
16,,Surface,3,Image 1,1,100,
23,,Surface,3,Image 1,1,101,
14,,Surface,3,Image 1,1,102,
13,,Surface,3,Image 1,1,103,
14,,Surface,3,Image 1,1,104,
12,,Surface,3,Image 1,1,105,
18,,Surface,3,Image 1,1,106,
