
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
4.67034,,Surface,4,Image 1,1,0,
7.09883,,Surface,4,Image 1,1,1,
4.93462,,Surface,4,Image 1,1,2,
4.67967,,Surface,4,Image 1,1,3,
5.12867,,Surface,4,Image 1,1,4,
4.24332,,Surface,4,Image 1,1,5,
8.00408,,Surface,4,Image 1,1,6,
2.84495,,Surface,4,Image 1,1,7,
2.94819,,Surface,4,Image 1,1,8,
9.07128,,Surface,4,Image 1,1,9,
4.6443,,Surface,4,Image 1,1,10,
8.42954,,Surface,4,Image 1,1,11,
10.623,,Surface,4,Image 1,1,12,
11.3802,,Surface,4,Image 1,1,13,
10.645,,Surface,4,Image 1,1,14,
11.476,,Surface,4,Image 1,1,15,
10.034,,Surface,4,Image 1,1,16,
12.6943,,Surface,4,Image 1,1,17,
13.28,,Surface,4,Image 1,1,18,
8.16436,,Surface,4,Image 1,1,19,
7.95037,,Surface,4,Image 1,1,20,
12.328,,Surface,4,Image 1,1,21,
8.14287,,Surface,4,Image 1,1,22,
8.092,,Surface,4,Image 1,1,23,
7.2151,,Surface,4,Image 1,1,24,
9.13785,,Surface,4,Image 1,1,25,
10.5341,,Surface,4,Image 1,1,26,
11.9363,,Surface,4,Image 1,1,27,
13.7494,,Surface,4,Image 1,1,28,
13.8938,,Surface,4,Image 1,1,29,
6.84698,,Surface,4,Image 1,1,30,
14.0586,,Surface,4,Image 1,1,31,
8.47469,,Surface,4,Image 1,1,32,
7.86387,,Surface,4,Image 1,1,33,
10.5879,,Surface,4,Image 1,1,34,
11.2601,,Surface,4,Image 1,1,35,
8.0259,,Surface,4,Image 1,1,36,
11.2718,,Surface,4,Image 1,1,37,
6.07552,,Surface,4,Image 1,1,38,
1.39583,,Surface,4,Image 1,1,39,
2.67384,,Surface,4,Image 1,1,40,
2.54146,,Surface,4,Image 1,1,41,
2.68575,,Surface,4,Image 1,1,42,
4.21515,,Surface,4,Image 1,1,43,
3.74207,,Surface,4,Image 1,1,44,
4.88895,,Surface,4,Image 1,1,45,
5.7447,,Surface,4,Image 1,1,46,
3.56228,,Surface,4,Image 1,1,47,
9.43314,,Surface,4,Image 1,1,48,
7.23367,,Surface,4,Image 1,1,49,
6.47936,,Surface,4,Image 1,1,50,
12.186,,Surface,4,Image 1,1,51,
6.59374,,Surface,4,Image 1,1,52,
9.32175,,Surface,4,Image 1,1,53,
7.99872,,Surface,4,Image 1,1,54,
9.33776,,Surface,4,Image 1,1,55,
12.0004,,Surface,4,Image 1,1,56,
10.0794,,Surface,4,Image 1,1,57,
9.13577,,Surface,4,Image 1,1,58,
12.8995,,Surface,4,Image 1,1,59,
9.96592,,Surface,4,Image 1,1,60,
12.961,,Surface,4,Image 1,1,61,
4.18381,,Surface,4,Image 1,1,62,
11.5598,,Surface,4,Image 1,1,63,
8.6809,,Surface,4,Image 1,1,64,
7.61189,,Surface,4,Image 1,1,65,
12.5842,,Surface,4,Image 1,1,66,
10.3659,,Surface,4,Image 1,1,67,
15.4527,,Surface,4,Image 1,1,68,
13.1454,,Surface,4,Image 1,1,69,
9.19336,,Surface,4,Image 1,1,70,
6.00562,,Surface,4,Image 1,1,71,
4.23313,,Surface,4,Image 1,1,72,
6.26281,,Surface,4,Image 1,1,73,
3.29365,,Surface,4,Image 1,1,74,
5.56485,,Surface,4,Image 1,1,75,
3.87306,,Surface,4,Image 1,1,76,
5.35276,,Surface,4,Image 1,1,77,
5.38569,,Surface,4,Image 1,1,78,
4.43773,,Surface,4,Image 1,1,79,
10.0606,,Surface,4,Image 1,1,80,
5.85037,,Surface,4,Image 1,1,81,
7.54911,,Surface,4,Image 1,1,82,
2.31581,,Surface,4,Image 1,1,83,
5.31962,,Surface,4,Image 1,1,84,
5.0978,,Surface,4,Image 1,1,85,
8.34429,,Surface,4,Image 1,1,86,
5.00324,,Surface,4,Image 1,1,87,
10.266,,Surface,4,Image 1,1,88,
3.18943,,Surface,4,Image 1,1,89,
2.69791,,Surface,4,Image 1,1,90,
3.73417,,Surface,4,Image 1,1,91,
7.38564,,Surface,4,Image 1,1,92,
3.53489,,Surface,4,Image 1,1,93,
1.88877,,Surface,4,Image 1,1,94,
3.34316,,Surface,4,Image 1,1,95,
9.59027,,Surface,4,Image 1,1,96,
2.59432,,Surface,4,Image 1,1,97,
7.25468,,Surface,4,Image 1,1,98,
9.45274,,Surface,4,Image 1,1,99,
2.2989,,Surface,4,Image 1,1,100,
2.16298,,Surface,4,Image 1,1,101,
10.6632,,Surface,4,Image 1,1,102,
4.19499,,Surface,4,Image 1,1,103,
8.49966,,Surface,4,Image 1,1,104,
4.4518,,Surface,4,Image 1,1,105,
3.11097,,Surface,4,Image 1,1,106,
1.3302,,Surface,4,Image 1,1,107,
7.34479,,Surface,4,Image 1,1,108,
4.08647,,Surface,4,Image 1,1,109,
2.97539,,Surface,4,Image 1,1,110,
5.62796,,Surface,4,Image 1,1,111,
3.19604,,Surface,4,Image 1,1,112,
14.151,,Surface,4,Image 1,1,113,
5.46037,,Surface,4,Image 1,1,114,
3.2216,,Surface,4,Image 1,1,115,
11.6962,,Surface,4,Image 1,1,116,
1.48461,,Surface,4,Image 1,1,117,
8.27618,,Surface,4,Image 1,1,118,
5.49905,,Surface,4,Image 1,1,119,
1.88101,,Surface,4,Image 1,1,120,
1.65125,,Surface,4,Image 1,1,121,
12.2121,,Surface,4,Image 1,1,122,
4.6487,,Surface,4,Image 1,1,123,
13.0439,,Surface,4,Image 1,1,124,
14.9299,,Surface,4,Image 1,1,125,
7.81506,,Surface,4,Image 1,1,126,
4.17666,,Surface,4,Image 1,1,127,
3.82118,,Surface,4,Image 1,1,128,
5.46094,,Surface,4,Image 1,1,129,
5.07867,,Surface,4,Image 1,1,130,
8.09506,,Surface,4,Image 1,1,131,
12.8362,,Surface,4,Image 1,1,132,
5.31172,,Surface,4,Image 1,1,133,
8.09442,,Surface,4,Image 1,1,134,
8.73096,,Surface,4,Image 1,1,135,
7.44147,,Surface,4,Image 1,1,136,
11.6417,,Surface,4,Image 1,1,137,
8.80365,,Surface,4,Image 1,1,138,
13.1429,,Surface,4,Image 1,1,139,
10.473,,Surface,4,Image 1,1,140,
14.598,,Surface,4,Image 1,1,141,
11.7343,,Surface,4,Image 1,1,142,
9.98874,,Surface,4,Image 1,1,143,
17.7777,,Surface,4,Image 1,1,144,
10.0451,,Surface,4,Image 1,1,145,
10.4242,,Surface,4,Image 1,1,146,
11.3723,,Surface,4,Image 1,1,147,
15.8296,,Surface,4,Image 1,1,148,
12.5704,,Surface,4,Image 1,1,149,
11.8935,,Surface,4,Image 1,1,150,
3.90367,,Surface,4,Image 1,1,151,
2.04796,,Surface,4,Image 1,1,152,
12.67,,Surface,4,Image 1,1,153,
3.58356,,Surface,4,Image 1,1,154,
9.30312,,Surface,4,Image 1,1,155,
8.03185,,Surface,4,Image 1,1,156,
5.93756,,Surface,4,Image 1,1,157,
4.78289,,Surface,4,Image 1,1,158,
5.22915,,Surface,4,Image 1,1,159,
6.00371,,Surface,4,Image 1,1,160,
2.69063,,Surface,4,Image 1,1,161,
9.52712,,Surface,4,Image 1,1,162,
3.60818,,Surface,4,Image 1,1,163,
9.49868,,Surface,4,Image 1,1,164,
5.37326,,Surface,4,Image 1,1,165,
6.76545,,Surface,4,Image 1,1,166,
9.33955,,Surface,4,Image 1,1,167,
9.00711,,Surface,4,Image 1,1,168,
10.7808,,Surface,4,Image 1,1,169,
16.1481,,Surface,4,Image 1,1,170,
8.46762,,Surface,4,Image 1,1,171,
10.9413,,Surface,4,Image 1,1,172,
9.7897,,Surface,4,Image 1,1,173,
10.2326,,Surface,4,Image 1,1,174,
5.73186,,Surface,4,Image 1,1,175,
7.1505,,Surface,4,Image 1,1,176,
13.991,,Surface,4,Image 1,1,177,
9.77278,,Surface,4,Image 1,1,178,
10.1345,,Surface,4,Image 1,1,179,
6.34408,,Surface,4,Image 1,1,180,
9.87709,,Surface,4,Image 1,1,181,
14.5159,,Surface,4,Image 1,1,182,
10.5325,,Surface,4,Image 1,1,183,
5.28484,,Surface,4,Image 1,1,184,
6.31592,,Surface,4,Image 1,1,185,
7.38958,,Surface,4,Image 1,1,186,
7.49625,,Surface,4,Image 1,1,187,
9.52565,,Surface,4,Image 1,1,188,
5.91403,,Surface,4,Image 1,1,189,
6.77893,,Surface,4,Image 1,1,190,
9.74603,,Surface,4,Image 1,1,191,
4.85905,,Surface,4,Image 1,1,192,
8.56866,,Surface,4,Image 1,1,193,
10.0091,,Surface,4,Image 1,1,194,
6.54918,,Surface,4,Image 1,1,195,
14.2077,,Surface,4,Image 1,1,196,
10.5115,,Surface,4,Image 1,1,197,
7.6911,,Surface,4,Image 1,1,198,
12.0297,,Surface,4,Image 1,1,199,
16.2196,,Surface,4,Image 1,1,200,
10.7368,,Surface,4,Image 1,1,201,
6.99703,,Surface,4,Image 1,1,202,
11.0631,,Surface,4,Image 1,1,203,
11.3864,,Surface,4,Image 1,1,204,
13.4119,,Surface,4,Image 1,1,205,
10.1444,,Surface,4,Image 1,1,206,
14.6676,,Surface,4,Image 1,1,207,
9.5882,,Surface,4,Image 1,1,208,
12.9548,,Surface,4,Image 1,1,209,
12.5562,,Surface,4,Image 1,1,210,
9.67763,,Surface,4,Image 1,1,211,
13.8272,,Surface,4,Image 1,1,212,
7.46287,,Surface,4,Image 1,1,213,
1.54196,,Surface,4,Image 1,1,214,
10.7907,,Surface,4,Image 1,1,215,
2.60089,,Surface,4,Image 1,1,216,
5.3621,,Surface,4,Image 1,1,217,
5.4306,,Surface,4,Image 1,1,218,
11.4636,,Surface,4,Image 1,1,219,
4.53985,,Surface,4,Image 1,1,220,
4.12852,,Surface,4,Image 1,1,221,
4.81947,,Surface,4,Image 1,1,222,
4.69517,,Surface,4,Image 1,1,223,
8.43839,,Surface,4,Image 1,1,224,
7.52416,,Surface,4,Image 1,1,225,
11.9632,,Surface,4,Image 1,1,226,
6.22201,,Surface,4,Image 1,1,227,
5.02551,,Surface,4,Image 1,1,228,
6.68458,,Surface,4,Image 1,1,229,
7.97815,,Surface,4,Image 1,1,230,
8.69691,,Surface,4,Image 1,1,231,
10.1844,,Surface,4,Image 1,1,232,
4.51664,,Surface,4,Image 1,1,233,
4.16651,,Surface,4,Image 1,1,234,
1.58281,,Surface,4,Image 1,1,235,
15.237,,Surface,4,Image 1,1,236,
7.44578,,Surface,4,Image 1,1,237,
2.20712,,Surface,4,Image 1,1,238,
1.67541,,Surface,4,Image 1,1,239,
3.20856,,Surface,4,Image 1,1,240,
2.09011,,Surface,4,Image 1,1,241,
1.70462,,Surface,4,Image 1,1,242,
1.72544,,Surface,4,Image 1,1,243,
1.76024,,Surface,4,Image 1,1,244,
1.65958,,Surface,4,Image 1,1,245,
1.61171,,Surface,4,Image 1,1,246,
6.83376,,Surface,4,Image 1,1,247,
2.39019,,Surface,4,Image 1,1,248,
2.41306,,Surface,4,Image 1,1,249,
2.75555,,Surface,4,Image 1,1,250,
8.17752,,Surface,4,Image 1,1,251,
2.3808,,Surface,4,Image 1,1,252,
7.45626,,Surface,4,Image 1,1,253,
1.10475,,Surface,4,Image 1,1,254,
2.54235,,Surface,4,Image 1,1,255,
7.36873,,Surface,4,Image 1,1,256,
6.52831,,Surface,4,Image 1,1,257,
2.32241,,Surface,4,Image 1,1,258,
8.35235,,Surface,4,Image 1,1,259,
8.71551,,Surface,4,Image 1,1,260,
10.2656,,Surface,4,Image 1,1,261,
3.69488,,Surface,4,Image 1,1,262,
4.6284,,Surface,4,Image 1,1,263,
2.67091,,Surface,4,Image 1,1,264,
13.0334,,Surface,4,Image 1,1,265,
9.80508,,Surface,4,Image 1,1,266,
9.01818,,Surface,4,Image 1,1,267,
3.7578,,Surface,4,Image 1,1,268,
4.18306,,Surface,4,Image 1,1,269,
4.96846,,Surface,4,Image 1,1,270,
8.12193,,Surface,4,Image 1,1,271,
2.62782,,Surface,4,Image 1,1,272,
7.81258,,Surface,4,Image 1,1,273,
5.76848,,Surface,4,Image 1,1,274,
7.43409,,Surface,4,Image 1,1,275,
9.88415,,Surface,4,Image 1,1,276,
4.99823,,Surface,4,Image 1,1,277,
7.42816,,Surface,4,Image 1,1,278,
6.21712,,Surface,4,Image 1,1,279,
5.89417,,Surface,4,Image 1,1,280,
6.1447,,Surface,4,Image 1,1,281,
5.60553,,Surface,4,Image 1,1,282,
5.94961,,Surface,4,Image 1,1,283,
12.3462,,Surface,4,Image 1,1,284,
16.1755,,Surface,4,Image 1,1,285,
13.0444,,Surface,4,Image 1,1,286,
9.75523,,Surface,4,Image 1,1,287,
12.6132,,Surface,4,Image 1,1,288,
11.325,,Surface,4,Image 1,1,289,
11.9152,,Surface,4,Image 1,1,290,
13.1835,,Surface,4,Image 1,1,291,
11.7036,,Surface,4,Image 1,1,292,
10.7791,,Surface,4,Image 1,1,293,
9.42583,,Surface,4,Image 1,1,294,
13.0132,,Surface,4,Image 1,1,295,
9.42757,,Surface,4,Image 1,1,296,
10.9925,,Surface,4,Image 1,1,297,
11.5199,,Surface,4,Image 1,1,298,
16.218,,Surface,4,Image 1,1,299,
10.3892,,Surface,4,Image 1,1,300,
13.9842,,Surface,4,Image 1,1,301,
9.5194,,Surface,4,Image 1,1,302,
10.234,,Surface,4,Image 1,1,303,
7.5461,,Surface,4,Image 1,1,304,
8.96816,,Surface,4,Image 1,1,305,
13.1243,,Surface,4,Image 1,1,306,
3.27033,,Surface,4,Image 1,1,307,
9.66949,,Surface,4,Image 1,1,308,
8.67919,,Surface,4,Image 1,1,309,
1.8618,,Surface,4,Image 1,1,310,
3.50007,,Surface,4,Image 1,1,311,
8.62907,,Surface,4,Image 1,1,312,
8.74262,,Surface,4,Image 1,1,313,
10.0885,,Surface,4,Image 1,1,314,
1.726,,Surface,4,Image 1,1,315,
8.15273,,Surface,4,Image 1,1,316,
7.94995,,Surface,4,Image 1,1,317,
7.76016,,Surface,4,Image 1,1,318,
12.057,,Surface,4,Image 1,1,319,
5.39705,,Surface,4,Image 1,1,320,
6.53249,,Surface,4,Image 1,1,321,
6.47525,,Surface,4,Image 1,1,322,
3.90898,,Surface,4,Image 1,1,323,
4.73215,,Surface,4,Image 1,1,324,
10.04,,Surface,4,Image 1,1,325,
4.26431,,Surface,4,Image 1,1,326,
4.3864,,Surface,4,Image 1,1,327,
4.24055,,Surface,4,Image 1,1,328,
8.78877,,Surface,4,Image 1,1,329,
8.18071,,Surface,4,Image 1,1,330,
11.5809,,Surface,4,Image 1,1,331,
9.13145,,Surface,4,Image 1,1,332,
11.2329,,Surface,4,Image 1,1,333,
9.98213,,Surface,4,Image 1,1,334,
8.60929,,Surface,4,Image 1,1,335,
11.2589,,Surface,4,Image 1,1,336,
13.1587,,Surface,4,Image 1,1,337,
8.4418,,Surface,4,Image 1,1,338,
7.59426,,Surface,4,Image 1,1,339,
13.4646,,Surface,4,Image 1,1,340,
10.6939,,Surface,4,Image 1,1,341,
11.8728,,Surface,4,Image 1,1,342,
3.89243,,Surface,4,Image 1,1,343,
7.35515,,Surface,4,Image 1,1,344,
8.20224,,Surface,4,Image 1,1,345,
8.04581,,Surface,4,Image 1,1,346,
5.88426,,Surface,4,Image 1,1,347,
8.13,,Surface,4,Image 1,1,348,
5.79369,,Surface,4,Image 1,1,349,
4.36362,,Surface,4,Image 1,1,350,
8.27161,,Surface,4,Image 1,1,351,
3.31807,,Surface,4,Image 1,1,352,
3.98452,,Surface,4,Image 1,1,353,
4.88156,,Surface,4,Image 1,1,354,
4.33143,,Surface,4,Image 1,1,355,
10.5419,,Surface,4,Image 1,1,356,
16.4069,,Surface,4,Image 1,1,357,
13.428,,Surface,4,Image 1,1,358,
10.0638,,Surface,4,Image 1,1,359,
15.3982,,Surface,4,Image 1,1,360,
11.0455,,Surface,4,Image 1,1,361,
11.7631,,Surface,4,Image 1,1,362,
12.1007,,Surface,4,Image 1,1,363,
11.6084,,Surface,4,Image 1,1,364,
4.63153,,Surface,4,Image 1,1,365,
12.9355,,Surface,4,Image 1,1,366,
12.5907,,Surface,4,Image 1,1,367,
10.4089,,Surface,4,Image 1,1,368,
1.52871,,Surface,4,Image 1,1,369,
9.87526,,Surface,4,Image 1,1,370,
9.20043,,Surface,4,Image 1,1,371,
2.86352,,Surface,4,Image 1,1,372,
0.904481,,Surface,4,Image 1,1,373,
2.20176,,Surface,4,Image 1,1,374,
2.55749,,Surface,4,Image 1,1,375,
5.94119,,Surface,4,Image 1,1,376,
12.5328,,Surface,4,Image 1,1,377,
9.24753,,Surface,4,Image 1,1,378,
6.40004,,Surface,4,Image 1,1,379,
5.23891,,Surface,4,Image 1,1,380,
5.49135,,Surface,4,Image 1,1,381,
7.90584,,Surface,4,Image 1,1,382,
7.25607,,Surface,4,Image 1,1,383,
7.85741,,Surface,4,Image 1,1,384,
8.18872,,Surface,4,Image 1,1,385,
9.54411,,Surface,4,Image 1,1,386,
5.85803,,Surface,4,Image 1,1,387,
8.98051,,Surface,4,Image 1,1,388,
9.42027,,Surface,4,Image 1,1,389,
12.5059,,Surface,4,Image 1,1,390,
5.17556,,Surface,4,Image 1,1,391,
8.85143,,Surface,4,Image 1,1,392,
13.4978,,Surface,4,Image 1,1,393,
2.43509,,Surface,4,Image 1,1,394,
2.62701,,Surface,4,Image 1,1,395,
9.36604,,Surface,4,Image 1,1,396,
4.33351,,Surface,4,Image 1,1,397,
1.60054,,Surface,4,Image 1,1,398,
2.8603,,Surface,4,Image 1,1,399,
3.74836,,Surface,4,Image 1,1,400,
2.02824,,Surface,4,Image 1,1,401,
2.0805,,Surface,4,Image 1,1,402,
2.57173,,Surface,4,Image 1,1,403,
1.51026,,Surface,4,Image 1,1,404,
8.8039,,Surface,4,Image 1,1,405,
3.23702,,Surface,4,Image 1,1,406,
3.11802,,Surface,4,Image 1,1,407,
2.01862,,Surface,4,Image 1,1,408,
2.75312,,Surface,4,Image 1,1,409,
1.22891,,Surface,4,Image 1,1,410,
1.15643,,Surface,4,Image 1,1,411,
2.48675,,Surface,4,Image 1,1,412,
2.15788,,Surface,4,Image 1,1,413,
1.43633,,Surface,4,Image 1,1,414,
3.40125,,Surface,4,Image 1,1,415,
1.9016,,Surface,4,Image 1,1,416,
1.89834,,Surface,4,Image 1,1,417,
2.63927,,Surface,4,Image 1,1,418,
1.67428,,Surface,4,Image 1,1,419,
2.03911,,Surface,4,Image 1,1,420,
1.11607,,Surface,4,Image 1,1,421,
1.63297,,Surface,4,Image 1,1,422,
1.7394,,Surface,4,Image 1,1,423,
1.77497,,Surface,4,Image 1,1,424,
1.18805,,Surface,4,Image 1,1,425,
11.8329,,Surface,4,Image 1,1,426,
4.50499,,Surface,4,Image 1,1,427,
10.6676,,Surface,4,Image 1,1,428,
2.24494,,Surface,4,Image 1,1,429,
4.31083,,Surface,4,Image 1,1,430,
8.86916,,Surface,4,Image 1,1,431,
8.75468,,Surface,4,Image 1,1,432,
10.7099,,Surface,4,Image 1,1,433,
13.7414,,Surface,4,Image 1,1,434,
10.7047,,Surface,4,Image 1,1,435,
5.24195,,Surface,4,Image 1,1,436,
10.7371,,Surface,4,Image 1,1,437,
11.7484,,Surface,4,Image 1,1,438,
10.4669,,Surface,4,Image 1,1,439,
1.92276,,Surface,4,Image 1,1,440,
2.63603,,Surface,4,Image 1,1,441,
2.00412,,Surface,4,Image 1,1,442,
2.49774,,Surface,4,Image 1,1,443,
10.7249,,Surface,4,Image 1,1,444,
1.35657,,Surface,4,Image 1,1,445,
3.21604,,Surface,4,Image 1,1,446,
