
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
14.3233,,Surface,3,Image 1,1,0,
12.5173,,Surface,3,Image 1,1,1,
15.6665,,Surface,3,Image 1,1,2,
23.8993,,Surface,3,Image 1,1,3,
25.1966,,Surface,3,Image 1,1,4,
29.6405,,Surface,3,Image 1,1,5,
29.8635,,Surface,3,Image 1,1,6,
26.7252,,Surface,3,Image 1,1,7,
27.5076,,Surface,3,Image 1,1,8,
21.9672,,Surface,3,Image 1,1,9,
15.3101,,Surface,3,Image 1,1,10,
13.878,,Surface,3,Image 1,1,11,
13.7629,,Surface,3,Image 1,1,12,
20.8196,,Surface,3,Image 1,1,14,
41.3455,,Surface,3,Image 1,1,15,
42.9829,,Surface,3,Image 1,1,16,
39.8448,,Surface,3,Image 1,1,17,
45.287,,Surface,3,Image 1,1,18,
35.9389,,Surface,3,Image 1,1,19,
34.2975,,Surface,3,Image 1,1,20,
37.0732,,Surface,3,Image 1,1,21,
37.0997,,Surface,3,Image 1,1,22,
62.0935,,Surface,3,Image 1,1,23,
25.1972,,Surface,3,Image 1,1,24,
26.7081,,Surface,3,Image 1,1,25,
36.2637,,Surface,3,Image 1,1,26,
33.2576,,Surface,3,Image 1,1,27,
23.9273,,Surface,3,Image 1,1,28,
24.0574,,Surface,3,Image 1,1,29,
22.0004,,Surface,3,Image 1,1,30,
36.1022,,Surface,3,Image 1,1,31,
48.169,,Surface,3,Image 1,1,32,
29.2579,,Surface,3,Image 1,1,33,
26.6211,,Surface,3,Image 1,1,34,
27.5567,,Surface,3,Image 1,1,35,
19.7687,,Surface,3,Image 1,1,36,
17.9064,,Surface,3,Image 1,1,37,
23.4546,,Surface,3,Image 1,1,38,
27.9909,,Surface,3,Image 1,1,39,
25.9108,,Surface,3,Image 1,1,40,
12.6741,,Surface,3,Image 1,1,41,
18.1229,,Surface,3,Image 1,1,42,
18.0471,,Surface,3,Image 1,1,43,
22.3488,,Surface,3,Image 1,1,44,
29.8012,,Surface,3,Image 1,1,45,
45.2992,,Surface,3,Image 1,1,46,
47.1114,,Surface,3,Image 1,1,47,
26.4243,,Surface,3,Image 1,1,48,
36.78,,Surface,3,Image 1,1,49,
28.8872,,Surface,3,Image 1,1,50,
38.9746,,Surface,3,Image 1,1,51,
39.6402,,Surface,3,Image 1,1,52,
32.8059,,Surface,3,Image 1,1,53,
30.6207,,Surface,3,Image 1,1,54,
28.0143,,Surface,3,Image 1,1,55,
22.8383,,Surface,3,Image 1,1,56,
50.4315,,Surface,3,Image 1,1,57,
56.7371,,Surface,3,Image 1,1,58,
52.729,,Surface,3,Image 1,1,59,
18.4476,,Surface,3,Image 1,1,60,
24.8118,,Surface,3,Image 1,1,61,
32.2875,,Surface,3,Image 1,1,62,
23.0329,,Surface,3,Image 1,1,63,
26.8594,,Surface,3,Image 1,1,64,
25.1345,,Surface,3,Image 1,1,65,
25.8172,,Surface,3,Image 1,1,66,
20.2924,,Surface,3,Image 1,1,67,
38.1983,,Surface,3,Image 1,1,68,
23.438,,Surface,3,Image 1,1,69,
21.4598,,Surface,3,Image 1,1,70,
31.8119,,Surface,3,Image 1,1,71,
30.8103,,Surface,3,Image 1,1,72,
14.9754,,Surface,3,Image 1,1,73,
29.0291,,Surface,3,Image 1,1,74,
23.6741,,Surface,3,Image 1,1,75,
44.1338,,Surface,3,Image 1,1,76,
45.1662,,Surface,3,Image 1,1,77,
26.1675,,Surface,3,Image 1,1,78,
51.1624,,Surface,3,Image 1,1,79,
53.2315,,Surface,3,Image 1,1,80,
30.3659,,Surface,3,Image 1,1,81,
22.9383,,Surface,3,Image 1,1,82,
22.5676,,Surface,3,Image 1,1,83,
25.6292,,Surface,3,Image 1,1,84,
20.9632,,Surface,3,Image 1,1,85,
41.2768,,Surface,3,Image 1,1,86,
21.0165,,Surface,3,Image 1,1,87,
24.3786,,Surface,3,Image 1,1,88,
23.8073,,Surface,3,Image 1,1,89,
27.754,,Surface,3,Image 1,1,90,
8.6968,,Surface,3,Image 1,1,91,
39.7191,,Surface,3,Image 1,1,92,
22.1928,,Surface,3,Image 1,1,93,
41.922,,Surface,3,Image 1,1,94,
22.9711,,Surface,3,Image 1,1,95,
28.5329,,Surface,3,Image 1,1,96,
30.5718,,Surface,3,Image 1,1,97,
15.6027,,Surface,3,Image 1,1,98,
64.2277,,Surface,3,Image 1,1,99,
31.859,,Surface,3,Image 1,1,100,
28.9678,,Surface,3,Image 1,1,101,
34.6628,,Surface,3,Image 1,1,102,
32.5244,,Surface,3,Image 1,1,103,
16.4297,,Surface,3,Image 1,1,104,
