
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
4.24737,,Surface,5,Image 1,1,0,
2.52352,,Surface,5,Image 1,1,1,
1.76024,,Surface,5,Image 1,1,2,
1.15923,,Surface,5,Image 1,1,3,
5.04484,,Surface,5,Image 1,1,4,
1.60699,,Surface,5,Image 1,1,5,
15.3203,,Surface,5,Image 1,1,6,
9.07815,,Surface,5,Image 1,1,7,
20.6072,,Surface,5,Image 1,1,8,
12.353,,Surface,5,Image 1,1,9,
11.996,,Surface,5,Image 1,1,10,
20.1194,,Surface,5,Image 1,1,11,
8.61267,,Surface,5,Image 1,1,12,
13.2577,,Surface,5,Image 1,1,13,
19.5233,,Surface,5,Image 1,1,14,
23.3208,,Surface,5,Image 1,1,15,
29.1941,,Surface,5,Image 1,1,16,
14.205,,Surface,5,Image 1,1,17,
7.62886,,Surface,5,Image 1,1,18,
21.3392,,Surface,5,Image 1,1,19,
13.448,,Surface,5,Image 1,1,20,
8.38678,,Surface,5,Image 1,1,21,
11.7859,,Surface,5,Image 1,1,22,
21.1053,,Surface,5,Image 1,1,23,
6.24737,,Surface,5,Image 1,1,24,
13.6652,,Surface,5,Image 1,1,25,
2.49175,,Surface,5,Image 1,1,26,
1.1572,,Surface,5,Image 1,1,27,
6.73366,,Surface,5,Image 1,1,28,
1.39173,,Surface,5,Image 1,1,29,
0.942952,,Surface,5,Image 1,1,30,
4.06389,,Surface,5,Image 1,1,31,
2.7685,,Surface,5,Image 1,1,32,
1.5048,,Surface,5,Image 1,1,33,
6.59804,,Surface,5,Image 1,1,34,
0.626054,,Surface,5,Image 1,1,35,
7.37302,,Surface,5,Image 1,1,36,
7.04337,,Surface,5,Image 1,1,37,
6.50989,,Surface,5,Image 1,1,38,
10.8162,,Surface,5,Image 1,1,39,
0.995673,,Surface,5,Image 1,1,40,
1.17035,,Surface,5,Image 1,1,41,
11.4235,,Surface,5,Image 1,1,42,
10.9656,,Surface,5,Image 1,1,43,
5.49638,,Surface,5,Image 1,1,44,
0.91902,,Surface,5,Image 1,1,45,
7.3206,,Surface,5,Image 1,1,46,
1.73963,,Surface,5,Image 1,1,47,
1.62169,,Surface,5,Image 1,1,48,
4.97128,,Surface,5,Image 1,1,49,
5.17548,,Surface,5,Image 1,1,50,
7.07568,,Surface,5,Image 1,1,51,
4.04055,,Surface,5,Image 1,1,52,
5.71208,,Surface,5,Image 1,1,53,
5.62053,,Surface,5,Image 1,1,54,
10.4933,,Surface,5,Image 1,1,55,
18.0518,,Surface,5,Image 1,1,56,
11.4319,,Surface,5,Image 1,1,57,
5.31458,,Surface,5,Image 1,1,58,
3.63412,,Surface,5,Image 1,1,59,
23.579,,Surface,5,Image 1,1,60,
9.52788,,Surface,5,Image 1,1,61,
4.10167,,Surface,5,Image 1,1,62,
6.76391,,Surface,5,Image 1,1,63,
12.6008,,Surface,5,Image 1,1,64,
3.00283,,Surface,5,Image 1,1,65,
13.6983,,Surface,5,Image 1,1,66,
3.88611,,Surface,5,Image 1,1,67,
8.94409,,Surface,5,Image 1,1,68,
3.11956,,Surface,5,Image 1,1,69,
3.51693,,Surface,5,Image 1,1,70,
3.00523,,Surface,5,Image 1,1,71,
19.4421,,Surface,5,Image 1,1,72,
13.7981,,Surface,5,Image 1,1,73,
21.3437,,Surface,5,Image 1,1,74,
10.6113,,Surface,5,Image 1,1,75,
16.9045,,Surface,5,Image 1,1,76,
17.0379,,Surface,5,Image 1,1,77,
7.33795,,Surface,5,Image 1,1,78,
8.7865,,Surface,5,Image 1,1,79,
11.4001,,Surface,5,Image 1,1,80,
12.0674,,Surface,5,Image 1,1,81,
2.7817,,Surface,5,Image 1,1,82,
14.7736,,Surface,5,Image 1,1,83,
7.13924,,Surface,5,Image 1,1,84,
10.4387,,Surface,5,Image 1,1,85,
9.29602,,Surface,5,Image 1,1,86,
3.37477,,Surface,5,Image 1,1,87,
5.02386,,Surface,5,Image 1,1,88,
16.4807,,Surface,5,Image 1,1,89,
8.70162,,Surface,5,Image 1,1,90,
1.34186,,Surface,5,Image 1,1,91,
3.10955,,Surface,5,Image 1,1,92,
5.48921,,Surface,5,Image 1,1,93,
1.00739,,Surface,5,Image 1,1,94,
5.39965,,Surface,5,Image 1,1,95,
0.801001,,Surface,5,Image 1,1,96,
12.4598,,Surface,5,Image 1,1,97,
2.10842,,Surface,5,Image 1,1,98,
12.9067,,Surface,5,Image 1,1,99,
4.0879,,Surface,5,Image 1,1,100,
7.63039,,Surface,5,Image 1,1,101,
2.07985,,Surface,5,Image 1,1,102,
10.1339,,Surface,5,Image 1,1,103,
4.48526,,Surface,5,Image 1,1,104,
7.60896,,Surface,5,Image 1,1,105,
4.41168,,Surface,5,Image 1,1,106,
5.23933,,Surface,5,Image 1,1,107,
2.59245,,Surface,5,Image 1,1,108,
4.80533,,Surface,5,Image 1,1,109,
3.89281,,Surface,5,Image 1,1,110,
2.21817,,Surface,5,Image 1,1,111,
2.54252,,Surface,5,Image 1,1,112,
2.84364,,Surface,5,Image 1,1,113,
4.1417,,Surface,5,Image 1,1,114,
19.4168,,Surface,5,Image 1,1,115,
32.0299,,Surface,5,Image 1,1,116,
18.9254,,Surface,5,Image 1,1,117,
9.18991,,Surface,5,Image 1,1,118,
7.387,,Surface,5,Image 1,1,119,
30.8496,,Surface,5,Image 1,1,120,
20.5795,,Surface,5,Image 1,1,121,
33.9889,,Surface,5,Image 1,1,122,
17.6197,,Surface,5,Image 1,1,123,
19.399,,Surface,5,Image 1,1,124,
15.5339,,Surface,5,Image 1,1,125,
13.7383,,Surface,5,Image 1,1,126,
2.51194,,Surface,5,Image 1,1,127,
2.84151,,Surface,5,Image 1,1,128,
1.15432,,Surface,5,Image 1,1,129,
5.65472,,Surface,5,Image 1,1,130,
4.36605,,Surface,5,Image 1,1,131,
5.3735,,Surface,5,Image 1,1,132,
5.0422,,Surface,5,Image 1,1,133,
4.31857,,Surface,5,Image 1,1,134,
5.32662,,Surface,5,Image 1,1,135,
3.01751,,Surface,5,Image 1,1,136,
2.52548,,Surface,5,Image 1,1,137,
2.09156,,Surface,5,Image 1,1,138,
4.70457,,Surface,5,Image 1,1,139,
2.15814,,Surface,5,Image 1,1,140,
7.7289,,Surface,5,Image 1,1,141,
3.66566,,Surface,5,Image 1,1,142,
1.59113,,Surface,5,Image 1,1,143,
3.34601,,Surface,5,Image 1,1,144,
0.780712,,Surface,5,Image 1,1,145,
7.96585,,Surface,5,Image 1,1,146,
0.668454,,Surface,5,Image 1,1,147,
6.13863,,Surface,5,Image 1,1,148,
12.9206,,Surface,5,Image 1,1,149,
1.13793,,Surface,5,Image 1,1,150,
12.7618,,Surface,5,Image 1,1,151,
11.0733,,Surface,5,Image 1,1,152,
1.01041,,Surface,5,Image 1,1,153,
3.99098,,Surface,5,Image 1,1,154,
0.975197,,Surface,5,Image 1,1,155,
2.09207,,Surface,5,Image 1,1,156,
7.56741,,Surface,5,Image 1,1,157,
2.18961,,Surface,5,Image 1,1,158,
2.54031,,Surface,5,Image 1,1,159,
6.52087,,Surface,5,Image 1,1,160,
