
Detailed
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
179.496,69.7573,56.8767,um,Surface,Position,1,0,
176.983,72.5808,56.53,um,Surface,Position,1,1,
174.006,67.1145,54.9381,um,Surface,Position,1,2,
169.713,78.9287,55.8169,um,Surface,Position,1,3,
173.17,75.3613,57.0594,um,Surface,Position,1,4,
163.17,78.4768,57.6055,um,Surface,Position,1,5,
167.537,70.0952,58.3943,um,Surface,Position,1,6,
189.247,68.4034,54.4462,um,Surface,Position,1,7,
118.383,100.826,54.0448,um,Surface,Position,1,8,
131.888,97.9968,54.7088,um,Surface,Position,1,9,
130.646,106.449,55.1528,um,Surface,Position,1,10,
124.195,96.8044,55.8217,um,Surface,Position,1,11,
134.557,102.769,55.4116,um,Surface,Position,1,12,
135.555,93.4733,55.5167,um,Surface,Position,1,13,
130.277,95.184,55.0838,um,Surface,Position,1,14,
130.725,88.4874,55.5448,um,Surface,Position,1,15,
127.098,103.367,56.3697,um,Surface,Position,1,16,
122.871,89.1764,58.1122,um,Surface,Position,1,17,
137.835,107.838,53.5675,um,Surface,Position,1,18,
140.348,98.1564,55.1821,um,Surface,Position,1,19,
143.599,106.281,54.2196,um,Surface,Position,1,20,
153.999,105.428,56.3001,um,Surface,Position,1,21,
150.782,106.445,56.2002,um,Surface,Position,1,22,
137.631,86.9302,57.5219,um,Surface,Position,1,23,
145.866,89.5219,57.5363,um,Surface,Position,1,24,
142.451,92.7556,57.0993,um,Surface,Position,1,25,
157.753,104.739,57.3209,um,Surface,Position,1,26,
160.064,92.2969,58.5005,um,Surface,Position,1,27,
158.238,98.1164,57.9577,um,Surface,Position,1,28,
145.357,104.108,58.6357,um,Surface,Position,1,29,
153.703,99.46,58.1284,um,Surface,Position,1,30,
180.979,93.0581,54.6199,um,Surface,Position,1,31,
178.076,101.625,54.0694,um,Surface,Position,1,32,
176.511,96.7365,54.2546,um,Surface,Position,1,33,
173.336,104.058,53.8056,um,Surface,Position,1,34,
172.963,108.389,54.6294,um,Surface,Position,1,35,
177.72,90.8373,55.1052,um,Surface,Position,1,36,
168.048,107.974,53.1158,um,Surface,Position,1,37,
172.429,96.4065,55.2706,um,Surface,Position,1,38,
168.622,102.912,54.3115,um,Surface,Position,1,39,
164.458,103.9,54.7636,um,Surface,Position,1,40,
167.388,97.7028,56.4069,um,Surface,Position,1,41,
162.982,97.6573,57.2417,um,Surface,Position,1,42,
133.255,117.759,55.2673,um,Surface,Position,1,43,
128.65,133.84,54.6873,um,Surface,Position,1,44,
133.64,110.61,55.816,um,Surface,Position,1,45,
161.473,121.246,52.873,um,Surface,Position,1,46,
148.031,120.485,54.0475,um,Surface,Position,1,47,
139.486,115.648,53.857,um,Surface,Position,1,48,
159.791,113.47,54.8118,um,Surface,Position,1,49,
143.555,118.923,54.2983,um,Surface,Position,1,50,
160.823,128.844,52.6902,um,Surface,Position,1,51,
145.143,111.54,55.8813,um,Surface,Position,1,52,
156.061,130.925,55.8047,um,Surface,Position,1,53,
150.379,113.386,55.8719,um,Surface,Position,1,54,
137.115,133.911,56.8762,um,Surface,Position,1,55,
172.598,118.617,53.4914,um,Surface,Position,1,56,
164.312,125.028,52.7904,um,Surface,Position,1,57,
162.53,122.674,56.3232,um,Surface,Position,1,58,
134.981,147.692,56.0029,um,Surface,Position,1,59,
154.092,147.435,52.4225,um,Surface,Position,1,60,
160.141,140.196,53.1107,um,Surface,Position,1,61,
152.604,137.949,57.0533,um,Surface,Position,1,62,
142.847,139.661,59.3793,um,Surface,Position,1,63,
162.734,135.234,53.3532,um,Surface,Position,1,64,
130.897,82.1251,58.7812,um,Surface,Position,1,65,
139.708,73.406,59.0067,um,Surface,Position,1,66,
154.535,77.8794,57.6725,um,Surface,Position,1,67,
161.449,63.3357,60.4152,um,Surface,Position,1,68,
150.089,76.5031,61.0072,um,Surface,Position,1,69,
155.436,71.9509,60.9772,um,Surface,Position,1,70,
153.496,83.4621,61.1393,um,Surface,Position,1,71,
143.14,80.1297,63.6939,um,Surface,Position,1,72,
155.904,88.5729,58.4491,um,Surface,Position,1,73,
153.664,94.1283,60.2439,um,Surface,Position,1,74,
141.34,89.0881,62.6147,um,Surface,Position,1,75,
133.652,115.245,61.5379,um,Surface,Position,1,76,
143.938,124.278,60.314,um,Surface,Position,1,77,
139.04,117.1,61.1197,um,Surface,Position,1,78,
150.415,82.8494,51.3431,um,Surface,Position,1,79,
154.111,61.6775,50.1616,um,Surface,Position,1,80,
149.625,75.667,52.9931,um,Surface,Position,1,81,
138.013,84.423,51.9766,um,Surface,Position,1,82,
138.472,69.3154,52.7456,um,Surface,Position,1,83,
141.46,73.5632,52.8726,um,Surface,Position,1,84,
161.866,83.251,53.7159,um,Surface,Position,1,85,
169.022,67.331,49.942,um,Surface,Position,1,86,
172.193,76.232,49.8169,um,Surface,Position,1,87,
178.992,76.3647,49.4791,um,Surface,Position,1,88,
176.318,85.3665,53.2796,um,Surface,Position,1,89,
186.391,61.9518,51.308,um,Surface,Position,1,90,
174.269,82.0774,53.368,um,Surface,Position,1,91,
168.699,63.8435,53.2598,um,Surface,Position,1,92,
198.305,83.3608,49.312,um,Surface,Position,1,93,
188.803,68.3795,50.4886,um,Surface,Position,1,94,
194.893,80.3392,50.1908,um,Surface,Position,1,95,
193.904,72.787,53.1148,um,Surface,Position,1,96,
125.573,89.5503,47.7452,um,Surface,Position,1,97,
132.583,99.1623,50.6729,um,Surface,Position,1,98,
