
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
8.41296,,Surface,5,Image 1,1,0,
6.20178,,Surface,5,Image 1,1,1,
1.38914,,Surface,5,Image 1,1,2,
0.890586,,Surface,5,Image 1,1,3,
1.41355,,Surface,5,Image 1,1,4,
0.608807,,Surface,5,Image 1,1,5,
6.14357,,Surface,5,Image 1,1,6,
6.10305,,Surface,5,Image 1,1,7,
1.44571,,Surface,5,Image 1,1,8,
1.0936,,Surface,5,Image 1,1,9,
0.573588,,Surface,5,Image 1,1,10,
0.517946,,Surface,5,Image 1,1,11,
0.36988,,Surface,5,Image 1,1,12,
0.333333,,Surface,5,Image 1,1,13,
0.27064,,Surface,5,Image 1,1,14,
0.268887,,Surface,5,Image 1,1,15,
0.321488,,Surface,5,Image 1,1,16,
0.704311,,Surface,5,Image 1,1,17,
0.250968,,Surface,5,Image 1,1,18,
0.308583,,Surface,5,Image 1,1,19,
0.301425,,Surface,5,Image 1,1,20,
0.411577,,Surface,5,Image 1,1,21,
0.604226,,Surface,5,Image 1,1,22,
0.559893,,Surface,5,Image 1,1,23,
0.351874,,Surface,5,Image 1,1,24,
0.346147,,Surface,5,Image 1,1,25,
0.420251,,Surface,5,Image 1,1,26,
0.330614,,Surface,5,Image 1,1,27,
0.43638,,Surface,5,Image 1,1,28,
0.289853,,Surface,5,Image 1,1,29,
0.421989,,Surface,5,Image 1,1,30,
0.416564,,Surface,5,Image 1,1,31,
0.887855,,Surface,5,Image 1,1,32,
0.383898,,Surface,5,Image 1,1,33,
0.205391,,Surface,5,Image 1,1,34,
0.436967,,Surface,5,Image 1,1,35,
0.231641,,Surface,5,Image 1,1,36,
0.252463,,Surface,5,Image 1,1,37,
7.07501,,Surface,5,Image 1,1,38,
4.41093,,Surface,5,Image 1,1,39,
4.74295,,Surface,5,Image 1,1,40,
6.08382,,Surface,5,Image 1,1,41,
5.39136,,Surface,5,Image 1,1,42,
4.37188,,Surface,5,Image 1,1,43,
6.54162,,Surface,5,Image 1,1,44,
5.33371,,Surface,5,Image 1,1,45,
8.76615,,Surface,5,Image 1,1,46,
9.70713,,Surface,5,Image 1,1,47,
6.66594,,Surface,5,Image 1,1,48,
5.59067,,Surface,5,Image 1,1,49,
4.07504,,Surface,5,Image 1,1,50,
6.0821,,Surface,5,Image 1,1,51,
12.5866,,Surface,5,Image 1,1,52,
1.73241,,Surface,5,Image 1,1,53,
3.44154,,Surface,5,Image 1,1,54,
5.56879,,Surface,5,Image 1,1,55,
7.73603,,Surface,5,Image 1,1,56,
7.76442,,Surface,5,Image 1,1,57,
7.89776,,Surface,5,Image 1,1,58,
5.86475,,Surface,5,Image 1,1,59,
9.4252,,Surface,5,Image 1,1,60,
5.07562,,Surface,5,Image 1,1,61,
0.234277,,Surface,5,Image 1,1,62,
6.3123,,Surface,5,Image 1,1,63,
1.82834,,Surface,5,Image 1,1,64,
4.68268,,Surface,5,Image 1,1,65,
0.479317,,Surface,5,Image 1,1,66,
0.230009,,Surface,5,Image 1,1,67,
1.84487,,Surface,5,Image 1,1,68,
0.378868,,Surface,5,Image 1,1,69,
0.405192,,Surface,5,Image 1,1,70,
0.195097,,Surface,5,Image 1,1,71,
1.25547,,Surface,5,Image 1,1,72,
10.8255,,Surface,5,Image 1,1,73,
0.220418,,Surface,5,Image 1,1,74,
0.188543,,Surface,5,Image 1,1,75,
0.157052,,Surface,5,Image 1,1,76,
0.137063,,Surface,5,Image 1,1,77,
0.136875,,Surface,5,Image 1,1,78,
0.123738,,Surface,5,Image 1,1,79,
0.168452,,Surface,5,Image 1,1,80,
0.308086,,Surface,5,Image 1,1,81,
0.217104,,Surface,5,Image 1,1,82,
0.168605,,Surface,5,Image 1,1,83,
0.195214,,Surface,5,Image 1,1,84,
0.258213,,Surface,5,Image 1,1,85,
0.304085,,Surface,5,Image 1,1,86,
0.236074,,Surface,5,Image 1,1,87,
0.228946,,Surface,5,Image 1,1,88,
0.172017,,Surface,5,Image 1,1,89,
0.23492,,Surface,5,Image 1,1,90,
0.326981,,Surface,5,Image 1,1,91,
0.507024,,Surface,5,Image 1,1,92,
0.337384,,Surface,5,Image 1,1,93,
0.401678,,Surface,5,Image 1,1,94,
0.701626,,Surface,5,Image 1,1,95,
0.429987,,Surface,5,Image 1,1,96,
0.337842,,Surface,5,Image 1,1,97,
0.537464,,Surface,5,Image 1,1,98,
1.23733,,Surface,5,Image 1,1,99,
0.380776,,Surface,5,Image 1,1,100,
0.363927,,Surface,5,Image 1,1,101,
0.387564,,Surface,5,Image 1,1,102,
0.349125,,Surface,5,Image 1,1,103,
0.439526,,Surface,5,Image 1,1,104,
0.285147,,Surface,5,Image 1,1,105,
0.305819,,Surface,5,Image 1,1,106,
0.406472,,Surface,5,Image 1,1,107,
0.378047,,Surface,5,Image 1,1,108,
0.835099,,Surface,5,Image 1,1,109,
0.33768,,Surface,5,Image 1,1,110,
0.404289,,Surface,5,Image 1,1,111,
0.472457,,Surface,5,Image 1,1,112,
0.582988,,Surface,5,Image 1,1,113,
0.375365,,Surface,5,Image 1,1,114,
0.549925,,Surface,5,Image 1,1,115,
0.313285,,Surface,5,Image 1,1,116,
0.446172,,Surface,5,Image 1,1,117,
0.414939,,Surface,5,Image 1,1,118,
4.17429,,Surface,5,Image 1,1,119,
4.27867,,Surface,5,Image 1,1,120,
4.37001,,Surface,5,Image 1,1,121,
4.46566,,Surface,5,Image 1,1,122,
4.17266,,Surface,5,Image 1,1,123,
3.77849,,Surface,5,Image 1,1,124,
5.08389,,Surface,5,Image 1,1,125,
3.05815,,Surface,5,Image 1,1,126,
9.4241,,Surface,5,Image 1,1,127,
4.97197,,Surface,5,Image 1,1,128,
8.31647,,Surface,5,Image 1,1,129,
5.47822,,Surface,5,Image 1,1,130,
9.49202,,Surface,5,Image 1,1,131,
3.03686,,Surface,5,Image 1,1,132,
4.52453,,Surface,5,Image 1,1,133,
4.53881,,Surface,5,Image 1,1,134,
