
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3.2015,,Surface,4,Image 1,1,0,
3.25489,,Surface,4,Image 1,1,1,
12.6086,,Surface,4,Image 1,1,2,
12.8676,,Surface,4,Image 1,1,3,
14.8737,,Surface,4,Image 1,1,4,
17.9579,,Surface,4,Image 1,1,5,
5.48118,,Surface,4,Image 1,1,6,
3.75385,,Surface,4,Image 1,1,7,
14.6524,,Surface,4,Image 1,1,8,
12.8712,,Surface,4,Image 1,1,9,
16.7003,,Surface,4,Image 1,1,10,
13.5554,,Surface,4,Image 1,1,11,
12.3798,,Surface,4,Image 1,1,12,
7.97868,,Surface,4,Image 1,1,13,
6.12968,,Surface,4,Image 1,1,14,
3.39402,,Surface,4,Image 1,1,15,
13.3754,,Surface,4,Image 1,1,16,
3.53051,,Surface,4,Image 1,1,17,
5.14946,,Surface,4,Image 1,1,18,
5.29762,,Surface,4,Image 1,1,19,
3.71054,,Surface,4,Image 1,1,20,
6.98932,,Surface,4,Image 1,1,21,
16.605,,Surface,4,Image 1,1,22,
4.02577,,Surface,4,Image 1,1,23,
8.90543,,Surface,4,Image 1,1,24,
3.99414,,Surface,4,Image 1,1,25,
3.9904,,Surface,4,Image 1,1,26,
14.5979,,Surface,4,Image 1,1,27,
5.25402,,Surface,4,Image 1,1,28,
3.27786,,Surface,4,Image 1,1,29,
5.47746,,Surface,4,Image 1,1,30,
4.17861,,Surface,4,Image 1,1,31,
3.48775,,Surface,4,Image 1,1,32,
3.3763,,Surface,4,Image 1,1,33,
2.90628,,Surface,4,Image 1,1,34,
3.59706,,Surface,4,Image 1,1,35,
9.88841,,Surface,4,Image 1,1,36,
8.07005,,Surface,4,Image 1,1,37,
9.95262,,Surface,4,Image 1,1,38,
10.4536,,Surface,4,Image 1,1,39,
10.8835,,Surface,4,Image 1,1,40,
9.77711,,Surface,4,Image 1,1,41,
15.145,,Surface,4,Image 1,1,42,
5.47648,,Surface,4,Image 1,1,43,
3.6147,,Surface,4,Image 1,1,44,
16.0521,,Surface,4,Image 1,1,45,
13.7008,,Surface,4,Image 1,1,46,
16.7048,,Surface,4,Image 1,1,47,
11.6348,,Surface,4,Image 1,1,48,
12.1257,,Surface,4,Image 1,1,49,
5.31818,,Surface,4,Image 1,1,50,
6.52913,,Surface,4,Image 1,1,51,
5.75267,,Surface,4,Image 1,1,52,
3.54162,,Surface,4,Image 1,1,53,
18.8989,,Surface,4,Image 1,1,54,
15.565,,Surface,4,Image 1,1,55,
17.1104,,Surface,4,Image 1,1,56,
10.4829,,Surface,4,Image 1,1,57,
3.31467,,Surface,4,Image 1,1,58,
5.89623,,Surface,4,Image 1,1,59,
7.72207,,Surface,4,Image 1,1,60,
6.05595,,Surface,4,Image 1,1,61,
8.35555,,Surface,4,Image 1,1,62,
2.96692,,Surface,4,Image 1,1,63,
10.6477,,Surface,4,Image 1,1,64,
9.9796,,Surface,4,Image 1,1,65,
14.8703,,Surface,4,Image 1,1,66,
12.5758,,Surface,4,Image 1,1,67,
2.50035,,Surface,4,Image 1,1,68,
6.59776,,Surface,4,Image 1,1,69,
3.77371,,Surface,4,Image 1,1,70,
3.17747,,Surface,4,Image 1,1,71,
3.42359,,Surface,4,Image 1,1,72,
5.88509,,Surface,4,Image 1,1,73,
11.7781,,Surface,4,Image 1,1,74,
7.49774,,Surface,4,Image 1,1,75,
7.02825,,Surface,4,Image 1,1,76,
11.4996,,Surface,4,Image 1,1,77,
4.9381,,Surface,4,Image 1,1,78,
3.19881,,Surface,4,Image 1,1,79,
14.4916,,Surface,4,Image 1,1,80,
6.56657,,Surface,4,Image 1,1,81,
3.95153,,Surface,4,Image 1,1,82,
7.8234,,Surface,4,Image 1,1,83,
13.1055,,Surface,4,Image 1,1,84,
20.8834,,Surface,4,Image 1,1,85,
3.81843,,Surface,4,Image 1,1,86,
4.86999,,Surface,4,Image 1,1,87,
7.13499,,Surface,4,Image 1,1,88,
5.65135,,Surface,4,Image 1,1,89,
2.20023,,Surface,4,Image 1,1,90,
2.61856,,Surface,4,Image 1,1,91,
2.59345,,Surface,4,Image 1,1,92,
2.53866,,Surface,4,Image 1,1,93,
2.90521,,Surface,4,Image 1,1,94,
2.67412,,Surface,4,Image 1,1,95,
2.81997,,Surface,4,Image 1,1,96,
3.62822,,Surface,4,Image 1,1,97,
2.67847,,Surface,4,Image 1,1,98,
2.24365,,Surface,4,Image 1,1,99,
2.46195,,Surface,4,Image 1,1,100,
2.56674,,Surface,4,Image 1,1,101,
2.88994,,Surface,4,Image 1,1,102,
2.9593,,Surface,4,Image 1,1,103,
2.74441,,Surface,4,Image 1,1,104,
2.13259,,Surface,4,Image 1,1,105,
2.3885,,Surface,4,Image 1,1,106,
2.47403,,Surface,4,Image 1,1,107,
2.77344,,Surface,4,Image 1,1,108,
2.55928,,Surface,4,Image 1,1,109,
2.82907,,Surface,4,Image 1,1,110,
2.25905,,Surface,4,Image 1,1,111,
