
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
15.6238,19.5768,61.6133,um,Surface,Position Reference Frame,Reference Frame 1,1,0,
-3.92942,40.0036,62.8802,um,Surface,Position Reference Frame,Reference Frame 1,1,3,
-13.26,42.7706,62.8855,um,Surface,Position Reference Frame,Reference Frame 1,1,4,
-9.50419,30.3147,63.3662,um,Surface,Position Reference Frame,Reference Frame 1,1,5,
-0.0309074,30.9438,63.6428,um,Surface,Position Reference Frame,Reference Frame 1,1,6,
20.5872,29.9608,63.6934,um,Surface,Position Reference Frame,Reference Frame 1,1,7,
12.0951,31.7343,63.4929,um,Surface,Position Reference Frame,Reference Frame 1,1,8,
17.9313,37.1182,64.5105,um,Surface,Position Reference Frame,Reference Frame 1,1,9,
8.27682,39.5628,64.5941,um,Surface,Position Reference Frame,Reference Frame 1,1,10,
46.8135,43.7281,59.1381,um,Surface,Position Reference Frame,Reference Frame 1,1,11,
28.1733,42.6674,64.2871,um,Surface,Position Reference Frame,Reference Frame 1,1,12,
36.4424,40.7026,65.778,um,Surface,Position Reference Frame,Reference Frame 1,1,13,
-7.00221,52.3074,60.2135,um,Surface,Position Reference Frame,Reference Frame 1,1,14,
-15.3803,52.5577,59.9938,um,Surface,Position Reference Frame,Reference Frame 1,1,15,
-13.0452,57.8492,61.4396,um,Surface,Position Reference Frame,Reference Frame 1,1,16,
-3.17844,59.7082,62.0486,um,Surface,Position Reference Frame,Reference Frame 1,1,17,
-8.61271,57.6676,62.3953,um,Surface,Position Reference Frame,Reference Frame 1,1,18,
-3.37445,46.8029,62.7867,um,Surface,Position Reference Frame,Reference Frame 1,1,19,
-10.446,47.1681,62.5736,um,Surface,Position Reference Frame,Reference Frame 1,1,20,
14.4837,47.0035,61.7577,um,Surface,Position Reference Frame,Reference Frame 1,1,21,
11.2347,50.2217,60.5966,um,Surface,Position Reference Frame,Reference Frame 1,1,22,
1.77442,60.6265,60.2852,um,Surface,Position Reference Frame,Reference Frame 1,1,23,
15.0153,67.2589,60.7222,um,Surface,Position Reference Frame,Reference Frame 1,1,24,
