
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1.37413,,Surface,5,Image 1,1,0,
1.27264,,Surface,5,Image 1,1,1,
1.20434,,Surface,5,Image 1,1,2,
1.40784,,Surface,5,Image 1,1,3,
1.33155,,Surface,5,Image 1,1,4,
1.29012,,Surface,5,Image 1,1,5,
1.38786,,Surface,5,Image 1,1,6,
1.37604,,Surface,5,Image 1,1,7,
1.31512,,Surface,5,Image 1,1,8,
1.36955,,Surface,5,Image 1,1,9,
1.35953,,Surface,5,Image 1,1,10,
1.50884,,Surface,5,Image 1,1,11,
1.28776,,Surface,5,Image 1,1,12,
1.6516,,Surface,5,Image 1,1,13,
1.55505,,Surface,5,Image 1,1,14,
1.57658,,Surface,5,Image 1,1,15,
1.5183,,Surface,5,Image 1,1,16,
1.22919,,Surface,5,Image 1,1,17,
1.45754,,Surface,5,Image 1,1,18,
1.44903,,Surface,5,Image 1,1,19,
1.29084,,Surface,5,Image 1,1,20,
1.02395,,Surface,5,Image 1,1,21,
1.11428,,Surface,5,Image 1,1,22,
13.1548,,Surface,5,Image 1,1,23,
1.56634,,Surface,5,Image 1,1,24,
11.34,,Surface,5,Image 1,1,25,
1.54941,,Surface,5,Image 1,1,26,
1.36003,,Surface,5,Image 1,1,27,
2.23781,,Surface,5,Image 1,1,28,
1.39008,,Surface,5,Image 1,1,29,
12.8025,,Surface,5,Image 1,1,30,
13.2903,,Surface,5,Image 1,1,31,
2.63339,,Surface,5,Image 1,1,32,
1.44825,,Surface,5,Image 1,1,33,
1.13449,,Surface,5,Image 1,1,34,
1.52096,,Surface,5,Image 1,1,35,
1.59245,,Surface,5,Image 1,1,36,
1.55568,,Surface,5,Image 1,1,37,
1.5058,,Surface,5,Image 1,1,38,
0.979142,,Surface,5,Image 1,1,39,
1.14415,,Surface,5,Image 1,1,40,
1.09924,,Surface,5,Image 1,1,41,
3.25249,,Surface,5,Image 1,1,42,
1.06729,,Surface,5,Image 1,1,43,
1.27332,,Surface,5,Image 1,1,44,
1.14595,,Surface,5,Image 1,1,45,
1.21919,,Surface,5,Image 1,1,49,
1.22818,,Surface,5,Image 1,1,50,
1.36562,,Surface,5,Image 1,1,51,
1.16129,,Surface,5,Image 1,1,52,
1.24088,,Surface,5,Image 1,1,53,
3.57588,,Surface,5,Image 1,1,54,
4.30773,,Surface,5,Image 1,1,55,
1.56706,,Surface,5,Image 1,1,56,
1.74143,,Surface,5,Image 1,1,57,
1.90132,,Surface,5,Image 1,1,58,
1.57469,,Surface,5,Image 1,1,59,
1.20233,,Surface,5,Image 1,1,60,
1.296,,Surface,5,Image 1,1,61,
1.02059,,Surface,5,Image 1,1,62,
1.25013,,Surface,5,Image 1,1,63,
1.27461,,Surface,5,Image 1,1,64,
2.16041,,Surface,5,Image 1,1,65,
1.26777,,Surface,5,Image 1,1,66,
1.3819,,Surface,5,Image 1,1,67,
1.82532,,Surface,5,Image 1,1,68,
3.84141,,Surface,5,Image 1,1,69,
1.35731,,Surface,5,Image 1,1,70,
1.40998,,Surface,5,Image 1,1,71,
1.63791,,Surface,5,Image 1,1,72,
1.758,,Surface,5,Image 1,1,73,
1.36542,,Surface,5,Image 1,1,74,
1.49892,,Surface,5,Image 1,1,75,
1.32652,,Surface,5,Image 1,1,76,
1.56501,,Surface,5,Image 1,1,77,
1.37098,,Surface,5,Image 1,1,78,
1.28577,,Surface,5,Image 1,1,79,
1.3632,,Surface,5,Image 1,1,80,
1.05782,,Surface,5,Image 1,1,81,
1.05466,,Surface,5,Image 1,1,82,
10.2447,,Surface,5,Image 1,1,84,
13.348,,Surface,5,Image 1,1,85,
1.79165,,Surface,5,Image 1,1,86,
2.17348,,Surface,5,Image 1,1,87,
2.06724,,Surface,5,Image 1,1,88,
14.517,,Surface,5,Image 1,1,89,
11.663,,Surface,5,Image 1,1,90,
8.29471,,Surface,5,Image 1,1,91,
9.62013,,Surface,5,Image 1,1,92,
1.54232,,Surface,5,Image 1,1,93,
11.4111,,Surface,5,Image 1,1,94,
2.85693,,Surface,5,Image 1,1,95,
2.55568,,Surface,5,Image 1,1,96,
3.35994,,Surface,5,Image 1,1,97,
3.24009,,Surface,5,Image 1,1,98,
2.01489,,Surface,5,Image 1,1,99,
9.98986,,Surface,5,Image 1,1,100,
1.80095,,Surface,5,Image 1,1,101,
2.16773,,Surface,5,Image 1,1,102,
2.34874,,Surface,5,Image 1,1,103,
1.91285,,Surface,5,Image 1,1,104,
2.425,,Surface,5,Image 1,1,105,
1.40255,,Surface,5,Image 1,1,106,
15.5036,,Surface,5,Image 1,1,107,
16.1556,,Surface,5,Image 1,1,108,
1.03476,,Surface,5,Image 1,1,109,
1.13675,,Surface,5,Image 1,1,110,
1.12228,,Surface,5,Image 1,1,111,
2.54334,,Surface,5,Image 1,1,112,
1.03742,,Surface,5,Image 1,1,113,
1.03491,,Surface,5,Image 1,1,114,
2.08587,,Surface,5,Image 1,1,115,
1.0966,,Surface,5,Image 1,1,116,
1.04854,,Surface,5,Image 1,1,119,
1.16537,,Surface,5,Image 1,1,120,
0.948921,,Surface,5,Image 1,1,121,
1.25424,,Surface,5,Image 1,1,128,
1.33403,,Surface,5,Image 1,1,129,
1.6823,,Surface,5,Image 1,1,130,
1.29935,,Surface,5,Image 1,1,131,
0.842295,,Surface,5,Image 1,1,132,
13.315,,Surface,5,Image 1,1,133,
1.05326,,Surface,5,Image 1,1,134,
0.980463,,Surface,5,Image 1,1,135,
13.6397,,Surface,5,Image 1,1,136,
0.853348,,Surface,5,Image 1,1,137,
9.47864,,Surface,5,Image 1,1,138,
13.7692,,Surface,5,Image 1,1,139,
0.93857,,Surface,5,Image 1,1,140,
16.5388,,Surface,5,Image 1,1,141,
1.1484,,Surface,5,Image 1,1,142,
0.892427,,Surface,5,Image 1,1,143,
1.22041,,Surface,5,Image 1,1,144,
1.01916,,Surface,5,Image 1,1,145,
1.03426,,Surface,5,Image 1,1,146,
0.936279,,Surface,5,Image 1,1,147,
1.08626,,Surface,5,Image 1,1,148,
0.930666,,Surface,5,Image 1,1,149,
1.31637,,Surface,5,Image 1,1,150,
1.23633,,Surface,5,Image 1,1,151,
1.19481,,Surface,5,Image 1,1,152,
1.38521,,Surface,5,Image 1,1,153,
0.861103,,Surface,5,Image 1,1,155,
0.868673,,Surface,5,Image 1,1,156,
1.30532,,Surface,5,Image 1,1,161,
1.42887,,Surface,5,Image 1,1,162,
1.36839,,Surface,5,Image 1,1,163,
1.37377,,Surface,5,Image 1,1,164,
1.39546,,Surface,5,Image 1,1,165,
1.99816,,Surface,5,Image 1,1,166,
5.39023,,Surface,5,Image 1,1,167,
2.0679,,Surface,5,Image 1,1,168,
2.50019,,Surface,5,Image 1,1,169,
1.62509,,Surface,5,Image 1,1,170,
1.74397,,Surface,5,Image 1,1,171,
2.21169,,Surface,5,Image 1,1,172,
1.95618,,Surface,5,Image 1,1,173,
2.44265,,Surface,5,Image 1,1,174,
2.99644,,Surface,5,Image 1,1,175,
3.43171,,Surface,5,Image 1,1,176,
1.47892,,Surface,5,Image 1,1,177,
1.44142,,Surface,5,Image 1,1,178,
3.31691,,Surface,5,Image 1,1,179,
2.28465,,Surface,5,Image 1,1,180,
1.55178,,Surface,5,Image 1,1,181,
1.34561,,Surface,5,Image 1,1,182,
1.93495,,Surface,5,Image 1,1,183,
2.53955,,Surface,5,Image 1,1,184,
1.39007,,Surface,5,Image 1,1,185,
2.79529,,Surface,5,Image 1,1,186,
1.3879,,Surface,5,Image 1,1,187,
1.38462,,Surface,5,Image 1,1,188,
1.22492,,Surface,5,Image 1,1,189,
1.48364,,Surface,5,Image 1,1,190,
1.76738,,Surface,5,Image 1,1,191,
1.3741,,Surface,5,Image 1,1,192,
1.37896,,Surface,5,Image 1,1,193,
1.34862,,Surface,5,Image 1,1,194,
1.06503,,Surface,5,Image 1,1,195,
1.00603,,Surface,5,Image 1,1,196,
1.09849,,Surface,5,Image 1,1,197,
9.8986,,Surface,5,Image 1,1,198,
10.4473,,Surface,5,Image 1,1,199,
11.4292,,Surface,5,Image 1,1,200,
8.04912,,Surface,5,Image 1,1,201,
9.76592,,Surface,5,Image 1,1,202,
6.80391,,Surface,5,Image 1,1,203,
11.3375,,Surface,5,Image 1,1,204,
12.9595,,Surface,5,Image 1,1,205,
10.7626,,Surface,5,Image 1,1,206,
10.2086,,Surface,5,Image 1,1,207,
8.83296,,Surface,5,Image 1,1,208,
9.81894,,Surface,5,Image 1,1,209,
13.3119,,Surface,5,Image 1,1,210,
5.22407,,Surface,5,Image 1,1,211,
8.88655,,Surface,5,Image 1,1,212,
8.8354,,Surface,5,Image 1,1,213,
2.07099,,Surface,5,Image 1,1,214,
2.89553,,Surface,5,Image 1,1,215,
3.19961,,Surface,5,Image 1,1,216,
7.14447,,Surface,5,Image 1,1,217,
1.55226,,Surface,5,Image 1,1,218,
2.3182,,Surface,5,Image 1,1,219,
0.988867,,Surface,5,Image 1,1,220,
1.04778,,Surface,5,Image 1,1,225,
1.3732,,Surface,5,Image 1,1,226,
1.38603,,Surface,5,Image 1,1,227,
0.869927,,Surface,5,Image 1,1,228,
1.23517,,Surface,5,Image 1,1,229,
0.618937,,Surface,5,Image 1,1,230,
1.06394,,Surface,5,Image 1,1,232,
1.65743,,Surface,5,Image 1,1,239,
2.63658,,Surface,5,Image 1,1,240,
2.32676,,Surface,5,Image 1,1,241,
2.327,,Surface,5,Image 1,1,242,
5.18893,,Surface,5,Image 1,1,243,
1.20303,,Surface,5,Image 1,1,244,
1.59292,,Surface,5,Image 1,1,245,
3.01904,,Surface,5,Image 1,1,246,
0.871901,,Surface,5,Image 1,1,247,
3.17041,,Surface,5,Image 1,1,248,
0.73703,,Surface,5,Image 1,1,249,
1.39306,,Surface,5,Image 1,1,250,
1.44424,,Surface,5,Image 1,1,251,
1.5171,,Surface,5,Image 1,1,252,
1.97372,,Surface,5,Image 1,1,253,
1.70543,,Surface,5,Image 1,1,254,
1.66084,,Surface,5,Image 1,1,255,
1.53759,,Surface,5,Image 1,1,256,
1.27803,,Surface,5,Image 1,1,257,
6.38762,,Surface,5,Image 1,1,258,
5.61879,,Surface,5,Image 1,1,259,
7.09308,,Surface,5,Image 1,1,260,
8.2395,,Surface,5,Image 1,1,261,
8.31222,,Surface,5,Image 1,1,262,
7.30084,,Surface,5,Image 1,1,263,
7.56234,,Surface,5,Image 1,1,264,
6.97711,,Surface,5,Image 1,1,265,
8.4742,,Surface,5,Image 1,1,266,
7.27451,,Surface,5,Image 1,1,267,
7.09713,,Surface,5,Image 1,1,268,
4.30085,,Surface,5,Image 1,1,269,
9.34822,,Surface,5,Image 1,1,270,
9.50311,,Surface,5,Image 1,1,271,
8.0998,,Surface,5,Image 1,1,272,
5.65696,,Surface,5,Image 1,1,273,
6.00275,,Surface,5,Image 1,1,274,
2.12638,,Surface,5,Image 1,1,275,
5.98344,,Surface,5,Image 1,1,276,
0.902098,,Surface,5,Image 1,1,277,
1.55454,,Surface,5,Image 1,1,278,
7.48134,,Surface,5,Image 1,1,279,
0.812961,,Surface,5,Image 1,1,280,
3.58322,,Surface,5,Image 1,1,281,
2.01944,,Surface,5,Image 1,1,282,
0.758018,,Surface,5,Image 1,1,283,
2.54511,,Surface,5,Image 1,1,284,
1.44795,,Surface,5,Image 1,1,285,
2.2403,,Surface,5,Image 1,1,286,
0.871308,,Surface,5,Image 1,1,287,
10.2282,,Surface,5,Image 1,1,288,
0.831743,,Surface,5,Image 1,1,289,
0.880563,,Surface,5,Image 1,1,290,
13.3994,,Surface,5,Image 1,1,291,
10.0092,,Surface,5,Image 1,1,292,
0.9367,,Surface,5,Image 1,1,293,
0.957624,,Surface,5,Image 1,1,294,
0.930032,,Surface,5,Image 1,1,295,
24.2272,,Surface,5,Image 1,1,296,
0.876321,,Surface,5,Image 1,1,297,
11.047,,Surface,5,Image 1,1,298,
0.907606,,Surface,5,Image 1,1,299,
0.680231,,Surface,5,Image 1,1,300,
1.0251,,Surface,5,Image 1,1,301,
0.799089,,Surface,5,Image 1,1,302,
0.737491,,Surface,5,Image 1,1,303,
0.919044,,Surface,5,Image 1,1,304,
0.99174,,Surface,5,Image 1,1,305,
0.858229,,Surface,5,Image 1,1,306,
0.84934,,Surface,5,Image 1,1,307,
1.10332,,Surface,5,Image 1,1,308,
0.991394,,Surface,5,Image 1,1,309,
1.43462,,Surface,5,Image 1,1,310,
1.69103,,Surface,5,Image 1,1,311,
1.08121,,Surface,5,Image 1,1,312,
1.36464,,Surface,5,Image 1,1,313,
5.42343,,Surface,5,Image 1,1,316,
4.27544,,Surface,5,Image 1,1,317,
3.68853,,Surface,5,Image 1,1,318,
1.95039,,Surface,5,Image 1,1,319,
1.8835,,Surface,5,Image 1,1,320,
2.31687,,Surface,5,Image 1,1,321,
1.44885,,Surface,5,Image 1,1,322,
1.37709,,Surface,5,Image 1,1,323,
4.78172,,Surface,5,Image 1,1,324,
1.55742,,Surface,5,Image 1,1,325,
2.63611,,Surface,5,Image 1,1,326,
0.509855,,Surface,5,Image 1,1,327,
1.09264,,Surface,5,Image 1,1,328,
10.5624,,Surface,5,Image 1,1,329,
7.32836,,Surface,5,Image 1,1,330,
7.89475,,Surface,5,Image 1,1,331,
8.11131,,Surface,5,Image 1,1,332,
8.94909,,Surface,5,Image 1,1,333,
9.74104,,Surface,5,Image 1,1,334,
5.50741,,Surface,5,Image 1,1,335,
7.31215,,Surface,5,Image 1,1,336,
8.47491,,Surface,5,Image 1,1,337,
5.16275,,Surface,5,Image 1,1,338,
9.15648,,Surface,5,Image 1,1,339,
8.00599,,Surface,5,Image 1,1,340,
7.24122,,Surface,5,Image 1,1,341,
8.16365,,Surface,5,Image 1,1,342,
5.54251,,Surface,5,Image 1,1,343,
7.41928,,Surface,5,Image 1,1,344,
9.27682,,Surface,5,Image 1,1,345,
11.4364,,Surface,5,Image 1,1,346,
7.13615,,Surface,5,Image 1,1,347,
6.65248,,Surface,5,Image 1,1,348,
6.89802,,Surface,5,Image 1,1,349,
8.07498,,Surface,5,Image 1,1,350,
5.65752,,Surface,5,Image 1,1,351,
4.62566,,Surface,5,Image 1,1,352,
6.08914,,Surface,5,Image 1,1,353,
3.25237,,Surface,5,Image 1,1,354,
6.7461,,Surface,5,Image 1,1,355,
4.97303,,Surface,5,Image 1,1,356,
0.908081,,Surface,5,Image 1,1,357,
1.70476,,Surface,5,Image 1,1,358,
2.70702,,Surface,5,Image 1,1,359,
0.746004,,Surface,5,Image 1,1,360,
1.28255,,Surface,5,Image 1,1,361,
13.2119,,Surface,5,Image 1,1,362,
12.8516,,Surface,5,Image 1,1,363,
14.7064,,Surface,5,Image 1,1,364,
1.13735,,Surface,5,Image 1,1,365,
0.896107,,Surface,5,Image 1,1,366,
0.798799,,Surface,5,Image 1,1,367,
9.88896,,Surface,5,Image 1,1,368,
0.941385,,Surface,5,Image 1,1,369,
0.784529,,Surface,5,Image 1,1,370,
0.934357,,Surface,5,Image 1,1,371,
11.8574,,Surface,5,Image 1,1,372,
0.740734,,Surface,5,Image 1,1,373,
0.853635,,Surface,5,Image 1,1,374,
0.809471,,Surface,5,Image 1,1,375,
0.870341,,Surface,5,Image 1,1,376,
0.993826,,Surface,5,Image 1,1,377,
0.842234,,Surface,5,Image 1,1,378,
0.803996,,Surface,5,Image 1,1,379,
1.9053,,Surface,5,Image 1,1,380,
3.73625,,Surface,5,Image 1,1,381,
0.934807,,Surface,5,Image 1,1,382,
2.457,,Surface,5,Image 1,1,383,
1.64867,,Surface,5,Image 1,1,384,
1.31273,,Surface,5,Image 1,1,385,
0.847336,,Surface,5,Image 1,1,386,
0.678185,,Surface,5,Image 1,1,387,
1.56533,,Surface,5,Image 1,1,388,
0.625513,,Surface,5,Image 1,1,389,
0.745421,,Surface,5,Image 1,1,390,
4.82272,,Surface,5,Image 1,1,391,
6.22484,,Surface,5,Image 1,1,392,
3.36981,,Surface,5,Image 1,1,393,
5.99634,,Surface,5,Image 1,1,394,
2.27351,,Surface,5,Image 1,1,395,
6.97362,,Surface,5,Image 1,1,396,
8.77191,,Surface,5,Image 1,1,397,
6.88596,,Surface,5,Image 1,1,398,
3.30703,,Surface,5,Image 1,1,399,
5.58435,,Surface,5,Image 1,1,400,
2.77489,,Surface,5,Image 1,1,401,
1.81259,,Surface,5,Image 1,1,402,
3.38504,,Surface,5,Image 1,1,403,
5.97401,,Surface,5,Image 1,1,404,
4.92593,,Surface,5,Image 1,1,405,
1.95136,,Surface,5,Image 1,1,406,
1.35585,,Surface,5,Image 1,1,407,
1.90448,,Surface,5,Image 1,1,408,
10.5841,,Surface,5,Image 1,1,409,
7.9295,,Surface,5,Image 1,1,410,
4.57531,,Surface,5,Image 1,1,411,
8.2607,,Surface,5,Image 1,1,412,
8.16071,,Surface,5,Image 1,1,413,
9.07625,,Surface,5,Image 1,1,414,
4.71401,,Surface,5,Image 1,1,415,
5.62579,,Surface,5,Image 1,1,416,
7.07673,,Surface,5,Image 1,1,417,
7.29345,,Surface,5,Image 1,1,418,
5.72694,,Surface,5,Image 1,1,419,
5.06463,,Surface,5,Image 1,1,420,
5.59967,,Surface,5,Image 1,1,421,
5.99488,,Surface,5,Image 1,1,422,
5.43554,,Surface,5,Image 1,1,423,
6.86222,,Surface,5,Image 1,1,424,
5.52107,,Surface,5,Image 1,1,425,
8.05048,,Surface,5,Image 1,1,426,
7.03827,,Surface,5,Image 1,1,427,
8.34669,,Surface,5,Image 1,1,428,
7.54496,,Surface,5,Image 1,1,429,
10.5379,,Surface,5,Image 1,1,430,
6.16481,,Surface,5,Image 1,1,431,
9.64495,,Surface,5,Image 1,1,432,
3.9574,,Surface,5,Image 1,1,433,
3.31059,,Surface,5,Image 1,1,434,
5.57357,,Surface,5,Image 1,1,435,
3.97483,,Surface,5,Image 1,1,436,
4.46988,,Surface,5,Image 1,1,437,
2.09495,,Surface,5,Image 1,1,438,
2.52825,,Surface,5,Image 1,1,439,
0.63417,,Surface,5,Image 1,1,440,
0.561068,,Surface,5,Image 1,1,441,
0.581567,,Surface,5,Image 1,1,442,
0.714995,,Surface,5,Image 1,1,443,
0.837431,,Surface,5,Image 1,1,444,
7.20266,,Surface,5,Image 1,1,445,
0.871546,,Surface,5,Image 1,1,446,
7.16295,,Surface,5,Image 1,1,447,
9.72913,,Surface,5,Image 1,1,448,
8.4902,,Surface,5,Image 1,1,449,
0.706437,,Surface,5,Image 1,1,450,
13.6322,,Surface,5,Image 1,1,451,
0.801699,,Surface,5,Image 1,1,452,
6.7153,,Surface,5,Image 1,1,453,
1.08545,,Surface,5,Image 1,1,454,
11.6741,,Surface,5,Image 1,1,455,
8.34028,,Surface,5,Image 1,1,456,
14.9735,,Surface,5,Image 1,1,457,
1.79925,,Surface,5,Image 1,1,458,
0.895297,,Surface,5,Image 1,1,459,
6.60334,,Surface,5,Image 1,1,460,
0.783138,,Surface,5,Image 1,1,461,
0.943739,,Surface,5,Image 1,1,462,
0.948828,,Surface,5,Image 1,1,463,
0.858687,,Surface,5,Image 1,1,464,
0.885804,,Surface,5,Image 1,1,465,
0.981957,,Surface,5,Image 1,1,466,
8.31954,,Surface,5,Image 1,1,467,
0.657716,,Surface,5,Image 1,1,468,
0.675587,,Surface,5,Image 1,1,469,
1.43471,,Surface,5,Image 1,1,470,
2.82501,,Surface,5,Image 1,1,471,
1.38926,,Surface,5,Image 1,1,472,
1.31919,,Surface,5,Image 1,1,473,
0.90284,,Surface,5,Image 1,1,474,
0.91115,,Surface,5,Image 1,1,476,
9.50797,,Surface,5,Image 1,1,477,
6.00074,,Surface,5,Image 1,1,478,
3.47292,,Surface,5,Image 1,1,479,
4.20534,,Surface,5,Image 1,1,480,
11.7779,,Surface,5,Image 1,1,481,
9.56903,,Surface,5,Image 1,1,482,
13.5534,,Surface,5,Image 1,1,483,
7.55708,,Surface,5,Image 1,1,484,
8.07789,,Surface,5,Image 1,1,485,
7.55009,,Surface,5,Image 1,1,486,
5.08629,,Surface,5,Image 1,1,487,
6.32462,,Surface,5,Image 1,1,488,
4.2526,,Surface,5,Image 1,1,489,
9.00554,,Surface,5,Image 1,1,490,
5.60164,,Surface,5,Image 1,1,491,
6.58468,,Surface,5,Image 1,1,492,
7.44423,,Surface,5,Image 1,1,493,
6.03496,,Surface,5,Image 1,1,494,
3.36317,,Surface,5,Image 1,1,495,
1.34746,,Surface,5,Image 1,1,496,
1.86098,,Surface,5,Image 1,1,497,
3.68799,,Surface,5,Image 1,1,498,
