
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
32.3735,22.0467,65.8474,um,Surface,Position Reference Frame,Reference Frame 1,1,0,
31.7079,26.8221,64.9565,um,Surface,Position Reference Frame,Reference Frame 1,1,1,
29.0067,29.9283,64.8841,um,Surface,Position Reference Frame,Reference Frame 1,1,2,
23.6326,38.0711,66.3942,um,Surface,Position Reference Frame,Reference Frame 1,1,3,
26.1822,33.8166,66.3899,um,Surface,Position Reference Frame,Reference Frame 1,1,4,
31.5119,34.5616,65.4743,um,Surface,Position Reference Frame,Reference Frame 1,1,5,
28.2165,38.3542,65.4014,um,Surface,Position Reference Frame,Reference Frame 1,1,6,
35.5557,32.643,65.468,um,Surface,Position Reference Frame,Reference Frame 1,1,7,
34.2017,38.7092,66.8808,um,Surface,Position Reference Frame,Reference Frame 1,1,8,
49.3807,26.6313,66.5512,um,Surface,Position Reference Frame,Reference Frame 1,1,9,
59.678,28.261,66.2719,um,Surface,Position Reference Frame,Reference Frame 1,1,10,
44.4589,34.5413,66.9738,um,Surface,Position Reference Frame,Reference Frame 1,1,11,
48.8332,16.4312,66.8094,um,Surface,Position Reference Frame,Reference Frame 1,1,12,
40.1316,27.1884,65.1406,um,Surface,Position Reference Frame,Reference Frame 1,1,13,
44.7204,28.2352,67.4859,um,Surface,Position Reference Frame,Reference Frame 1,1,14,
41.5016,15.9093,68.3491,um,Surface,Position Reference Frame,Reference Frame 1,1,15,
39.6823,31.9671,65.8986,um,Surface,Position Reference Frame,Reference Frame 1,1,16,
51.8677,18.2673,69.3087,um,Surface,Position Reference Frame,Reference Frame 1,1,17,
50.037,32.0123,69.8083,um,Surface,Position Reference Frame,Reference Frame 1,1,18,
40.4312,35.7623,67.9828,um,Surface,Position Reference Frame,Reference Frame 1,1,19,
73.0907,22.6155,68.072,um,Surface,Position Reference Frame,Reference Frame 1,1,20,
79.1535,21.4977,68.4334,um,Surface,Position Reference Frame,Reference Frame 1,1,21,
62.6412,11.6753,68.0668,um,Surface,Position Reference Frame,Reference Frame 1,1,22,
26.5679,66.3376,65.4099,um,Surface,Position Reference Frame,Reference Frame 1,1,23,
30.5024,45.9303,64.8214,um,Surface,Position Reference Frame,Reference Frame 1,1,24,
37.8055,56.0858,68.8338,um,Surface,Position Reference Frame,Reference Frame 1,1,25,
23.8352,46.8938,65.9901,um,Surface,Position Reference Frame,Reference Frame 1,1,26,
29.3823,42.9014,68.5461,um,Surface,Position Reference Frame,Reference Frame 1,1,27,
27.9658,49.9205,68.3065,um,Surface,Position Reference Frame,Reference Frame 1,1,28,
34.463,42.7337,68.4046,um,Surface,Position Reference Frame,Reference Frame 1,1,29,
28.8549,58.3323,65.3995,um,Surface,Position Reference Frame,Reference Frame 1,1,30,
