
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3.93359,,Surface,4,Image 1,1,0,
5.46861,,Surface,4,Image 1,1,1,
3.50573,,Surface,4,Image 1,1,2,
6.08919,,Surface,4,Image 1,1,3,
3.5928,,Surface,4,Image 1,1,4,
3.75107,,Surface,4,Image 1,1,5,
4.12479,,Surface,4,Image 1,1,6,
3.28155,,Surface,4,Image 1,1,7,
3.89684,,Surface,4,Image 1,1,8,
4.01608,,Surface,4,Image 1,1,9,
3.19114,,Surface,4,Image 1,1,10,
3.1894,,Surface,4,Image 1,1,11,
4.51142,,Surface,4,Image 1,1,12,
3.95045,,Surface,4,Image 1,1,13,
4.94526,,Surface,4,Image 1,1,14,
3.50103,,Surface,4,Image 1,1,15,
5.61623,,Surface,4,Image 1,1,16,
3.61619,,Surface,4,Image 1,1,17,
4.15642,,Surface,4,Image 1,1,18,
4.98272,,Surface,4,Image 1,1,19,
3.41129,,Surface,4,Image 1,1,20,
3.69514,,Surface,4,Image 1,1,21,
3.40346,,Surface,4,Image 1,1,22,
3.24974,,Surface,4,Image 1,1,23,
4.15799,,Surface,4,Image 1,1,24,
5.233,,Surface,4,Image 1,1,25,
6.65904,,Surface,4,Image 1,1,26,
7.3989,,Surface,4,Image 1,1,27,
5.37546,,Surface,4,Image 1,1,28,
4.4168,,Surface,4,Image 1,1,29,
3.81808,,Surface,4,Image 1,1,30,
5.21829,,Surface,4,Image 1,1,31,
7.125,,Surface,4,Image 1,1,32,
5.05259,,Surface,4,Image 1,1,33,
5.80282,,Surface,4,Image 1,1,34,
8.55437,,Surface,4,Image 1,1,35,
4.11343,,Surface,4,Image 1,1,36,
5.19259,,Surface,4,Image 1,1,37,
4.36254,,Surface,4,Image 1,1,38,
4.78562,,Surface,4,Image 1,1,39,
4.57228,,Surface,4,Image 1,1,40,
4.23054,,Surface,4,Image 1,1,41,
9.82716,,Surface,4,Image 1,1,42,
4.86531,,Surface,4,Image 1,1,43,
8.62688,,Surface,4,Image 1,1,44,
7.97751,,Surface,4,Image 1,1,45,
6.47142,,Surface,4,Image 1,1,46,
6.57507,,Surface,4,Image 1,1,47,
4.91667,,Surface,4,Image 1,1,48,
8.88185,,Surface,4,Image 1,1,49,
4.39494,,Surface,4,Image 1,1,50,
3.84063,,Surface,4,Image 1,1,51,
6.92425,,Surface,4,Image 1,1,52,
9.24317,,Surface,4,Image 1,1,53,
4.65227,,Surface,4,Image 1,1,54,
22.0242,,Surface,4,Image 1,1,55,
6.5844,,Surface,4,Image 1,1,56,
6.34681,,Surface,4,Image 1,1,57,
10.4865,,Surface,4,Image 1,1,58,
15.7518,,Surface,4,Image 1,1,59,
13.7753,,Surface,4,Image 1,1,60,
5.74871,,Surface,4,Image 1,1,61,
16.1014,,Surface,4,Image 1,1,62,
3.82713,,Surface,4,Image 1,1,63,
7.70061,,Surface,4,Image 1,1,64,
8.17397,,Surface,4,Image 1,1,65,
8.61042,,Surface,4,Image 1,1,66,
6.36179,,Surface,4,Image 1,1,67,
6.10979,,Surface,4,Image 1,1,68,
13.2276,,Surface,4,Image 1,1,69,
7.21244,,Surface,4,Image 1,1,70,
6.38535,,Surface,4,Image 1,1,71,
12.5927,,Surface,4,Image 1,1,72,
6.28655,,Surface,4,Image 1,1,73,
11.236,,Surface,4,Image 1,1,74,
11.4481,,Surface,4,Image 1,1,75,
11.8796,,Surface,4,Image 1,1,76,
13.4277,,Surface,4,Image 1,1,77,
12.9279,,Surface,4,Image 1,1,78,
13.246,,Surface,4,Image 1,1,79,
4.01288,,Surface,4,Image 1,1,80,
7.05428,,Surface,4,Image 1,1,81,
3.11554,,Surface,4,Image 1,1,82,
4.81203,,Surface,4,Image 1,1,83,
4.43438,,Surface,4,Image 1,1,84,
6.394,,Surface,4,Image 1,1,85,
5.88279,,Surface,4,Image 1,1,86,
4.54026,,Surface,4,Image 1,1,87,
4.02232,,Surface,4,Image 1,1,88,
4.20135,,Surface,4,Image 1,1,89,
3.97073,,Surface,4,Image 1,1,90,
4.92223,,Surface,4,Image 1,1,91,
