
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1.29579,,Surface,2,Image 1,1,0,
2.92135,,Surface,2,Image 1,1,1,
1.2954,,Surface,2,Image 1,1,2,
1.99325,,Surface,2,Image 1,1,3,
2.19192,,Surface,2,Image 1,1,4,
1.49676,,Surface,2,Image 1,1,5,
1.48406,,Surface,2,Image 1,1,6,
1.32098,,Surface,2,Image 1,1,7,
1.40677,,Surface,2,Image 1,1,8,
1.3105,,Surface,2,Image 1,1,9,
1.29625,,Surface,2,Image 1,1,10,
1.20003,,Surface,2,Image 1,1,11,
1.34904,,Surface,2,Image 1,1,12,
1.5303,,Surface,2,Image 1,1,13,
1.615,,Surface,2,Image 1,1,14,
1.18303,,Surface,2,Image 1,1,15,
2.96972,,Surface,2,Image 1,1,16,
1.37898,,Surface,2,Image 1,1,17,
1.52553,,Surface,2,Image 1,1,18,
2.00361,,Surface,2,Image 1,1,19,
1.30999,,Surface,2,Image 1,1,20,
1.38328,,Surface,2,Image 1,1,21,
1.16148,,Surface,2,Image 1,1,22,
1.15236,,Surface,2,Image 1,1,23,
1.99902,,Surface,2,Image 1,1,24,
1.66633,,Surface,2,Image 1,1,25,
2.43978,,Surface,2,Image 1,1,26,
1.76516,,Surface,2,Image 1,1,27,
1.94865,,Surface,2,Image 1,1,28,
1.60696,,Surface,2,Image 1,1,29,
1.41961,,Surface,2,Image 1,1,30,
2.45455,,Surface,2,Image 1,1,31,
2.32749,,Surface,2,Image 1,1,32,
2.3792,,Surface,2,Image 1,1,33,
2.23281,,Surface,2,Image 1,1,34,
2.67029,,Surface,2,Image 1,1,35,
2.97436,,Surface,2,Image 1,1,36,
2.89667,,Surface,2,Image 1,1,37,
2.43023,,Surface,2,Image 1,1,38,
2.32127,,Surface,2,Image 1,1,39,
2.49589,,Surface,2,Image 1,1,40,
2.29348,,Surface,2,Image 1,1,41,
2.67983,,Surface,2,Image 1,1,42,
1.70131,,Surface,2,Image 1,1,43,
2.49378,,Surface,2,Image 1,1,44,
2.53937,,Surface,2,Image 1,1,45,
2.74428,,Surface,2,Image 1,1,46,
2.65795,,Surface,2,Image 1,1,47,
1.81667,,Surface,2,Image 1,1,48,
2.27074,,Surface,2,Image 1,1,49,
4.22527,,Surface,2,Image 1,1,50,
4.51023,,Surface,2,Image 1,1,51,
8.59817,,Surface,2,Image 1,1,52,
3.81332,,Surface,2,Image 1,1,53,
5.81758,,Surface,2,Image 1,1,54,
3.24212,,Surface,2,Image 1,1,55,
5.42566,,Surface,2,Image 1,1,56,
3.81243,,Surface,2,Image 1,1,57,
2.06045,,Surface,2,Image 1,1,58,
2.66349,,Surface,2,Image 1,1,59,
2.64832,,Surface,2,Image 1,1,60,
2.79971,,Surface,2,Image 1,1,61,
3.29467,,Surface,2,Image 1,1,62,
