
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
0.274302,57.0621,74.7477,um,Surface,Position Reference Frame,Reference Frame 1,1,0,
6.12668,48.7263,75.6521,um,Surface,Position Reference Frame,Reference Frame 1,1,1,
9.54577,61.9896,75.6951,um,Surface,Position Reference Frame,Reference Frame 1,1,2,
15.3678,46.3831,77.1065,um,Surface,Position Reference Frame,Reference Frame 1,1,3,
21.1262,45.5966,77.246,um,Surface,Position Reference Frame,Reference Frame 1,1,4,
6.40281,55.0477,77.4407,um,Surface,Position Reference Frame,Reference Frame 1,1,5,
10.9235,53.6076,77.8954,um,Surface,Position Reference Frame,Reference Frame 1,1,6,
23.8613,52.7026,74.5488,um,Surface,Position Reference Frame,Reference Frame 1,1,7,
32.3934,61.0728,76.0117,um,Surface,Position Reference Frame,Reference Frame 1,1,8,
20.6981,64.0593,75.6684,um,Surface,Position Reference Frame,Reference Frame 1,1,9,
42.4815,57.7151,80.0146,um,Surface,Position Reference Frame,Reference Frame 1,1,10,
39.7792,60.5542,80.5865,um,Surface,Position Reference Frame,Reference Frame 1,1,11,
28.6,47.77,79.4964,um,Surface,Position Reference Frame,Reference Frame 1,1,12,
29.2317,39.5328,78.8012,um,Surface,Position Reference Frame,Reference Frame 1,1,13,
25.1228,58.7535,81.3564,um,Surface,Position Reference Frame,Reference Frame 1,1,14,
1.74137,3.63656,68.2467,um,Surface,Position Reference Frame,Reference Frame 1,1,15,
38.7006,10.3071,70.7906,um,Surface,Position Reference Frame,Reference Frame 1,1,16,
29.3534,10.8675,70.8167,um,Surface,Position Reference Frame,Reference Frame 1,1,17,
40.5073,25.1183,72.5503,um,Surface,Position Reference Frame,Reference Frame 1,1,18,
2.24883,23.0822,65.9833,um,Surface,Position Reference Frame,Reference Frame 1,1,19,
5.05237,17.1897,68.1385,um,Surface,Position Reference Frame,Reference Frame 1,1,20,
-13.8559,29.3348,66.1846,um,Surface,Position Reference Frame,Reference Frame 1,1,21,
23.5612,38.4761,69.0082,um,Surface,Position Reference Frame,Reference Frame 1,1,22,
9.08881,23.249,66.9843,um,Surface,Position Reference Frame,Reference Frame 1,1,23,
18.3489,35.9456,69.8744,um,Surface,Position Reference Frame,Reference Frame 1,1,24,
27.2934,33.7381,72.7945,um,Surface,Position Reference Frame,Reference Frame 1,1,25,
22.2555,27.8102,71.7071,um,Surface,Position Reference Frame,Reference Frame 1,1,26,
15.3793,24.053,70.704,um,Surface,Position Reference Frame,Reference Frame 1,1,27,
23.4724,32.1877,72.3422,um,Surface,Position Reference Frame,Reference Frame 1,1,28,
9.76372,36.2796,71.7831,um,Surface,Position Reference Frame,Reference Frame 1,1,29,
2.22984,35.6104,70.1474,um,Surface,Position Reference Frame,Reference Frame 1,1,30,
40.8178,36.5429,69.6418,um,Surface,Position Reference Frame,Reference Frame 1,1,31,
34.8807,31.4001,71.3167,um,Surface,Position Reference Frame,Reference Frame 1,1,32,
30.3758,39.9286,71.4971,um,Surface,Position Reference Frame,Reference Frame 1,1,33,
28.2824,47.9139,72.8855,um,Surface,Position Reference Frame,Reference Frame 1,1,34,
25.4981,43.1945,74.014,um,Surface,Position Reference Frame,Reference Frame 1,1,35,
-6.13891,43.7504,66.4595,um,Surface,Position Reference Frame,Reference Frame 1,1,36,
-10.4471,56.459,67.553,um,Surface,Position Reference Frame,Reference Frame 1,1,37,
-0.401824,44.8585,67.3475,um,Surface,Position Reference Frame,Reference Frame 1,1,38,
10.6259,45.0346,68.5539,um,Surface,Position Reference Frame,Reference Frame 1,1,39,
-1.17846,48.4573,67.1665,um,Surface,Position Reference Frame,Reference Frame 1,1,40,
-5.04163,57.5448,66.9855,um,Surface,Position Reference Frame,Reference Frame 1,1,41,
17.8388,44.7462,70.2732,um,Surface,Position Reference Frame,Reference Frame 1,1,42,
5.1819,51.7564,68.7782,um,Surface,Position Reference Frame,Reference Frame 1,1,43,
15.1676,63.2897,70.9343,um,Surface,Position Reference Frame,Reference Frame 1,1,44,
-1.9862,56.8449,70.4266,um,Surface,Position Reference Frame,Reference Frame 1,1,45,
18.4923,51.4915,73.0065,um,Surface,Position Reference Frame,Reference Frame 1,1,46,
9.23779,48.9427,72.4396,um,Surface,Position Reference Frame,Reference Frame 1,1,47,
21.3674,67.1874,69.7932,um,Surface,Position Reference Frame,Reference Frame 1,1,48,
39.3884,53.9771,71.7912,um,Surface,Position Reference Frame,Reference Frame 1,1,49,
35.338,66.0862,70.8997,um,Surface,Position Reference Frame,Reference Frame 1,1,50,
20.2837,60.212,71.1159,um,Surface,Position Reference Frame,Reference Frame 1,1,51,
31.6645,55.6577,72.2477,um,Surface,Position Reference Frame,Reference Frame 1,1,52,
-13.4628,71.4182,68.9675,um,Surface,Position Reference Frame,Reference Frame 1,1,53,
1.644,68.5105,65.8349,um,Surface,Position Reference Frame,Reference Frame 1,1,54,
-5.58638,76.8976,67.1441,um,Surface,Position Reference Frame,Reference Frame 1,1,55,
12.1337,76.0733,70.8006,um,Surface,Position Reference Frame,Reference Frame 1,1,56,
-8.44818,63.8199,68.5109,um,Surface,Position Reference Frame,Reference Frame 1,1,57,
30.312,82.3823,71.2908,um,Surface,Position Reference Frame,Reference Frame 1,1,58,
22.0532,75.2929,70.2407,um,Surface,Position Reference Frame,Reference Frame 1,1,59,
14.2285,89.8843,72.2572,um,Surface,Position Reference Frame,Reference Frame 1,1,60,
14.4797,74.3265,72.4266,um,Surface,Position Reference Frame,Reference Frame 1,1,61,
37.7201,81.2974,74.0378,um,Surface,Position Reference Frame,Reference Frame 1,1,62,
-15.28,96.6861,67.6837,um,Surface,Position Reference Frame,Reference Frame 1,1,63,
-7.77033,98.4495,70.6271,um,Surface,Position Reference Frame,Reference Frame 1,1,64,
-8.1732,26.9517,70.7424,um,Surface,Position Reference Frame,Reference Frame 1,1,65,
-3.92987,31.6899,69.9291,um,Surface,Position Reference Frame,Reference Frame 1,1,66,
-0.147723,28.9291,71.7165,um,Surface,Position Reference Frame,Reference Frame 1,1,67,
4.57002,26.082,73.4704,um,Surface,Position Reference Frame,Reference Frame 1,1,68,
12.6473,20.5381,73.7376,um,Surface,Position Reference Frame,Reference Frame 1,1,69,
26.9003,26.3684,73.7532,um,Surface,Position Reference Frame,Reference Frame 1,1,70,
8.41724,29.6284,74.5832,um,Surface,Position Reference Frame,Reference Frame 1,1,71,
11.1393,32.6414,74.3418,um,Surface,Position Reference Frame,Reference Frame 1,1,72,
17.2269,29.1809,75.796,um,Surface,Position Reference Frame,Reference Frame 1,1,73,
26.0373,25.4417,78.0701,um,Surface,Position Reference Frame,Reference Frame 1,1,74,
14.3231,36.8745,77.5262,um,Surface,Position Reference Frame,Reference Frame 1,1,75,
22.637,39.8041,78.3817,um,Surface,Position Reference Frame,Reference Frame 1,1,76,
35.8999,45.9264,75.5593,um,Surface,Position Reference Frame,Reference Frame 1,1,77,
45.7031,42.4097,78.7509,um,Surface,Position Reference Frame,Reference Frame 1,1,78,
-9.64675,35.0648,69.5895,um,Surface,Position Reference Frame,Reference Frame 1,1,79,
-14.9161,40.6483,68.8619,um,Surface,Position Reference Frame,Reference Frame 1,1,80,
-4.85605,40.9514,71.5647,um,Surface,Position Reference Frame,Reference Frame 1,1,81,
-14.4678,51.2332,70.8144,um,Surface,Position Reference Frame,Reference Frame 1,1,82,
-13.1512,56.5508,71.6812,um,Surface,Position Reference Frame,Reference Frame 1,1,83,
-6.58487,54.4927,73.3979,um,Surface,Position Reference Frame,Reference Frame 1,1,84,
4.34906,61.0849,72.277,um,Surface,Position Reference Frame,Reference Frame 1,1,85,
12.3852,59.1372,73.479,um,Surface,Position Reference Frame,Reference Frame 1,1,86,
3.16309,46.1488,71.7852,um,Surface,Position Reference Frame,Reference Frame 1,1,87,
15.0227,45.2503,75.7598,um,Surface,Position Reference Frame,Reference Frame 1,1,88,
-2.39525,46.211,72.6619,um,Surface,Position Reference Frame,Reference Frame 1,1,89,
7.96601,42.1958,74.6622,um,Surface,Position Reference Frame,Reference Frame 1,1,90,
18.284,55.2852,76.5053,um,Surface,Position Reference Frame,Reference Frame 1,1,91,
-10.3356,38.2586,59.5093,um,Surface,Position Reference Frame,Reference Frame 1,1,92,
-8.38479,49.8463,63.6986,um,Surface,Position Reference Frame,Reference Frame 1,1,93,
-10.8024,43.4963,64.5235,um,Surface,Position Reference Frame,Reference Frame 1,1,94,
-5.72923,38.5866,64.3948,um,Surface,Position Reference Frame,Reference Frame 1,1,95,
-5.31111,51.9698,65.9125,um,Surface,Position Reference Frame,Reference Frame 1,1,96,
-13.841,49.0602,64.4407,um,Surface,Position Reference Frame,Reference Frame 1,1,97,
6.77056,59.7712,62.3148,um,Surface,Position Reference Frame,Reference Frame 1,1,98,
10.7852,62.8222,64.6978,um,Surface,Position Reference Frame,Reference Frame 1,1,99,
18.3251,58.4175,66.4226,um,Surface,Position Reference Frame,Reference Frame 1,1,100,
15.9911,44.8179,66.5516,um,Surface,Position Reference Frame,Reference Frame 1,1,101,
