
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
10,,Surface,3,Image 1,1,0,
11,,Surface,3,Image 1,1,1,
12,,Surface,3,Image 1,1,2,
9,,Surface,3,Image 1,1,3,
13,,Surface,3,Image 1,1,4,
2,,Surface,3,Image 1,1,5,
9,,Surface,3,Image 1,1,6,
13,,Surface,3,Image 1,1,7,
13,,Surface,3,Image 1,1,8,
10,,Surface,3,Image 1,1,9,
12,,Surface,3,Image 1,1,10,
12,,Surface,3,Image 1,1,11,
11,,Surface,3,Image 1,1,12,
9,,Surface,3,Image 1,1,13,
9,,Surface,3,Image 1,1,14,
9,,Surface,3,Image 1,1,15,
14,,Surface,3,Image 1,1,16,
12,,Surface,3,Image 1,1,17,
17,,Surface,3,Image 1,1,18,
14,,Surface,3,Image 1,1,19,
12,,Surface,3,Image 1,1,20,
12,,Surface,3,Image 1,1,21,
12,,Surface,3,Image 1,1,22,
16,,Surface,3,Image 1,1,23,
14,,Surface,3,Image 1,1,24,
15,,Surface,3,Image 1,1,25,
13,,Surface,3,Image 1,1,26,
14,,Surface,3,Image 1,1,27,
11,,Surface,3,Image 1,1,28,
12,,Surface,3,Image 1,1,29,
12,,Surface,3,Image 1,1,30,
13,,Surface,3,Image 1,1,31,
14,,Surface,3,Image 1,1,32,
13,,Surface,3,Image 1,1,33,
43,,Surface,3,Image 1,1,34,
31,,Surface,3,Image 1,1,35,
10,,Surface,3,Image 1,1,36,
15,,Surface,3,Image 1,1,37,
10,,Surface,3,Image 1,1,38,
17,,Surface,3,Image 1,1,39,
14,,Surface,3,Image 1,1,40,
13,,Surface,3,Image 1,1,41,
24,,Surface,3,Image 1,1,42,
21,,Surface,3,Image 1,1,43,
12,,Surface,3,Image 1,1,44,
13,,Surface,3,Image 1,1,45,
15,,Surface,3,Image 1,1,46,
12,,Surface,3,Image 1,1,47,
78,,Surface,3,Image 1,1,48,
12,,Surface,3,Image 1,1,49,
15,,Surface,3,Image 1,1,50,
60,,Surface,3,Image 1,1,51,
16,,Surface,3,Image 1,1,52,
14,,Surface,3,Image 1,1,53,
25,,Surface,3,Image 1,1,54,
16,,Surface,3,Image 1,1,55,
14,,Surface,3,Image 1,1,56,
16,,Surface,3,Image 1,1,57,
20,,Surface,3,Image 1,1,58,
14,,Surface,3,Image 1,1,59,
12,,Surface,3,Image 1,1,60,
12,,Surface,3,Image 1,1,61,
13,,Surface,3,Image 1,1,62,
11,,Surface,3,Image 1,1,63,
12,,Surface,3,Image 1,1,64,
10,,Surface,3,Image 1,1,65,
15,,Surface,3,Image 1,1,66,
10,,Surface,3,Image 1,1,67,
9,,Surface,3,Image 1,1,68,
8,,Surface,3,Image 1,1,69,
13,,Surface,3,Image 1,1,70,
10,,Surface,3,Image 1,1,71,
12,,Surface,3,Image 1,1,72,
12,,Surface,3,Image 1,1,73,
8,,Surface,3,Image 1,1,74,
8,,Surface,3,Image 1,1,75,
20,,Surface,3,Image 1,1,76,
13,,Surface,3,Image 1,1,77,
13,,Surface,3,Image 1,1,78,
10,,Surface,3,Image 1,1,79,
10,,Surface,3,Image 1,1,80,
9,,Surface,3,Image 1,1,81,
14,,Surface,3,Image 1,1,82,
11,,Surface,3,Image 1,1,83,
10,,Surface,3,Image 1,1,84,
11,,Surface,3,Image 1,1,85,
12,,Surface,3,Image 1,1,86,
14,,Surface,3,Image 1,1,87,
13,,Surface,3,Image 1,1,88,
15,,Surface,3,Image 1,1,89,
12,,Surface,3,Image 1,1,90,
37,,Surface,3,Image 1,1,91,
12,,Surface,3,Image 1,1,92,
15,,Surface,3,Image 1,1,93,
11,,Surface,3,Image 1,1,94,
13,,Surface,3,Image 1,1,95,
13,,Surface,3,Image 1,1,96,
13,,Surface,3,Image 1,1,97,
31,,Surface,3,Image 1,1,98,
84,,Surface,3,Image 1,1,99,
66,,Surface,3,Image 1,1,100,
13,,Surface,3,Image 1,1,101,
13,,Surface,3,Image 1,1,102,
16,,Surface,3,Image 1,1,103,
13,,Surface,3,Image 1,1,104,
13,,Surface,3,Image 1,1,105,
48,,Surface,3,Image 1,1,106,
49,,Surface,3,Image 1,1,107,
13,,Surface,3,Image 1,1,108,
17,,Surface,3,Image 1,1,109,
26,,Surface,3,Image 1,1,110,
69,,Surface,3,Image 1,1,111,
15,,Surface,3,Image 1,1,112,
