
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
0.918404,,Surface,4,Image 1,1,0,
0.652569,,Surface,4,Image 1,1,1,
0.793963,,Surface,4,Image 1,1,2,
1.00321,,Surface,4,Image 1,1,3,
2.91106,,Surface,4,Image 1,1,4,
0.5,,Surface,4,Image 1,1,5,
0.972222,,Surface,4,Image 1,1,6,
3.90777,,Surface,4,Image 1,1,7,
1.08616,,Surface,4,Image 1,1,8,
1.04055,,Surface,4,Image 1,1,9,
0.339022,,Surface,4,Image 1,1,10,
0.344833,,Surface,4,Image 1,1,11,
0.95487,,Surface,4,Image 1,1,12,
0.545455,,Surface,4,Image 1,1,13,
0.591579,,Surface,4,Image 1,1,14,
0.206278,,Surface,4,Image 1,1,15,
0.398135,,Surface,4,Image 1,1,16,
0.307786,,Surface,4,Image 1,1,17,
0.359764,,Surface,4,Image 1,1,18,
1.09402,,Surface,4,Image 1,1,19,
0.651152,,Surface,4,Image 1,1,20,
0.529991,,Surface,4,Image 1,1,21,
1.29488,,Surface,4,Image 1,1,22,
0.776777,,Surface,4,Image 1,1,23,
1.18799,,Surface,4,Image 1,1,24,
1.66283,,Surface,4,Image 1,1,25,
1.01962,,Surface,4,Image 1,1,26,
0.734401,,Surface,4,Image 1,1,27,
1.38105,,Surface,4,Image 1,1,28,
0.917191,,Surface,4,Image 1,1,29,
1.14541,,Surface,4,Image 1,1,30,
0.716256,,Surface,4,Image 1,1,31,
1.3253,,Surface,4,Image 1,1,32,
1.57548,,Surface,4,Image 1,1,33,
3.45131,,Surface,4,Image 1,1,34,
2.03934,,Surface,4,Image 1,1,35,
2.33822,,Surface,4,Image 1,1,36,
1.12684,,Surface,4,Image 1,1,37,
2.41957,,Surface,4,Image 1,1,38,
2.37745,,Surface,4,Image 1,1,39,
2.51377,,Surface,4,Image 1,1,40,
1.34795,,Surface,4,Image 1,1,41,
1.35589,,Surface,4,Image 1,1,42,
2.21814,,Surface,4,Image 1,1,43,
1.81232,,Surface,4,Image 1,1,44,
1.08816,,Surface,4,Image 1,1,45,
4.6819,,Surface,4,Image 1,1,46,
0.945719,,Surface,4,Image 1,1,47,
2.88478,,Surface,4,Image 1,1,48,
0.922258,,Surface,4,Image 1,1,49,
0.644999,,Surface,4,Image 1,1,50,
3.91802,,Surface,4,Image 1,1,51,
1.67984,,Surface,4,Image 1,1,52,
1.09238,,Surface,4,Image 1,1,53,
2.91314,,Surface,4,Image 1,1,54,
1.35587,,Surface,4,Image 1,1,55,
1.67366,,Surface,4,Image 1,1,56,
1.27187,,Surface,4,Image 1,1,57,
0.458216,,Surface,4,Image 1,1,58,
0.959585,,Surface,4,Image 1,1,59,
0.517883,,Surface,4,Image 1,1,60,
1.02439,,Surface,4,Image 1,1,61,
0.425326,,Surface,4,Image 1,1,62,
0.41222,,Surface,4,Image 1,1,63,
0.429757,,Surface,4,Image 1,1,64,
0.352736,,Surface,4,Image 1,1,65,
0.819951,,Surface,4,Image 1,1,66,
0.579549,,Surface,4,Image 1,1,67,
0.664559,,Surface,4,Image 1,1,68,
1.03053,,Surface,4,Image 1,1,69,
0.617021,,Surface,4,Image 1,1,70,
1.32113,,Surface,4,Image 1,1,71,
0.627274,,Surface,4,Image 1,1,72,
0.711521,,Surface,4,Image 1,1,73,
0.326503,,Surface,4,Image 1,1,74,
1.1049,,Surface,4,Image 1,1,75,
0.975,,Surface,4,Image 1,1,76,
0.732963,,Surface,4,Image 1,1,77,
0.288216,,Surface,4,Image 1,1,78,
0.730432,,Surface,4,Image 1,1,79,
0.675602,,Surface,4,Image 1,1,80,
0.819252,,Surface,4,Image 1,1,81,
0.703398,,Surface,4,Image 1,1,82,
0.82672,,Surface,4,Image 1,1,83,
0.737758,,Surface,4,Image 1,1,84,
1.02992,,Surface,4,Image 1,1,85,
1.21584,,Surface,4,Image 1,1,86,
1.47278,,Surface,4,Image 1,1,87,
1.17984,,Surface,4,Image 1,1,88,
1.41929,,Surface,4,Image 1,1,89,
0.920708,,Surface,4,Image 1,1,90,
1.61095,,Surface,4,Image 1,1,91,
1.9289,,Surface,4,Image 1,1,92,
2.40427,,Surface,4,Image 1,1,93,
1.91057,,Surface,4,Image 1,1,94,
1.64511,,Surface,4,Image 1,1,95,
2.37165,,Surface,4,Image 1,1,96,
1.45291,,Surface,4,Image 1,1,97,
3.85386,,Surface,4,Image 1,1,98,
3.41428,,Surface,4,Image 1,1,99,
4.93395,,Surface,4,Image 1,1,100,
2.07204,,Surface,4,Image 1,1,101,
2.77494,,Surface,4,Image 1,1,102,
5.02291,,Surface,4,Image 1,1,103,
2.00774,,Surface,4,Image 1,1,104,
0.51444,,Surface,4,Image 1,1,105,
4.86325,,Surface,4,Image 1,1,106,
7.43375,,Surface,4,Image 1,1,107,
0.549599,,Surface,4,Image 1,1,108,
0.567014,,Surface,4,Image 1,1,109,
5.86574,,Surface,4,Image 1,1,110,
2.78965,,Surface,4,Image 1,1,111,
0.451028,,Surface,4,Image 1,1,112,
0.510643,,Surface,4,Image 1,1,113,
1.13857,,Surface,4,Image 1,1,114,
0.853273,,Surface,4,Image 1,1,115,
1.54462,,Surface,4,Image 1,1,116,
3.42665,,Surface,4,Image 1,1,117,
2.69091,,Surface,4,Image 1,1,118,
0.67263,,Surface,4,Image 1,1,119,
1.03284,,Surface,4,Image 1,1,120,
0.951772,,Surface,4,Image 1,1,121,
1.3478,,Surface,4,Image 1,1,122,
1.14568,,Surface,4,Image 1,1,123,
3.44146,,Surface,4,Image 1,1,124,
0.600322,,Surface,4,Image 1,1,125,
0.699095,,Surface,4,Image 1,1,126,
0.523713,,Surface,4,Image 1,1,127,
0.475365,,Surface,4,Image 1,1,128,
0.59016,,Surface,4,Image 1,1,129,
0.754596,,Surface,4,Image 1,1,130,
0.48501,,Surface,4,Image 1,1,131,
0.40458,,Surface,4,Image 1,1,132,
0.504765,,Surface,4,Image 1,1,133,
0.49371,,Surface,4,Image 1,1,134,
0.573852,,Surface,4,Image 1,1,135,
0.492672,,Surface,4,Image 1,1,136,
0.56419,,Surface,4,Image 1,1,137,
0.574773,,Surface,4,Image 1,1,138,
0.240516,,Surface,4,Image 1,1,140,
2.05848,,Surface,4,Image 1,1,141,
0.94738,,Surface,4,Image 1,1,142,
4.67267,,Surface,4,Image 1,1,143,
3.90707,,Surface,4,Image 1,1,144,
