
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
21.2173,77.6562,63.436,um,Surface,Position Reference Frame,Reference Frame 1,1,0,
24.4861,62.4974,64.1967,um,Surface,Position Reference Frame,Reference Frame 1,1,1,
24.0879,79.3132,65.0143,um,Surface,Position Reference Frame,Reference Frame 1,1,2,
38.0137,63.6237,61.0895,um,Surface,Position Reference Frame,Reference Frame 1,1,3,
33.3702,53.915,59.9805,um,Surface,Position Reference Frame,Reference Frame 1,1,4,
33.6472,43.9218,60.9016,um,Surface,Position Reference Frame,Reference Frame 1,1,5,
45.0956,58.1663,62.0177,um,Surface,Position Reference Frame,Reference Frame 1,1,6,
45.7185,61.0374,61.3102,um,Surface,Position Reference Frame,Reference Frame 1,1,7,
37.6739,58.112,62.6836,um,Surface,Position Reference Frame,Reference Frame 1,1,8,
49.0023,55.2745,62.6056,um,Surface,Position Reference Frame,Reference Frame 1,1,9,
41.0477,47.3997,62.2136,um,Surface,Position Reference Frame,Reference Frame 1,1,10,
31.1146,58.481,63.3061,um,Surface,Position Reference Frame,Reference Frame 1,1,11,
55.1765,54.8333,57.5018,um,Surface,Position Reference Frame,Reference Frame 1,1,12,
65.722,65.3169,61.5929,um,Surface,Position Reference Frame,Reference Frame 1,1,13,
52.8664,60.1808,61.5398,um,Surface,Position Reference Frame,Reference Frame 1,1,14,
55.5077,54.795,62.3349,um,Surface,Position Reference Frame,Reference Frame 1,1,15,
53.2251,69.8118,61.9436,um,Surface,Position Reference Frame,Reference Frame 1,1,16,
9.60135,61.2169,59.0791,um,Surface,Position Reference Frame,Reference Frame 1,1,17,
6.37914,75.7092,60.074,um,Surface,Position Reference Frame,Reference Frame 1,1,18,
5.96438,67.5274,60.3022,um,Surface,Position Reference Frame,Reference Frame 1,1,19,
-1.56589,64.6723,59.6515,um,Surface,Position Reference Frame,Reference Frame 1,1,20,
16.0295,79.5368,59.2767,um,Surface,Position Reference Frame,Reference Frame 1,1,21,
15.4571,67.5268,59.0394,um,Surface,Position Reference Frame,Reference Frame 1,1,22,
1.65317,68.1212,60.6187,um,Surface,Position Reference Frame,Reference Frame 1,1,23,
5.19518,50.5362,59.0993,um,Surface,Position Reference Frame,Reference Frame 1,1,24,
9.25536,54.4635,59.9727,um,Surface,Position Reference Frame,Reference Frame 1,1,25,
3.56913,55.5546,59.3231,um,Surface,Position Reference Frame,Reference Frame 1,1,26,
12.6474,58.0099,60.2685,um,Surface,Position Reference Frame,Reference Frame 1,1,27,
1.7001,62.1658,60.7708,um,Surface,Position Reference Frame,Reference Frame 1,1,28,
6.07721,59.1046,61.03,um,Surface,Position Reference Frame,Reference Frame 1,1,29,
19.5104,67.8994,61.4435,um,Surface,Position Reference Frame,Reference Frame 1,1,30,
10.5986,67.988,61.1963,um,Surface,Position Reference Frame,Reference Frame 1,1,31,
13.4501,62.7443,62.8554,um,Surface,Position Reference Frame,Reference Frame 1,1,32,
29.4131,61.3368,58.3141,um,Surface,Position Reference Frame,Reference Frame 1,1,33,
26.9536,81.5856,60.5604,um,Surface,Position Reference Frame,Reference Frame 1,1,34,
34.2495,84.64,60.8988,um,Surface,Position Reference Frame,Reference Frame 1,1,35,
33.5635,80.6978,59.3894,um,Surface,Position Reference Frame,Reference Frame 1,1,36,
37.1769,77.497,60.8631,um,Surface,Position Reference Frame,Reference Frame 1,1,37,
44.7032,71.0214,61.7184,um,Surface,Position Reference Frame,Reference Frame 1,1,38,
28.1806,68.5188,60.4129,um,Surface,Position Reference Frame,Reference Frame 1,1,39,
30.2675,75.3483,61.9487,um,Surface,Position Reference Frame,Reference Frame 1,1,40,
37.2146,73.0708,64.3566,um,Surface,Position Reference Frame,Reference Frame 1,1,41,
39.2141,85.0077,63.2585,um,Surface,Position Reference Frame,Reference Frame 1,1,42,
29.8446,62.4188,63.7822,um,Surface,Position Reference Frame,Reference Frame 1,1,43,
35.0128,66.698,63.7523,um,Surface,Position Reference Frame,Reference Frame 1,1,44,
29.8819,78.8918,64.1461,um,Surface,Position Reference Frame,Reference Frame 1,1,45,
47.5401,90.1614,57.8658,um,Surface,Position Reference Frame,Reference Frame 1,1,46,
62.9762,90.253,58.107,um,Surface,Position Reference Frame,Reference Frame 1,1,47,
60.966,82.7077,61.4085,um,Surface,Position Reference Frame,Reference Frame 1,1,48,
50.0636,81.9644,59.6924,um,Surface,Position Reference Frame,Reference Frame 1,1,49,
44.0055,85.1566,61.7311,um,Surface,Position Reference Frame,Reference Frame 1,1,50,
-6.11244,78.2752,58.5151,um,Surface,Position Reference Frame,Reference Frame 1,1,51,
6.90635,83.677,60.2316,um,Surface,Position Reference Frame,Reference Frame 1,1,52,
-1.44839,78.8612,61.1803,um,Surface,Position Reference Frame,Reference Frame 1,1,53,
2.41224,81.4957,60.3078,um,Surface,Position Reference Frame,Reference Frame 1,1,54,
2.40699,74.4943,60.0625,um,Surface,Position Reference Frame,Reference Frame 1,1,55,
11.6244,82.5193,60.8128,um,Surface,Position Reference Frame,Reference Frame 1,1,56,
-3.43312,73.6889,62.0404,um,Surface,Position Reference Frame,Reference Frame 1,1,57,
8.0796,80.1721,62.2038,um,Surface,Position Reference Frame,Reference Frame 1,1,58,
27.6537,101.908,57.833,um,Surface,Position Reference Frame,Reference Frame 1,1,59,
16.9335,102.503,59.0099,um,Surface,Position Reference Frame,Reference Frame 1,1,60,
20.0875,89.6981,59.7897,um,Surface,Position Reference Frame,Reference Frame 1,1,61,
