
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3.0317,,Surface,4,Image 1,1,0,
3.3521,,Surface,4,Image 1,1,1,
2.30656,,Surface,4,Image 1,1,2,
2.18758,,Surface,4,Image 1,1,3,
3.06503,,Surface,4,Image 1,1,4,
2.48536,,Surface,4,Image 1,1,5,
2.70572,,Surface,4,Image 1,1,6,
2.80852,,Surface,4,Image 1,1,7,
3.75148,,Surface,4,Image 1,1,8,
2.97366,,Surface,4,Image 1,1,9,
14.8785,,Surface,4,Image 1,1,10,
5.50966,,Surface,4,Image 1,1,11,
18.4203,,Surface,4,Image 1,1,12,
11.8402,,Surface,4,Image 1,1,13,
2.88405,,Surface,4,Image 1,1,14,
4.7327,,Surface,4,Image 1,1,15,
2.32529,,Surface,4,Image 1,1,16,
2.55155,,Surface,4,Image 1,1,17,
6.08968,,Surface,4,Image 1,1,18,
5.34387,,Surface,4,Image 1,1,19,
6.06608,,Surface,4,Image 1,1,20,
3.48913,,Surface,4,Image 1,1,21,
2.75803,,Surface,4,Image 1,1,22,
26.254,,Surface,4,Image 1,1,23,
17.6318,,Surface,4,Image 1,1,24,
13.2251,,Surface,4,Image 1,1,25,
17.5173,,Surface,4,Image 1,1,26,
24.5598,,Surface,4,Image 1,1,27,
23.3551,,Surface,4,Image 1,1,28,
19.5727,,Surface,4,Image 1,1,29,
9.86234,,Surface,4,Image 1,1,30,
4.34285,,Surface,4,Image 1,1,31,
9.82439,,Surface,4,Image 1,1,32,
32.0278,,Surface,4,Image 1,1,33,
3.53854,,Surface,4,Image 1,1,34,
16.4517,,Surface,4,Image 1,1,35,
6.31337,,Surface,4,Image 1,1,36,
3.00406,,Surface,4,Image 1,1,37,
2.83308,,Surface,4,Image 1,1,38,
3.09146,,Surface,4,Image 1,1,39,
2.52035,,Surface,4,Image 1,1,40,
2.12622,,Surface,4,Image 1,1,41,
18.4364,,Surface,4,Image 1,1,42,
10.1924,,Surface,4,Image 1,1,43,
18.2813,,Surface,4,Image 1,1,44,
3.74611,,Surface,4,Image 1,1,45,
3.84191,,Surface,4,Image 1,1,46,
2.62173,,Surface,4,Image 1,1,47,
3.58585,,Surface,4,Image 1,1,48,
3.05614,,Surface,4,Image 1,1,49,
3.94333,,Surface,4,Image 1,1,50,
2.52311,,Surface,4,Image 1,1,51,
2.44573,,Surface,4,Image 1,1,52,
6.55228,,Surface,4,Image 1,1,53,
1.9339,,Surface,4,Image 1,1,54,
2.57083,,Surface,4,Image 1,1,55,
12.4657,,Surface,4,Image 1,1,56,
11.524,,Surface,4,Image 1,1,57,
17.2039,,Surface,4,Image 1,1,58,
57.816,,Surface,4,Image 1,1,59,
21.3535,,Surface,4,Image 1,1,60,
7.26157,,Surface,4,Image 1,1,61,
10.2669,,Surface,4,Image 1,1,62,
8.54312,,Surface,4,Image 1,1,63,
11.7948,,Surface,4,Image 1,1,64,
7.33142,,Surface,4,Image 1,1,65,
12.7515,,Surface,4,Image 1,1,66,
9.49594,,Surface,4,Image 1,1,67,
11.8106,,Surface,4,Image 1,1,68,
7.1359,,Surface,4,Image 1,1,69,
12.5172,,Surface,4,Image 1,1,70,
7.41329,,Surface,4,Image 1,1,71,
9.25248,,Surface,4,Image 1,1,72,
8.95191,,Surface,4,Image 1,1,73,
10.5693,,Surface,4,Image 1,1,74,
16.8477,,Surface,4,Image 1,1,75,
7.43844,,Surface,4,Image 1,1,76,
2.65171,,Surface,4,Image 1,1,77,
11.4212,,Surface,4,Image 1,1,78,
10.18,,Surface,4,Image 1,1,79,
11.4725,,Surface,4,Image 1,1,80,
8.07069,,Surface,4,Image 1,1,81,
5.74085,,Surface,4,Image 1,1,82,
10.2958,,Surface,4,Image 1,1,83,
3.0616,,Surface,4,Image 1,1,84,
18.3114,,Surface,4,Image 1,1,85,
2.51289,,Surface,4,Image 1,1,86,
3.5414,,Surface,4,Image 1,1,87,
20.0739,,Surface,4,Image 1,1,88,
2.27176,,Surface,4,Image 1,1,89,
4.44625,,Surface,4,Image 1,1,90,
13.3314,,Surface,4,Image 1,1,91,
5.01014,,Surface,4,Image 1,1,92,
2.79209,,Surface,4,Image 1,1,93,
39.9075,,Surface,4,Image 1,1,94,
27.7975,,Surface,4,Image 1,1,95,
16.1026,,Surface,4,Image 1,1,96,
3.76657,,Surface,4,Image 1,1,97,
5.15782,,Surface,4,Image 1,1,98,
22.6279,,Surface,4,Image 1,1,99,
20.0606,,Surface,4,Image 1,1,100,
22.5701,,Surface,4,Image 1,1,101,
27.9266,,Surface,4,Image 1,1,102,
17.3172,,Surface,4,Image 1,1,103,
16.1803,,Surface,4,Image 1,1,104,
28.8761,,Surface,4,Image 1,1,105,
37.6877,,Surface,4,Image 1,1,106,
16.5247,,Surface,4,Image 1,1,107,
21.2984,,Surface,4,Image 1,1,108,
20.3449,,Surface,4,Image 1,1,109,
28.3366,,Surface,4,Image 1,1,110,
35.5855,,Surface,4,Image 1,1,111,
4.94613,,Surface,4,Image 1,1,112,
13.7806,,Surface,4,Image 1,1,113,
21.9848,,Surface,4,Image 1,1,114,
3.42897,,Surface,4,Image 1,1,115,
6.14684,,Surface,4,Image 1,1,116,
22.3946,,Surface,4,Image 1,1,117,
17.0751,,Surface,4,Image 1,1,118,
3.24489,,Surface,4,Image 1,1,119,
5.1656,,Surface,4,Image 1,1,120,
8.37349,,Surface,4,Image 1,1,121,
28.0182,,Surface,4,Image 1,1,122,
2.49608,,Surface,4,Image 1,1,123,
3.61572,,Surface,4,Image 1,1,124,
2.11932,,Surface,4,Image 1,1,125,
2.98254,,Surface,4,Image 1,1,126,
2.49969,,Surface,4,Image 1,1,127,
3.82183,,Surface,4,Image 1,1,128,
3.72477,,Surface,4,Image 1,1,129,
3.19666,,Surface,4,Image 1,1,130,
3.37099,,Surface,4,Image 1,1,131,
4.94989,,Surface,4,Image 1,1,132,
3.5849,,Surface,4,Image 1,1,133,
3.90269,,Surface,4,Image 1,1,134,
3.62102,,Surface,4,Image 1,1,135,
3.63007,,Surface,4,Image 1,1,136,
4.4265,,Surface,4,Image 1,1,137,
3.9787,,Surface,4,Image 1,1,138,
3.82108,,Surface,4,Image 1,1,139,
5.23794,,Surface,4,Image 1,1,140,
3.25967,,Surface,4,Image 1,1,141,
3.89093,,Surface,4,Image 1,1,142,
3.42425,,Surface,4,Image 1,1,143,
3.62522,,Surface,4,Image 1,1,144,
4.29904,,Surface,4,Image 1,1,145,
2.97275,,Surface,4,Image 1,1,146,
2.30325,,Surface,4,Image 1,1,147,
5.41136,,Surface,4,Image 1,1,148,
4.06454,,Surface,4,Image 1,1,149,
3.97853,,Surface,4,Image 1,1,150,
3.57479,,Surface,4,Image 1,1,151,
3.07752,,Surface,4,Image 1,1,152,
4.13213,,Surface,4,Image 1,1,153,
3.49897,,Surface,4,Image 1,1,154,
2.91507,,Surface,4,Image 1,1,155,
4.77799,,Surface,4,Image 1,1,156,
2.89053,,Surface,4,Image 1,1,157,
3.05781,,Surface,4,Image 1,1,158,
2.94007,,Surface,4,Image 1,1,159,
3.19944,,Surface,4,Image 1,1,160,
3.28769,,Surface,4,Image 1,1,161,
2.73226,,Surface,4,Image 1,1,162,
3.21641,,Surface,4,Image 1,1,163,
2.96687,,Surface,4,Image 1,1,164,
3.14595,,Surface,4,Image 1,1,165,
3.03286,,Surface,4,Image 1,1,166,
3.50751,,Surface,4,Image 1,1,167,
2.88513,,Surface,4,Image 1,1,168,
2.66334,,Surface,4,Image 1,1,169,
2.74247,,Surface,4,Image 1,1,170,
4.12198,,Surface,4,Image 1,1,171,
3.18387,,Surface,4,Image 1,1,172,
3.14089,,Surface,4,Image 1,1,173,
2.8805,,Surface,4,Image 1,1,174,
2.66445,,Surface,4,Image 1,1,175,
3.47283,,Surface,4,Image 1,1,176,
3.00281,,Surface,4,Image 1,1,177,
8.63235,,Surface,4,Image 1,1,178,
10.8826,,Surface,4,Image 1,1,179,
8.23958,,Surface,4,Image 1,1,180,
14.2162,,Surface,4,Image 1,1,181,
12.034,,Surface,4,Image 1,1,182,
22.1906,,Surface,4,Image 1,1,183,
16.0226,,Surface,4,Image 1,1,184,
11.0477,,Surface,4,Image 1,1,185,
9.0591,,Surface,4,Image 1,1,186,
10.7336,,Surface,4,Image 1,1,187,
8.72513,,Surface,4,Image 1,1,188,
8.438,,Surface,4,Image 1,1,189,
2.96678,,Surface,4,Image 1,1,190,
16.07,,Surface,4,Image 1,1,191,
12.8369,,Surface,4,Image 1,1,192,
10.128,,Surface,4,Image 1,1,193,
2.7099,,Surface,4,Image 1,1,194,
9.02114,,Surface,4,Image 1,1,195,
22.6346,,Surface,4,Image 1,1,196,
3.09733,,Surface,4,Image 1,1,197,
2.80435,,Surface,4,Image 1,1,198,
2.90489,,Surface,4,Image 1,1,199,
6.65169,,Surface,4,Image 1,1,200,
2.3117,,Surface,4,Image 1,1,201,
5.21417,,Surface,4,Image 1,1,202,
2.00864,,Surface,4,Image 1,1,203,
4.29093,,Surface,4,Image 1,1,204,
24.7594,,Surface,4,Image 1,1,205,
26.8422,,Surface,4,Image 1,1,206,
32.8223,,Surface,4,Image 1,1,207,
31.869,,Surface,4,Image 1,1,208,
35.9204,,Surface,4,Image 1,1,209,
6.0392,,Surface,4,Image 1,1,210,
22.8197,,Surface,4,Image 1,1,211,
36.9342,,Surface,4,Image 1,1,212,
28.6621,,Surface,4,Image 1,1,213,
4.26702,,Surface,4,Image 1,1,214,
31.7693,,Surface,4,Image 1,1,215,
27.5549,,Surface,4,Image 1,1,216,
28.8723,,Surface,4,Image 1,1,217,
18.5735,,Surface,4,Image 1,1,218,
16.9244,,Surface,4,Image 1,1,219,
27.4035,,Surface,4,Image 1,1,220,
16.6323,,Surface,4,Image 1,1,221,
21.1562,,Surface,4,Image 1,1,222,
31.272,,Surface,4,Image 1,1,223,
18.6607,,Surface,4,Image 1,1,224,
47.1899,,Surface,4,Image 1,1,225,
28.1801,,Surface,4,Image 1,1,226,
6.73997,,Surface,4,Image 1,1,227,
17.1496,,Surface,4,Image 1,1,228,
27.1023,,Surface,4,Image 1,1,229,
3.03862,,Surface,4,Image 1,1,230,
3.45265,,Surface,4,Image 1,1,231,
2.44712,,Surface,4,Image 1,1,232,
3.48096,,Surface,4,Image 1,1,233,
5.87145,,Surface,4,Image 1,1,234,
4.67895,,Surface,4,Image 1,1,235,
3.32681,,Surface,4,Image 1,1,236,
3.5899,,Surface,4,Image 1,1,237,
4.56786,,Surface,4,Image 1,1,238,
3.95373,,Surface,4,Image 1,1,239,
3.46095,,Surface,4,Image 1,1,240,
2.73057,,Surface,4,Image 1,1,241,
2.5203,,Surface,4,Image 1,1,242,
2.58779,,Surface,4,Image 1,1,243,
3.57188,,Surface,4,Image 1,1,244,
3.14111,,Surface,4,Image 1,1,245,
2.62598,,Surface,4,Image 1,1,246,
3.22224,,Surface,4,Image 1,1,247,
3.26872,,Surface,4,Image 1,1,248,
2.88283,,Surface,4,Image 1,1,249,
2.73674,,Surface,4,Image 1,1,250,
2.6389,,Surface,4,Image 1,1,251,
3.31875,,Surface,4,Image 1,1,252,
4.74746,,Surface,4,Image 1,1,253,
3.27702,,Surface,4,Image 1,1,254,
3.76267,,Surface,4,Image 1,1,255,
7.2018,,Surface,4,Image 1,1,256,
5.66211,,Surface,4,Image 1,1,257,
5.6537,,Surface,4,Image 1,1,258,
5.41196,,Surface,4,Image 1,1,259,
3.20882,,Surface,4,Image 1,1,260,
3.2638,,Surface,4,Image 1,1,261,
3.73917,,Surface,4,Image 1,1,262,
3.59834,,Surface,4,Image 1,1,263,
3.23585,,Surface,4,Image 1,1,264,
4.03264,,Surface,4,Image 1,1,265,
3.4077,,Surface,4,Image 1,1,266,
5.4499,,Surface,4,Image 1,1,267,
4.22174,,Surface,4,Image 1,1,268,
3.86075,,Surface,4,Image 1,1,269,
2.74487,,Surface,4,Image 1,1,270,
3.10763,,Surface,4,Image 1,1,271,
2.95591,,Surface,4,Image 1,1,272,
4.02359,,Surface,4,Image 1,1,273,
3.49225,,Surface,4,Image 1,1,274,
2.74902,,Surface,4,Image 1,1,275,
3.54151,,Surface,4,Image 1,1,276,
4.02077,,Surface,4,Image 1,1,277,
3.87488,,Surface,4,Image 1,1,278,
5.64176,,Surface,4,Image 1,1,279,
3.1826,,Surface,4,Image 1,1,280,
4.78638,,Surface,4,Image 1,1,281,
2.00038,,Surface,4,Image 1,1,282,
6.52346,,Surface,4,Image 1,1,283,
13.5607,,Surface,4,Image 1,1,284,
9.17402,,Surface,4,Image 1,1,285,
12.3183,,Surface,4,Image 1,1,286,
14.1995,,Surface,4,Image 1,1,287,
12.3452,,Surface,4,Image 1,1,288,
28.1447,,Surface,4,Image 1,1,289,
34.3996,,Surface,4,Image 1,1,290,
10.3081,,Surface,4,Image 1,1,291,
23.2839,,Surface,4,Image 1,1,292,
11.3876,,Surface,4,Image 1,1,293,
7.87069,,Surface,4,Image 1,1,294,
7.65798,,Surface,4,Image 1,1,295,
10.5471,,Surface,4,Image 1,1,296,
12.6523,,Surface,4,Image 1,1,297,
15.7191,,Surface,4,Image 1,1,298,
9.41566,,Surface,4,Image 1,1,299,
12.9452,,Surface,4,Image 1,1,300,
8.13211,,Surface,4,Image 1,1,301,
10.9165,,Surface,4,Image 1,1,302,
6.81409,,Surface,4,Image 1,1,303,
11.9408,,Surface,4,Image 1,1,304,
10.3998,,Surface,4,Image 1,1,305,
7.97746,,Surface,4,Image 1,1,306,
8.4318,,Surface,4,Image 1,1,307,
9.08724,,Surface,4,Image 1,1,308,
8.1927,,Surface,4,Image 1,1,309,
10.6578,,Surface,4,Image 1,1,310,
10.045,,Surface,4,Image 1,1,311,
12.5869,,Surface,4,Image 1,1,312,
14.0691,,Surface,4,Image 1,1,313,
12.4245,,Surface,4,Image 1,1,314,
10.5611,,Surface,4,Image 1,1,315,
15.786,,Surface,4,Image 1,1,316,
6.07433,,Surface,4,Image 1,1,317,
9.39429,,Surface,4,Image 1,1,318,
5.60328,,Surface,4,Image 1,1,319,
7.4516,,Surface,4,Image 1,1,320,
7.37126,,Surface,4,Image 1,1,321,
9.72418,,Surface,4,Image 1,1,322,
3.71216,,Surface,4,Image 1,1,323,
12.3863,,Surface,4,Image 1,1,324,
22.7115,,Surface,4,Image 1,1,325,
33.7227,,Surface,4,Image 1,1,326,
12.3353,,Surface,4,Image 1,1,327,
13.6722,,Surface,4,Image 1,1,328,
15.6788,,Surface,4,Image 1,1,329,
8.06564,,Surface,4,Image 1,1,330,
7.22509,,Surface,4,Image 1,1,331,
5.21223,,Surface,4,Image 1,1,332,
2.19435,,Surface,4,Image 1,1,333,
12.9773,,Surface,4,Image 1,1,334,
4.10019,,Surface,4,Image 1,1,335,
2.6565,,Surface,4,Image 1,1,336,
28.9783,,Surface,4,Image 1,1,337,
31.7612,,Surface,4,Image 1,1,338,
4.07778,,Surface,4,Image 1,1,339,
20.516,,Surface,4,Image 1,1,340,
22.7105,,Surface,4,Image 1,1,341,
15.204,,Surface,4,Image 1,1,342,
3.63335,,Surface,4,Image 1,1,343,
21.8704,,Surface,4,Image 1,1,344,
24.499,,Surface,4,Image 1,1,345,
24.0623,,Surface,4,Image 1,1,346,
3.4631,,Surface,4,Image 1,1,347,
27.7784,,Surface,4,Image 1,1,348,
25.9802,,Surface,4,Image 1,1,349,
35.076,,Surface,4,Image 1,1,350,
22.8029,,Surface,4,Image 1,1,351,
15.7365,,Surface,4,Image 1,1,352,
12.5902,,Surface,4,Image 1,1,353,
11.9017,,Surface,4,Image 1,1,354,
36.7665,,Surface,4,Image 1,1,355,
17.9812,,Surface,4,Image 1,1,356,
12.6977,,Surface,4,Image 1,1,357,
2.61174,,Surface,4,Image 1,1,358,
38.2129,,Surface,4,Image 1,1,359,
17.6085,,Surface,4,Image 1,1,360,
21.3601,,Surface,4,Image 1,1,361,
10.8446,,Surface,4,Image 1,1,362,
39.4058,,Surface,4,Image 1,1,363,
44.5411,,Surface,4,Image 1,1,364,
2.38997,,Surface,4,Image 1,1,365,
2.2675,,Surface,4,Image 1,1,366,
31.8722,,Surface,4,Image 1,1,367,
41.9905,,Surface,4,Image 1,1,368,
10.1577,,Surface,4,Image 1,1,369,
5.73495,,Surface,4,Image 1,1,370,
2.40845,,Surface,4,Image 1,1,371,
2.57889,,Surface,4,Image 1,1,372,
5.07164,,Surface,4,Image 1,1,373,
4.16925,,Surface,4,Image 1,1,374,
3.47853,,Surface,4,Image 1,1,375,
3.70602,,Surface,4,Image 1,1,376,
2.02324,,Surface,4,Image 1,1,377,
3.30142,,Surface,4,Image 1,1,378,
2.21199,,Surface,4,Image 1,1,379,
2.4727,,Surface,4,Image 1,1,380,
2.92763,,Surface,4,Image 1,1,381,
2.53073,,Surface,4,Image 1,1,382,
5.66404,,Surface,4,Image 1,1,383,
7.37422,,Surface,4,Image 1,1,384,
2.89335,,Surface,4,Image 1,1,385,
6.74416,,Surface,4,Image 1,1,386,
3.17957,,Surface,4,Image 1,1,387,
3.45805,,Surface,4,Image 1,1,388,
3.54027,,Surface,4,Image 1,1,389,
4.11923,,Surface,4,Image 1,1,390,
4.51252,,Surface,4,Image 1,1,391,
2.98962,,Surface,4,Image 1,1,392,
3.24932,,Surface,4,Image 1,1,393,
3.32265,,Surface,4,Image 1,1,394,
5.74081,,Surface,4,Image 1,1,395,
3.27053,,Surface,4,Image 1,1,396,
4.61959,,Surface,4,Image 1,1,397,
3.09276,,Surface,4,Image 1,1,398,
3.80489,,Surface,4,Image 1,1,399,
4.69598,,Surface,4,Image 1,1,400,
3.16838,,Surface,4,Image 1,1,401,
4.1722,,Surface,4,Image 1,1,402,
3.35854,,Surface,4,Image 1,1,403,
3.98113,,Surface,4,Image 1,1,404,
3.61045,,Surface,4,Image 1,1,405,
3.60475,,Surface,4,Image 1,1,406,
5.49281,,Surface,4,Image 1,1,407,
6.0768,,Surface,4,Image 1,1,408,
5.35889,,Surface,4,Image 1,1,409,
3.76372,,Surface,4,Image 1,1,410,
5.48978,,Surface,4,Image 1,1,411,
5.58082,,Surface,4,Image 1,1,412,
5.27729,,Surface,4,Image 1,1,413,
5.58579,,Surface,4,Image 1,1,414,
3.9625,,Surface,4,Image 1,1,415,
3.30397,,Surface,4,Image 1,1,416,
3.18155,,Surface,4,Image 1,1,417,
12.6334,,Surface,4,Image 1,1,418,
3.30883,,Surface,4,Image 1,1,419,
3.56363,,Surface,4,Image 1,1,420,
3.74684,,Surface,4,Image 1,1,421,
3.73255,,Surface,4,Image 1,1,422,
3.78191,,Surface,4,Image 1,1,423,
3.24946,,Surface,4,Image 1,1,424,
3.82661,,Surface,4,Image 1,1,425,
2.75027,,Surface,4,Image 1,1,426,
3.69172,,Surface,4,Image 1,1,427,
4.01673,,Surface,4,Image 1,1,428,
3.74366,,Surface,4,Image 1,1,429,
3.03877,,Surface,4,Image 1,1,430,
3.86684,,Surface,4,Image 1,1,431,
4.94947,,Surface,4,Image 1,1,432,
3.43492,,Surface,4,Image 1,1,433,
4.18133,,Surface,4,Image 1,1,434,
3.11488,,Surface,4,Image 1,1,435,
4.29541,,Surface,4,Image 1,1,436,
2.97395,,Surface,4,Image 1,1,437,
3.35654,,Surface,4,Image 1,1,438,
3.94675,,Surface,4,Image 1,1,439,
3.19821,,Surface,4,Image 1,1,440,
4.13833,,Surface,4,Image 1,1,441,
4.80864,,Surface,4,Image 1,1,442,
2.87159,,Surface,4,Image 1,1,443,
4.77921,,Surface,4,Image 1,1,444,
3.99478,,Surface,4,Image 1,1,445,
3.60864,,Surface,4,Image 1,1,446,
3.79518,,Surface,4,Image 1,1,447,
2.79882,,Surface,4,Image 1,1,448,
3.48517,,Surface,4,Image 1,1,449,
2.51691,,Surface,4,Image 1,1,450,
4.80438,,Surface,4,Image 1,1,451,
2.36815,,Surface,4,Image 1,1,452,
2.83021,,Surface,4,Image 1,1,453,
3.19588,,Surface,4,Image 1,1,454,
2.9334,,Surface,4,Image 1,1,455,
2.54536,,Surface,4,Image 1,1,456,
5.6302,,Surface,4,Image 1,1,457,
3.7494,,Surface,4,Image 1,1,458,
3.64998,,Surface,4,Image 1,1,459,
4.68396,,Surface,4,Image 1,1,460,
1.97415,,Surface,4,Image 1,1,461,
4.00202,,Surface,4,Image 1,1,462,
7.5296,,Surface,4,Image 1,1,463,
19.5768,,Surface,4,Image 1,1,464,
35.2853,,Surface,4,Image 1,1,465,
