
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
13.2302,,Surface,3,Image 1,1,0,
11.5957,,Surface,3,Image 1,1,1,
8.45458,,Surface,3,Image 1,1,2,
13.3478,,Surface,3,Image 1,1,3,
10.0682,,Surface,3,Image 1,1,4,
8.23457,,Surface,3,Image 1,1,5,
3.47933,,Surface,3,Image 1,1,6,
8.98912,,Surface,3,Image 1,1,7,
8.73169,,Surface,3,Image 1,1,8,
5.95102,,Surface,3,Image 1,1,9,
10.7718,,Surface,3,Image 1,1,10,
10.6213,,Surface,3,Image 1,1,11,
10.9746,,Surface,3,Image 1,1,12,
9.95937,,Surface,3,Image 1,1,13,
8.50898,,Surface,3,Image 1,1,14,
10.545,,Surface,3,Image 1,1,15,
9.71444,,Surface,3,Image 1,1,16,
9.59479,,Surface,3,Image 1,1,17,
8.54641,,Surface,3,Image 1,1,18,
11.287,,Surface,3,Image 1,1,19,
13.0288,,Surface,3,Image 1,1,20,
10.6382,,Surface,3,Image 1,1,21,
10.9115,,Surface,3,Image 1,1,22,
10.8191,,Surface,3,Image 1,1,23,
7.53742,,Surface,3,Image 1,1,24,
10.4667,,Surface,3,Image 1,1,25,
7.9375,,Surface,3,Image 1,1,26,
7.26331,,Surface,3,Image 1,1,27,
3.34564,,Surface,3,Image 1,1,28,
9.69144,,Surface,3,Image 1,1,29,
9.62924,,Surface,3,Image 1,1,30,
9.15125,,Surface,3,Image 1,1,31,
6.12338,,Surface,3,Image 1,1,32,
6.92568,,Surface,3,Image 1,1,33,
2.8797,,Surface,3,Image 1,1,34,
10.9582,,Surface,3,Image 1,1,35,
12.6725,,Surface,3,Image 1,1,36,
7.68937,,Surface,3,Image 1,1,37,
7.23529,,Surface,3,Image 1,1,38,
9.96407,,Surface,3,Image 1,1,39,
8.84832,,Surface,3,Image 1,1,40,
8.40777,,Surface,3,Image 1,1,41,
8.21765,,Surface,3,Image 1,1,42,
9.10229,,Surface,3,Image 1,1,43,
12.5529,,Surface,3,Image 1,1,44,
8.6445,,Surface,3,Image 1,1,45,
9.88006,,Surface,3,Image 1,1,46,
9.67233,,Surface,3,Image 1,1,47,
7.80095,,Surface,3,Image 1,1,48,
10.7788,,Surface,3,Image 1,1,49,
10.0758,,Surface,3,Image 1,1,50,
11.4201,,Surface,3,Image 1,1,51,
10.7364,,Surface,3,Image 1,1,52,
10.3354,,Surface,3,Image 1,1,53,
8.94928,,Surface,3,Image 1,1,54,
7.31897,,Surface,3,Image 1,1,55,
8.80579,,Surface,3,Image 1,1,56,
2.87194,,Surface,3,Image 1,1,57,
9.16933,,Surface,3,Image 1,1,58,
10.1811,,Surface,3,Image 1,1,59,
3.41067,,Surface,3,Image 1,1,60,
3.31585,,Surface,3,Image 1,1,61,
3.31182,,Surface,3,Image 1,1,62,
2.05169,,Surface,3,Image 1,1,63,
3.29021,,Surface,3,Image 1,1,64,
4.14775,,Surface,3,Image 1,1,65,
3.40047,,Surface,3,Image 1,1,66,
5.0172,,Surface,3,Image 1,1,67,
2.84321,,Surface,3,Image 1,1,68,
2.9253,,Surface,3,Image 1,1,69,
7.90661,,Surface,3,Image 1,1,70,
2.83386,,Surface,3,Image 1,1,71,
9.83832,,Surface,3,Image 1,1,72,
8.23199,,Surface,3,Image 1,1,73,
4.78571,,Surface,3,Image 1,1,74,
