
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
40,,Surface,2,Image 1,1,0,
53,,Surface,2,Image 1,1,1,
60,,Surface,2,Image 1,1,2,
39,,Surface,2,Image 1,1,3,
65,,Surface,2,Image 1,1,4,
99,,Surface,2,Image 1,1,5,
51,,Surface,2,Image 1,1,6,
119,,Surface,2,Image 1,1,7,
51,,Surface,2,Image 1,1,8,
40,,Surface,2,Image 1,1,9,
223,,Surface,2,Image 1,1,10,
131,,Surface,2,Image 1,1,11,
215,,Surface,2,Image 1,1,12,
253,,Surface,2,Image 1,1,13,
103,,Surface,2,Image 1,1,14,
81,,Surface,2,Image 1,1,15,
56,,Surface,2,Image 1,1,16,
103,,Surface,2,Image 1,1,17,
142,,Surface,2,Image 1,1,18,
100,,Surface,2,Image 1,1,19,
207,,Surface,2,Image 1,1,20,
46,,Surface,2,Image 1,1,21,
57,,Surface,2,Image 1,1,22,
211,,Surface,2,Image 1,1,23,
255,,Surface,2,Image 1,1,24,
173,,Surface,2,Image 1,1,25,
255,,Surface,2,Image 1,1,26,
223,,Surface,2,Image 1,1,27,
224,,Surface,2,Image 1,1,28,
255,,Surface,2,Image 1,1,29,
158,,Surface,2,Image 1,1,30,
249,,Surface,2,Image 1,1,31,
182,,Surface,2,Image 1,1,32,
254,,Surface,2,Image 1,1,33,
243,,Surface,2,Image 1,1,34,
228,,Surface,2,Image 1,1,35,
242,,Surface,2,Image 1,1,36,
61,,Surface,2,Image 1,1,37,
52,,Surface,2,Image 1,1,38,
85,,Surface,2,Image 1,1,39,
46,,Surface,2,Image 1,1,40,
46,,Surface,2,Image 1,1,41,
237,,Surface,2,Image 1,1,42,
241,,Surface,2,Image 1,1,43,
246,,Surface,2,Image 1,1,44,
73,,Surface,2,Image 1,1,45,
56,,Surface,2,Image 1,1,46,
106,,Surface,2,Image 1,1,47,
140,,Surface,2,Image 1,1,48,
41,,Surface,2,Image 1,1,49,
81,,Surface,2,Image 1,1,50,
42,,Surface,2,Image 1,1,51,
39,,Surface,2,Image 1,1,52,
145,,Surface,2,Image 1,1,53,
41,,Surface,2,Image 1,1,54,
37,,Surface,2,Image 1,1,55,
237,,Surface,2,Image 1,1,56,
199,,Surface,2,Image 1,1,57,
142,,Surface,2,Image 1,1,58,
160,,Surface,2,Image 1,1,59,
236,,Surface,2,Image 1,1,60,
187,,Surface,2,Image 1,1,61,
187,,Surface,2,Image 1,1,62,
106,,Surface,2,Image 1,1,63,
205,,Surface,2,Image 1,1,64,
57,,Surface,2,Image 1,1,65,
255,,Surface,2,Image 1,1,66,
102,,Surface,2,Image 1,1,67,
154,,Surface,2,Image 1,1,68,
104,,Surface,2,Image 1,1,69,
184,,Surface,2,Image 1,1,70,
55,,Surface,2,Image 1,1,71,
120,,Surface,2,Image 1,1,72,
139,,Surface,2,Image 1,1,73,
235,,Surface,2,Image 1,1,74,
240,,Surface,2,Image 1,1,75,
57,,Surface,2,Image 1,1,76,
68,,Surface,2,Image 1,1,77,
67,,Surface,2,Image 1,1,78,
139,,Surface,2,Image 1,1,79,
244,,Surface,2,Image 1,1,80,
112,,Surface,2,Image 1,1,81,
59,,Surface,2,Image 1,1,82,
126,,Surface,2,Image 1,1,83,
84,,Surface,2,Image 1,1,84,
200,,Surface,2,Image 1,1,85,
62,,Surface,2,Image 1,1,86,
