
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
3.43935,,Surface,5,Image 1,1,0,
5.25384,,Surface,5,Image 1,1,1,
2.82171,,Surface,5,Image 1,1,2,
8.30834,,Surface,5,Image 1,1,3,
4.32071,,Surface,5,Image 1,1,4,
5.40705,,Surface,5,Image 1,1,5,
5.84755,,Surface,5,Image 1,1,6,
4.70754,,Surface,5,Image 1,1,7,
2.32958,,Surface,5,Image 1,1,8,
2.66008,,Surface,5,Image 1,1,9,
3.01364,,Surface,5,Image 1,1,10,
3.4316,,Surface,5,Image 1,1,11,
4.98815,,Surface,5,Image 1,1,12,
5.90969,,Surface,5,Image 1,1,13,
3.97954,,Surface,5,Image 1,1,14,
5.44564,,Surface,5,Image 1,1,15,
4.61465,,Surface,5,Image 1,1,16,
11.6575,,Surface,5,Image 1,1,17,
11.1125,,Surface,5,Image 1,1,18,
7.42199,,Surface,5,Image 1,1,19,
7.64115,,Surface,5,Image 1,1,20,
6.73264,,Surface,5,Image 1,1,21,
8.07407,,Surface,5,Image 1,1,22,
5.60924,,Surface,5,Image 1,1,23,
6.09889,,Surface,5,Image 1,1,24,
7.38098,,Surface,5,Image 1,1,25,
6.31767,,Surface,5,Image 1,1,26,
7.1154,,Surface,5,Image 1,1,27,
5.38106,,Surface,5,Image 1,1,28,
6.24941,,Surface,5,Image 1,1,29,
5.66174,,Surface,5,Image 1,1,30,
6.86242,,Surface,5,Image 1,1,31,
15.9674,,Surface,5,Image 1,1,32,
10.4047,,Surface,5,Image 1,1,33,
10.9908,,Surface,5,Image 1,1,34,
9.96524,,Surface,5,Image 1,1,35,
4.07601,,Surface,5,Image 1,1,36,
4.08545,,Surface,5,Image 1,1,37,
8.16919,,Surface,5,Image 1,1,38,
5.43521,,Surface,5,Image 1,1,39,
7.02468,,Surface,5,Image 1,1,40,
3.47806,,Surface,5,Image 1,1,41,
3.70627,,Surface,5,Image 1,1,42,
2.49469,,Surface,5,Image 1,1,43,
2.87749,,Surface,5,Image 1,1,44,
2.94116,,Surface,5,Image 1,1,45,
3.13992,,Surface,5,Image 1,1,46,
2.83244,,Surface,5,Image 1,1,47,
3.36587,,Surface,5,Image 1,1,48,
5.06934,,Surface,5,Image 1,1,49,
4.52773,,Surface,5,Image 1,1,50,
3.41805,,Surface,5,Image 1,1,51,
5.29241,,Surface,5,Image 1,1,52,
4.52598,,Surface,5,Image 1,1,53,
4.25247,,Surface,5,Image 1,1,54,
6.10827,,Surface,5,Image 1,1,55,
5.99965,,Surface,5,Image 1,1,56,
5.40559,,Surface,5,Image 1,1,57,
4.31742,,Surface,5,Image 1,1,58,
7.69663,,Surface,5,Image 1,1,59,
7.76777,,Surface,5,Image 1,1,60,
8.78764,,Surface,5,Image 1,1,61,
3.84976,,Surface,5,Image 1,1,62,
5.38601,,Surface,5,Image 1,1,63,
3.12667,,Surface,5,Image 1,1,64,
2.03707,,Surface,5,Image 1,1,65,
2.02967,,Surface,5,Image 1,1,66,
2.32863,,Surface,5,Image 1,1,67,
2.58587,,Surface,5,Image 1,1,68,
2.22959,,Surface,5,Image 1,1,69,
2.19607,,Surface,5,Image 1,1,70,
2.49916,,Surface,5,Image 1,1,71,
2.42042,,Surface,5,Image 1,1,72,
2.30591,,Surface,5,Image 1,1,73,
2.44492,,Surface,5,Image 1,1,74,
2.09033,,Surface,5,Image 1,1,75,
2.30058,,Surface,5,Image 1,1,76,
2.41176,,Surface,5,Image 1,1,77,
2.23958,,Surface,5,Image 1,1,78,
2.85773,,Surface,5,Image 1,1,79,
3.44438,,Surface,5,Image 1,1,80,
2.02311,,Surface,5,Image 1,1,81,
3.53299,,Surface,5,Image 1,1,82,
4.14133,,Surface,5,Image 1,1,83,
2.47618,,Surface,5,Image 1,1,84,
3.01011,,Surface,5,Image 1,1,85,
3.11434,,Surface,5,Image 1,1,86,
2.64579,,Surface,5,Image 1,1,87,
2.13676,,Surface,5,Image 1,1,88,
1.44417,,Surface,5,Image 1,1,89,
2.64888,,Surface,5,Image 1,1,90,
2.52146,,Surface,5,Image 1,1,91,
2.4525,,Surface,5,Image 1,1,92,
2.44428,,Surface,5,Image 1,1,93,
2.75559,,Surface,5,Image 1,1,94,
2.07116,,Surface,5,Image 1,1,95,
1.79458,,Surface,5,Image 1,1,96,
2.03763,,Surface,5,Image 1,1,97,
2.35812,,Surface,5,Image 1,1,98,
2.11721,,Surface,5,Image 1,1,99,
1.92831,,Surface,5,Image 1,1,100,
5.04727,,Surface,5,Image 1,1,101,
4.47919,,Surface,5,Image 1,1,102,
10.0824,,Surface,5,Image 1,1,103,
4.05991,,Surface,5,Image 1,1,104,
5.06516,,Surface,5,Image 1,1,105,
3.90809,,Surface,5,Image 1,1,106,
5.9118,,Surface,5,Image 1,1,107,
6.41841,,Surface,5,Image 1,1,108,
6.22575,,Surface,5,Image 1,1,109,
5.42379,,Surface,5,Image 1,1,110,
10.5806,,Surface,5,Image 1,1,111,
7.53603,,Surface,5,Image 1,1,112,
5.31014,,Surface,5,Image 1,1,113,
7.41162,,Surface,5,Image 1,1,114,
8.93464,,Surface,5,Image 1,1,115,
5.0315,,Surface,5,Image 1,1,116,
5.98792,,Surface,5,Image 1,1,117,
6.39252,,Surface,5,Image 1,1,118,
6.34044,,Surface,5,Image 1,1,119,
6.6043,,Surface,5,Image 1,1,120,
7.48567,,Surface,5,Image 1,1,121,
5.32681,,Surface,5,Image 1,1,122,
5.27997,,Surface,5,Image 1,1,123,
5.40025,,Surface,5,Image 1,1,124,
5.65669,,Surface,5,Image 1,1,125,
6.45759,,Surface,5,Image 1,1,126,
5.68137,,Surface,5,Image 1,1,127,
7.56516,,Surface,5,Image 1,1,128,
9.11396,,Surface,5,Image 1,1,129,
7.2189,,Surface,5,Image 1,1,130,
6.5829,,Surface,5,Image 1,1,131,
7.36458,,Surface,5,Image 1,1,132,
4.54781,,Surface,5,Image 1,1,133,
4.67816,,Surface,5,Image 1,1,134,
4.05637,,Surface,5,Image 1,1,135,
4.42789,,Surface,5,Image 1,1,136,
4.82947,,Surface,5,Image 1,1,137,
5.59361,,Surface,5,Image 1,1,138,
5.7869,,Surface,5,Image 1,1,139,
4.72011,,Surface,5,Image 1,1,140,
4.5805,,Surface,5,Image 1,1,141,
3.72385,,Surface,5,Image 1,1,142,
4.65912,,Surface,5,Image 1,1,143,
4.13897,,Surface,5,Image 1,1,144,
6.69609,,Surface,5,Image 1,1,145,
6.49845,,Surface,5,Image 1,1,146,
6.47823,,Surface,5,Image 1,1,147,
8.80358,,Surface,5,Image 1,1,148,
6.31577,,Surface,5,Image 1,1,149,
11.5252,,Surface,5,Image 1,1,150,
3.73454,,Surface,5,Image 1,1,151,
9.70904,,Surface,5,Image 1,1,152,
6.95913,,Surface,5,Image 1,1,153,
6.53059,,Surface,5,Image 1,1,154,
7.52246,,Surface,5,Image 1,1,155,
4.48441,,Surface,5,Image 1,1,156,
11.1352,,Surface,5,Image 1,1,157,
6.18591,,Surface,5,Image 1,1,158,
6.53617,,Surface,5,Image 1,1,159,
7.84994,,Surface,5,Image 1,1,160,
8.27887,,Surface,5,Image 1,1,161,
5.95943,,Surface,5,Image 1,1,162,
4.12675,,Surface,5,Image 1,1,163,
5.80312,,Surface,5,Image 1,1,164,
3.43763,,Surface,5,Image 1,1,165,
3.65576,,Surface,5,Image 1,1,166,
4.01662,,Surface,5,Image 1,1,167,
8.0715,,Surface,5,Image 1,1,168,
5.04392,,Surface,5,Image 1,1,169,
3.27559,,Surface,5,Image 1,1,170,
3.0155,,Surface,5,Image 1,1,171,
2.13392,,Surface,5,Image 1,1,172,
2.70146,,Surface,5,Image 1,1,173,
2.15776,,Surface,5,Image 1,1,174,
1.61271,,Surface,5,Image 1,1,175,
1.52036,,Surface,5,Image 1,1,176,
2.28671,,Surface,5,Image 1,1,177,
2.07504,,Surface,5,Image 1,1,178,
2.00124,,Surface,5,Image 1,1,179,
1.87431,,Surface,5,Image 1,1,180,
2.39828,,Surface,5,Image 1,1,181,
1.75207,,Surface,5,Image 1,1,182,
1.95915,,Surface,5,Image 1,1,183,
2.12984,,Surface,5,Image 1,1,184,
2.11903,,Surface,5,Image 1,1,185,
2.23555,,Surface,5,Image 1,1,186,
2.07434,,Surface,5,Image 1,1,187,
2.3048,,Surface,5,Image 1,1,188,
2.88523,,Surface,5,Image 1,1,189,
2.45578,,Surface,5,Image 1,1,190,
2.57859,,Surface,5,Image 1,1,191,
2.03431,,Surface,5,Image 1,1,192,
3.29608,,Surface,5,Image 1,1,193,
2.18259,,Surface,5,Image 1,1,194,
2.90267,,Surface,5,Image 1,1,195,
8.47546,,Surface,5,Image 1,1,196,
4.72042,,Surface,5,Image 1,1,197,
2.53106,,Surface,5,Image 1,1,198,
2.50092,,Surface,5,Image 1,1,199,
3.00541,,Surface,5,Image 1,1,200,
3.1432,,Surface,5,Image 1,1,201,
1.96219,,Surface,5,Image 1,1,202,
1.98988,,Surface,5,Image 1,1,203,
2.50531,,Surface,5,Image 1,1,204,
2.42114,,Surface,5,Image 1,1,205,
2.28034,,Surface,5,Image 1,1,206,
1.47421,,Surface,5,Image 1,1,207,
1.72833,,Surface,5,Image 1,1,208,
2.1691,,Surface,5,Image 1,1,209,
2.04372,,Surface,5,Image 1,1,210,
2.2926,,Surface,5,Image 1,1,211,
2.1917,,Surface,5,Image 1,1,212,
2.44939,,Surface,5,Image 1,1,213,
1.51985,,Surface,5,Image 1,1,214,
2.15237,,Surface,5,Image 1,1,215,
2.47834,,Surface,5,Image 1,1,216,
3.42485,,Surface,5,Image 1,1,217,
3.08071,,Surface,5,Image 1,1,218,
2.1146,,Surface,5,Image 1,1,219,
2.40021,,Surface,5,Image 1,1,220,
1.9367,,Surface,5,Image 1,1,221,
2.0845,,Surface,5,Image 1,1,222,
2.39478,,Surface,5,Image 1,1,223,
2.19746,,Surface,5,Image 1,1,224,
2.3772,,Surface,5,Image 1,1,225,
2.40118,,Surface,5,Image 1,1,226,
2.27581,,Surface,5,Image 1,1,227,
2.41098,,Surface,5,Image 1,1,228,
2.51864,,Surface,5,Image 1,1,229,
1.4821,,Surface,5,Image 1,1,230,
0.872727,,Surface,5,Image 1,1,231,
1.6608,,Surface,5,Image 1,1,232,
1.76133,,Surface,5,Image 1,1,233,
2.12159,,Surface,5,Image 1,1,234,
4.08454,,Surface,5,Image 1,1,235,
4.65627,,Surface,5,Image 1,1,236,
7.92787,,Surface,5,Image 1,1,237,
7.49058,,Surface,5,Image 1,1,238,
