
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
4.62824,,Surface,5,Image 1,1,0,
4.33709,,Surface,5,Image 1,1,1,
4.09193,,Surface,5,Image 1,1,2,
5.19293,,Surface,5,Image 1,1,3,
4.52433,,Surface,5,Image 1,1,4,
5.54263,,Surface,5,Image 1,1,5,
5.06733,,Surface,5,Image 1,1,6,
4.52383,,Surface,5,Image 1,1,7,
4.94327,,Surface,5,Image 1,1,8,
4.43932,,Surface,5,Image 1,1,9,
4.30882,,Surface,5,Image 1,1,10,
4.21393,,Surface,5,Image 1,1,11,
4.25448,,Surface,5,Image 1,1,12,
4.93894,,Surface,5,Image 1,1,13,
4.25007,,Surface,5,Image 1,1,14,
4.37681,,Surface,5,Image 1,1,15,
4.37702,,Surface,5,Image 1,1,16,
4.44794,,Surface,5,Image 1,1,17,
4.56808,,Surface,5,Image 1,1,18,
5.26064,,Surface,5,Image 1,1,19,
5.0285,,Surface,5,Image 1,1,20,
4.22765,,Surface,5,Image 1,1,21,
4.3709,,Surface,5,Image 1,1,22,
5.16428,,Surface,5,Image 1,1,23,
4.54415,,Surface,5,Image 1,1,24,
4.43763,,Surface,5,Image 1,1,25,
4.73548,,Surface,5,Image 1,1,26,
6.59327,,Surface,5,Image 1,1,27,
4.69504,,Surface,5,Image 1,1,28,
4.67574,,Surface,5,Image 1,1,29,
4.24644,,Surface,5,Image 1,1,30,
4.35774,,Surface,5,Image 1,1,31,
4.06239,,Surface,5,Image 1,1,32,
4.94557,,Surface,5,Image 1,1,33,
4.02131,,Surface,5,Image 1,1,34,
4.7725,,Surface,5,Image 1,1,35,
4.89847,,Surface,5,Image 1,1,36,
4.7341,,Surface,5,Image 1,1,37,
4.30093,,Surface,5,Image 1,1,38,
4.08636,,Surface,5,Image 1,1,39,
4.05929,,Surface,5,Image 1,1,40,
4.11105,,Surface,5,Image 1,1,41,
3.94668,,Surface,5,Image 1,1,42,
4.34169,,Surface,5,Image 1,1,43,
4.44059,,Surface,5,Image 1,1,44,
4.0886,,Surface,5,Image 1,1,45,
4.7407,,Surface,5,Image 1,1,46,
4.25184,,Surface,5,Image 1,1,47,
4.4536,,Surface,5,Image 1,1,48,
4.39002,,Surface,5,Image 1,1,49,
4.93604,,Surface,5,Image 1,1,50,
4.69633,,Surface,5,Image 1,1,51,
4.48998,,Surface,5,Image 1,1,52,
4.62367,,Surface,5,Image 1,1,53,
4.46472,,Surface,5,Image 1,1,54,
4.62269,,Surface,5,Image 1,1,55,
4.39612,,Surface,5,Image 1,1,56,
4.40198,,Surface,5,Image 1,1,57,
7,,Surface,5,Image 1,1,58,
4.72032,,Surface,5,Image 1,1,59,
4.6603,,Surface,5,Image 1,1,60,
4.12664,,Surface,5,Image 1,1,61,
4.93866,,Surface,5,Image 1,1,62,
4.94449,,Surface,5,Image 1,1,63,
5.25119,,Surface,5,Image 1,1,64,
5.93294,,Surface,5,Image 1,1,65,
4.90206,,Surface,5,Image 1,1,66,
4.19338,,Surface,5,Image 1,1,67,
5.12281,,Surface,5,Image 1,1,68,
5.8187,,Surface,5,Image 1,1,69,
4.56551,,Surface,5,Image 1,1,70,
4.42833,,Surface,5,Image 1,1,71,
4.49641,,Surface,5,Image 1,1,72,
4.60614,,Surface,5,Image 1,1,73,
4.24202,,Surface,5,Image 1,1,74,
4.39441,,Surface,5,Image 1,1,75,
4.56521,,Surface,5,Image 1,1,76,
4.16444,,Surface,5,Image 1,1,77,
4.70567,,Surface,5,Image 1,1,78,
4.27876,,Surface,5,Image 1,1,79,
4.50333,,Surface,5,Image 1,1,80,
4.78101,,Surface,5,Image 1,1,81,
4,,Surface,5,Image 1,1,82,
5.22989,,Surface,5,Image 1,1,83,
4.22876,,Surface,5,Image 1,1,84,
5.07183,,Surface,5,Image 1,1,85,
4.23911,,Surface,5,Image 1,1,86,
5.40165,,Surface,5,Image 1,1,87,
4.83781,,Surface,5,Image 1,1,88,
4.63401,,Surface,5,Image 1,1,89,
4.9731,,Surface,5,Image 1,1,90,
5.20054,,Surface,5,Image 1,1,91,
9.59691,,Surface,5,Image 1,1,92,
3.44409,,Surface,5,Image 1,1,93,
2.59537,,Surface,5,Image 1,1,94,
3.06806,,Surface,5,Image 1,1,95,
3.91266,,Surface,5,Image 1,1,96,
3.29092,,Surface,5,Image 1,1,97,
3.09232,,Surface,5,Image 1,1,98,
3.59779,,Surface,5,Image 1,1,99,
4.31901,,Surface,5,Image 1,1,100,
3.91035,,Surface,5,Image 1,1,101,
2.189,,Surface,5,Image 1,1,102,
2.49458,,Surface,5,Image 1,1,103,
3.63074,,Surface,5,Image 1,1,104,
2.66972,,Surface,5,Image 1,1,105,
6.86619,,Surface,5,Image 1,1,106,
4.8908,,Surface,5,Image 1,1,107,
15.8541,,Surface,5,Image 1,1,108,
2.1829,,Surface,5,Image 1,1,109,
2.99704,,Surface,5,Image 1,1,110,
2.45707,,Surface,5,Image 1,1,111,
2.42827,,Surface,5,Image 1,1,112,
2.72305,,Surface,5,Image 1,1,113,
3.53843,,Surface,5,Image 1,1,114,
1.98766,,Surface,5,Image 1,1,115,
2.03819,,Surface,5,Image 1,1,116,
1.97664,,Surface,5,Image 1,1,117,
3.11383,,Surface,5,Image 1,1,118,
3.40772,,Surface,5,Image 1,1,119,
3.01999,,Surface,5,Image 1,1,120,
1.8763,,Surface,5,Image 1,1,121,
2.16365,,Surface,5,Image 1,1,122,
2.47771,,Surface,5,Image 1,1,123,
9.82974,,Surface,5,Image 1,1,124,
6.87069,,Surface,5,Image 1,1,125,
9.80827,,Surface,5,Image 1,1,126,
9.09357,,Surface,5,Image 1,1,127,
10.9197,,Surface,5,Image 1,1,128,
4.45353,,Surface,5,Image 1,1,129,
4.42578,,Surface,5,Image 1,1,130,
6.76802,,Surface,5,Image 1,1,131,
46.7216,,Surface,5,Image 1,1,132,
