
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
30,,Surface,3,Image 1,1,0,
35,,Surface,3,Image 1,1,1,
31,,Surface,3,Image 1,1,2,
27,,Surface,3,Image 1,1,3,
37,,Surface,3,Image 1,1,4,
25,,Surface,3,Image 1,1,5,
32,,Surface,3,Image 1,1,6,
40,,Surface,3,Image 1,1,7,
29,,Surface,3,Image 1,1,8,
25,,Surface,3,Image 1,1,9,
20,,Surface,3,Image 1,1,10,
50,,Surface,3,Image 1,1,11,
36,,Surface,3,Image 1,1,12,
26,,Surface,3,Image 1,1,13,
26,,Surface,3,Image 1,1,14,
34,,Surface,3,Image 1,1,15,
26,,Surface,3,Image 1,1,16,
27,,Surface,3,Image 1,1,17,
27,,Surface,3,Image 1,1,18,
31,,Surface,3,Image 1,1,19,
27,,Surface,3,Image 1,1,20,
24,,Surface,3,Image 1,1,21,
27,,Surface,3,Image 1,1,22,
27,,Surface,3,Image 1,1,23,
25,,Surface,3,Image 1,1,24,
28,,Surface,3,Image 1,1,25,
20,,Surface,3,Image 1,1,26,
27,,Surface,3,Image 1,1,27,
25,,Surface,3,Image 1,1,28,
26,,Surface,3,Image 1,1,29,
44,,Surface,3,Image 1,1,30,
26,,Surface,3,Image 1,1,31,
29,,Surface,3,Image 1,1,32,
37,,Surface,3,Image 1,1,33,
28,,Surface,3,Image 1,1,34,
29,,Surface,3,Image 1,1,35,
27,,Surface,3,Image 1,1,36,
31,,Surface,3,Image 1,1,37,
32,,Surface,3,Image 1,1,38,
32,,Surface,3,Image 1,1,39,
28,,Surface,3,Image 1,1,40,
35,,Surface,3,Image 1,1,41,
26,,Surface,3,Image 1,1,42,
53,,Surface,3,Image 1,1,43,
31,,Surface,3,Image 1,1,44,
23,,Surface,3,Image 1,1,45,
25,,Surface,3,Image 1,1,46,
68,,Surface,3,Image 1,1,47,
31,,Surface,3,Image 1,1,48,
28,,Surface,3,Image 1,1,49,
58,,Surface,3,Image 1,1,50,
22,,Surface,3,Image 1,1,51,
25,,Surface,3,Image 1,1,52,
20,,Surface,3,Image 1,1,53,
33,,Surface,3,Image 1,1,54,
39,,Surface,3,Image 1,1,55,
36,,Surface,3,Image 1,1,56,
29,,Surface,3,Image 1,1,57,
36,,Surface,3,Image 1,1,58,
37,,Surface,3,Image 1,1,59,
35,,Surface,3,Image 1,1,60,
41,,Surface,3,Image 1,1,61,
32,,Surface,3,Image 1,1,62,
38,,Surface,3,Image 1,1,63,
44,,Surface,3,Image 1,1,64,
29,,Surface,3,Image 1,1,65,
44,,Surface,3,Image 1,1,66,
36,,Surface,3,Image 1,1,67,
33,,Surface,3,Image 1,1,68,
42,,Surface,3,Image 1,1,69,
36,,Surface,3,Image 1,1,70,
32,,Surface,3,Image 1,1,71,
35,,Surface,3,Image 1,1,72,
45,,Surface,3,Image 1,1,73,
54,,Surface,3,Image 1,1,74,
41,,Surface,3,Image 1,1,75,
34,,Surface,3,Image 1,1,76,
41,,Surface,3,Image 1,1,77,
40,,Surface,3,Image 1,1,78,
39,,Surface,3,Image 1,1,79,
36,,Surface,3,Image 1,1,80,
33,,Surface,3,Image 1,1,81,
21,,Surface,3,Image 1,1,82,
24,,Surface,3,Image 1,1,83,
21,,Surface,3,Image 1,1,84,
32,,Surface,3,Image 1,1,85,
24,,Surface,3,Image 1,1,86,
36,,Surface,3,Image 1,1,87,
39,,Surface,3,Image 1,1,88,
34,,Surface,3,Image 1,1,89,
34,,Surface,3,Image 1,1,90,
31,,Surface,3,Image 1,1,91,
33,,Surface,3,Image 1,1,92,
30,,Surface,3,Image 1,1,93,
25,,Surface,3,Image 1,1,94,
37,,Surface,3,Image 1,1,95,
47,,Surface,3,Image 1,1,96,
38,,Surface,3,Image 1,1,97,
38,,Surface,3,Image 1,1,98,
28,,Surface,3,Image 1,1,99,
44,,Surface,3,Image 1,1,100,
32,,Surface,3,Image 1,1,101,
33,,Surface,3,Image 1,1,102,
44,,Surface,3,Image 1,1,103,
37,,Surface,3,Image 1,1,104,
39,,Surface,3,Image 1,1,105,
33,,Surface,3,Image 1,1,106,
34,,Surface,3,Image 1,1,107,
37,,Surface,3,Image 1,1,108,
36,,Surface,3,Image 1,1,109,
39,,Surface,3,Image 1,1,110,
38,,Surface,3,Image 1,1,111,
32,,Surface,3,Image 1,1,112,
40,,Surface,3,Image 1,1,113,
44,,Surface,3,Image 1,1,114,
43,,Surface,3,Image 1,1,115,
43,,Surface,3,Image 1,1,116,
51,,Surface,3,Image 1,1,117,
54,,Surface,3,Image 1,1,118,
54,,Surface,3,Image 1,1,119,
65,,Surface,3,Image 1,1,120,
40,,Surface,3,Image 1,1,121,
45,,Surface,3,Image 1,1,122,
44,,Surface,3,Image 1,1,123,
47,,Surface,3,Image 1,1,124,
41,,Surface,3,Image 1,1,125,
41,,Surface,3,Image 1,1,126,
40,,Surface,3,Image 1,1,127,
17,,Surface,3,Image 1,1,128,
21,,Surface,3,Image 1,1,129,
23,,Surface,3,Image 1,1,130,
28,,Surface,3,Image 1,1,131,
41,,Surface,3,Image 1,1,132,
35,,Surface,3,Image 1,1,133,
34,,Surface,3,Image 1,1,134,
38,,Surface,3,Image 1,1,135,
30,,Surface,3,Image 1,1,136,
30,,Surface,3,Image 1,1,137,
42,,Surface,3,Image 1,1,138,
38,,Surface,3,Image 1,1,139,
39,,Surface,3,Image 1,1,140,
33,,Surface,3,Image 1,1,141,
30,,Surface,3,Image 1,1,142,
30,,Surface,3,Image 1,1,143,
25,,Surface,3,Image 1,1,144,
46,,Surface,3,Image 1,1,145,
38,,Surface,3,Image 1,1,146,
36,,Surface,3,Image 1,1,147,
31,,Surface,3,Image 1,1,148,
40,,Surface,3,Image 1,1,149,
30,,Surface,3,Image 1,1,150,
25,,Surface,3,Image 1,1,151,
28,,Surface,3,Image 1,1,152,
42,,Surface,3,Image 1,1,153,
42,,Surface,3,Image 1,1,154,
37,,Surface,3,Image 1,1,155,
40,,Surface,3,Image 1,1,156,
32,,Surface,3,Image 1,1,157,
40,,Surface,3,Image 1,1,158,
23,,Surface,3,Image 1,1,159,
20,,Surface,3,Image 1,1,160,
38,,Surface,3,Image 1,1,161,
29,,Surface,3,Image 1,1,162,
30,,Surface,3,Image 1,1,163,
32,,Surface,3,Image 1,1,164,
32,,Surface,3,Image 1,1,165,
28,,Surface,3,Image 1,1,166,
60,,Surface,3,Image 1,1,167,
45,,Surface,3,Image 1,1,168,
42,,Surface,3,Image 1,1,169,
45,,Surface,3,Image 1,1,170,
34,,Surface,3,Image 1,1,171,
37,,Surface,3,Image 1,1,172,
31,,Surface,3,Image 1,1,173,
43,,Surface,3,Image 1,1,174,
46,,Surface,3,Image 1,1,175,
37,,Surface,3,Image 1,1,176,
67,,Surface,3,Image 1,1,177,
32,,Surface,3,Image 1,1,178,
33,,Surface,3,Image 1,1,179,
33,,Surface,3,Image 1,1,180,
25,,Surface,3,Image 1,1,181,
123,,Surface,3,Image 1,1,182,
99,,Surface,3,Image 1,1,183,
31,,Surface,3,Image 1,1,184,
55,,Surface,3,Image 1,1,185,
35,,Surface,3,Image 1,1,186,
30,,Surface,3,Image 1,1,187,
35,,Surface,3,Image 1,1,188,
42,,Surface,3,Image 1,1,189,
29,,Surface,3,Image 1,1,190,
83,,Surface,3,Image 1,1,191,
104,,Surface,3,Image 1,1,192,
99,,Surface,3,Image 1,1,193,
52,,Surface,3,Image 1,1,194,
31,,Surface,3,Image 1,1,195,
34,,Surface,3,Image 1,1,196,
77,,Surface,3,Image 1,1,197,
74,,Surface,3,Image 1,1,198,
67,,Surface,3,Image 1,1,199,
81,,Surface,3,Image 1,1,200,
33,,Surface,3,Image 1,1,201,
51,,Surface,3,Image 1,1,202,
47,,Surface,3,Image 1,1,203,
49,,Surface,3,Image 1,1,204,
90,,Surface,3,Image 1,1,205,
65,,Surface,3,Image 1,1,206,
44,,Surface,3,Image 1,1,207,
63,,Surface,3,Image 1,1,208,
52,,Surface,3,Image 1,1,209,
45,,Surface,3,Image 1,1,210,
34,,Surface,3,Image 1,1,211,
42,,Surface,3,Image 1,1,212,
55,,Surface,3,Image 1,1,213,
52,,Surface,3,Image 1,1,214,
46,,Surface,3,Image 1,1,215,
28,,Surface,3,Image 1,1,216,
72,,Surface,3,Image 1,1,217,
41,,Surface,3,Image 1,1,218,
22,,Surface,3,Image 1,1,219,
26,,Surface,3,Image 1,1,220,
23,,Surface,3,Image 1,1,221,
38,,Surface,3,Image 1,1,222,
109,,Surface,3,Image 1,1,223,
36,,Surface,3,Image 1,1,224,
34,,Surface,3,Image 1,1,225,
41,,Surface,3,Image 1,1,226,
43,,Surface,3,Image 1,1,227,
139,,Surface,3,Image 1,1,228,
41,,Surface,3,Image 1,1,229,
45,,Surface,3,Image 1,1,230,
118,,Surface,3,Image 1,1,231,
111,,Surface,3,Image 1,1,232,
153,,Surface,3,Image 1,1,233,
113,,Surface,3,Image 1,1,234,
42,,Surface,3,Image 1,1,235,
33,,Surface,3,Image 1,1,236,
76,,Surface,3,Image 1,1,237,
119,,Surface,3,Image 1,1,238,
161,,Surface,3,Image 1,1,239,
108,,Surface,3,Image 1,1,240,
84,,Surface,3,Image 1,1,241,
78,,Surface,3,Image 1,1,242,
108,,Surface,3,Image 1,1,243,
92,,Surface,3,Image 1,1,244,
45,,Surface,3,Image 1,1,245,
82,,Surface,3,Image 1,1,246,
74,,Surface,3,Image 1,1,247,
67,,Surface,3,Image 1,1,248,
97,,Surface,3,Image 1,1,249,
86,,Surface,3,Image 1,1,250,
106,,Surface,3,Image 1,1,251,
38,,Surface,3,Image 1,1,252,
81,,Surface,3,Image 1,1,253,
90,,Surface,3,Image 1,1,254,
58,,Surface,3,Image 1,1,255,
44,,Surface,3,Image 1,1,256,
68,,Surface,3,Image 1,1,257,
92,,Surface,3,Image 1,1,258,
71,,Surface,3,Image 1,1,259,
122,,Surface,3,Image 1,1,260,
166,,Surface,3,Image 1,1,261,
81,,Surface,3,Image 1,1,262,
89,,Surface,3,Image 1,1,263,
50,,Surface,3,Image 1,1,264,
