
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
4.5956,,Surface,4,Image 1,1,0,
7.3164,,Surface,4,Image 1,1,1,
10.4554,,Surface,4,Image 1,1,2,
4.45777,,Surface,4,Image 1,1,3,
11.1981,,Surface,4,Image 1,1,4,
5.84314,,Surface,4,Image 1,1,5,
7.61837,,Surface,4,Image 1,1,6,
5.58372,,Surface,4,Image 1,1,7,
8.77359,,Surface,4,Image 1,1,8,
3.72242,,Surface,4,Image 1,1,9,
3.71783,,Surface,4,Image 1,1,10,
16.5635,,Surface,4,Image 1,1,11,
7.16626,,Surface,4,Image 1,1,12,
2.98524,,Surface,4,Image 1,1,13,
2.77529,,Surface,4,Image 1,1,14,
6.79302,,Surface,4,Image 1,1,15,
6.17991,,Surface,4,Image 1,1,16,
4.57875,,Surface,4,Image 1,1,17,
10.7197,,Surface,4,Image 1,1,18,
6.40977,,Surface,4,Image 1,1,19,
6.67109,,Surface,4,Image 1,1,20,
11.9231,,Surface,4,Image 1,1,21,
9.02426,,Surface,4,Image 1,1,22,
11.2512,,Surface,4,Image 1,1,23,
9.10229,,Surface,4,Image 1,1,24,
7.34347,,Surface,4,Image 1,1,25,
9.95397,,Surface,4,Image 1,1,26,
9.67006,,Surface,4,Image 1,1,27,
9.98371,,Surface,4,Image 1,1,28,
9.44305,,Surface,4,Image 1,1,29,
10.6177,,Surface,4,Image 1,1,30,
11.8735,,Surface,4,Image 1,1,31,
13.1259,,Surface,4,Image 1,1,32,
11.1439,,Surface,4,Image 1,1,33,
13.224,,Surface,4,Image 1,1,34,
10.2362,,Surface,4,Image 1,1,35,
10.6428,,Surface,4,Image 1,1,36,
12.1112,,Surface,4,Image 1,1,37,
11.0979,,Surface,4,Image 1,1,38,
9.19837,,Surface,4,Image 1,1,39,
4.97848,,Surface,4,Image 1,1,40,
4.4165,,Surface,4,Image 1,1,41,
10.9258,,Surface,4,Image 1,1,42,
4.0299,,Surface,4,Image 1,1,43,
11.4154,,Surface,4,Image 1,1,44,
11.7772,,Surface,4,Image 1,1,45,
12.1336,,Surface,4,Image 1,1,46,
13.159,,Surface,4,Image 1,1,47,
4.31143,,Surface,4,Image 1,1,48,
4.34863,,Surface,4,Image 1,1,49,
4.15279,,Surface,4,Image 1,1,50,
8.48007,,Surface,4,Image 1,1,51,
5.00828,,Surface,4,Image 1,1,52,
4.41554,,Surface,4,Image 1,1,53,
4.24631,,Surface,4,Image 1,1,54,
4.00275,,Surface,4,Image 1,1,55,
2.90429,,Surface,4,Image 1,1,56,
3.30878,,Surface,4,Image 1,1,57,
3.09969,,Surface,4,Image 1,1,58,
3.36921,,Surface,4,Image 1,1,59,
1,,Surface,4,Image 1,1,60,
3.22746,,Surface,4,Image 1,1,61,
3.65886,,Surface,4,Image 1,1,62,
4.03808,,Surface,4,Image 1,1,63,
2.70935,,Surface,4,Image 1,1,64,
3.06449,,Surface,4,Image 1,1,65,
2.52672,,Surface,4,Image 1,1,66,
2.4353,,Surface,4,Image 1,1,67,
3.45434,,Surface,4,Image 1,1,68,
4.53389,,Surface,4,Image 1,1,69,
2.40222,,Surface,4,Image 1,1,70,
2.71074,,Surface,4,Image 1,1,71,
2.83391,,Surface,4,Image 1,1,72,
