
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1.88633,,Surface,2,Image 1,1,0,
2.34242,,Surface,2,Image 1,1,1,
2.84882,,Surface,2,Image 1,1,2,
2.73439,,Surface,2,Image 1,1,3,
3.27547,,Surface,2,Image 1,1,4,
4.04278,,Surface,2,Image 1,1,5,
3.18494,,Surface,2,Image 1,1,6,
2.58236,,Surface,2,Image 1,1,7,
2.98833,,Surface,2,Image 1,1,8,
1.69703,,Surface,2,Image 1,1,9,
1.93517,,Surface,2,Image 1,1,10,
3.69798,,Surface,2,Image 1,1,11,
3.09604,,Surface,2,Image 1,1,12,
2.00734,,Surface,2,Image 1,1,13,
1.75477,,Surface,2,Image 1,1,14,
2.61668,,Surface,2,Image 1,1,15,
2.35146,,Surface,2,Image 1,1,16,
2.11132,,Surface,2,Image 1,1,17,
2.74496,,Surface,2,Image 1,1,18,
3.16553,,Surface,2,Image 1,1,19,
2.58893,,Surface,2,Image 1,1,20,
3.04424,,Surface,2,Image 1,1,21,
3.36893,,Surface,2,Image 1,1,22,
2.98551,,Surface,2,Image 1,1,23,
3.2216,,Surface,2,Image 1,1,24,
2.52761,,Surface,2,Image 1,1,25,
2.77163,,Surface,2,Image 1,1,26,
2.79289,,Surface,2,Image 1,1,27,
3.81739,,Surface,2,Image 1,1,28,
3.61749,,Surface,2,Image 1,1,29,
3.66943,,Surface,2,Image 1,1,30,
7.95627,,Surface,2,Image 1,1,31,
3.56144,,Surface,2,Image 1,1,32,
3.20737,,Surface,2,Image 1,1,33,
3.94156,,Surface,2,Image 1,1,34,
3.21373,,Surface,2,Image 1,1,35,
3.94026,,Surface,2,Image 1,1,36,
5.19753,,Surface,2,Image 1,1,37,
4.72073,,Surface,2,Image 1,1,38,
3.23258,,Surface,2,Image 1,1,39,
2.0493,,Surface,2,Image 1,1,40,
2.05949,,Surface,2,Image 1,1,41,
3.79468,,Surface,2,Image 1,1,42,
1.95112,,Surface,2,Image 1,1,43,
3.50247,,Surface,2,Image 1,1,44,
3.7482,,Surface,2,Image 1,1,45,
5.75935,,Surface,2,Image 1,1,46,
3.72346,,Surface,2,Image 1,1,47,
1.91626,,Surface,2,Image 1,1,48,
2.11783,,Surface,2,Image 1,1,49,
2.11798,,Surface,2,Image 1,1,50,
2.89384,,Surface,2,Image 1,1,51,
2.34734,,Surface,2,Image 1,1,52,
1.93719,,Surface,2,Image 1,1,53,
1.99963,,Surface,2,Image 1,1,54,
1.99042,,Surface,2,Image 1,1,55,
1.95677,,Surface,2,Image 1,1,56,
2.15081,,Surface,2,Image 1,1,57,
2.00822,,Surface,2,Image 1,1,58,
2.04611,,Surface,2,Image 1,1,59,
3,,Surface,2,Image 1,1,60,
2.00487,,Surface,2,Image 1,1,61,
2.21582,,Surface,2,Image 1,1,62,
2.28407,,Surface,2,Image 1,1,63,
1.80389,,Surface,2,Image 1,1,64,
1.50692,,Surface,2,Image 1,1,65,
1.47234,,Surface,2,Image 1,1,66,
1.47171,,Surface,2,Image 1,1,67,
1.64389,,Surface,2,Image 1,1,68,
1.84756,,Surface,2,Image 1,1,69,
1.53246,,Surface,2,Image 1,1,70,
1.2727,,Surface,2,Image 1,1,71,
1.34588,,Surface,2,Image 1,1,72,
1.59714,,Surface,2,Image 1,1,73,
1.34869,,Surface,2,Image 1,1,74,
1.72389,,Surface,2,Image 1,1,75,
1.42714,,Surface,2,Image 1,1,76,
2.10445,,Surface,2,Image 1,1,77,
2.22572,,Surface,2,Image 1,1,78,
2.65696,,Surface,2,Image 1,1,79,
2.63172,,Surface,2,Image 1,1,80,
4.31584,,Surface,2,Image 1,1,81,
4.352,,Surface,2,Image 1,1,82,
2.32255,,Surface,2,Image 1,1,83,
2.64222,,Surface,2,Image 1,1,84,
2.25153,,Surface,2,Image 1,1,85,
4.01334,,Surface,2,Image 1,1,86,
5.34821,,Surface,2,Image 1,1,87,
2.6505,,Surface,2,Image 1,1,88,
1.29948,,Surface,2,Image 1,1,89,
1.97784,,Surface,2,Image 1,1,90,
1.54751,,Surface,2,Image 1,1,91,
1.72925,,Surface,2,Image 1,1,92,
1.96782,,Surface,2,Image 1,1,93,
2.32318,,Surface,2,Image 1,1,94,
2.01807,,Surface,2,Image 1,1,95,
1.96197,,Surface,2,Image 1,1,96,
2.27283,,Surface,2,Image 1,1,97,
1.77052,,Surface,2,Image 1,1,98,
2.3956,,Surface,2,Image 1,1,99,
1.62353,,Surface,2,Image 1,1,100,
2.11021,,Surface,2,Image 1,1,101,
2.19713,,Surface,2,Image 1,1,102,
2.56396,,Surface,2,Image 1,1,103,
1.77023,,Surface,2,Image 1,1,104,
2.98149,,Surface,2,Image 1,1,105,
2.67852,,Surface,2,Image 1,1,106,
2.70525,,Surface,2,Image 1,1,107,
2.91832,,Surface,2,Image 1,1,108,
2.52047,,Surface,2,Image 1,1,109,
3.04591,,Surface,2,Image 1,1,110,
3.6005,,Surface,2,Image 1,1,111,
3.63501,,Surface,2,Image 1,1,112,
4.6376,,Surface,2,Image 1,1,113,
2.84015,,Surface,2,Image 1,1,114,
3.1158,,Surface,2,Image 1,1,115,
3.14325,,Surface,2,Image 1,1,116,
3.565,,Surface,2,Image 1,1,117,
2.87858,,Surface,2,Image 1,1,118,
3.23026,,Surface,2,Image 1,1,119,
4.1558,,Surface,2,Image 1,1,120,
4.98186,,Surface,2,Image 1,1,121,
3.49982,,Surface,2,Image 1,1,122,
4.45164,,Surface,2,Image 1,1,123,
3.54307,,Surface,2,Image 1,1,124,
3.17741,,Surface,2,Image 1,1,125,
4.52645,,Surface,2,Image 1,1,126,
3.74075,,Surface,2,Image 1,1,127,
3.48012,,Surface,2,Image 1,1,128,
3.74782,,Surface,2,Image 1,1,129,
3.38142,,Surface,2,Image 1,1,130,
2.31124,,Surface,2,Image 1,1,131,
3.2598,,Surface,2,Image 1,1,132,
2.38028,,Surface,2,Image 1,1,133,
3.49452,,Surface,2,Image 1,1,134,
2.87957,,Surface,2,Image 1,1,135,
2.7803,,Surface,2,Image 1,1,136,
0,,Surface,2,Image 1,1,137,
3.17991,,Surface,2,Image 1,1,138,
4.03406,,Surface,2,Image 1,1,139,
1.92581,,Surface,2,Image 1,1,140,
3.43125,,Surface,2,Image 1,1,141,
2.2934,,Surface,2,Image 1,1,142,
2.88503,,Surface,2,Image 1,1,143,
3.26097,,Surface,2,Image 1,1,144,
3.45143,,Surface,2,Image 1,1,145,
2.50266,,Surface,2,Image 1,1,146,
2.47338,,Surface,2,Image 1,1,147,
2.83395,,Surface,2,Image 1,1,148,
4.01046,,Surface,2,Image 1,1,149,
3.58689,,Surface,2,Image 1,1,150,
3.11219,,Surface,2,Image 1,1,151,
3.30588,,Surface,2,Image 1,1,152,
3.09906,,Surface,2,Image 1,1,153,
3.03399,,Surface,2,Image 1,1,154,
3.22293,,Surface,2,Image 1,1,155,
2.86628,,Surface,2,Image 1,1,156,
2.95844,,Surface,2,Image 1,1,157,
3.23499,,Surface,2,Image 1,1,158,
3.71039,,Surface,2,Image 1,1,159,
3.90545,,Surface,2,Image 1,1,160,
3.43866,,Surface,2,Image 1,1,161,
3.61636,,Surface,2,Image 1,1,162,
2.98797,,Surface,2,Image 1,1,163,
3.57302,,Surface,2,Image 1,1,164,
3.4685,,Surface,2,Image 1,1,165,
5.08999,,Surface,2,Image 1,1,166,
3.32218,,Surface,2,Image 1,1,167,
2.95928,,Surface,2,Image 1,1,168,
3.15523,,Surface,2,Image 1,1,169,
3.87259,,Surface,2,Image 1,1,170,
3.77926,,Surface,2,Image 1,1,171,
3.68739,,Surface,2,Image 1,1,172,
3.81697,,Surface,2,Image 1,1,173,
3.91533,,Surface,2,Image 1,1,174,
3.42755,,Surface,2,Image 1,1,175,
2.84202,,Surface,2,Image 1,1,176,
1.99458,,Surface,2,Image 1,1,177,
1.81317,,Surface,2,Image 1,1,178,
1.48953,,Surface,2,Image 1,1,179,
2.80374,,Surface,2,Image 1,1,180,
2.7028,,Surface,2,Image 1,1,181,
2.04637,,Surface,2,Image 1,1,182,
2.74631,,Surface,2,Image 1,1,183,
2.90776,,Surface,2,Image 1,1,184,
4.12813,,Surface,2,Image 1,1,185,
3.33708,,Surface,2,Image 1,1,186,
3.30314,,Surface,2,Image 1,1,187,
3.70614,,Surface,2,Image 1,1,188,
3.63085,,Surface,2,Image 1,1,189,
2.81347,,Surface,2,Image 1,1,190,
3.42075,,Surface,2,Image 1,1,191,
3.5753,,Surface,2,Image 1,1,192,
4.15284,,Surface,2,Image 1,1,193,
3.74341,,Surface,2,Image 1,1,194,
3.62608,,Surface,2,Image 1,1,195,
2.92164,,Surface,2,Image 1,1,196,
3.85806,,Surface,2,Image 1,1,197,
3.45017,,Surface,2,Image 1,1,198,
3.16754,,Surface,2,Image 1,1,199,
3.35717,,Surface,2,Image 1,1,200,
3.28793,,Surface,2,Image 1,1,201,
3.30281,,Surface,2,Image 1,1,202,
3.67829,,Surface,2,Image 1,1,203,
3.64042,,Surface,2,Image 1,1,204,
3.04618,,Surface,2,Image 1,1,205,
4.05107,,Surface,2,Image 1,1,206,
4.12608,,Surface,2,Image 1,1,207,
2.91811,,Surface,2,Image 1,1,208,
3.48833,,Surface,2,Image 1,1,209,
2.73722,,Surface,2,Image 1,1,210,
3.93915,,Surface,2,Image 1,1,211,
0,,Surface,2,Image 1,1,212,
3.27887,,Surface,2,Image 1,1,213,
3.45212,,Surface,2,Image 1,1,214,
3.47826,,Surface,2,Image 1,1,215,
3.56205,,Surface,2,Image 1,1,216,
0,,Surface,2,Image 1,1,217,
2.46219,,Surface,2,Image 1,1,218,
2.82849,,Surface,2,Image 1,1,219,
1.61927,,Surface,2,Image 1,1,220,
2.19492,,Surface,2,Image 1,1,221,
4,,Surface,2,Image 1,1,222,
3.28321,,Surface,2,Image 1,1,223,
3.50425,,Surface,2,Image 1,1,224,
