
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
1.56876,,Surface,2,Image 1,1,0,
1.2492,,Surface,2,Image 1,1,1,
1.79999,,Surface,2,Image 1,1,2,
1.18906,,Surface,2,Image 1,1,3,
1.05041,,Surface,2,Image 1,1,4,
1.21519,,Surface,2,Image 1,1,5,
1.32256,,Surface,2,Image 1,1,6,
1.14655,,Surface,2,Image 1,1,7,
1.15441,,Surface,2,Image 1,1,8,
1.10052,,Surface,2,Image 1,1,9,
1.06114,,Surface,2,Image 1,1,10,
1.24013,,Surface,2,Image 1,1,11,
1.29423,,Surface,2,Image 1,1,12,
1.28874,,Surface,2,Image 1,1,13,
1.05073,,Surface,2,Image 1,1,14,
1.37315,,Surface,2,Image 1,1,15,
1.15531,,Surface,2,Image 1,1,16,
1.3125,,Surface,2,Image 1,1,17,
1.22636,,Surface,2,Image 1,1,18,
1.22384,,Surface,2,Image 1,1,19,
1.31299,,Surface,2,Image 1,1,20,
1.26409,,Surface,2,Image 1,1,21,
1.34182,,Surface,2,Image 1,1,22,
1.72642,,Surface,2,Image 1,1,23,
1.11408,,Surface,2,Image 1,1,24,
1.1698,,Surface,2,Image 1,1,25,
1.32908,,Surface,2,Image 1,1,26,
1.30617,,Surface,2,Image 1,1,27,
1.23302,,Surface,2,Image 1,1,28,
1.29158,,Surface,2,Image 1,1,29,
1.22539,,Surface,2,Image 1,1,30,
1.00216,,Surface,2,Image 1,1,31,
1.33425,,Surface,2,Image 1,1,32,
1.31598,,Surface,2,Image 1,1,33,
1.13196,,Surface,2,Image 1,1,34,
0.976201,,Surface,2,Image 1,1,35,
1.26298,,Surface,2,Image 1,1,36,
0.943317,,Surface,2,Image 1,1,37,
1.13466,,Surface,2,Image 1,1,38,
1.181,,Surface,2,Image 1,1,39,
1.05746,,Surface,2,Image 1,1,40,
1.20947,,Surface,2,Image 1,1,41,
1.16791,,Surface,2,Image 1,1,42,
1.13794,,Surface,2,Image 1,1,43,
1.1704,,Surface,2,Image 1,1,44,
1.16523,,Surface,2,Image 1,1,45,
1.19881,,Surface,2,Image 1,1,46,
1.29399,,Surface,2,Image 1,1,47,
1.25604,,Surface,2,Image 1,1,48,
1.26432,,Surface,2,Image 1,1,49,
1.32281,,Surface,2,Image 1,1,50,
1.22302,,Surface,2,Image 1,1,51,
1.29949,,Surface,2,Image 1,1,52,
1.18152,,Surface,2,Image 1,1,53,
1.12431,,Surface,2,Image 1,1,54,
1.26472,,Surface,2,Image 1,1,55,
1.25325,,Surface,2,Image 1,1,56,
1.29263,,Surface,2,Image 1,1,57,
1.33349,,Surface,2,Image 1,1,58,
1.35999,,Surface,2,Image 1,1,59,
1.50706,,Surface,2,Image 1,1,60,
1.27487,,Surface,2,Image 1,1,61,
1.23839,,Surface,2,Image 1,1,62,
1.28938,,Surface,2,Image 1,1,63,
1.33462,,Surface,2,Image 1,1,64,
1.32113,,Surface,2,Image 1,1,65,
1.2918,,Surface,2,Image 1,1,66,
1.24853,,Surface,2,Image 1,1,67,
1.29768,,Surface,2,Image 1,1,68,
1.03959,,Surface,2,Image 1,1,69,
1.13991,,Surface,2,Image 1,1,70,
1.04964,,Surface,2,Image 1,1,71,
1.06158,,Surface,2,Image 1,1,72,
1.09149,,Surface,2,Image 1,1,73,
1.09943,,Surface,2,Image 1,1,74,
1.04801,,Surface,2,Image 1,1,75,
1.11793,,Surface,2,Image 1,1,76,
1.15799,,Surface,2,Image 1,1,77,
1.23097,,Surface,2,Image 1,1,78,
1.21863,,Surface,2,Image 1,1,79,
1.18654,,Surface,2,Image 1,1,80,
1.18756,,Surface,2,Image 1,1,81,
1.17116,,Surface,2,Image 1,1,82,
1.07795,,Surface,2,Image 1,1,83,
1.09027,,Surface,2,Image 1,1,84,
1.08103,,Surface,2,Image 1,1,85,
1.14063,,Surface,2,Image 1,1,86,
1.27774,,Surface,2,Image 1,1,87,
1.40005,,Surface,2,Image 1,1,88,
1.27669,,Surface,2,Image 1,1,89,
1.20262,,Surface,2,Image 1,1,90,
1.0454,,Surface,2,Image 1,1,91,
1.13127,,Surface,2,Image 1,1,92,
1.13034,,Surface,2,Image 1,1,93,
1.18046,,Surface,2,Image 1,1,94,
1.14061,,Surface,2,Image 1,1,95,
1.04139,,Surface,2,Image 1,1,96,
1.15469,,Surface,2,Image 1,1,97,
1.19187,,Surface,2,Image 1,1,98,
1.07246,,Surface,2,Image 1,1,99,
1.19102,,Surface,2,Image 1,1,100,
1.12902,,Surface,2,Image 1,1,101,
1.13565,,Surface,2,Image 1,1,102,
1.17414,,Surface,2,Image 1,1,103,
1.16327,,Surface,2,Image 1,1,104,
1.13575,,Surface,2,Image 1,1,105,
1.28084,,Surface,2,Image 1,1,106,
1.29363,,Surface,2,Image 1,1,107,
1.13601,,Surface,2,Image 1,1,108,
1.15406,,Surface,2,Image 1,1,109,
1.09277,,Surface,2,Image 1,1,110,
1.18522,,Surface,2,Image 1,1,111,
1.20939,,Surface,2,Image 1,1,112,
1.19166,,Surface,2,Image 1,1,113,
1.21677,,Surface,2,Image 1,1,114,
1.25908,,Surface,2,Image 1,1,115,
1.0982,,Surface,2,Image 1,1,116,
1.20267,,Surface,2,Image 1,1,117,
1.35185,,Surface,2,Image 1,1,118,
1.26331,,Surface,2,Image 1,1,119,
2.32504,,Surface,2,Image 1,1,120,
1.3086,,Surface,2,Image 1,1,121,
3.71041,,Surface,2,Image 1,1,122,
1.25961,,Surface,2,Image 1,1,123,
1.11007,,Surface,2,Image 1,1,124,
1.24807,,Surface,2,Image 1,1,125,
1.30748,,Surface,2,Image 1,1,126,
1.35739,,Surface,2,Image 1,1,127,
1.11788,,Surface,2,Image 1,1,128,
1.73869,,Surface,2,Image 1,1,129,
1.16019,,Surface,2,Image 1,1,130,
1.73491,,Surface,2,Image 1,1,131,
1.18506,,Surface,2,Image 1,1,132,
1.20494,,Surface,2,Image 1,1,133,
1.23127,,Surface,2,Image 1,1,134,
1.87558,,Surface,2,Image 1,1,135,
6.34533,,Surface,2,Image 1,1,136,
1.94683,,Surface,2,Image 1,1,137,
1.02532,,Surface,2,Image 1,1,138,
1.20345,,Surface,2,Image 1,1,139,
1.70599,,Surface,2,Image 1,1,140,
1.1258,,Surface,2,Image 1,1,141,
1.17821,,Surface,2,Image 1,1,142,
2.26921,,Surface,2,Image 1,1,143,
1.20562,,Surface,2,Image 1,1,144,
0.986793,,Surface,2,Image 1,1,145,
0.945284,,Surface,2,Image 1,1,146,
5.94644,,Surface,2,Image 1,1,147,
1.70601,,Surface,2,Image 1,1,148,
2.07709,,Surface,2,Image 1,1,149,
6.76875,,Surface,2,Image 1,1,150,
5.92393,,Surface,2,Image 1,1,151,
7.57201,,Surface,2,Image 1,1,152,
7.66113,,Surface,2,Image 1,1,153,
7.47621,,Surface,2,Image 1,1,154,
6.06498,,Surface,2,Image 1,1,155,
2.67745,,Surface,2,Image 1,1,156,
1.78682,,Surface,2,Image 1,1,157,
3.25867,,Surface,2,Image 1,1,158,
5.45003,,Surface,2,Image 1,1,159,
6.42871,,Surface,2,Image 1,1,160,
2.12279,,Surface,2,Image 1,1,161,
5.62042,,Surface,2,Image 1,1,162,
5.91445,,Surface,2,Image 1,1,163,
1.92445,,Surface,2,Image 1,1,164,
1.96596,,Surface,2,Image 1,1,165,
6.25912,,Surface,2,Image 1,1,166,
3.72985,,Surface,2,Image 1,1,167,
1.83768,,Surface,2,Image 1,1,168,
2.18452,,Surface,2,Image 1,1,169,
1.13979,,Surface,2,Image 1,1,170,
1.02203,,Surface,2,Image 1,1,171,
2.27983,,Surface,2,Image 1,1,172,
1.11188,,Surface,2,Image 1,1,173,
1.25099,,Surface,2,Image 1,1,174,
1.53318,,Surface,2,Image 1,1,175,
1.14753,,Surface,2,Image 1,1,176,
1.34043,,Surface,2,Image 1,1,177,
1.21135,,Surface,2,Image 1,1,178,
1.27767,,Surface,2,Image 1,1,179,
1.36191,,Surface,2,Image 1,1,180,
1.22973,,Surface,2,Image 1,1,181,
1.33702,,Surface,2,Image 1,1,182,
1.33569,,Surface,2,Image 1,1,183,
1.36369,,Surface,2,Image 1,1,184,
1.28738,,Surface,2,Image 1,1,185,
1.31068,,Surface,2,Image 1,1,186,
1.13943,,Surface,2,Image 1,1,187,
1.07934,,Surface,2,Image 1,1,188,
1.13173,,Surface,2,Image 1,1,189,
1.17528,,Surface,2,Image 1,1,190,
1.44653,,Surface,2,Image 1,1,191,
1.31626,,Surface,2,Image 1,1,192,
1.41447,,Surface,2,Image 1,1,193,
1.38008,,Surface,2,Image 1,1,194,
1.45585,,Surface,2,Image 1,1,195,
1.30011,,Surface,2,Image 1,1,196,
1.43522,,Surface,2,Image 1,1,197,
1.22165,,Surface,2,Image 1,1,198,
1.29949,,Surface,2,Image 1,1,199,
1.27762,,Surface,2,Image 1,1,200,
1.39264,,Surface,2,Image 1,1,201,
1.23271,,Surface,2,Image 1,1,202,
1.30966,,Surface,2,Image 1,1,203,
0.837669,,Surface,2,Image 1,1,204,
1.15314,,Surface,2,Image 1,1,205,
1.1592,,Surface,2,Image 1,1,206,
1.29073,,Surface,2,Image 1,1,207,
1.33559,,Surface,2,Image 1,1,208,
1.1997,,Surface,2,Image 1,1,209,
1.24215,,Surface,2,Image 1,1,210,
1.26426,,Surface,2,Image 1,1,211,
1.27031,,Surface,2,Image 1,1,212,
1.25553,,Surface,2,Image 1,1,213,
1.26636,,Surface,2,Image 1,1,214,
1.24566,,Surface,2,Image 1,1,215,
1.12869,,Surface,2,Image 1,1,216,
1.28574,,Surface,2,Image 1,1,217,
1.29011,,Surface,2,Image 1,1,218,
1.42329,,Surface,2,Image 1,1,219,
1.24796,,Surface,2,Image 1,1,220,
1.2677,,Surface,2,Image 1,1,221,
1.2535,,Surface,2,Image 1,1,222,
1.12382,,Surface,2,Image 1,1,223,
1.26366,,Surface,2,Image 1,1,224,
1.25689,,Surface,2,Image 1,1,225,
