
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
3,,Surface,3,Image 1,1,0,
6,,Surface,3,Image 1,1,1,
5,,Surface,3,Image 1,1,2,
6,,Surface,3,Image 1,1,3,
5,,Surface,3,Image 1,1,4,
12,,Surface,3,Image 1,1,5,
9,,Surface,3,Image 1,1,6,
13,,Surface,3,Image 1,1,7,
12,,Surface,3,Image 1,1,8,
11,,Surface,3,Image 1,1,9,
11,,Surface,3,Image 1,1,10,
8,,Surface,3,Image 1,1,11,
8,,Surface,3,Image 1,1,12,
12,,Surface,3,Image 1,1,13,
8,,Surface,3,Image 1,1,14,
11,,Surface,3,Image 1,1,15,
11,,Surface,3,Image 1,1,16,
14,,Surface,3,Image 1,1,17,
8,,Surface,3,Image 1,1,18,
9,,Surface,3,Image 1,1,19,
12,,Surface,3,Image 1,1,20,
9,,Surface,3,Image 1,1,21,
9,,Surface,3,Image 1,1,22,
7,,Surface,3,Image 1,1,23,
9,,Surface,3,Image 1,1,24,
9,,Surface,3,Image 1,1,25,
15,,Surface,3,Image 1,1,26,
12,,Surface,3,Image 1,1,27,
13,,Surface,3,Image 1,1,28,
12,,Surface,3,Image 1,1,29,
14,,Surface,3,Image 1,1,30,
10,,Surface,3,Image 1,1,31,
9,,Surface,3,Image 1,1,32,
11,,Surface,3,Image 1,1,33,
6,,Surface,3,Image 1,1,34,
10,,Surface,3,Image 1,1,35,
8,,Surface,3,Image 1,1,36,
3,,Surface,3,Image 1,1,37,
15,,Surface,3,Image 1,1,38,
15,,Surface,3,Image 1,1,39,
15,,Surface,3,Image 1,1,40,
15,,Surface,3,Image 1,1,41,
14,,Surface,3,Image 1,1,42,
16,,Surface,3,Image 1,1,43,
16,,Surface,3,Image 1,1,44,
11,,Surface,3,Image 1,1,45,
17,,Surface,3,Image 1,1,46,
16,,Surface,3,Image 1,1,47,
12,,Surface,3,Image 1,1,48,
13,,Surface,3,Image 1,1,49,
10,,Surface,3,Image 1,1,50,
8,,Surface,3,Image 1,1,51,
10,,Surface,3,Image 1,1,52,
4,,Surface,3,Image 1,1,53,
8,,Surface,3,Image 1,1,54,
12,,Surface,3,Image 1,1,55,
9,,Surface,3,Image 1,1,56,
8,,Surface,3,Image 1,1,57,
17,,Surface,3,Image 1,1,58,
13,,Surface,3,Image 1,1,59,
17,,Surface,3,Image 1,1,60,
16,,Surface,3,Image 1,1,61,
19,,Surface,3,Image 1,1,62,
15,,Surface,3,Image 1,1,63,
18,,Surface,3,Image 1,1,64,
18,,Surface,3,Image 1,1,65,
18,,Surface,3,Image 1,1,66,
14,,Surface,3,Image 1,1,67,
15,,Surface,3,Image 1,1,68,
14,,Surface,3,Image 1,1,69,
16,,Surface,3,Image 1,1,70,
12,,Surface,3,Image 1,1,71,
14,,Surface,3,Image 1,1,72,
16,,Surface,3,Image 1,1,73,
14,,Surface,3,Image 1,1,74,
11,,Surface,3,Image 1,1,75,
13,,Surface,3,Image 1,1,76,
13,,Surface,3,Image 1,1,77,
10,,Surface,3,Image 1,1,78,
13,,Surface,3,Image 1,1,79,
9,,Surface,3,Image 1,1,80,
8,,Surface,3,Image 1,1,81,
7,,Surface,3,Image 1,1,82,
8,,Surface,3,Image 1,1,83,
7,,Surface,3,Image 1,1,84,
12,,Surface,3,Image 1,1,85,
8,,Surface,3,Image 1,1,86,
9,,Surface,3,Image 1,1,87,
4,,Surface,3,Image 1,1,88,
8,,Surface,3,Image 1,1,89,
10,,Surface,3,Image 1,1,90,
10,,Surface,3,Image 1,1,91,
10,,Surface,3,Image 1,1,92,
12,,Surface,3,Image 1,1,93,
10,,Surface,3,Image 1,1,94,
10,,Surface,3,Image 1,1,95,
10,,Surface,3,Image 1,1,96,
7,,Surface,3,Image 1,1,97,
9,,Surface,3,Image 1,1,98,
13,,Surface,3,Image 1,1,99,
9,,Surface,3,Image 1,1,100,
1,,Surface,3,Image 1,1,101,
11,,Surface,3,Image 1,1,102,
12,,Surface,3,Image 1,1,103,
2,,Surface,3,Image 1,1,104,
12,,Surface,3,Image 1,1,105,
10,,Surface,3,Image 1,1,106,
5,,Surface,3,Image 1,1,107,
9,,Surface,3,Image 1,1,108,
8,,Surface,3,Image 1,1,109,
4,,Surface,3,Image 1,1,110,
12,,Surface,3,Image 1,1,111,
6,,Surface,3,Image 1,1,112,
12,,Surface,3,Image 1,1,113,
8,,Surface,3,Image 1,1,114,
23,,Surface,3,Image 1,1,115,
10,,Surface,3,Image 1,1,116,
45,,Surface,3,Image 1,1,117,
50,,Surface,3,Image 1,1,118,
31,,Surface,3,Image 1,1,119,
30,,Surface,3,Image 1,1,120,
26,,Surface,3,Image 1,1,121,
16,,Surface,3,Image 1,1,122,
35,,Surface,3,Image 1,1,123,
32,,Surface,3,Image 1,1,124,
14,,Surface,3,Image 1,1,125,
21,,Surface,3,Image 1,1,126,
28,,Surface,3,Image 1,1,127,
32,,Surface,3,Image 1,1,128,
17,,Surface,3,Image 1,1,129,
43,,Surface,3,Image 1,1,130,
10,,Surface,3,Image 1,1,131,
10,,Surface,3,Image 1,1,132,
11,,Surface,3,Image 1,1,133,
10,,Surface,3,Image 1,1,134,
9,,Surface,3,Image 1,1,135,
9,,Surface,3,Image 1,1,136,
10,,Surface,3,Image 1,1,137,
6,,Surface,3,Image 1,1,138,
4,,Surface,3,Image 1,1,139,
6,,Surface,3,Image 1,1,140,
8,,Surface,3,Image 1,1,141,
12,,Surface,3,Image 1,1,142,
14,,Surface,3,Image 1,1,143,
25,,Surface,3,Image 1,1,144,
11,,Surface,3,Image 1,1,145,
40,,Surface,3,Image 1,1,146,
19,,Surface,3,Image 1,1,147,
43,,Surface,3,Image 1,1,148,
14,,Surface,3,Image 1,1,149,
11,,Surface,3,Image 1,1,150,
37,,Surface,3,Image 1,1,151,
41,,Surface,3,Image 1,1,152,
40,,Surface,3,Image 1,1,153,
26,,Surface,3,Image 1,1,154,
48,,Surface,3,Image 1,1,155,
21,,Surface,3,Image 1,1,156,
47,,Surface,3,Image 1,1,157,
20,,Surface,3,Image 1,1,158,
30,,Surface,3,Image 1,1,159,
17,,Surface,3,Image 1,1,160,
34,,Surface,3,Image 1,1,161,
10,,Surface,3,Image 1,1,162,
14,,Surface,3,Image 1,1,163,
12,,Surface,3,Image 1,1,164,
9,,Surface,3,Image 1,1,165,
12,,Surface,3,Image 1,1,166,
5,,Surface,3,Image 1,1,167,
5,,Surface,3,Image 1,1,168,
12,,Surface,3,Image 1,1,169,
6,,Surface,3,Image 1,1,170,
3,,Surface,3,Image 1,1,171,
8,,Surface,3,Image 1,1,172,
4,,Surface,3,Image 1,1,173,
9,,Surface,3,Image 1,1,174,
7,,Surface,3,Image 1,1,175,
4,,Surface,3,Image 1,1,176,
9,,Surface,3,Image 1,1,177,
10,,Surface,3,Image 1,1,178,
7,,Surface,3,Image 1,1,179,
10,,Surface,3,Image 1,1,180,
10,,Surface,3,Image 1,1,181,
9,,Surface,3,Image 1,1,182,
6,,Surface,3,Image 1,1,183,
14,,Surface,3,Image 1,1,184,
16,,Surface,3,Image 1,1,185,
7,,Surface,3,Image 1,1,186,
51,,Surface,3,Image 1,1,187,
5,,Surface,3,Image 1,1,188,
53,,Surface,3,Image 1,1,189,
38,,Surface,3,Image 1,1,190,
25,,Surface,3,Image 1,1,191,
39,,Surface,3,Image 1,1,192,
13,,Surface,3,Image 1,1,193,
7,,Surface,3,Image 1,1,194,
39,,Surface,3,Image 1,1,195,
16,,Surface,3,Image 1,1,196,
31,,Surface,3,Image 1,1,197,
13,,Surface,3,Image 1,1,198,
14,,Surface,3,Image 1,1,199,
10,,Surface,3,Image 1,1,200,
9,,Surface,3,Image 1,1,201,
8,,Surface,3,Image 1,1,202,
10,,Surface,3,Image 1,1,203,
10,,Surface,3,Image 1,1,204,
7,,Surface,3,Image 1,1,205,
10,,Surface,3,Image 1,1,206,
9,,Surface,3,Image 1,1,207,
11,,Surface,3,Image 1,1,208,
9,,Surface,3,Image 1,1,209,
12,,Surface,3,Image 1,1,210,
9,,Surface,3,Image 1,1,211,
7,,Surface,3,Image 1,1,212,
8,,Surface,3,Image 1,1,213,
13,,Surface,3,Image 1,1,214,
10,,Surface,3,Image 1,1,215,
8,,Surface,3,Image 1,1,216,
7,,Surface,3,Image 1,1,217,
9,,Surface,3,Image 1,1,218,
15,,Surface,3,Image 1,1,219,
21,,Surface,3,Image 1,1,220,
50,,Surface,3,Image 1,1,221,
118,,Surface,3,Image 1,1,222,
31,,Surface,3,Image 1,1,223,
23,,Surface,3,Image 1,1,224,
38,,Surface,3,Image 1,1,225,
30,,Surface,3,Image 1,1,226,
24,,Surface,3,Image 1,1,227,
31,,Surface,3,Image 1,1,228,
22,,Surface,3,Image 1,1,229,
23,,Surface,3,Image 1,1,230,
24,,Surface,3,Image 1,1,231,
10,,Surface,3,Image 1,1,232,
35,,Surface,3,Image 1,1,233,
16,,Surface,3,Image 1,1,234,
25,,Surface,3,Image 1,1,235,
27,,Surface,3,Image 1,1,236,
25,,Surface,3,Image 1,1,237,
12,,Surface,3,Image 1,1,238,
10,,Surface,3,Image 1,1,239,
22,,Surface,3,Image 1,1,240,
24,,Surface,3,Image 1,1,241,
14,,Surface,3,Image 1,1,242,
15,,Surface,3,Image 1,1,243,
12,,Surface,3,Image 1,1,244,
16,,Surface,3,Image 1,1,245,
11,,Surface,3,Image 1,1,246,
11,,Surface,3,Image 1,1,247,
11,,Surface,3,Image 1,1,248,
23,,Surface,3,Image 1,1,249,
24,,Surface,3,Image 1,1,250,
17,,Surface,3,Image 1,1,251,
23,,Surface,3,Image 1,1,252,
19,,Surface,3,Image 1,1,253,
18,,Surface,3,Image 1,1,254,
15,,Surface,3,Image 1,1,255,
18,,Surface,3,Image 1,1,256,
16,,Surface,3,Image 1,1,257,
18,,Surface,3,Image 1,1,258,
15,,Surface,3,Image 1,1,259,
9,,Surface,3,Image 1,1,260,
31,,Surface,3,Image 1,1,261,
3,,Surface,3,Image 1,1,262,
25,,Surface,3,Image 1,1,263,
8,,Surface,3,Image 1,1,264,
25,,Surface,3,Image 1,1,265,
20,,Surface,3,Image 1,1,266,
16,,Surface,3,Image 1,1,267,
44,,Surface,3,Image 1,1,268,
14,,Surface,3,Image 1,1,269,
13,,Surface,3,Image 1,1,270,
17,,Surface,3,Image 1,1,271,
48,,Surface,3,Image 1,1,272,
20,,Surface,3,Image 1,1,273,
20,,Surface,3,Image 1,1,274,
21,,Surface,3,Image 1,1,275,
21,,Surface,3,Image 1,1,276,
23,,Surface,3,Image 1,1,277,
19,,Surface,3,Image 1,1,278,
22,,Surface,3,Image 1,1,279,
21,,Surface,3,Image 1,1,280,
16,,Surface,3,Image 1,1,281,
22,,Surface,3,Image 1,1,282,
17,,Surface,3,Image 1,1,283,
19,,Surface,3,Image 1,1,284,
18,,Surface,3,Image 1,1,285,
21,,Surface,3,Image 1,1,286,
17,,Surface,3,Image 1,1,287,
14,,Surface,3,Image 1,1,288,
16,,Surface,3,Image 1,1,289,
13,,Surface,3,Image 1,1,290,
14,,Surface,3,Image 1,1,291,
13,,Surface,3,Image 1,1,292,
13,,Surface,3,Image 1,1,293,
17,,Surface,3,Image 1,1,294,
19,,Surface,3,Image 1,1,295,
13,,Surface,3,Image 1,1,296,
11,,Surface,3,Image 1,1,297,
13,,Surface,3,Image 1,1,298,
18,,Surface,3,Image 1,1,299,
