
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
4.37226,,Surface,5,Image 1,1,0,
4.67713,,Surface,5,Image 1,1,1,
4.78034,,Surface,5,Image 1,1,2,
4.61523,,Surface,5,Image 1,1,3,
4.34989,,Surface,5,Image 1,1,4,
4.70814,,Surface,5,Image 1,1,5,
4.72861,,Surface,5,Image 1,1,6,
4.58645,,Surface,5,Image 1,1,7,
4.48258,,Surface,5,Image 1,1,8,
4.47812,,Surface,5,Image 1,1,9,
4.52714,,Surface,5,Image 1,1,10,
4.4108,,Surface,5,Image 1,1,11,
4.82194,,Surface,5,Image 1,1,12,
6.08854,,Surface,5,Image 1,1,13,
5.50087,,Surface,5,Image 1,1,14,
4.84135,,Surface,5,Image 1,1,15,
5.07729,,Surface,5,Image 1,1,16,
5.2398,,Surface,5,Image 1,1,17,
4.48429,,Surface,5,Image 1,1,18,
4.64954,,Surface,5,Image 1,1,19,
4.49431,,Surface,5,Image 1,1,20,
4.86501,,Surface,5,Image 1,1,21,
4.62893,,Surface,5,Image 1,1,22,
4.61024,,Surface,5,Image 1,1,23,
4.65315,,Surface,5,Image 1,1,24,
4.652,,Surface,5,Image 1,1,25,
4.71666,,Surface,5,Image 1,1,26,
5.18566,,Surface,5,Image 1,1,27,
5.01174,,Surface,5,Image 1,1,28,
5.23337,,Surface,5,Image 1,1,29,
5.15962,,Surface,5,Image 1,1,30,
4.92326,,Surface,5,Image 1,1,31,
5.07519,,Surface,5,Image 1,1,32,
4.97403,,Surface,5,Image 1,1,33,
4.91492,,Surface,5,Image 1,1,34,
4.73552,,Surface,5,Image 1,1,35,
5.41164,,Surface,5,Image 1,1,36,
4.86271,,Surface,5,Image 1,1,37,
5.47457,,Surface,5,Image 1,1,38,
5.00891,,Surface,5,Image 1,1,39,
5.18715,,Surface,5,Image 1,1,40,
5.03339,,Surface,5,Image 1,1,41,
5.38695,,Surface,5,Image 1,1,42,
5.36814,,Surface,5,Image 1,1,43,
5.2759,,Surface,5,Image 1,1,44,
4.88178,,Surface,5,Image 1,1,45,
5.17155,,Surface,5,Image 1,1,46,
4.56467,,Surface,5,Image 1,1,47,
4.74282,,Surface,5,Image 1,1,48,
4.70201,,Surface,5,Image 1,1,49,
5.1011,,Surface,5,Image 1,1,50,
5.04171,,Surface,5,Image 1,1,51,
4.63551,,Surface,5,Image 1,1,52,
4.73634,,Surface,5,Image 1,1,53,
5.48072,,Surface,5,Image 1,1,54,
5.06984,,Surface,5,Image 1,1,55,
4.89325,,Surface,5,Image 1,1,56,
5.52741,,Surface,5,Image 1,1,57,
5.38822,,Surface,5,Image 1,1,58,
5.72444,,Surface,5,Image 1,1,59,
5.93605,,Surface,5,Image 1,1,60,
5.63792,,Surface,5,Image 1,1,61,
5.28586,,Surface,5,Image 1,1,62,
5.47105,,Surface,5,Image 1,1,63,
6.54223,,Surface,5,Image 1,1,64,
5.85535,,Surface,5,Image 1,1,65,
6.55414,,Surface,5,Image 1,1,66,
5.44019,,Surface,5,Image 1,1,67,
5.258,,Surface,5,Image 1,1,68,
5.69757,,Surface,5,Image 1,1,69,
5.63981,,Surface,5,Image 1,1,70,
5.5165,,Surface,5,Image 1,1,71,
5.949,,Surface,5,Image 1,1,72,
5.68066,,Surface,5,Image 1,1,73,
5.70797,,Surface,5,Image 1,1,74,
6.81195,,Surface,5,Image 1,1,75,
6.57039,,Surface,5,Image 1,1,76,
6.67315,,Surface,5,Image 1,1,77,
6.26553,,Surface,5,Image 1,1,78,
5.59968,,Surface,5,Image 1,1,79,
6.13305,,Surface,5,Image 1,1,80,
5.59866,,Surface,5,Image 1,1,81,
5.60342,,Surface,5,Image 1,1,82,
5.2499,,Surface,5,Image 1,1,83,
5.32198,,Surface,5,Image 1,1,84,
5.09154,,Surface,5,Image 1,1,85,
4.41189,,Surface,5,Image 1,1,86,
5.0488,,Surface,5,Image 1,1,87,
4.52132,,Surface,5,Image 1,1,88,
4.75925,,Surface,5,Image 1,1,89,
4.97136,,Surface,5,Image 1,1,90,
4.80117,,Surface,5,Image 1,1,91,
4.47374,,Surface,5,Image 1,1,92,
5.2262,,Surface,5,Image 1,1,93,
4.37422,,Surface,5,Image 1,1,94,
4.93324,,Surface,5,Image 1,1,95,
4.73429,,Surface,5,Image 1,1,96,
5.30597,,Surface,5,Image 1,1,97,
5.55227,,Surface,5,Image 1,1,98,
5.17582,,Surface,5,Image 1,1,99,
5.03842,,Surface,5,Image 1,1,100,
4.88186,,Surface,5,Image 1,1,101,
5.014,,Surface,5,Image 1,1,102,
5.45444,,Surface,5,Image 1,1,103,
4.72628,,Surface,5,Image 1,1,104,
5.44897,,Surface,5,Image 1,1,105,
5.45264,,Surface,5,Image 1,1,106,
5.14954,,Surface,5,Image 1,1,107,
5.67087,,Surface,5,Image 1,1,108,
5.3516,,Surface,5,Image 1,1,109,
4.90941,,Surface,5,Image 1,1,110,
5.4731,,Surface,5,Image 1,1,111,
4.8157,,Surface,5,Image 1,1,112,
4.99109,,Surface,5,Image 1,1,113,
5.09593,,Surface,5,Image 1,1,114,
4.85796,,Surface,5,Image 1,1,115,
5.0126,,Surface,5,Image 1,1,116,
5.59582,,Surface,5,Image 1,1,117,
5.77655,,Surface,5,Image 1,1,118,
5.52312,,Surface,5,Image 1,1,119,
6.01901,,Surface,5,Image 1,1,120,
5.75618,,Surface,5,Image 1,1,121,
5.89043,,Surface,5,Image 1,1,122,
5.64992,,Surface,5,Image 1,1,123,
5.60957,,Surface,5,Image 1,1,124,
5.72481,,Surface,5,Image 1,1,125,
5.11366,,Surface,5,Image 1,1,126,
5.45785,,Surface,5,Image 1,1,127,
4.82887,,Surface,5,Image 1,1,128,
4.57662,,Surface,5,Image 1,1,129,
5.67095,,Surface,5,Image 1,1,130,
6.17647,,Surface,5,Image 1,1,131,
4.42882,,Surface,5,Image 1,1,132,
4.7049,,Surface,5,Image 1,1,133,
4.52075,,Surface,5,Image 1,1,134,
4.34117,,Surface,5,Image 1,1,135,
4.68958,,Surface,5,Image 1,1,136,
4.75222,,Surface,5,Image 1,1,137,
4.44083,,Surface,5,Image 1,1,138,
5.1508,,Surface,5,Image 1,1,139,
5.13363,,Surface,5,Image 1,1,140,
5.07855,,Surface,5,Image 1,1,141,
5.32727,,Surface,5,Image 1,1,142,
6.00496,,Surface,5,Image 1,1,143,
4.94702,,Surface,5,Image 1,1,144,
4.43718,,Surface,5,Image 1,1,145,
5.07861,,Surface,5,Image 1,1,146,
5.28788,,Surface,5,Image 1,1,147,
5.17463,,Surface,5,Image 1,1,148,
4.7812,,Surface,5,Image 1,1,149,
5.3309,,Surface,5,Image 1,1,150,
5.87142,,Surface,5,Image 1,1,151,
4.98025,,Surface,5,Image 1,1,152,
5.07078,,Surface,5,Image 1,1,153,
5.73217,,Surface,5,Image 1,1,154,
7.15736,,Surface,5,Image 1,1,155,
5.86154,,Surface,5,Image 1,1,156,
5.39201,,Surface,5,Image 1,1,157,
6.19737,,Surface,5,Image 1,1,158,
5.26363,,Surface,5,Image 1,1,159,
5.56923,,Surface,5,Image 1,1,160,
5.55872,,Surface,5,Image 1,1,161,
3.93283,,Surface,5,Image 1,1,162,
4.23215,,Surface,5,Image 1,1,163,
4.3776,,Surface,5,Image 1,1,164,
4.23872,,Surface,5,Image 1,1,165,
4.28384,,Surface,5,Image 1,1,166,
4.18856,,Surface,5,Image 1,1,167,
4.18425,,Surface,5,Image 1,1,168,
4.36388,,Surface,5,Image 1,1,169,
4.56499,,Surface,5,Image 1,1,170,
4.24311,,Surface,5,Image 1,1,171,
4.60161,,Surface,5,Image 1,1,172,
4.90352,,Surface,5,Image 1,1,173,
4.26061,,Surface,5,Image 1,1,174,
4.66526,,Surface,5,Image 1,1,175,
7.35814,,Surface,5,Image 1,1,176,
6.06952,,Surface,5,Image 1,1,177,
5.17569,,Surface,5,Image 1,1,178,
4.36578,,Surface,5,Image 1,1,179,
4.61703,,Surface,5,Image 1,1,180,
5.63674,,Surface,5,Image 1,1,181,
5.18957,,Surface,5,Image 1,1,182,
5.81318,,Surface,5,Image 1,1,183,
6.0027,,Surface,5,Image 1,1,184,
5.72465,,Surface,5,Image 1,1,185,
6.18568,,Surface,5,Image 1,1,186,
5.80426,,Surface,5,Image 1,1,187,
5.81897,,Surface,5,Image 1,1,188,
5.74392,,Surface,5,Image 1,1,189,
5.22864,,Surface,5,Image 1,1,190,
6.01004,,Surface,5,Image 1,1,191,
5.80784,,Surface,5,Image 1,1,192,
6.25031,,Surface,5,Image 1,1,193,
5.53377,,Surface,5,Image 1,1,194,
6.3759,,Surface,5,Image 1,1,195,
6.04781,,Surface,5,Image 1,1,196,
6.75125,,Surface,5,Image 1,1,197,
5.68778,,Surface,5,Image 1,1,198,
5.5953,,Surface,5,Image 1,1,199,
6.57155,,Surface,5,Image 1,1,200,
6.13022,,Surface,5,Image 1,1,201,
7.42535,,Surface,5,Image 1,1,202,
6.66206,,Surface,5,Image 1,1,203,
6.28739,,Surface,5,Image 1,1,204,
6.86243,,Surface,5,Image 1,1,205,
7.06575,,Surface,5,Image 1,1,206,
6.38299,,Surface,5,Image 1,1,207,
6.62739,,Surface,5,Image 1,1,208,
7.69311,,Surface,5,Image 1,1,209,
6.35531,,Surface,5,Image 1,1,210,
6.08394,,Surface,5,Image 1,1,211,
6.06997,,Surface,5,Image 1,1,212,
5.77598,,Surface,5,Image 1,1,213,
8.14784,,Surface,5,Image 1,1,214,
6.8828,,Surface,5,Image 1,1,215,
6.91054,,Surface,5,Image 1,1,216,
5.88589,,Surface,5,Image 1,1,217,
6.1186,,Surface,5,Image 1,1,218,
6.32056,,Surface,5,Image 1,1,219,
4.97675,,Surface,5,Image 1,1,220,
6.1025,,Surface,5,Image 1,1,221,
4.63828,,Surface,5,Image 1,1,222,
5.49853,,Surface,5,Image 1,1,223,
5.62153,,Surface,5,Image 1,1,224,
5.1334,,Surface,5,Image 1,1,225,
4.33877,,Surface,5,Image 1,1,226,
4.77815,,Surface,5,Image 1,1,227,
4.53946,,Surface,5,Image 1,1,228,
5.05508,,Surface,5,Image 1,1,229,
5.02853,,Surface,5,Image 1,1,230,
8.62163,,Surface,5,Image 1,1,231,
9.01089,,Surface,5,Image 1,1,232,
7.78982,,Surface,5,Image 1,1,233,
5.98689,,Surface,5,Image 1,1,234,
6.23292,,Surface,5,Image 1,1,235,
6.03411,,Surface,5,Image 1,1,236,
9.52204,,Surface,5,Image 1,1,237,
6.52633,,Surface,5,Image 1,1,238,
6.96852,,Surface,5,Image 1,1,239,
7.96153,,Surface,5,Image 1,1,240,
6.86633,,Surface,5,Image 1,1,241,
4.52363,,Surface,5,Image 1,1,242,
6.74986,,Surface,5,Image 1,1,243,
4.64543,,Surface,5,Image 1,1,244,
4.77842,,Surface,5,Image 1,1,245,
4.47479,,Surface,5,Image 1,1,246,
4.47623,,Surface,5,Image 1,1,247,
4.29572,,Surface,5,Image 1,1,248,
4.04481,,Surface,5,Image 1,1,249,
4.13716,,Surface,5,Image 1,1,250,
4.02564,,Surface,5,Image 1,1,251,
4.05769,,Surface,5,Image 1,1,252,
4.28653,,Surface,5,Image 1,1,253,
5.66683,,Surface,5,Image 1,1,254,
5.62517,,Surface,5,Image 1,1,255,
4.43082,,Surface,5,Image 1,1,256,
4.10751,,Surface,5,Image 1,1,257,
4.12184,,Surface,5,Image 1,1,258,
4.37152,,Surface,5,Image 1,1,259,
3.53199,,Surface,5,Image 1,1,260,
4.01105,,Surface,5,Image 1,1,261,
3.79059,,Surface,5,Image 1,1,262,
3.86347,,Surface,5,Image 1,1,263,
3.49404,,Surface,5,Image 1,1,264,
4.13311,,Surface,5,Image 1,1,265,
3.79673,,Surface,5,Image 1,1,266,
4.1532,,Surface,5,Image 1,1,267,
4.17013,,Surface,5,Image 1,1,268,
4.84651,,Surface,5,Image 1,1,269,
4.86101,,Surface,5,Image 1,1,270,
4.64175,,Surface,5,Image 1,1,271,
4.51545,,Surface,5,Image 1,1,272,
4.90541,,Surface,5,Image 1,1,273,
4.92303,,Surface,5,Image 1,1,274,
4.57019,,Surface,5,Image 1,1,275,
4.64114,,Surface,5,Image 1,1,276,
4.34009,,Surface,5,Image 1,1,277,
5.04865,,Surface,5,Image 1,1,278,
4.7076,,Surface,5,Image 1,1,279,
3.93665,,Surface,5,Image 1,1,280,
3.93058,,Surface,5,Image 1,1,281,
3.70549,,Surface,5,Image 1,1,282,
3.64784,,Surface,5,Image 1,1,283,
4.14891,,Surface,5,Image 1,1,284,
4.27378,,Surface,5,Image 1,1,285,
4.2422,,Surface,5,Image 1,1,286,
4.39851,,Surface,5,Image 1,1,287,
4.40353,,Surface,5,Image 1,1,288,
3.95917,,Surface,5,Image 1,1,289,
4.27557,,Surface,5,Image 1,1,290,
4.14603,,Surface,5,Image 1,1,291,
4.56117,,Surface,5,Image 1,1,292,
4.25136,,Surface,5,Image 1,1,293,
4.53714,,Surface,5,Image 1,1,294,
4.46854,,Surface,5,Image 1,1,295,
4.528,,Surface,5,Image 1,1,296,
4.4478,,Surface,5,Image 1,1,297,
4.87889,,Surface,5,Image 1,1,298,
5.16932,,Surface,5,Image 1,1,299,
4.46045,,Surface,5,Image 1,1,300,
4.30897,,Surface,5,Image 1,1,301,
4.39475,,Surface,5,Image 1,1,302,
5.11407,,Surface,5,Image 1,1,303,
5.12402,,Surface,5,Image 1,1,304,
4.77663,,Surface,5,Image 1,1,305,
5.15961,,Surface,5,Image 1,1,306,
5.04657,,Surface,5,Image 1,1,307,
4.86041,,Surface,5,Image 1,1,308,
4.941,,Surface,5,Image 1,1,309,
4.66523,,Surface,5,Image 1,1,310,
4.91638,,Surface,5,Image 1,1,311,
4.76433,,Surface,5,Image 1,1,312,
4.9559,,Surface,5,Image 1,1,313,
4.26192,,Surface,5,Image 1,1,314,
4.29983,,Surface,5,Image 1,1,315,
4.26689,,Surface,5,Image 1,1,316,
4.2911,,Surface,5,Image 1,1,317,
4.48958,,Surface,5,Image 1,1,318,
4.39522,,Surface,5,Image 1,1,319,
4.35877,,Surface,5,Image 1,1,320,
4.35444,,Surface,5,Image 1,1,321,
4.43608,,Surface,5,Image 1,1,322,
4.57084,,Surface,5,Image 1,1,323,
4.50289,,Surface,5,Image 1,1,324,
4.25462,,Surface,5,Image 1,1,325,
4.76851,,Surface,5,Image 1,1,326,
4.72467,,Surface,5,Image 1,1,327,
4.62678,,Surface,5,Image 1,1,328,
4.68996,,Surface,5,Image 1,1,329,
4.57122,,Surface,5,Image 1,1,330,
4.52928,,Surface,5,Image 1,1,331,
4.8733,,Surface,5,Image 1,1,332,
4.94137,,Surface,5,Image 1,1,333,
5.19268,,Surface,5,Image 1,1,334,
4.94076,,Surface,5,Image 1,1,335,
5.24129,,Surface,5,Image 1,1,336,
4.93184,,Surface,5,Image 1,1,337,
4.98162,,Surface,5,Image 1,1,338,
4.74761,,Surface,5,Image 1,1,339,
5.36534,,Surface,5,Image 1,1,340,
5.29691,,Surface,5,Image 1,1,341,
5.51067,,Surface,5,Image 1,1,342,
5.68564,,Surface,5,Image 1,1,343,
5.43436,,Surface,5,Image 1,1,344,
6.03885,,Surface,5,Image 1,1,345,
5.24828,,Surface,5,Image 1,1,346,
5.15643,,Surface,5,Image 1,1,347,
5.15131,,Surface,5,Image 1,1,348,
5.78969,,Surface,5,Image 1,1,349,
5.90969,,Surface,5,Image 1,1,350,
5.57425,,Surface,5,Image 1,1,351,
5.38798,,Surface,5,Image 1,1,352,
4.59976,,Surface,5,Image 1,1,353,
4.53333,,Surface,5,Image 1,1,354,
4.37443,,Surface,5,Image 1,1,355,
4.77807,,Surface,5,Image 1,1,356,
4.70407,,Surface,5,Image 1,1,357,
4.67035,,Surface,5,Image 1,1,358,
4.67879,,Surface,5,Image 1,1,359,
5.25558,,Surface,5,Image 1,1,360,
4.93667,,Surface,5,Image 1,1,361,
5.81811,,Surface,5,Image 1,1,362,
4.97363,,Surface,5,Image 1,1,363,
4.82155,,Surface,5,Image 1,1,364,
4.86714,,Surface,5,Image 1,1,365,
5.40796,,Surface,5,Image 1,1,366,
4.92993,,Surface,5,Image 1,1,367,
5.41456,,Surface,5,Image 1,1,368,
5.39716,,Surface,5,Image 1,1,369,
5.16883,,Surface,5,Image 1,1,370,
6.44149,,Surface,5,Image 1,1,371,
5.91336,,Surface,5,Image 1,1,372,
5.00345,,Surface,5,Image 1,1,373,
5.8954,,Surface,5,Image 1,1,374,
5.67263,,Surface,5,Image 1,1,375,
5.14612,,Surface,5,Image 1,1,376,
6.05786,,Surface,5,Image 1,1,377,
5.43,,Surface,5,Image 1,1,378,
6.14377,,Surface,5,Image 1,1,379,
5.64226,,Surface,5,Image 1,1,380,
5.94714,,Surface,5,Image 1,1,381,
6.86983,,Surface,5,Image 1,1,382,
6.54271,,Surface,5,Image 1,1,383,
5.75685,,Surface,5,Image 1,1,384,
6.07895,,Surface,5,Image 1,1,385,
6.3045,,Surface,5,Image 1,1,386,
6.12952,,Surface,5,Image 1,1,387,
4.31332,,Surface,5,Image 1,1,388,
6.87573,,Surface,5,Image 1,1,389,
8.41158,,Surface,5,Image 1,1,390,
6.52354,,Surface,5,Image 1,1,391,
6.93365,,Surface,5,Image 1,1,392,
7.94403,,Surface,5,Image 1,1,393,
8.00144,,Surface,5,Image 1,1,394,
8.08961,,Surface,5,Image 1,1,395,
6.1652,,Surface,5,Image 1,1,396,
9.51219,,Surface,5,Image 1,1,397,
7.00854,,Surface,5,Image 1,1,398,
4.85234,,Surface,5,Image 1,1,399,
5.53766,,Surface,5,Image 1,1,400,
5.7602,,Surface,5,Image 1,1,401,
5.84475,,Surface,5,Image 1,1,402,
4.33687,,Surface,5,Image 1,1,403,
6.60206,,Surface,5,Image 1,1,404,
5.91471,,Surface,5,Image 1,1,405,
6.15605,,Surface,5,Image 1,1,406,
6.10973,,Surface,5,Image 1,1,407,
6.0177,,Surface,5,Image 1,1,408,
5.72435,,Surface,5,Image 1,1,409,
5.49754,,Surface,5,Image 1,1,410,
6.242,,Surface,5,Image 1,1,411,
5.1523,,Surface,5,Image 1,1,412,
5.17801,,Surface,5,Image 1,1,413,
5.15001,,Surface,5,Image 1,1,414,
5.39449,,Surface,5,Image 1,1,415,
4.58903,,Surface,5,Image 1,1,416,
5.86127,,Surface,5,Image 1,1,417,
5.38472,,Surface,5,Image 1,1,418,
4.60699,,Surface,5,Image 1,1,419,
4.4592,,Surface,5,Image 1,1,420,
4.50444,,Surface,5,Image 1,1,421,
4.18873,,Surface,5,Image 1,1,422,
5.66877,,Surface,5,Image 1,1,423,
4.67181,,Surface,5,Image 1,1,424,
4.99451,,Surface,5,Image 1,1,425,
4.79689,,Surface,5,Image 1,1,426,
4.72025,,Surface,5,Image 1,1,427,
4.99555,,Surface,5,Image 1,1,428,
4.39206,,Surface,5,Image 1,1,429,
4.10963,,Surface,5,Image 1,1,430,
4.57894,,Surface,5,Image 1,1,431,
3.98645,,Surface,5,Image 1,1,432,
4.41373,,Surface,5,Image 1,1,433,
4.31821,,Surface,5,Image 1,1,434,
4.37904,,Surface,5,Image 1,1,435,
4.72451,,Surface,5,Image 1,1,436,
6.30589,,Surface,5,Image 1,1,437,
