
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
0,,Surface,4,Image 1,1,0,
0.0151515,,Surface,4,Image 1,1,1,
0.05,,Surface,4,Image 1,1,2,
0.107914,,Surface,4,Image 1,1,3,
0.0512821,,Surface,4,Image 1,1,4,
0.0914526,,Surface,4,Image 1,1,5,
0.0526946,,Surface,4,Image 1,1,6,
0.121342,,Surface,4,Image 1,1,7,
0.0917492,,Surface,4,Image 1,1,8,
0.0954167,,Surface,4,Image 1,1,9,
0.0993081,,Surface,4,Image 1,1,10,
0.127257,,Surface,4,Image 1,1,11,
0.084788,,Surface,4,Image 1,1,12,
0.167519,,Surface,4,Image 1,1,13,
0.0985401,,Surface,4,Image 1,1,14,
0.123456,,Surface,4,Image 1,1,15,
0.117693,,Surface,4,Image 1,1,16,
0.182584,,Surface,4,Image 1,1,17,
0.145946,,Surface,4,Image 1,1,18,
0.0933588,,Surface,4,Image 1,1,19,
0.111905,,Surface,4,Image 1,1,20,
0.0962402,,Surface,4,Image 1,1,21,
0.493421,,Surface,4,Image 1,1,22,
0.308511,,Surface,4,Image 1,1,23,
0.134328,,Surface,4,Image 1,1,24,
0.203623,,Surface,4,Image 1,1,25,
0.259486,,Surface,4,Image 1,1,26,
0.186281,,Surface,4,Image 1,1,27,
0.17017,,Surface,4,Image 1,1,28,
0.0948276,,Surface,4,Image 1,1,29,
0.13097,,Surface,4,Image 1,1,30,
0.071497,,Surface,4,Image 1,1,31,
0.0663499,,Surface,4,Image 1,1,32,
0.105549,,Surface,4,Image 1,1,33,
0.106195,,Surface,4,Image 1,1,34,
0.0615353,,Surface,4,Image 1,1,35,
0.681507,,Surface,4,Image 1,1,36,
2.13333,,Surface,4,Image 1,1,37,
0.383543,,Surface,4,Image 1,1,38,
0.308576,,Surface,4,Image 1,1,39,
0.198683,,Surface,4,Image 1,1,40,
0.245829,,Surface,4,Image 1,1,41,
0.26583,,Surface,4,Image 1,1,42,
0.216077,,Surface,4,Image 1,1,43,
0.201321,,Surface,4,Image 1,1,44,
0.131682,,Surface,4,Image 1,1,45,
0.132469,,Surface,4,Image 1,1,46,
0.123833,,Surface,4,Image 1,1,47,
0.100349,,Surface,4,Image 1,1,48,
0.129721,,Surface,4,Image 1,1,49,
0.0690435,,Surface,4,Image 1,1,50,
0.0724079,,Surface,4,Image 1,1,51,
0.0934394,,Surface,4,Image 1,1,52,
0.0232558,,Surface,4,Image 1,1,53,
0.0279835,,Surface,4,Image 1,1,54,
0.0718198,,Surface,4,Image 1,1,55,
0.0738462,,Surface,4,Image 1,1,56,
0.0733972,,Surface,4,Image 1,1,57,
0.261104,,Surface,4,Image 1,1,58,
0.219696,,Surface,4,Image 1,1,59,
0.314609,,Surface,4,Image 1,1,60,
0.268577,,Surface,4,Image 1,1,61,
0.239658,,Surface,4,Image 1,1,62,
0.223456,,Surface,4,Image 1,1,63,
0.28784,,Surface,4,Image 1,1,64,
0.168599,,Surface,4,Image 1,1,65,
0.208811,,Surface,4,Image 1,1,66,
