
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
2.38636,,Surface,5,Image 1,1,0,
0.994783,,Surface,5,Image 1,1,1,
2.06198,,Surface,5,Image 1,1,2,
1.50839,,Surface,5,Image 1,1,3,
0.758186,,Surface,5,Image 1,1,4,
2.3042,,Surface,5,Image 1,1,5,
1.06726,,Surface,5,Image 1,1,6,
3.56808,,Surface,5,Image 1,1,7,
1.38889,,Surface,5,Image 1,1,8,
2.34921,,Surface,5,Image 1,1,9,
1.01923,,Surface,5,Image 1,1,10,
0.340807,,Surface,5,Image 1,1,11,
3.38865,,Surface,5,Image 1,1,12,
3.37059,,Surface,5,Image 1,1,13,
2.39064,,Surface,5,Image 1,1,14,
2.29856,,Surface,5,Image 1,1,15,
0.722222,,Surface,5,Image 1,1,16,
6.76907,,Surface,5,Image 1,1,17,
1.02536,,Surface,5,Image 1,1,18,
2.50194,,Surface,5,Image 1,1,19,
2.79347,,Surface,5,Image 1,1,20,
0.974453,,Surface,5,Image 1,1,21,
1.59341,,Surface,5,Image 1,1,22,
2.3037,,Surface,5,Image 1,1,23,
4.83038,,Surface,5,Image 1,1,24,
5.50033,,Surface,5,Image 1,1,25,
5.44513,,Surface,5,Image 1,1,26,
3.6907,,Surface,5,Image 1,1,27,
4.37964,,Surface,5,Image 1,1,28,
9.97577,,Surface,5,Image 1,1,29,
3.21871,,Surface,5,Image 1,1,30,
2.29079,,Surface,5,Image 1,1,31,
1.19478,,Surface,5,Image 1,1,32,
1.79623,,Surface,5,Image 1,1,33,
9.87196,,Surface,5,Image 1,1,34,
2.26891,,Surface,5,Image 1,1,35,
3.77726,,Surface,5,Image 1,1,36,
3.39873,,Surface,5,Image 1,1,37,
7.2338,,Surface,5,Image 1,1,38,
1.74758,,Surface,5,Image 1,1,39,
3.19133,,Surface,5,Image 1,1,40,
7.01149,,Surface,5,Image 1,1,41,
8.08457,,Surface,5,Image 1,1,42,
3.23785,,Surface,5,Image 1,1,43,
6.79012,,Surface,5,Image 1,1,44,
9.77207,,Surface,5,Image 1,1,45,
3.68129,,Surface,5,Image 1,1,46,
4.35294,,Surface,5,Image 1,1,47,
1.69231,,Surface,5,Image 1,1,48,
4.70199,,Surface,5,Image 1,1,49,
2.78788,,Surface,5,Image 1,1,50,
3.5353,,Surface,5,Image 1,1,51,
2.5514,,Surface,5,Image 1,1,52,
3.43772,,Surface,5,Image 1,1,53,
0.543422,,Surface,5,Image 1,1,54,
0.617685,,Surface,5,Image 1,1,55,
6.13974,,Surface,5,Image 1,1,56,
1.02403,,Surface,5,Image 1,1,57,
4.48668,,Surface,5,Image 1,1,58,
7.43904,,Surface,5,Image 1,1,59,
2.30506,,Surface,5,Image 1,1,60,
5.5689,,Surface,5,Image 1,1,61,
9.05459,,Surface,5,Image 1,1,62,
10.1866,,Surface,5,Image 1,1,63,
8.7597,,Surface,5,Image 1,1,64,
1.0423,,Surface,5,Image 1,1,65,
6.40006,,Surface,5,Image 1,1,66,
8.45808,,Surface,5,Image 1,1,67,
5.15634,,Surface,5,Image 1,1,68,
3.48031,,Surface,5,Image 1,1,69,
3.73872,,Surface,5,Image 1,1,70,
1.62131,,Surface,5,Image 1,1,71,
0.705508,,Surface,5,Image 1,1,72,
5.16081,,Surface,5,Image 1,1,73,
7.20453,,Surface,5,Image 1,1,74,
0.313043,,Surface,5,Image 1,1,75,
0.412698,,Surface,5,Image 1,1,76,
1.5,,Surface,5,Image 1,1,77,
0.489138,,Surface,5,Image 1,1,78,
2.38926,,Surface,5,Image 1,1,79,
1.74135,,Surface,5,Image 1,1,80,
7.07241,,Surface,5,Image 1,1,81,
2.50591,,Surface,5,Image 1,1,82,
2.15663,,Surface,5,Image 1,1,83,
1.0826,,Surface,5,Image 1,1,84,
1.12915,,Surface,5,Image 1,1,85,
0.970588,,Surface,5,Image 1,1,86,
1.52874,,Surface,5,Image 1,1,87,
1.12711,,Surface,5,Image 1,1,88,
2.1896,,Surface,5,Image 1,1,89,
1.27408,,Surface,5,Image 1,1,90,
0,,Surface,5,Image 1,1,91,
2.13385,,Surface,5,Image 1,1,92,
2.37627,,Surface,5,Image 1,1,93,
1.00847,,Surface,5,Image 1,1,94,
1.96684,,Surface,5,Image 1,1,95,
3.18616,,Surface,5,Image 1,1,96,
3.71878,,Surface,5,Image 1,1,97,
2.67572,,Surface,5,Image 1,1,98,
3.26798,,Surface,5,Image 1,1,99,
4.5694,,Surface,5,Image 1,1,100,
3.30979,,Surface,5,Image 1,1,101,
3.24641,,Surface,5,Image 1,1,102,
4.11984,,Surface,5,Image 1,1,103,
4.95084,,Surface,5,Image 1,1,104,
5.2547,,Surface,5,Image 1,1,105,
3.55903,,Surface,5,Image 1,1,106,
2.38462,,Surface,5,Image 1,1,107,
3.87982,,Surface,5,Image 1,1,108,
1.60369,,Surface,5,Image 1,1,109,
2.64771,,Surface,5,Image 1,1,110,
0.689418,,Surface,5,Image 1,1,111,
0.626566,,Surface,5,Image 1,1,112,
2.22144,,Surface,5,Image 1,1,113,
3.93783,,Surface,5,Image 1,1,114,
5.40621,,Surface,5,Image 1,1,115,
4.3578,,Surface,5,Image 1,1,116,
1.2109,,Surface,5,Image 1,1,117,
1.67438,,Surface,5,Image 1,1,118,
1.80169,,Surface,5,Image 1,1,119,
2.93237,,Surface,5,Image 1,1,120,
3.99691,,Surface,5,Image 1,1,121,
4.63505,,Surface,5,Image 1,1,122,
4.59754,,Surface,5,Image 1,1,123,
0.914674,,Surface,5,Image 1,1,124,
2.5698,,Surface,5,Image 1,1,125,
4.1758,,Surface,5,Image 1,1,126,
1.33333,,Surface,5,Image 1,1,127,
1.86552,,Surface,5,Image 1,1,128,
1.13227,,Surface,5,Image 1,1,129,
1.42694,,Surface,5,Image 1,1,130,
1.6601,,Surface,5,Image 1,1,131,
6.77676,,Surface,5,Image 1,1,132,
5.67794,,Surface,5,Image 1,1,133,
1.95885,,Surface,5,Image 1,1,134,
3.58278,,Surface,5,Image 1,1,135,
2.12596,,Surface,5,Image 1,1,136,
6.08815,,Surface,5,Image 1,1,137,
2.06705,,Surface,5,Image 1,1,138,
2.15478,,Surface,5,Image 1,1,139,
3.4467,,Surface,5,Image 1,1,140,
2.76996,,Surface,5,Image 1,1,141,
1.74264,,Surface,5,Image 1,1,142,
1.72763,,Surface,5,Image 1,1,143,
2.76762,,Surface,5,Image 1,1,144,
4.76565,,Surface,5,Image 1,1,145,
7.14975,,Surface,5,Image 1,1,146,
2.99729,,Surface,5,Image 1,1,147,
3.36264,,Surface,5,Image 1,1,148,
4.89712,,Surface,5,Image 1,1,149,
2.46848,,Surface,5,Image 1,1,150,
3.42637,,Surface,5,Image 1,1,151,
9.91708,,Surface,5,Image 1,1,152,
4.49106,,Surface,5,Image 1,1,153,
5.48151,,Surface,5,Image 1,1,154,
4.36699,,Surface,5,Image 1,1,155,
4.49181,,Surface,5,Image 1,1,156,
4.15161,,Surface,5,Image 1,1,157,
6.65472,,Surface,5,Image 1,1,158,
3.61073,,Surface,5,Image 1,1,159,
7.47797,,Surface,5,Image 1,1,160,
3.65593,,Surface,5,Image 1,1,161,
4.79626,,Surface,5,Image 1,1,162,
7.24512,,Surface,5,Image 1,1,163,
4.67116,,Surface,5,Image 1,1,164,
3.10077,,Surface,5,Image 1,1,165,
7.42656,,Surface,5,Image 1,1,166,
7.14383,,Surface,5,Image 1,1,167,
11.0702,,Surface,5,Image 1,1,168,
0.977791,,Surface,5,Image 1,1,169,
3.72666,,Surface,5,Image 1,1,170,
5.20095,,Surface,5,Image 1,1,171,
0.876371,,Surface,5,Image 1,1,172,
8.56655,,Surface,5,Image 1,1,173,
3.31991,,Surface,5,Image 1,1,174,
9.05835,,Surface,5,Image 1,1,175,
6.27948,,Surface,5,Image 1,1,176,
3.4283,,Surface,5,Image 1,1,177,
0.62037,,Surface,5,Image 1,1,178,
0.921719,,Surface,5,Image 1,1,179,
5.10144,,Surface,5,Image 1,1,180,
6.36739,,Surface,5,Image 1,1,181,
0.875734,,Surface,5,Image 1,1,182,
0.965935,,Surface,5,Image 1,1,183,
5.66179,,Surface,5,Image 1,1,184,
12.3938,,Surface,5,Image 1,1,185,
9.62896,,Surface,5,Image 1,1,186,
