
Detailed
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
11,,Surface,3,Image 1,1,0,
18,,Surface,3,Image 1,1,1,
17,,Surface,3,Image 1,1,2,
21,,Surface,3,Image 1,1,3,
17,,Surface,3,Image 1,1,4,
30,,Surface,3,Image 1,1,5,
14,,Surface,3,Image 1,1,6,
43,,Surface,3,Image 1,1,7,
16,,Surface,3,Image 1,1,8,
31,,Surface,3,Image 1,1,9,
7,,Surface,3,Image 1,1,10,
11,,Surface,3,Image 1,1,11,
29,,Surface,3,Image 1,1,12,
15,,Surface,3,Image 1,1,13,
24,,Surface,3,Image 1,1,14,
22,,Surface,3,Image 1,1,15,
11,,Surface,3,Image 1,1,16,
72,,Surface,3,Image 1,1,17,
20,,Surface,3,Image 1,1,18,
53,,Surface,3,Image 1,1,19,
59,,Surface,3,Image 1,1,20,
17,,Surface,3,Image 1,1,21,
33,,Surface,3,Image 1,1,22,
24,,Surface,3,Image 1,1,23,
37,,Surface,3,Image 1,1,24,
26,,Surface,3,Image 1,1,25,
58,,Surface,3,Image 1,1,26,
22,,Surface,3,Image 1,1,27,
33,,Surface,3,Image 1,1,28,
43,,Surface,3,Image 1,1,29,
25,,Surface,3,Image 1,1,30,
62,,Surface,3,Image 1,1,31,
27,,Surface,3,Image 1,1,32,
25,,Surface,3,Image 1,1,33,
18,,Surface,3,Image 1,1,34,
33,,Surface,3,Image 1,1,35,
41,,Surface,3,Image 1,1,36,
32,,Surface,3,Image 1,1,37,
36,,Surface,3,Image 1,1,38,
42,,Surface,3,Image 1,1,39,
33,,Surface,3,Image 1,1,40,
29,,Surface,3,Image 1,1,41,
44,,Surface,3,Image 1,1,42,
54,,Surface,3,Image 1,1,43,
37,,Surface,3,Image 1,1,44,
37,,Surface,3,Image 1,1,45,
22,,Surface,3,Image 1,1,46,
12,,Surface,3,Image 1,1,47,
17,,Surface,3,Image 1,1,48,
31,,Surface,3,Image 1,1,49,
22,,Surface,3,Image 1,1,50,
