
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
0.633929,,Surface,2,Image 1,1,0,
1.06971,,Surface,2,Image 1,1,1,
1.24514,,Surface,2,Image 1,1,2,
1.01222,,Surface,2,Image 1,1,3,
1.18267,,Surface,2,Image 1,1,4,
1.14618,,Surface,2,Image 1,1,5,
1.31136,,Surface,2,Image 1,1,6,
0.1875,,Surface,2,Image 1,1,7,
1.26127,,Surface,2,Image 1,1,8,
1.52083,,Surface,2,Image 1,1,9,
1.48205,,Surface,2,Image 1,1,10,
1.18731,,Surface,2,Image 1,1,11,
1.08732,,Surface,2,Image 1,1,12,
1.56714,,Surface,2,Image 1,1,13,
1.30411,,Surface,2,Image 1,1,14,
1,,Surface,2,Image 1,1,15,
1.08947,,Surface,2,Image 1,1,16,
0.148148,,Surface,2,Image 1,1,17,
1.69363,,Surface,2,Image 1,1,18,
1.69539,,Surface,2,Image 1,1,19,
2.05391,,Surface,2,Image 1,1,20,
1.70736,,Surface,2,Image 1,1,21,
1.39127,,Surface,2,Image 1,1,22,
1.80777,,Surface,2,Image 1,1,23,
1.57771,,Surface,2,Image 1,1,24,
1.78681,,Surface,2,Image 1,1,25,
1.61002,,Surface,2,Image 1,1,26,
1.51281,,Surface,2,Image 1,1,27,
1.43812,,Surface,2,Image 1,1,28,
1.46166,,Surface,2,Image 1,1,29,
1.76954,,Surface,2,Image 1,1,30,
2.2375,,Surface,2,Image 1,1,31,
2.37135,,Surface,2,Image 1,1,32,
2.58171,,Surface,2,Image 1,1,33,
1.58871,,Surface,2,Image 1,1,34,
1.97536,,Surface,2,Image 1,1,35,
1.95505,,Surface,2,Image 1,1,36,
1.79689,,Surface,2,Image 1,1,37,
2.14228,,Surface,2,Image 1,1,38,
1.84533,,Surface,2,Image 1,1,39,
1.96886,,Surface,2,Image 1,1,40,
1.97089,,Surface,2,Image 1,1,41,
2.32297,,Surface,2,Image 1,1,42,
1.77667,,Surface,2,Image 1,1,43,
1.77296,,Surface,2,Image 1,1,44,
1.71928,,Surface,2,Image 1,1,45,
1.99471,,Surface,2,Image 1,1,46,
1.7847,,Surface,2,Image 1,1,47,
1.83788,,Surface,2,Image 1,1,48,
1.7769,,Surface,2,Image 1,1,49,
2.12986,,Surface,2,Image 1,1,50,
3.49411,,Surface,2,Image 1,1,51,
