
Detailed
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
0.620536,,Surface,4,Image 1,1,0,
1.4375,,Surface,4,Image 1,1,1,
1.26265,,Surface,4,Image 1,1,2,
1.35428,,Surface,4,Image 1,1,3,
0.901198,,Surface,4,Image 1,1,4,
0.882924,,Surface,4,Image 1,1,5,
0.961646,,Surface,4,Image 1,1,6,
0.75,,Surface,4,Image 1,1,7,
0.791343,,Surface,4,Image 1,1,8,
1.16667,,Surface,4,Image 1,1,9,
1.25641,,Surface,4,Image 1,1,10,
1.26586,,Surface,4,Image 1,1,11,
1.64789,,Surface,4,Image 1,1,12,
1.39494,,Surface,4,Image 1,1,13,
1.579,,Surface,4,Image 1,1,14,
1.89976,,Surface,4,Image 1,1,15,
1.24737,,Surface,4,Image 1,1,16,
2.55556,,Surface,4,Image 1,1,17,
1.74155,,Surface,4,Image 1,1,18,
1.82882,,Surface,4,Image 1,1,19,
2.05871,,Surface,4,Image 1,1,20,
2.06366,,Surface,4,Image 1,1,21,
2.43494,,Surface,4,Image 1,1,22,
2.7909,,Surface,4,Image 1,1,23,
2.54496,,Surface,4,Image 1,1,24,
1.82536,,Surface,4,Image 1,1,25,
1.541,,Surface,4,Image 1,1,26,
2.10708,,Surface,4,Image 1,1,27,
2.80921,,Surface,4,Image 1,1,28,
3.78718,,Surface,4,Image 1,1,29,
2.62668,,Surface,4,Image 1,1,30,
2.6375,,Surface,4,Image 1,1,31,
3.314,,Surface,4,Image 1,1,32,
2.75272,,Surface,4,Image 1,1,33,
3.54315,,Surface,4,Image 1,1,34,
2.34524,,Surface,4,Image 1,1,35,
2.27265,,Surface,4,Image 1,1,36,
5.7743,,Surface,4,Image 1,1,37,
3.60138,,Surface,4,Image 1,1,38,
6.47701,,Surface,4,Image 1,1,39,
2.99765,,Surface,4,Image 1,1,40,
3.11724,,Surface,4,Image 1,1,41,
3.82491,,Surface,4,Image 1,1,42,
2.5761,,Surface,4,Image 1,1,43,
3.43054,,Surface,4,Image 1,1,44,
3.4146,,Surface,4,Image 1,1,45,
3.36684,,Surface,4,Image 1,1,46,
3.12706,,Surface,4,Image 1,1,47,
4.07156,,Surface,4,Image 1,1,48,
3.8185,,Surface,4,Image 1,1,49,
2.60091,,Surface,4,Image 1,1,50,
4.23484,,Surface,4,Image 1,1,51,
