Detailed,,,,,,,
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID
40.51,49.60,7.25,um,Spot,Position,3,210
102.85,28.41,8.57,um,Spot,Position,3,211
79.04,29.32,8.87,um,Spot,Position,3,212
96.86,32.77,8.51,um,Spot,Position,3,213
91.60,33.65,8.83,um,Spot,Position,3,214
113.88,34.45,9.31,um,Spot,Position,3,215
72.11,36.05,8.22,um,Spot,Position,3,216
54.97,37.06,9.30,um,Spot,Position,3,217
45.76,39.62,8.60,um,Spot,Position,3,218
55.55,42.87,9.39,um,Spot,Position,3,219
112.77,46.00,8.93,um,Spot,Position,3,220
146.32,48.03,8.90,um,Spot,Position,3,221
78.26,48.65,9.84,um,Spot,Position,3,222
137.97,49.05,9.43,um,Spot,Position,3,223
120.57,53.05,8.81,um,Spot,Position,3,224
70.72,20.35,11.36,um,Spot,Position,3,225
130.64,31.46,10.29,um,Spot,Position,3,226
108.64,32.81,10.25,um,Spot,Position,3,227
123.11,38.73,11.41,um,Spot,Position,3,228
92.29,40.00,11.43,um,Spot,Position,3,229
48.20,45.49,11.64,um,Spot,Position,3,230
86.26,23.95,13.62,um,Spot,Position,3,231
64.96,34.82,12.07,um,Spot,Position,3,232
130.25,39.59,13.43,um,Spot,Position,3,233
104.38,40.01,12.91,um,Spot,Position,3,234
115.54,41.12,13.61,um,Spot,Position,3,235
129.36,44.93,12.25,um,Spot,Position,3,236
69.60,47.73,12.70,um,Spot,Position,3,237
97.45,47.67,12.24,um,Spot,Position,3,238
60.00,50.73,12.71,um,Spot,Position,3,239
66.20,51.36,13.51,um,Spot,Position,3,240
36.04,52.01,13.31,um,Spot,Position,3,241
50.94,51.67,12.70,um,Spot,Position,3,242
152.99,51.63,13.36,um,Spot,Position,3,243
38.06,56.94,13.30,um,Spot,Position,3,244
52.75,57.51,13.28,um,Spot,Position,3,245
121.92,59.77,13.28,um,Spot,Position,3,246
118.81,26.72,14.58,um,Spot,Position,3,247
69.28,28.96,14.39,um,Spot,Position,3,248
37.77,43.11,14.65,um,Spot,Position,3,249
52.39,43.11,15.41,um,Spot,Position,3,250
74.45,48.46,14.20,um,Spot,Position,3,251
47.81,53.01,14.30,um,Spot,Position,3,252
129.40,58.00,14.83,um,Spot,Position,3,253
86.86,30.36,16.83,um,Spot,Position,3,254
137.64,37.02,16.74,um,Spot,Position,3,255
80.96,40.10,16.05,um,Spot,Position,3,256
87.80,48.63,17.59,um,Spot,Position,3,257
45.04,56.70,17.52,um,Spot,Position,3,258
71.28,40.37,18.13,um,Spot,Position,3,259
47.38,40.55,18.38,um,Spot,Position,3,260
44.89,43.49,19.86,um,Spot,Position,3,261
140.37,42.94,19.94,um,Spot,Position,3,262
55.62,51.24,19.70,um,Spot,Position,3,263
72.49,24.97,21.32,um,Spot,Position,3,264
56.14,31.84,21.26,um,Spot,Position,3,265
108.27,32.60,21.51,um,Spot,Position,3,266
55.27,36.81,20.11,um,Spot,Position,3,267
80.69,38.09,21.94,um,Spot,Position,3,268
131.10,43.93,21.21,um,Spot,Position,3,269
65.73,45.27,21.08,um,Spot,Position,3,270
44.93,48.68,21.20,um,Spot,Position,3,271
112.21,52.13,20.98,um,Spot,Position,3,272
41.73,53.06,21.27,um,Spot,Position,3,273
138.94,60.84,20.75,um,Spot,Position,3,274
110.88,27.35,23.50,um,Spot,Position,3,275
74.37,33.05,22.64,um,Spot,Position,3,276
104.22,40.20,23.51,um,Spot,Position,3,277
35.98,41.08,23.98,um,Spot,Position,3,278
129.21,49.56,22.25,um,Spot,Position,3,279
40.62,58.10,22.79,um,Spot,Position,3,280
88.58,29.80,24.88,um,Spot,Position,3,281
96.22,36.83,25.29,um,Spot,Position,3,282
148.35,45.78,24.07,um,Spot,Position,3,283
81.69,48.63,25.67,um,Spot,Position,3,284
30.85,52.22,24.14,um,Spot,Position,3,285
35.35,59.74,24.98,um,Spot,Position,3,286
83.06,22.70,26.36,um,Spot,Position,3,287
63.16,29.50,26.33,um,Spot,Position,3,288
134.45,32.63,26.98,um,Spot,Position,3,289
81.24,43.36,27.34,um,Spot,Position,3,290
128.67,45.59,26.85,um,Spot,Position,3,291
106.74,47.08,27.13,um,Spot,Position,3,292
122.58,49.28,27.76,um,Spot,Position,3,293
64.89,53.94,26.60,um,Spot,Position,3,294
49.13,55.51,26.50,um,Spot,Position,3,295
140.81,57.14,26.08,um,Spot,Position,3,296
129.91,57.33,27.06,um,Spot,Position,3,297
97.23,24.70,29.13,um,Spot,Position,3,298
74.08,29.65,29.08,um,Spot,Position,3,299
56.50,37.18,28.60,um,Spot,Position,3,300
45.55,41.44,28.56,um,Spot,Position,3,301
96.28,47.91,29.14,um,Spot,Position,3,302
74.84,49.51,28.71,um,Spot,Position,3,303
115.84,51.09,28.13,um,Spot,Position,3,304
123.39,62.17,29.13,um,Spot,Position,3,305
94.03,30.71,31.54,um,Spot,Position,3,306
103.53,31.24,31.51,um,Spot,Position,3,307
67.03,37.59,31.69,um,Spot,Position,3,308
88.73,38.44,30.39,um,Spot,Position,3,309
137.57,42.07,31.30,um,Spot,Position,3,310
73.50,46.51,31.03,um,Spot,Position,3,311
130.12,66.00,30.92,um,Spot,Position,3,312
