Detailed,,,,,,,
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID
122.71,20.54,1.00,um,Spot,Position,3,4197
96.13,21.97,1.00,um,Spot,Position,3,4198
116.95,21.80,1.00,um,Spot,Position,3,4199
81.41,22.43,1.00,um,Spot,Position,3,4200
70.51,27.34,1.00,um,Spot,Position,3,4201
63.93,29.02,1.00,um,Spot,Position,3,4202
121.88,29.95,1.00,um,Spot,Position,3,4203
99.34,31.58,1.00,um,Spot,Position,3,4204
47.33,34.60,1.00,um,Spot,Position,3,4206
62.29,36.37,1.00,um,Spot,Position,3,4207
112.97,35.83,1.00,um,Spot,Position,3,4208
134.54,36.56,1.00,um,Spot,Position,3,4209
36.99,38.46,1.00,um,Spot,Position,3,4210
103.13,38.42,1.00,um,Spot,Position,3,4211
121.24,41.99,1.00,um,Spot,Position,3,4212
159.92,41.97,1.00,um,Spot,Position,3,4213
142.32,44.82,1.00,um,Spot,Position,3,4214
116.44,47.08,1.00,um,Spot,Position,3,4215
22.50,48.37,1.00,um,Spot,Position,3,4216
83.10,48.99,1.00,um,Spot,Position,3,4217
156.22,49.85,1.00,um,Spot,Position,3,4218
105.74,50.36,1.00,um,Spot,Position,3,4219
13.79,54.28,1.00,um,Spot,Position,3,4220
125.75,54.65,1.00,um,Spot,Position,3,4221
31.51,54.98,1.00,um,Spot,Position,3,4222
44.25,56.12,1.00,um,Spot,Position,3,4223
119.79,57.34,1.00,um,Spot,Position,3,4224
166.69,57.85,1.00,um,Spot,Position,3,4225
173.71,57.59,1.00,um,Spot,Position,3,4226
157.88,58.46,1.00,um,Spot,Position,3,4228
7.14,59.24,1.00,um,Spot,Position,3,4229
67.41,59.10,1.00,um,Spot,Position,3,4230
30.83,60.92,1.00,um,Spot,Position,3,4231
39.31,60.56,1.00,um,Spot,Position,3,4232
56.64,61.09,1.00,um,Spot,Position,3,4233
94.47,61.78,1.00,um,Spot,Position,3,4234
48.55,63.17,1.00,um,Spot,Position,3,4235
65.56,63.25,1.00,um,Spot,Position,3,4236
99.74,62.79,1.00,um,Spot,Position,3,4237
135.08,63.27,1.00,um,Spot,Position,3,4238
157.38,63.40,1.00,um,Spot,Position,3,4239
72.64,64.44,1.00,um,Spot,Position,3,4240
120.03,64.68,1.00,um,Spot,Position,3,4241
59.76,65.70,1.00,um,Spot,Position,3,4242
90.53,66.98,1.00,um,Spot,Position,3,4243
108.31,67.35,1.00,um,Spot,Position,3,4244
30.04,67.96,1.00,um,Spot,Position,3,4246
11.80,69.62,1.00,um,Spot,Position,3,4247
44.47,69.91,1.00,um,Spot,Position,3,4248
182.83,70.96,1.00,um,Spot,Position,3,4249
67.60,72.06,1.00,um,Spot,Position,3,4250
73.90,72.98,1.00,um,Spot,Position,3,4251
4.30,75.86,1.00,um,Spot,Position,3,4253
94.31,78.44,1.00,um,Spot,Position,3,4254
156.90,78.49,1.00,um,Spot,Position,3,4255
111.68,78.82,1.00,um,Spot,Position,3,4256
134.47,80.41,1.00,um,Spot,Position,3,4257
18.03,81.44,1.00,um,Spot,Position,3,4259
119.05,81.17,1.00,um,Spot,Position,3,4260
52.97,81.88,1.00,um,Spot,Position,3,4261
99.81,82.87,1.00,um,Spot,Position,3,4262
105.79,83.66,1.00,um,Spot,Position,3,4263
33.95,84.29,1.00,um,Spot,Position,3,4265
155.66,84.74,1.00,um,Spot,Position,3,4266
13.87,86.14,1.00,um,Spot,Position,3,4267
94.40,86.32,1.00,um,Spot,Position,3,4268
113.92,86.56,1.00,um,Spot,Position,3,4269
56.32,88.36,1.00,um,Spot,Position,3,4270
62.55,88.27,1.00,um,Spot,Position,3,4271
128.01,89.27,1.00,um,Spot,Position,3,4272
101.16,90.40,1.00,um,Spot,Position,3,4273
87.22,93.23,1.00,um,Spot,Position,3,4275
42.05,94.14,1.00,um,Spot,Position,3,4276
113.80,94.82,1.00,um,Spot,Position,3,4278
24.60,95.87,1.00,um,Spot,Position,3,4279
58.62,96.55,1.00,um,Spot,Position,3,4281
86.31,97.45,1.00,um,Spot,Position,3,4282
121.93,96.92,1.00,um,Spot,Position,3,4283
14.55,97.70,1.00,um,Spot,Position,3,4284
6.81,99.09,1.00,um,Spot,Position,3,4287
50.33,98.86,1.00,um,Spot,Position,3,4288
142.09,98.82,1.00,um,Spot,Position,3,4289
78.18,99.35,1.00,um,Spot,Position,3,4290
99.30,100.27,1.00,um,Spot,Position,3,4291
82.32,103.62,1.00,um,Spot,Position,3,4292
129.23,104.69,1.00,um,Spot,Position,3,4293
53.21,105.51,1.00,um,Spot,Position,3,4294
105.74,106.14,1.00,um,Spot,Position,3,4295
120.85,106.08,1.00,um,Spot,Position,3,4296
30.55,106.64,1.00,um,Spot,Position,3,4297
48.21,107.86,1.00,um,Spot,Position,3,4299
