no,stage,x,y,z,tbxta,sox2,hes6,cdh6
1,18ss,136.44,107.438,-13.0645,13.6486,40,54.2577,3.0317
1,18ss,145.583,110.465,-14.7207,12.9152,53,26.8911,3.3521
1,18ss,128.734,123.269,-14.151,7.6287,60,11.1036,2.30656
1,18ss,138.468,121.052,-13.6932,7.6169,39,9.96878,2.18758
1,18ss,143.463,113.042,-12.886,10.2854,65,27.1028,3.06503
1,18ss,165.878,114.192,-16.132,8.05647,99,4.18978,2.48536
1,18ss,159.406,108.085,-14.2183,10.7047,51,27.6816,2.70572
1,18ss,150.411,103.909,-14.0412,10.5313,119,39.4487,2.80852
1,18ss,157.526,101.504,-11.6732,12.3419,51,30.7027,3.75148
1,18ss,96.3339,128.205,-16.0309,6.68939,40,35.7761,2.97366
1,18ss,92.6235,145.434,-15.2367,6.88091,131,8.60898,5.50966
1,18ss,87.2685,147.463,-15.2819,8.05768,215,4.98834,18.4203
1,18ss,100.049,142.705,-18.3851,6.72919,253,5.96827,11.8402
1,18ss,101.464,132.024,-14.7987,5.77281,103,10.6357,2.88405
1,18ss,99.3801,134.68,-14.6633,5.66588,81,6.01127,4.7327
1,18ss,113.229,126.305,-18.2362,8.73196,56,25.0468,2.32529
1,18ss,108.749,133.735,-15.2248,5.55517,103,7.96729,2.55155
1,18ss,120.148,140.978,-14.1548,6.11612,142,5.43873,6.08968
1,18ss,120.323,144.152,-12.3716,6.87144,100,6.52722,5.34387
1,18ss,108.801,142.958,-12.576,6.72042,207,6.00479,6.06608
1,18ss,114.637,138.197,-11.6234,5.92368,46,3.54926,3.48913
1,18ss,128.33,140.624,-14.0681,6.90802,57,2.98292,2.75803
1,18ss,87.8986,155.4,-16.2916,9.77568,255,10.2334,17.5173
1,18ss,91.7797,163.749,-13.8616,6.91479,158,4.77853,9.86234
1,18ss,95.8438,162.943,-12.4669,6.70643,182,4.60546,9.82439
1,18ss,108.634,156.164,-14.9598,8.782,254,6.67785,32.0278
1,18ss,102.73,167.08,-13.6079,8.14885,243,3.65199,3.53854
1,18ss,97.566,148.64,-14.707,9.62169,228,7.07709,16.4517
1,18ss,122.244,152.501,-14.3386,9.17196,242,6.73629,6.31337
1,18ss,172.5,97.4701,-11.0299,9.55975,61,5.6406,3.00406
1,18ss,165.368,104.219,-12.1931,8.48905,52,12.7055,2.83308
1,18ss,152.248,110.36,-11.0049,11.9509,85,28.9253,3.09146
1,18ss,150.342,115.552,-11.1772,7.9145,46,9.38906,2.52035
1,18ss,134.961,125.858,-11.8577,6.3172,46,3.91854,2.12622
1,18ss,105.418,152.676,-10.1669,7.54524,237,6.55502,18.4364
1,18ss,113.943,153.421,-10.1096,7.58741,241,5.42762,10.1924
