no,stage,x,y,z,tbxta,sox2,sp5l,cdh6
1,18ss,91.635,146.965,68.3985,2.89092,27,2.12191,2.08855
1,18ss,93.6127,146.438,73.0268,2.72339,25,1.61583,1.56442
1,18ss,97.8982,149.831,68.9841,3.13594,25,2.97072,1.91251
1,18ss,104.78,148.183,71.1001,2.87108,26,2.12451,1.75666
1,18ss,100.296,140.056,72.9397,2.58492,44,1.82296,1.47368
1,18ss,108.294,139.214,70.0155,2.96986,26,1.94897,1.63565
1,18ss,111.919,146.459,71.5839,2.92124,29,2.41479,1.79183
1,18ss,119.2,146.397,72.5891,2.54969,37,2.62206,1.98671
1,18ss,113.138,143.678,76.9903,2.3601,28,1.91736,1.30338
1,18ss,90.8644,161.738,72.0052,2.30609,35,1.89521,4.31987
1,18ss,107.09,163.828,67.8607,3.40233,53,5.31314,6.20686
1,18ss,96.8903,165.296,73.0099,2.24434,31,2.61202,1.78824
1,18ss,102.85,153.872,74.6499,2.65921,23,2.30623,2.02507
1,18ss,101.883,158.754,78.4315,2.69669,25,2.64371,1.55894
1,18ss,121.588,158.302,69.2962,2.75972,68,3.50648,6.62976
1,18ss,125.282,167.675,67.3191,2.94359,58,3.7689,6.32336
1,18ss,90.0317,144.511,62.391,2.74235,33,1.86349,2.1824
1,18ss,92.808,140.306,67.446,2.6414,25,1.65666,1.67646
1,18ss,97.783,150.707,51.5517,3.51678,123,2.70802,5.43798
1,18ss,104.265,149.225,52.4567,3.49619,99,2.85263,4.52973
1,18ss,95.9694,142.24,57.1833,2.88075,31,1.58092,2.72913
1,18ss,106.825,150.369,56.7693,3.25069,55,2.58545,5.09797
1,18ss,99.2765,138.498,59.1,3.74917,35,2.05795,2.20871
1,18ss,106.299,139.57,60.4961,4.42663,30,1.71551,2.18087
1,18ss,97.9401,146.234,60.974,2.83398,35,1.95468,2.48611
1,18ss,102.466,147.754,64.5617,2.83514,42,2.49487,2.46879
1,18ss,109.514,139.475,52.1124,13.0921,29,2.59785,3.8987
1,18ss,116.174,148.481,53.1254,3.55481,83,3.16924,5.6323
1,18ss,110.909,147.457,55.7071,3.46248,104,2.83576,4.35855
1,18ss,118.998,147.57,57.4927,3.5738,99,3.96553,5.96689
1,18ss,113.917,148.678,58.7054,3.82386,52,5.32527,8.55233
1,18ss,116.165,142.956,64.3757,3.81103,31,2.71344,3.01719
1,18ss,109.155,144.768,64.2365,3.99462,34,2.23517,2.28414
1,18ss,124.098,147.103,52.8033,4.2131,77,3.92028,4.03087
1,18ss,130.015,146.626,55.2209,3.54678,74,5.02121,4.09751
1,18ss,132.213,141.491,55.5775,4.71867,67,6.00724,7.04343
1,18ss,124.678,152.212,59.3023,3.2712,81,4.90272,3.10953
1,18ss,124.308,141.479,59.1214,4.75847,33,5.51233,3.5206
1,18ss,127.736,149.31,59.2029,3.4737,51,4.00917,3.50917
1,18ss,130.454,145.244,62.8026,3.50307,47,4.01213,3.3848
1,18ss,124.221,151.289,66.6316,3.04156,49,5.14117,4.62163
1,18ss,142.056,139.35,54.7889,4.93868,90,6.76339,4.19333
1,18ss,141.633,149.74,55.1676,4.83563,65,7.23164,4.5838
1,18ss,136.035,146.242,55.879,3.76916,44,5.46565,2.82617
1,18ss,136.959,141.164,57.5554,4.36208,63,6.10431,3.4956
1,18ss,142.266,146.787,63.2283,3.78743,52,5.66064,5.34462
1,18ss,138.646,141.942,62.4993,3.53238,45,5.72491,2.74917
1,18ss,139.428,152.126,63.2575,3.40366,34,4.69269,5.02344
1,18ss,146.747,143.284,56.7782,5.2987,42,7.44648,4.93674
1,18ss,156.944,152.137,57.8947,6.94653,55,3.78019,6.97769
1,18ss,148.961,149.079,60.0987,5.1539,52,6.16203,5.86316
1,18ss,151.683,138.694,60.4705,5.32485,46,6.72958,4.85674
1,18ss,171.413,147.71,53.1079,2.04962,28,1.12831,1.53977
1,18ss,161.122,143.656,56.9689,9.14916,72,5.17338,7.75611
1,18ss,164.816,141.492,55.1838,7.13154,41,3.81306,5.36084
1,18ss,169.177,149.921,57.2411,1.86838,22,1.25393,1.31334
1,18ss,166.267,146.239,60.4146,2.32763,26,1.49728,1.67082
