no,stage,x,y,z,TCF_mRNA_levels,sox2,tbxta
1,18ss,158.347,86.3147,246.715,15.267,3.34255,5.9883
1,18ss,163.952,86.7109,247.518,6.25,2.25,12.5
1,18ss,117.05,99.1762,246.113,11.9857,3.8124,5.69793
1,18ss,115.143,109.697,245.591,19.5535,4.30141,4.19488
1,18ss,108.539,101.152,246.654,14.6904,3.66009,6.63733
1,18ss,102.501,105.018,247.57,24.4286,4.06227,4.8315
1,18ss,107.112,109.657,246.959,14.0052,4.03771,4.73992
1,18ss,98.9244,115.064,247.159,11.3006,3.9711,3.31792
1,18ss,130.798,117.151,246.917,6.38889,3.72222,1.88889
1,18ss,130.359,100.227,244.12,19.0041,3.95918,5.91801
1,18ss,144.273,100.101,246.439,15.2962,3.66203,4.19114
1,18ss,132.983,106.523,247.308,13.275,3.46667,3.375
1,18ss,126,108.102,247.638,12.5556,4.88889,7.44444
1,18ss,103.289,129.285,245.046,3.73404,11.484,2.80319
1,18ss,97.0903,97.0552,243.715,25.5255,3.41914,4.74842
1,18ss,110.646,122.025,231.75,20.0829,8.63283,3.58771
1,18ss,103.873,100.129,235.242,31.702,4.78231,8.87533
1,18ss,106.215,105.654,235.133,27.6548,7.72142,5.88957
1,18ss,121.107,97.9236,236.716,21.5345,6.55335,14.639
1,18ss,117.721,104.068,237.828,33.6204,6.05946,5.76957
1,18ss,97.1082,108.523,238.006,18.2905,4.93993,4.84
1,18ss,100.863,109.554,237.924,23.7043,6.36182,4.71665
1,18ss,114.178,99.693,239.955,23.2214,4.44679,7.518
1,18ss,115.165,108.624,240.205,25.5917,5.1807,4.33227
1,18ss,104.906,110.842,241.936,16.2512,4.97096,4.96546
1,18ss,99.8886,115.534,242.129,16.9771,7.88465,3.46095
1,18ss,108.401,104.599,241.666,19.2058,4.62324,5.22988
1,18ss,110.365,111.71,243.008,21.3982,5.60591,4.12808
1,18ss,102.031,98.062,244.298,23.8019,3.38558,4.97743
1,18ss,118.508,102.058,244.307,16.8449,4.32656,6.00525
1,18ss,121.099,109.417,244.021,24.8549,5.08623,5.87391
1,18ss,105.046,114.139,243.796,13.9684,5.60342,3.47521
1,18ss,131.337,107.645,233.779,39.2002,5.54439,4.83338
1,18ss,128.046,119.203,232.066,12.3427,10.2567,4.09422
1,18ss,132.709,118.378,234.288,11.0923,9.53553,4.37363
1,18ss,136.141,98.5819,236.604,30.0773,8.83848,6.73865
1,18ss,144.703,104.644,236.399,20.2125,7.47844,6.19344
1,18ss,122.368,115.102,236.4,21.6231,15.7815,4.54606
1,18ss,126.4,99.2317,240.007,21.4192,5.06244,5.98949
1,18ss,124.634,105.336,239.025,25.653,5.44544,6.58379
1,18ss,140.232,104.115,240.716,19.9821,5.84028,5.27951
1,18ss,130.946,97.3992,242.279,19.7866,4.18943,6.0668
