no,stage,x,y,z,tbxta,sox2,thbs2,id3
1,18ss,165.863,68.0851,8.04814,1.91985,6.65743,2.75942,3.60521
1,18ss,159.746,58.6426,9.04157,3.52092,6.4048,2.69346,4.83216
1,18ss,162.509,50.0669,9.42643,1.46733,5.82447,3.28461,1.91085
1,18ss,171.65,63.4703,7.92677,1.33598,6.86956,2.68262,1.27915
1,18ss,170.975,56.154,9.6245,0.969027,6.75694,2.24646,0.731256
1,18ss,134.684,74.812,2.90736,1.95247,6.53181,2.94945,2.7141
1,18ss,128.895,77.9225,4.82874,2.02767,7.61255,2.91313,2.31449
1,18ss,142.028,80.9769,3.76985,2.22816,7.86239,3.34967,3.36642
1,18ss,133.956,88.4227,4.4525,3.67477,8.85655,3.92343,2.09749
1,18ss,140.226,85.3955,5.91028,2.21796,8.80688,3.44591,2.27881
1,18ss,142.976,91.0878,4.87629,3.76231,8.8863,4.12224,3.48427
1,18ss,141.988,71.6083,6.93972,2.87725,7.58675,2.66847,3.01332
1,18ss,148.13,84.0522,5.12618,2.72593,8.04976,3.24461,3.13293
1,18ss,167.038,95.8505,5.82136,4.1438,9.30675,3.70553,3.75408
1,18ss,158.553,71.1675,6.12612,2.82803,6.56347,3.04395,3.72164
1,18ss,152.401,75.3043,5.96933,1.99159,6.62006,2.99227,3.62086
1,18ss,150.352,89.2331,4.42068,2.94988,8.23978,3.1967,3.6464
1,18ss,147.024,77.3209,6.90197,2.10986,7.84784,3.99601,2.92492
1,18ss,157.155,85.9846,6.92182,3.89919,8.87387,3.37092,4.61865
1,18ss,155.479,93.8731,6.37512,4.39634,9.77393,3.61609,4.51493
1,18ss,169.479,90.7751,6.90014,3.58396,8.92436,3.50208,2.72525
1,18ss,165.565,74.9138,7.57583,2.13202,7.74951,3.42473,3.84232
1,18ss,158.305,78.3178,7.80095,2.95458,8.02805,3.07007,3.24767
1,18ss,165.355,82.9785,7.94656,2.34693,8.58635,3.42264,2.26317
1,18ss,179.009,74.985,6.16443,1.4276,8.54273,2.59693,1.10724
1,18ss,171.279,72.979,8.81331,1.54838,8.36201,4.08107,1.80908
1,18ss,172.577,82.1846,6.87342,2.80958,8.45706,4.48104,2.00266
1,18ss,177.072,87.4528,8.98571,1.64679,9.58824,3.20464,1.30707
1,18ss,130.681,110.025,4.89992,3.95508,11.0186,3.78193,3.32095
1,18ss,137.845,116.559,5.1362,2.10628,12.0328,3.73206,2.48775
1,18ss,143.295,106.812,5.34332,5.18402,10.3022,3.91112,2.69206
1,18ss,150.522,99.3058,4.48036,3.11745,9.78539,3.6794,4.73394
1,18ss,160.915,96.6143,6.16702,3.84566,9.83919,3.92958,6.16379
1,18ss,155.624,100.912,6.09891,2.07877,10.0029,3.89654,3.04806
1,18ss,146.051,101.895,6.73983,4.04295,10.1345,3.56698,3.14846
1,18ss,149.115,110.588,6.70042,2.47426,11.8179,4.98884,2.17144
1,18ss,161.842,103.76,7.6825,2.08026,10.9237,4.09492,1.98821
1,18ss,112.401,47.5786,1.41678,2.24972,5.57193,2.58806,2.42102
1,18ss,112.253,54.7152,4.61421,1.60916,6.70301,2.69879,1.85923
1,18ss,118.006,59.1244,3.91704,1.8344,6.27739,2.89388,1.62303
1,18ss,110.635,64.0029,4.17049,2.49641,7.45156,3.10476,1.35947
1,18ss,128.411,57.4673,-1.07524,2.09686,5.46156,2.28746,3.55311
1,18ss,142.813,69.2682,0.0439735,3.10255,5.78783,2.63854,3.78938
1,18ss,142.65,63.8883,0.526582,2.64235,5.64029,2.87657,3.53402
1,18ss,126.623,50.9863,0.757112,2.36283,5.6671,3.05332,3.62625
1,18ss,127.372,64.87,-0.874891,2.07134,6.01051,2.71074,2.42142
1,18ss,133.771,62.2809,-0.066023,1.79821,5.2437,2.67954,3.23681
1,18ss,122.372,65.8046,3.83119,1.94765,6.60702,2.87668,1.61708
1,18ss,124.464,54.4528,4.38801,2.73528,6.12322,3.47672,2.01042
1,18ss,132.86,54.0506,4.51709,1.71382,5.49443,2.57742,3.02753
1,18ss,132.958,64.0127,3.17982,2.49612,5.9929,3.1619,4.0531
1,18ss,160.375,52.7247,-0.923373,3.38216,4.73419,5.30958,4.86273
1,18ss,150.535,58.4858,-0.726499,1.95563,4.71444,2.63238,3.11294
1,18ss,148.004,63.4594,-0.7542,2.7606,4.95462,2.85669,5.66062
1,18ss,167.72,68.3792,-0.697632,3.51242,5.72705,3.75657,4.72318
1,18ss,157.076,57.5071,0.97507,2.43469,4.75927,2.82056,3.32688
1,18ss,162.313,67.8208,1.1898,2.90088,5.33053,6.19305,4.10099
1,18ss,151.906,51.149,0.352463,1.78452,4.4646,3.4933,3.59806
1,18ss,166.605,53.3028,2.69192,1.67139,5.0048,3.27302,4.0223
