no,stage,x,y,z,tbxta,sox2,wnt8a,depdc7a
1,18ss,86.4942,128.885,95.8112,3.87492,35,2.61814,2.87153
1,18ss,77.0306,125.36,96.1234,1.77331,39,2.40035,2.75563
1,18ss,91.5495,131.203,96.698,5.76087,27,2.70896,3.26752
1,18ss,88.0717,134.911,97.9996,2.19277,17,2.50602,3.80723
1,18ss,84.0663,133.953,98.4049,2.30075,24,2.47368,2.67669
1,18ss,97.7487,136.199,96.2364,2.33616,24,2.67591,3.22083
1,18ss,96.689,145.69,95.114,2.45546,30,2.64968,2.69703
1,18ss,94.2396,94.7854,91.1249,15.6276,31,3.3819,3.70982
1,18ss,81.3994,87.9282,90.6933,6.46551,48,3.29017,3.11945
1,18ss,78.9312,90.4487,93.1191,3.95307,33,2.86221,3.52226
1,18ss,88.9981,76.3731,93.1857,6.62842,50,3.75551,3.97691
1,18ss,80.7735,74.3084,93.5727,10.9136,42,12.6962,5.09885
1,18ss,87.8038,81.2645,93.9227,5.25584,45,3.32033,4.98248
1,18ss,93.9387,92.1392,94.2666,7.17558,37,3.03706,3.85592
1,18ss,87.429,71.2278,95.1233,9.17514,25,3.9435,5.76271
1,18ss,83.4718,77.2816,93.9209,6.44649,45,4.19296,3.80492
1,18ss,86.9538,90.5268,94.7071,4.85826,31,2.52659,3.57677
1,18ss,79.0804,83.8846,94.0684,3.95274,39,2.61243,3.20531
1,18ss,83.1306,92.2779,96.1436,3.44621,25,2.43592,3.20393
1,18ss,98.7025,85.9519,90.8677,8.58548,40,4.71081,3.50968
1,18ss,116.43,73.2573,90.3214,4.39605,32,5.62623,4.82621
1,18ss,118.259,82.1516,91.4362,7.10565,28,6.3004,4.11133
1,18ss,108.675,74.4753,91.4316,6.85774,30,5.93887,4.64591
1,18ss,113.903,79.8055,93.2007,5.52077,25,6.31157,3.81009
1,18ss,109.92,84.7362,92.8011,10.7215,28,8.78397,4.20819
1,18ss,103.326,80.3555,91.8597,7.1611,36,5.39372,3.81913
1,18ss,105.716,88.0706,92.9227,8.6262,36,5.03279,3.78648
1,18ss,108.991,94.336,92.8507,12.049,33,3.37132,3.83548
1,18ss,94.5488,73.162,92.7977,7.2481,36,5.28009,4.16117
1,18ss,102.153,89.9795,93.2599,8.60551,37,3.51662,3.36125
1,18ss,93.4105,81.0205,90.6771,7.14585,107,5.62469,4.25238
1,18ss,93.3473,86.7905,94.4535,6.50037,30,3.24972,4.16327
1,18ss,135.055,73.1949,90.7005,4.79016,27,5.72042,4.31507
1,18ss,139.775,77.5972,90.0405,7.0397,28,4.39133,5.58727
1,18ss,136.286,81.2208,89.3518,13.6312,31,8.69065,5.60403
1,18ss,142.29,89.6821,90.7774,13.0506,34,5.95111,5.14011
1,18ss,123.811,76.576,90.3746,5.63479,31,4.39835,4.15428
1,18ss,139.001,93.6962,90.1325,13.5039,42,5.71953,7.53817
1,18ss,123.369,72.0139,90.8166,9.61868,29,5.30299,3.57396
1,18ss,127.549,84.872,91.1917,12.8941,58,9.64741,7.35628
1,18ss,131.748,85.3591,91.2959,13.4673,40,10.7185,7.58692
1,18ss,127.361,92.6279,91.7693,19.5074,29,9.77646,7.41506
1,18ss,80.0738,115.368,91.1273,15.1718,31,2.99238,3.50576
1,18ss,93.3418,108.481,91.5678,14.7203,32,3.901,4.07307
1,18ss,91.9153,99.1135,93.2478,11.3584,38,2.92436,3.38331
1,18ss,85.1795,107.981,92.9761,8.57989,33,2.52065,3.22627
1,18ss,91.6059,113.549,93.3395,10.0449,31,2.79096,3.20777
1,18ss,88.5479,103.426,93.1049,10.8903,35,2.97441,3.74676
1,18ss,80.6066,118.971,94.4145,4.77456,34,2.43775,3.08984
1,18ss,91.0108,119.069,93.5065,9.51749,28,2.80045,3.11408
1,18ss,84.6611,97.0365,94.7183,5.38443,29,2.54373,3.04721
1,18ss,80.2552,108.638,93.8347,7.6232,29,2.68295,2.88247
1,18ss,84.1415,113.377,93.9285,7.49239,28,2.71024,3.1095
1,18ss,78.4459,95.9535,94.9949,3.86568,32,2.44236,2.90854
1,18ss,79.3175,102.414,95.2247,4.56775,31,2.3935,2.98103
1,18ss,89.1951,109.839,95.4666,5.83121,30,2.57346,3.23885
1,18ss,86.0008,118.109,94.9579,6.20533,30,2.57191,3.25787
1,18ss,104.97,97.8502,91.4036,20.7558,42,3.63306,3.97103
1,18ss,97.7214,99.7485,91.4522,20.097,32,3.86299,3.98442
1,18ss,119.342,116.264,91.8607,10.8148,37,4.64513,4.46969
1,18ss,118.849,100.876,92.6544,13.354,32,7.64067,4.31015
1,18ss,117.679,110.192,92.2803,16.5321,33,4.25974,4.24298
1,18ss,107.722,112.673,92.1404,23.3015,30,3.81457,4.27776
1,18ss,106.854,105.575,92.9262,14.9353,31,3.91409,3.41132
1,18ss,112.388,113.598,92.5121,17.1638,35,3.34509,3.72246
1,18ss,109.647,101.264,93.4848,14.6691,37,3.68614,3.51677
1,18ss,102.314,103.217,92.9533,14.7159,47,3.53022,4.68234
1,18ss,112.891,108.104,93.1081,16.6337,35,4.06409,4.2703
1,18ss,114.999,118.335,92.8624,11.1561,32,3.62401,3.78045
1,18ss,101.293,95.9996,94.1544,12.5798,119,3.51689,3.97406
1,18ss,98.5248,108.843,93.3989,12.8259,29,4.23126,3.93241
1,18ss,103.696,112.729,93.6966,15.2099,33,5.64205,3.73397
1,18ss,99.294,114.426,93.8294,12.0419,31,3.75346,3.32976
1,18ss,95.9239,117.382,93.8046,9.57744,31,2.95105,3.25827
1,18ss,96.0967,104.787,94.9711,8.7169,27,3.14978,4.21628
1,18ss,122.675,95.1211,88.9145,17.959,36,20.2158,4.85738
1,18ss,129.518,98.7632,90.6058,17.6006,33,15.9167,7.32609
1,18ss,126.759,114.96,90.35,11.1398,36,8.61038,6.40566
1,18ss,122.901,110.935,91.2556,12.5239,52,6.22511,5.30396
1,18ss,134.201,115.986,90.109,11.8782,31,8.1316,6.22717
1,18ss,138.7,113.463,91.0578,12.763,48,11.9106,6.02141
1,18ss,125.42,104.248,91.9023,13.042,31,8.58352,5.47841
1,18ss,134.164,103.672,91.9605,11.7717,37,7.00813,7.00777
1,18ss,133.637,109.403,91.6115,13.2947,29,7.11807,5.90869
1,18ss,148.42,111.446,88.9398,8.03315,35,5.58623,5.70034
1,18ss,147.187,106.858,88.4689,7.59143,38,4.98686,4.7724
1,18ss,153.963,111.497,89.5877,14.6535,36,8.94968,6.40188
1,18ss,143.927,116.554,91.3763,16.3099,28,7.36235,5.64105
1,18ss,77.9338,130.302,89.2553,1.7136,51,2.79736,2.69247
1,18ss,93.9274,131.14,89.8513,4.41045,51,5.35625,3.45669
1,18ss,80.5262,140.828,90.4239,1.47347,51,2.40342,2.7969
1,18ss,83.3749,131.462,92.0366,2.08593,48,3.11479,2.90043
1,18ss,85.9879,138.609,94.2585,1.28571,34,3.07143,2.61384
1,18ss,90.2075,143.705,92.5953,1.52315,49,2.59317,3.08702
1,18ss,88.8253,123.628,94.7328,5.32581,37,3.73206,3.21734
1,18ss,82.6508,142.531,94.6708,1.46492,63,2.23465,2.99807
1,18ss,93.6842,124.404,95.9039,4.27386,29,4.70228,3.0914
1,18ss,81.2108,127.103,95.6261,2.28531,28,2.64336,3.04182
1,18ss,95.9252,142.907,89.4902,2.28961,59,5.68567,3.01627
1,18ss,109.221,121.9,91.2121,13.6276,31,3.46621,3.49124
1,18ss,113.454,124.046,91.5163,8.76555,31,3.86003,3.5839
1,18ss,101.351,124.671,92.2808,9.77954,31,3.34796,3.25715
1,18ss,105.993,120.174,92.4215,14.4962,36,3.86049,3.79631
1,18ss,118.075,129.684,91.807,6.34894,35,3.37526,3.91802
1,18ss,118.816,135.795,93.4807,5.59121,41,3.22203,4.19601
1,18ss,111.819,130.33,92.0897,5.3861,33,3.25655,3.53471
1,18ss,107.102,136.62,93.6706,4.70579,29,3.23344,3.72066
1,18ss,112.268,142.833,93.7552,4.17368,32,2.48772,4.64444
1,18ss,105.565,127.752,93.0133,4.43799,32,3.16221,3.39409
1,18ss,95.4422,130.308,94.5974,4.29763,31,3.25654,3.18443
1,18ss,117.733,139.983,95.0208,3.42648,36,2.59174,3.82497
1,18ss,98.4464,122.184,95.0919,6.42815,31,2.68455,3.13361
1,18ss,113.951,134.596,95.3339,3.41342,28,2.76287,4.51014
1,18ss,101.073,128.642,95.7184,3.46228,29,3.33195,3.21306
1,18ss,102.706,135.933,96.0559,4.71358,31,2.72675,3.12922
1,18ss,123.748,121.295,89.2423,22.8889,80,18.166,8.62367
1,18ss,131.505,138.204,90.1116,21.376,75,13.565,6.72828
1,18ss,135.482,121.207,90.4364,11.8304,30,8.80157,6.4874
1,18ss,143.091,124.121,91.4529,9.25924,31,4.31769,5.70866
1,18ss,141.371,131.313,90.8647,8.04941,35,5.12456,7.67145
1,18ss,130.857,125.519,93.6781,4.10811,28,3.18919,3.67568
1,18ss,135.54,126.433,93.0086,6.28955,29,4.82529,4.43433
1,18ss,137.377,134.27,93.2686,15.053,36,17.1149,5.62574
1,18ss,128.118,137.524,92.2873,8.02343,34,5.75435,5.11625
1,18ss,125.229,119.795,93.5947,12.6668,30,10.0237,5.29316
1,18ss,119.177,123.794,92.2038,9.26468,29,4.78577,4.43042
1,18ss,123.523,127.327,93.3736,7.65539,32,3.93343,4.12688
1,18ss,124.558,134.538,93.3954,6.79342,31,4.00502,6.13911
1,18ss,160.323,119.308,90.1153,21.3142,26,10.7942,6.8251
1,18ss,150.937,121.809,91.0998,10.0544,24,10.4366,6.13406
1,18ss,152.292,135.816,89.8021,2.22727,24,2.52273,3.14773
1,18ss,146.874,133.33,92.1651,8.23155,26,6.61602,4.45876
1,18ss,85.516,144.602,91.6323,1.56871,44,2.51107,2.80951
1,18ss,79.1411,156.076,91.1289,1.68989,85,2.80611,2.72428
1,18ss,92.9384,156.489,92.1383,2.08071,70,3.6762,3.34287
1,18ss,77.528,151.799,93.4123,1.08928,43,1.91956,3.10961
1,18ss,87.4653,147.214,93.3887,1.83339,45,2.30545,3.35008
1,18ss,84.0695,151.58,94.1208,1.56764,91,2.5179,3.10988
1,18ss,84.3893,156.368,94.4219,1.33474,63,2.28526,3.83684
1,18ss,80.6048,146.675,94.2232,1.53234,39,2.14425,3.19521
1,18ss,90.233,151.104,94.5318,1.39749,83,2.21674,3.52552
1,18ss,98.2758,158.221,90.2671,2.53605,36,2.32644,3.56275
1,18ss,101.672,153.075,89.8219,4.80598,45,5.98483,3.73517
1,18ss,107.29,149.469,90.0305,3.01044,54,5.13808,3.33204
1,18ss,112.978,154.071,91.1287,1.65909,23,1.875,2.50568
1,18ss,102.819,148.033,90.6329,2.94224,59,6.66489,3.12416
1,18ss,94.7625,149.51,93.1063,2.80692,28,4.27614,2.91985
1,18ss,106.183,144.202,96.5454,2.9223,18,3.08108,2.51351
1,18ss,110.193,148.468,95.9947,0.571429,15,2.48571,2.2
1,18ss,127.628,147.163,90.98,2.01149,13,2.06897,2.88506
1,18ss,119.535,119.938,86.9323,18.7943,84,8.21223,5.96779
1,18ss,108.144,126.583,85.6267,16.5329,73,7.53302,3.35654
1,18ss,110.059,136.163,85.7813,5.48734,70,8.24317,3.11982
1,18ss,117.195,136.588,87.6101,5.78667,70,7.84387,4.04151
1,18ss,103.603,138.639,86.2976,5.63564,43,5.29226,3.13891
1,18ss,98.7272,139.877,86.2309,2.50334,35,5.58179,3.32608
1,18ss,106.752,141.744,85.4922,5.17282,33,5.71156,3.59854
1,18ss,100.174,133.892,86.5396,3.2674,45,4.45514,2.85792
1,18ss,102.158,129.297,87.4404,6.61325,82,3.25878,3.01999
1,18ss,95.1221,136.891,88.1875,2.70758,38,5.87034,3.19013
1,18ss,108.592,130.335,87.9032,5.96292,32,5.30736,3.28331
1,18ss,126.602,135.535,85.5374,12.5331,80,6.75967,7.32457
1,18ss,126.548,142.819,85.0507,14.4446,89,14.0917,8.00506
1,18ss,119.828,125.889,86.3996,16.4261,58,9.23945,5.4653
1,18ss,126.582,126.974,86.6543,14.1889,32,7.42257,4.93124
1,18ss,138.302,127.298,87.9889,12.6105,38,7.14476,6.88854
1,18ss,140.066,119.949,87.5868,22.9122,43,15.8587,9.93846
1,18ss,131.711,124.961,87.727,7.89026,31,4.0998,5.00045
1,18ss,137.376,136.597,88.1206,13.0463,44,8.43305,6.60466
1,18ss,129.912,130.232,87.654,7.4737,30,3.92895,5.09937
1,18ss,121.048,136.251,88.7805,15.0702,56,7.5465,7.51031
1,18ss,128.421,120.033,90.8145,12.6,32,10.7468,5.32901
1,18ss,133.273,132.286,89.4665,19.0981,61,9.02338,9.25834
1,18ss,121.909,142.123,89.0269,9.90899,78,7.14842,7.47565
1,18ss,160.393,123.282,85.7526,16.1435,35,10.4646,7.19126
1,18ss,162.373,131.015,83.803,4.19037,29,2.90722,3.91597
1,18ss,153.601,119.25,86.1287,14.1563,38,6.54035,8.41954
1,18ss,145.288,121.007,87.2189,9.70013,30,5.70391,6.03025
1,18ss,153.327,130.308,86.7109,8.15879,29,7.54796,5.99508
1,18ss,146.524,132.162,87.6212,15.5205,32,16.5885,6.79565
1,18ss,165.393,123.183,88.2427,12.9915,24,6.62217,6.36595
1,18ss,144.463,139.589,88.4387,2.49651,25,2.71486,3.15753
1,18ss,159.148,124.173,89.9047,14.8097,32,11.3682,6.04983
1,18ss,153.627,125.003,88.6167,14.363,32,9.93472,8.35351
1,18ss,169.255,128.276,84.9632,2.41758,21,1.85714,2.91868
1,18ss,175.553,122.57,87.5738,2.26061,21,1.83333,2.77273
1,18ss,87.8742,144.083,83.6907,1.76824,62,3.7281,2.71792
1,18ss,82.3418,148.101,84.5553,2.33638,40,2.94159,2.80989
1,18ss,93.3637,154.178,84.411,3.04907,58,3.32062,3.11796
1,18ss,85.8508,166.05,84.3128,3.87784,73,4.54275,4.1298
1,18ss,92.7281,164.759,86.3587,1.68047,80,2.0027,2.93879
1,18ss,79.7453,152.564,87.3655,1.79246,65,2.43185,3.25398
1,18ss,86.8615,157.112,87.6206,2.1798,65,2.76364,2.82802
1,18ss,79.5723,145.174,88.315,2.09297,64,3.20808,2.81554
1,18ss,77.1096,161.75,87.6923,1.45062,58,3.67306,2.98106
1,18ss,87.7684,163.696,88.5965,3.22766,138,3.09757,4.71663
1,18ss,82.8441,161.45,88.6977,1.72715,76,2.17905,2.8569
1,18ss,91.3636,147.77,89.2653,1.99938,77,3.02788,2.78198
1,18ss,118.977,145.349,84.0374,8.04072,72,8.00217,7.65282
1,18ss,98.2095,150.072,84.7889,3.05463,76,5.61635,2.95689
1,18ss,114.414,155.464,86.1234,2.07635,37,2.63748,3.1807
1,18ss,97.7971,161.514,84.9938,4.65282,165,3.58598,6.04641
1,18ss,103.004,143.831,85.7393,4.03776,54,4.19368,3.22053
1,18ss,106.691,147.076,84.779,3.00041,81,5.57628,3.03944
1,18ss,101.587,166.245,85.1893,0.736842,21,2.25,2.31579
1,18ss,109.411,152.249,85.2602,5.30007,86,6.28499,3.71921
1,18ss,115.842,146.641,85.9997,7.22074,85,8.57677,6.21983
1,18ss,98.9685,145.04,86.7176,2.70857,57,8.4138,3.82716
1,18ss,106.828,162.288,87.3364,1.61719,21,1.84014,2.62079
1,18ss,128.202,151.254,85.2543,2.20173,30,2.19827,3.03672
1,18ss,121.725,153.071,85.742,2.11762,27,2.15469,2.86725
1,18ss,133.498,144.536,87.2433,2.58824,15,2.64706,2.94118
1,18ss,86.619,170.19,88.3093,0.813665,20,1.76398,2.7764
1,18ss,92.2114,49.263,91.8801,1.05615,25,1.57035,2.61325
1,18ss,87.5678,68.0675,93.0287,12.5469,26,6.97615,4.31661
1,18ss,87.2032,60.4991,92.3849,2.04078,28,1.99084,2.866
