no,stage,x,y,z,tbxta,sox2,znf703,cdh6
1,18ss,85.9798,118.591,0.209169,0.911392,10,1.03797,0.43038
1,18ss,96.9531,116.303,1.52349,0.793943,17,1.79454,0.366983
1,18ss,98.7761,137.442,-0.208168,0.757027,21,1.44472,0.738913
1,18ss,84.9453,154.228,0.480711,0.859448,24,2.38652,1.30791
1,18ss,87.7724,162.135,1.24441,0.951497,24,1.27545,0.708383
1,18ss,88.0473,107.284,3.18586,2.2,10,2.4,0.3
1,18ss,91.3014,98.1737,1.91004,0.5,5,2.5,0.5
1,18ss,100.689,126.077,-18.8394,1.00385,21,2.91458,1.00231
1,18ss,92.5249,131.739,-14.1925,0.777908,34,1.91246,2.10987
1,18ss,88.6689,129.297,-14.3326,0.722924,45,2.1454,0.858442
1,18ss,93.5641,132.846,-10.9511,0.919508,127,1.97277,1.80553
1,18ss,99.383,130.685,-6.78801,1.01737,29,2.10755,1.04743
1,18ss,91.1392,121.631,-4.77961,0.748691,14,1.89878,0.61082
1,18ss,108.259,133.328,-17.1,0.888649,82,3.04595,1.87914
1,18ss,112.231,132.119,-16.2511,0.898933,57,3.47821,1.07196
1,18ss,102.096,131.16,-17.6188,0.934632,70,3.22751,2.01585
1,18ss,110.766,130.78,-9.85286,1.03922,12,1.88235,1.15686
1,18ss,115.398,127.326,-19.6013,1.46353,30,3.44082,0.878134
1,18ss,126.968,122.149,-13.3477,1.88798,23,3.5582,0.863873
1,18ss,124.16,126.345,-12.0964,1.07589,25,3.01786,0.517857
1,18ss,127.564,120.594,-8.29661,2.18598,16,2.85774,0.666204
1,18ss,133.856,120.055,-17.4538,2.73673,31,4.5545,1.34369
1,18ss,154.053,121.703,-14.0853,2.38435,15,4.74957,0.8
1,18ss,85.2047,134.078,-13.8185,0.744596,56,1.71087,1.54134
1,18ss,83.5843,144.517,-12.6388,1.06653,134,2.57597,4.77509
1,18ss,88.5473,144.124,-12.0998,0.836595,135,2.14882,2.22822
1,18ss,87.0808,137.614,-11.8317,0.752866,54,1.94577,2.2182
1,18ss,82.711,133.69,-7.58735,0.460251,16,1.74477,2.52301
1,18ss,100.529,134.062,-11.2283,0.871947,34,3.08449,1.87393
1,18ss,101.866,143.747,-12.4313,1.07481,103,2.87523,5.47037
1,18ss,91.4456,140.048,-12.51,0.846418,105,1.73836,2.00633
1,18ss,98.1024,141.282,-12.3225,1.27149,45,3.06656,2.94263
1,18ss,95.3274,137.304,-4.12937,0.522948,21,1.70519,0.876382
1,18ss,103.289,138.412,-18.1085,0.964901,137,3.89343,2.32163
1,18ss,107.055,141.348,-16.4353,0.888805,60,2.34544,2.03587
1,18ss,104.367,134.968,-14.9387,0.941897,45,2.86778,2.14447
1,18ss,113.633,139.266,-14.4969,1.13545,40,4.0214,0.806533
1,18ss,107.029,136.704,-13.4696,0.809818,36,2.16167,1.94062
1,18ss,105.323,145.68,-11.8171,1.41359,72,2.32119,3.26178
1,18ss,106.473,136.621,-5.69965,0.233333,9,1.4,0.666667
1,18ss,125.135,139.519,-17.4873,1.17659,48,5.21821,1.6561
1,18ss,118.095,142.568,-17.1729,1.64455,88,3.44651,4.15273
1,18ss,120.297,145.623,-7.31931,0,12,0.923077,1.46154
1,18ss,133.86,145.891,-17.5601,1.07363,26,1.79966,0.857877
1,18ss,88.0386,153.76,-17.4731,1.68675,98,5.71318,4.07286
1,18ss,84.1094,158.429,-13.3873,3.44567,72,5.27064,5.19779
1,18ss,83.9071,150.342,-7.86571,1.02144,41,2.06791,2.10579
1,18ss,85.1207,153.938,-7.11163,1.1797,175,2.42574,7.59746
1,18ss,95.1521,152.393,-13.2517,2.7044,161,4.14539,5.33501
1,18ss,96.2464,147.968,-14.2961,1.45436,81,2.76451,4.66031
1,18ss,98.3635,154.861,-12.3303,2.64833,105,4.23576,5.18868
1,18ss,100.912,157.216,-9.45402,1.98016,135,4.16291,2.88627
